,id,title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount
0,obu1_XM1v10,Как правильно обнуляться и к чему это приводит?,2020-07-03T12:35:33Z,Максим Кац,59400,7514,166,829
1,nMz7eSKyo4M,"Массовые фальсификации, провал власти на честных участках — небольшие итоги",2020-07-01T22:28:47Z,Максим Кац,357480,40312,1624,5762
2,G-Qp9sna588,Исследования бойкота выборов,2020-07-01T10:00:59Z,Максим Кац,128432,14755,344,1756
3,CFnpdJIIuFw,Что россияне реально думают о поправках?,2020-06-30T13:19:04Z,Максим Кац,186662,18445,407,3645
4,z4hmVY1N2qA,История флага российского,2020-06-29T13:10:38Z,Максим Кац,150467,15443,319,1406
5,liqT6V2c0fE,"Серебренников, Верзилов, Цветкова, начало плебисцита, манипуляции в фейсбуке | Новости недели",2020-06-28T18:34:49Z,Максим Кац,145010,15249,306,1592
6,grTsQR6xhAI,"Как нам кажется, словно мы все знаем",2020-06-27T13:36:24Z,Максим Кац,197956,22318,486,2616
7,hiIg62sPdp8,Голосуй или проиграешь! Выборы Президента 1996,2020-06-26T14:35:18Z,Максим Кац,196372,17283,536,2695
8,6vxR6zmiHBY,Как организуют фальсификации на выборах,2020-06-25T15:28:21Z,Максим Кац,219743,23968,476,2991
9,vzvpnme2fY0,Как мы ведем избирательные кампании,2020-06-25T08:04:30Z,Максим Кац,67674,7732,127,715
10,t1TBQQPEbxE,Что такое Холокост,2020-06-24T13:14:07Z,Максим Кац,187312,18759,531,2071
11,0gQL68Kj0DM,"""Эффективный менеджмент"" начала сталинской эпохи",2020-06-23T14:25:38Z,Максим Кац,228599,22175,1187,6004
12,MxMgJWlnQiM,За что предлагают голосовать 1 июля,2020-06-22T15:28:24Z,Максим Кац,486755,41476,1320,5591
13,U3TIlgdnzWw,Обманы власти: как вас призывают не ходить на выборы,2020-06-21T17:24:53Z,Максим Кац,218444,23023,739,3738
14,SIQvZ07KWYY,Как Лукашенко стремительно теряет рейтинги,2020-06-21T11:51:53Z,Максим Кац,375791,33193,530,3370
15,JvVe7heYbZc,Почему менталитета не существует?,2020-06-20T13:26:56Z,Максим Кац,248506,27236,696,3168
16,oYuEULpL5XA,Разоблачения «предателей» в оппозиции,2020-06-19T13:27:23Z,Максим Кац,260862,29783,1385,4609
17,csduhUPef3M,Бессмысленная и беспощадная Первая Мировая война,2020-06-18T14:12:45Z,Максим Кац,262233,25468,524,3391
18,ag9gBRvFJeA,"Почему автоаварии страшнее, чем теракты",2020-06-17T12:20:34Z,Максим Кац,198783,20281,481,2373
19,CX7UwF1Hcws,Пора заниматься политикой!,2020-06-16T16:02:23Z,Максим Кац,137895,15415,891,1400
20,7V3ubPpLmjY,Дебаты с Навальным — послесловие,2020-06-15T20:24:23Z,Максим Кац,391276,33574,2366,4918
21,dMydv_4MpFs,В интернетах произошел хлопок,2020-06-14T11:55:05Z,Максим Кац,348947,44616,2106,10039
22,G8VTMa0yE4U,Вызываю Навального на дебаты,2020-06-13T12:38:49Z,Максим Кац,349013,36675,3007,8101
23,W2Omb1yB4UQ,80% нижегородцев против поправок в конституцию. Сплошной опрос на улице,2020-06-12T11:02:07Z,Максим Кац,159484,15366,424,3446
24,vy7Wi0Ts7PQ,Вацлав Гавел: как в Чехии победили тоталитаризм,2020-06-11T13:20:11Z,Максим Кац,154686,18054,279,1508
25,XtWUic0eq-g,Зачем Ельцин расстреливал Белый дом из танков,2020-06-10T14:55:53Z,Максим Кац,309301,20845,989,2955
26,WuD2aif-kcc,Как порядочность и честность побеждает тоталитаризм — история Академика Сахарова,2020-06-09T15:09:18Z,Максим Кац,135175,15660,519,1134
27,Ajk83wRV8uU,Как повысить зарплаты в России,2020-06-08T14:16:06Z,Максим Кац,319092,29062,649,3895
28,_IhOxg1B5GI,"Голосовать против, или не участвовать 1 июля?",2020-06-07T14:24:06Z,Максим Кац,326415,34398,1066,7075
29,8bmArgTJQAE,Как Лукашенко пытается не потерять власть,2020-06-06T14:16:07Z,Максим Кац,598737,36213,1301,4757
30,V38xyIM-4Zc,Почему в вашем городе разбитые улицы,2020-06-05T16:12:59Z,Максим Кац,208917,23733,320,2046
31,9Qxszg7yqSI,Что делать 1 июля,2020-06-04T14:04:00Z,Максим Кац,751239,57589,2635,9349
32,sR-fpTsrJBE,Почему властям нужно чтобы вы никому не доверяли,2020-06-03T14:38:32Z,Максим Кац,160359,18093,227,1586
33,V4QavApK6Zs,Как реформы Гайдара изменили Россию,2020-06-02T15:11:00Z,Максим Кац,351305,33824,1063,4686
34,vNSDPfeMcB0,Почему у нас такой плохой общественный транспорт,2020-06-01T14:09:58Z,Максим Кац,193157,17615,265,2158
35,itiXqswoXsQ,"Парад, öбнуление, закрашенный Бродский, задержания за пикеты, гуляния по графику – Новости недели",2020-05-31T13:35:40Z,Максим Кац,142392,15942,244,1234
36,MJx9FM8yxbc,История победы в борьбе за права — Crip Camp,2020-05-30T12:46:53Z,Максим Кац,107453,13267,182,1324
37,zPF7RtjLKG0,"Почему ложь распространяется быстрее, чем правда",2020-05-29T13:46:49Z,Максим Кац,143315,14569,195,1221
38,nhXVbZue9_A,История распада СССР и роль Михаила Горбачёва,2020-05-28T14:10:01Z,Максим Кац,298144,28961,1030,4574
39,5dzl4jROwOg,"Как Путин менял выборы, чтобы сохранить власть",2020-05-27T13:55:38Z,Максим Кац,184660,19175,182,1450
40,FEELIXtZ9AU,"Евгеника — лженаука, оправдывающая нацизм",2020-05-26T14:00:10Z,Максим Кац,164974,15900,784,2614
41,iBWJfBRE_NA,Почему Россия 10 лет не развивается,2020-05-25T13:39:41Z,Максим Кац,273213,29438,524,3122
42,QpHcaRflXi0,Что произошло в Крыму в 2014,2020-05-24T14:00:34Z,Максим Кац,465397,43503,3583,9301
43,NsLkZ-hy7eE,Российское школьное образование: что с ним делать,2020-05-23T14:00:25Z,Максим Кац,250276,23457,604,2658
44,JOIux2GUivI,Ловушки мозга — как мы ошибаемся,2020-05-22T14:01:15Z,Максим Кац,122277,14595,165,1251
45,-T-Ctw5pF-o,Владимир Соловьёв: история переобуваний,2020-05-21T12:48:32Z,Максим Кац,445543,32060,972,2411
46,uQuDzdvXXsU,Новая реальность: тротуары и велодорожки вместо автомагистралей,2020-05-20T13:36:50Z,Максим Кац,115378,10703,257,1105
47,Bxdn3TMHYV0,Мифы об СССР — было ли там дёшево?,2020-05-19T14:17:35Z,Максим Кац,482008,37271,5081,12439
48,OO9WS9hYREw,Хрущевки: как они появились и что с ними надо делать,2020-05-18T13:20:10Z,Максим Кац,346996,29223,804,2236
49,Cz-gidhV1RU,"Зараженный Песков, окончание карантина, Ведомости, избирательное законодательство | Новости недели",2020-05-17T13:09:10Z,Максим Кац,121192,11367,223,774
50,I2XnMYgaTQk,"Как работает инфляция, дефицит бюджета и почему госдолг — это не страшно",2020-05-16T13:21:36Z,Максим Кац,280044,24635,343,1874
51,Vx9VA3KU46o,Разоблачение манипуляций любителей СССР и сторонников НОД,2020-05-15T13:49:13Z,Максим Кац,359803,30951,1278,4491
52,0-WCeGFUekA,"Бразилия, Аргентина, Чили — как там дела с пандемией?",2020-05-14T14:07:24Z,Максим Кац,138189,10082,145,951
53,vRZ0U66_2GI,14 минут об устройстве управления Россией,2020-05-13T13:56:27Z,Максим Кац,237311,26601,270,1491
54,JVWSyUvO1f8,Как переубеждать людей,2020-05-12T13:09:03Z,Максим Кац,211143,18771,405,2102
55,1LpO4pH1Cfg,Почему важно защищать права ЛГБТ,2020-05-11T13:18:11Z,Максим Кац,270786,33384,3889,6522
56,xU35_3a-91k,Как празднуют 9 мая,2020-05-10T13:01:47Z,Максим Кац,159402,18940,905,2310
57,t69wQp80f-w,История захвата власти Гитлером,2020-05-09T13:15:13Z,Максим Кац,329205,26354,930,2666
58,0KtKW3YdeCs,Что делали с пропагандистами после падения их руководителей,2020-05-08T13:23:30Z,Максим Кац,175656,17875,321,1311
59,Lr5e8YLeJ-8,Пошаговое разоблачение вранья и манипуляций,2020-05-07T12:58:18Z,Максим Кац,247556,22956,783,2871
60,X4Lw470JHtU,Мир без вакцин: каким он был?,2020-05-06T13:12:15Z,Максим Кац,108685,15294,311,2037
61,4GFLykCflp4,Мифы совка: чего не было в СССР,2020-05-05T13:46:03Z,Максим Кац,490822,35496,5892,13124
62,uyiudptWAAY,Последствия коррупции: почему это касается каждого,2020-05-04T14:05:02Z,Максим Кац,216588,28624,177,1849
63,9_vlFJzpsTY,"Навальный vs. Захарова, отмена иконы с Путиным, свержение вышек 5G, коронавирус — Новости недели",2020-05-03T13:04:33Z,Максим Кац,128390,13544,360,1135
64,GyC9S_ehgSY,Почему люди ведутся на конспирологические теории,2020-05-02T13:00:29Z,Максим Кац,255874,24647,781,2773
65,kLneSBFZZJs,Экономический ликбез за 14 минут,2020-05-01T13:39:28Z,Максим Кац,244324,26248,380,1552
66,8hxX2aoEVt0,Пандемии меняют человечество. Пример из прошлого,2020-04-30T12:23:34Z,Максим Кац,151636,15354,172,701
67,i72RTPSsRsw,Как уничтожают Ведомости и почему это важно,2020-04-29T13:04:07Z,Максим Кац,123749,16465,133,863
68,EGVZTOpeznI,Обращение Путина: что за фейл?,2020-04-28T12:36:24Z,Максим Кац,176686,17995,673,1401
69,eIkQ3BekXgQ,Спасет ли от коронавируса тест на антитела?,2020-04-27T13:50:29Z,Максим Кац,78572,6221,147,488
70,DCEQrZuWLXk,"Онлайн-митинги, иконы с Путиным, разблокировка телеграма, обнулившаяся нефть — Новости недели #7",2020-04-26T14:33:05Z,Максим Кац,82906,10194,169,740
71,ENrkZF6mZFw,Что нам делать после коронавируса дальше?,2020-04-25T13:31:19Z,Максим Кац,115294,8910,217,923
72,iEmj16W-zlU,Разоблачаем теории заговоров вокруг главного врага антипрививочников Билла Гейтса,2020-04-24T13:06:04Z,Максим Кац,161993,13050,1462,3076
73,abiCZuMiyNo,Как власти Швеции борются с коронавирусом,2020-04-23T13:09:36Z,Максим Кац,117018,9114,385,1024
74,82ZEgfUIwdE,Как падает экономика во время простоя и почему это коснется каждого,2020-04-22T13:02:37Z,Максим Кац,177873,23567,512,1590
75,iZBUshtD-g0,Дадут ли всем денег при ЧП и ЧС?,2020-04-21T13:05:10Z,Максим Кац,157779,14952,466,1217
76,gNasdbVpQQA,Мифы про прививку БЦЖ и спасение от коронавируса,2020-04-20T13:33:36Z,Максим Кац,90358,7921,191,610
77,_KDj4pW6QGc,"Очереди в метро, коронавирус, Путин, отмена парада — новости недели",2020-04-19T16:11:35Z,Максим Кац,81604,9281,243,903
78,CByU0k1L7yg,Разоблачение манипуляций Александры Андерсон,2020-04-18T14:54:19Z,Максим Кац,163437,22815,871,2895
79,85-7iV4Q30E,Сравнение российской пропаганды с зарубежным государственным телевидением,2020-04-17T15:10:23Z,Максим Кац,288370,34149,635,2688
80,YkhBM_kf0rc,Пандемия коронавируса в Иране,2020-04-16T15:00:28Z,Максим Кац,128042,10258,223,714
81,ZjRnJFc0u6k,Как быстро выйти из предстоящего кризиса — мировой опыт прошлых падений,2020-04-15T15:12:41Z,Максим Кац,175352,15119,244,1050
82,0BoEqk7ZvW8,Как эффективнее всего бороться с коронавирусом,2020-04-14T13:58:10Z,Максим Кац,77434,8051,125,688
83,rmbQ60bqYL0,Хорошие и плохие примеры реакции на пандемию из Латинской Америки и их последствия,2020-04-13T15:54:42Z,Максим Кац,134062,10333,213,1002
84,_AkPPT5Lvu0,"Пропускной режим, обращение Путина, регуляция цен в России, соглашение ОПЕК+ — Новости недели #5",2020-04-12T14:54:12Z,Максим Кац,74490,7491,133,742
85,vvQnZTo-xUc,Почему нельзя «спасти экономику» дав людям умереть,2020-04-11T14:59:15Z,Максим Кац,114162,11508,389,1267
86,C3baeyXm8mw,Мифы о коронавирусе и почему нельзя расслабляться,2020-04-10T15:28:29Z,Максим Кац,173837,13627,637,1417
87,BMKsri5bA9g,Эффективна ли тюремная система и работает ли она в России?,2020-04-09T17:01:51Z,Максим Кац,246934,21325,391,1461
88,o7JtsYRnllU,Почему у нас не будет дефицита товаров и в чем разница между плановой и рыночной экономикой,2020-04-08T14:58:23Z,Максим Кац,129855,12110,518,1759
89,PFM283IsMQc,Почему падает нефть и что ждать России,2020-04-07T15:17:15Z,Максим Кац,154101,12697,225,786
90,Hq-ZXHhKsbk,"Сериалы, книги и мини-метро — как убить время с пользой (или без)",2020-04-06T15:00:46Z,Максим Кац,35181,3636,44,327
91,sXPiURqQBpE,Кризис — что будет и как выходить из этого всего,2020-04-05T13:03:58Z,Максим Кац,154116,15148,181,873
92,T23yxRn_Qy4,Новые рекомендации по медицинским маскам,2020-04-04T15:37:36Z,Максим Кац,46234,3785,97,377
93,2U5lVbbXgaw,Нужно ли носить маски?,2020-04-03T17:37:17Z,Максим Кац,103949,7488,356,1064
94,mzA0ReJUQIw,Как работает эпидемия и что можно сделать,2020-04-02T10:19:13Z,Максим Кац,69305,5201,101,360
95,gevZY7fa0aQ,Памятка пациенту от UpToDate о COVID-19,2020-04-01T15:35:03Z,Максим Кац,52076,3853,80,300
96,luQeC7DIbHQ,Коронавирус: когда все закончится?,2020-03-31T15:00:34Z,Максим Кац,146799,9753,369,940
97,_QqnYWk99GU,Коронавирус: выдержит ли мировая экономика?,2020-03-30T15:02:39Z,Максим Кац,102292,8625,162,483
98,9XtpEwrsnL8,"Обращение Путина, заражение Лещенко, продолжение пандемии, проблемы экономики. Новости недели #4",2020-03-29T17:33:48Z,Максим Кац,48282,4614,141,454
99,B0PALhckf8w,Как ЦОДД обвинил во всем пешеходов и как предотвратить аварии в Москве,2020-03-27T14:13:49Z,Максим Кац,19970,2290,54,242
100,URQIgybs-_U,Коронавирус: чего ждать в России,2020-03-25T09:18:06Z,Максим Кац,72910,4924,178,406
101,Qat74TrD30g,Нефть: краткий обзор рынка,2020-03-23T15:00:11Z,Максим Кац,35155,3096,80,209
102,tI8RvTCTeRU,"Средний класс Путина, коронавирус, обвал нефти, памятник Жукову. Дайджест недели #3 | Максим Кац",2020-03-22T16:15:14Z,Максим Кац,26373,2610,39,201
103,N353sEXntXw,Два мифа о коронавирусе,2020-03-21T11:43:28Z,Максим Кац,30333,2334,83,223
104,7xfZd1LNUFU,Коронавирус — всё что вам нужно знать об опасностях вируса и борьбе с ним,2020-03-19T08:00:02Z,Максим Кац,24104,1487,37,96
105,0N805Vn-Eyo,Обнуление сроков Путина: что думают люди?,2020-03-16T09:41:32Z,Максим Кац,518873,21263,523,5750
106,NThSBM0i9F8,"Öбнулись, коронавирус, обвал рубля. Дайджест недели #2 | Максим Кац",2020-03-15T13:43:23Z,Максим Кац,20918,1947,34,157
107,iepOjWCQfsU,Авторитарные режимы в 21 веке,2020-03-13T19:23:26Z,Максим Кац,217685,18872,236,541
108,qQvT00qSy3E,Как и зачем выигрывать выборы | Максим Кац,2020-03-09T16:00:10Z,Максим Кац,14943,1802,15,129
109,eVNfvxyN-CY,"Коронавирус, Конституция, блокировка счетов Навального, Байден. Субботний дайджест #1 | Максим Кац",2020-03-07T17:08:40Z,Максим Кац,9660,1045,27,87
110,kxMGwOCC4yA,"Коронавирус: все, что нужно знать о нем",2020-03-05T07:00:11Z,Максим Кац,30295,1318,96,221
111,uKa_QG8V_Fk,Опасный популизм министра Колокольцева,2020-03-02T17:58:14Z,Максим Кац,23167,2570,72,194
112,yBzBAiIBiIE,Девушкам предложили вбрасывать бюллетени за Беглова,2019-09-08T11:05:37Z,Максим Кац,56666,3219,32,310
113,m2iUYOgGm3E,Мой 2018 и немного про 2019,2019-01-01T14:45:10Z,Максим Кац,9843,619,69,35
