,id,title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount
0,RJyY2KFLBpg,И так далее с Михаилом Фишманом от 03.07.20 // Телеканал Дождь,2020-07-03T12:32:05Z,Телеканал Дождь,0,21,0,0
1,W0-kZIWBUPI,Как голосование по поправкам спустило Путина с небес на землю // Нюансы с Юлией Таратутой,2020-07-03T08:35:32Z,Телеканал Дождь,90980,8848,252,1233
2,jQlvO7xKvM4,Похищение и обвинение в заражении COVID-19: как удаляли наблюдателей на голосовании по Конституции,2020-07-02T18:25:02Z,Телеканал Дождь,34869,2441,39,266
3,Flq62ZFXppE,"""Вступили в стадию нормального авторитарного государства"". Ходорковский — об ""обнулении"" Путина",2020-07-02T13:00:24Z,Телеканал Дождь,114366,5691,162,873
4,y0v7001OW4Q,"Как Путин 20 лет говорил, что Конституцию менять не будет // Дождь",2020-07-02T08:00:20Z,Телеканал Дождь,218364,16052,354,2626
5,GhVDHm2JBxI,«Русский — огромный генетический казан!» Почему татары не согласны с поправкой о русском языке,2020-07-01T20:40:28Z,Телеканал Дождь,76785,2175,202,1138
6,U4FKGK9QUO8,Итоги голосования по поправкам. Спецэфир Дождя,2020-07-01T20:12:16Z,Телеканал Дождь,226933,7557,662,834
7,p-3QNxvKa5M,"По заветам Чурова: на Ямале проголосовали больше людей, чем планировалось // Здесь и сейчас",2020-07-01T13:05:50Z,Телеканал Дождь,62946,2311,100,479
8,vorhfzU_zqw,"Максим Диденко: Если искусство в России подвергается гонениям, может быть, заниматься им не здесь?",2020-07-01T08:00:10Z,Телеканал Дождь,9813,246,36,32
9,bK1nduI0NVg,Махинации на электронном голосовании: сим-карты и персональные данные // Здесь и сейчас,2020-06-30T19:25:05Z,Телеканал Дождь,91902,5066,102,717
10,TnZGirrI6eM,"Александр Мамут об одиночестве, детях и несостоявшихся планах на жизнь // Вечер с Долецкой",2020-06-30T08:21:28Z,Телеканал Дождь,11850,248,177,122
11,Odaoe_tiwzI,"Голосование глазами члена комиссии: многие не знают, за что голосуют // Здесь и сейчас",2020-06-29T18:34:25Z,Телеканал Дождь,286652,11218,404,3087
12,_HDEM7zSS-Y,"Илья Соболев — про пародии на Плющенко и Безрукова, шутки о религии, Урганте и Comment Out",2020-06-29T15:56:03Z,Телеканал Дождь,189652,6560,351,430
13,Vtw46Z2mcrA,Ксения Собчак и Сергей Ерженков раскрыли подробности нападения в монастыре // Здесь и сейчас,2020-06-28T13:58:06Z,Телеканал Дождь,183933,2822,2851,2839
14,GeCnyBcZugg,"Новая Конституция Путина. Михаил Фишман о том, кто «рыскает» глазами в поисках преемника",2020-06-28T08:00:05Z,Телеканал Дождь,499852,21060,636,2387
15,PkONtJ_vU88,Избирательный ревизорро. Где независимые наблюдатели и кто охраняет бюллетени // Здесь и сейчас,2020-06-27T19:11:30Z,Телеканал Дождь,130765,7131,162,1102
16,0TfDI9naGvM,"Нарушения на голосовании по Конституции: «Ошибки системы», багажники, лавочки и рекордная явка",2020-06-27T07:47:22Z,Телеканал Дождь,456456,17711,436,3537
17,-1in1ar0qu0,"Объявлен приговор по делу ""Седьмой студии"": прямая трансляция телеканала ""Дождь""",2020-06-26T15:31:57Z,Телеканал Дождь,247058,6962,412,241
18,F1FdfX6udbQ,«Разве в такой стране мы мечтали оказаться?» Заявление Андрея Звягинцева // Дождь,2020-06-26T13:19:51Z,Телеканал Дождь,221727,20544,577,1870
19,ECKrG5y39n4,Новости из 2036 года - Назад в будущее. Премьера программы «Навсегда»,2020-06-25T15:43:55Z,Телеканал Дождь,731531,46006,1292,4689
20,RDl-c_6Q_NI,"По Конституции можно проголосовать дважды: сперва на участке, затем — электронно. Показываем как",2020-06-25T08:45:30Z,Телеканал Дождь,521794,30956,1320,6258
21,bW-mSkD4TiU,Чеченца подозревают в убийстве жены за покупку телевизора // Здесь и сейчас,2020-06-24T18:51:47Z,Телеканал Дождь,764907,14003,1037,9562
22,9RpzTNTnMt4,Парад Победы 2020 на Красной Площади. Москва 24 июня 2020 года.,2020-06-24T09:56:02Z,Телеканал Дождь,1288353,10114,20193,4551
23,_zHYrHjnxRc,Максим Виторган: В 2012 году был смысл идти голосовать. Зачем это делать сейчас — я не понимаю,2020-06-24T08:42:52Z,Телеканал Дождь,113631,2654,384,610
24,3Eatcl5_t9k,Нет времени на раскачку! В Москве открылись фитнес-клубы и рестораны // Здесь и сейчас,2020-06-23T19:18:39Z,Телеканал Дождь,29339,737,154,151
25,OoF0c2SQjqM,Обращение Владимира Путина 23 июня 2020. Смотрим и обсуждаем с экспертами // Дождь,2020-06-23T15:37:42Z,Телеканал Дождь,472720,5025,21163,3074
26,rHlZB_-nRWU,Второе обращение Невладимира Невладимировича Непутина к народу,2020-06-23T12:23:14Z,Телеканал Дождь,3060461,251062,14069,57128
27,BZQoLE2QrUc,"Иван Ургант про Володьку, Опру, работу на Первом канале, Андрея Малахова  и себя",2020-06-23T08:00:03Z,Телеканал Дождь,223627,4331,1596,648
28,oHHUHSDq2hQ,Шесть лет колонии для Кирилла Серебренникова запросил прокурор // Здесь и сейчас,2020-06-22T17:59:00Z,Телеканал Дождь,67301,2004,75,586
29,mXcFVlxe-jg,"Евгений Киселев о Путине-хулигане, плане Б для Украины, проекте в YouTubе и (не)возвращении в Россию",2020-06-22T16:06:29Z,Телеканал Дождь,339574,7489,826,986
30,Ccfo0UlULd4,"Парад Победы приближали, как могли. Зачем Владимир Путин переписывает историю|Мнение Михаила Фишмана",2020-06-21T08:00:02Z,Телеканал Дождь,514884,15311,1402,2528
