,id,title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount
0,-vEV1xdcWWI,Голосование: самая большая махинация. Симоньян — не убожество? Андрея Малахова бомбит,2020-07-02T18:45:32Z,Навальный LIVE,775330,70565,2122,7921
1,yS5bWLEDJZg,Россия в долгах,2020-07-02T14:43:46Z,Навальный LIVE,197676,14525,458,1039
2,BXFraKe308c,Что не так с наблюдателями на «общероссийском голосовании»,2020-06-30T10:00:06Z,Навальный LIVE,357202,22127,385,2238
3,M-8HaAPthuI,Навальный о значении символа красного косого креста,2020-06-29T11:55:16Z,Навальный LIVE,173046,14270,406,2330
4,BTi4Dv_hc0w,«Он пересидел»: как обнуляют сроки Путина,2020-06-29T09:59:41Z,Навальный LIVE,394457,30910,430,4151
5,x5mQFsMQUX4,Навальный о драке депутата Бондаренко,2020-06-28T11:55:29Z,Навальный LIVE,268565,20795,374,1487
6,gCv7ZPu4FZE,Милов об изменении налогов для IT-компаний,2020-06-28T10:00:04Z,Навальный LIVE,76079,5761,177,511
7,a07pFztHsNs,Как агитируют и голосуют за Конституцию,2020-06-27T15:59:24Z,Навальный LIVE,518795,41875,1048,5489
8,8wogYrpzJRY,Навальный: хит-парад избирательных участков,2020-06-27T09:55:46Z,Навальный LIVE,315887,22190,470,3313
9,0FW80uNhyJg,"Блогеры, политики и эксперты о голосовании по поправкам",2020-06-26T11:43:37Z,Навальный LIVE,728683,54936,1313,6605
10,zo5tjt8zkCg,Топ-7 избирательных участков. Атлант Путин держит страну. Красный косой крест,2020-06-25T19:21:52Z,Навальный LIVE,1357936,89216,2482,13630
11,TwvtRnyFD9U,Путин и повышение НДФЛ,2020-06-25T14:49:07Z,Навальный LIVE,287175,16581,483,1209
12,3GXsY8LDn00,«Мы выживаем до сих пор»: малый бизнес в условиях пандемии,2020-06-25T09:28:47Z,Навальный LIVE,128823,11105,270,1102
13,s98aOaOVwgs,Путин теряет кредит доверия,2020-06-23T09:49:49Z,Навальный LIVE,1041281,77060,2173,6756
14,Oh3HsoU1-YE,"Навальный о том, как будут происходить фальсификации на голосовании по поправкам",2020-06-21T11:55:54Z,Навальный LIVE,517114,30483,1088,4656
15,iJDXfBdX-Ms,Навальный: сушит ли власть протестную явку?,2020-06-20T11:56:41Z,Навальный LIVE,113072,8325,504,1604
16,WzNfI5PQPP0,"Навальный о том, почему поправки в Конституцию уже приняты",2020-06-19T12:00:32Z,Навальный LIVE,186559,11508,798,2274
17,02GZW6ppdT8,"Месиво в Беларуси, виноват ли Гном Гномыч, арестован Наливкин",2020-06-18T19:47:46Z,Навальный LIVE,1697109,95537,3570,11309
18,Duo0np6DJz0,Любовь Соболь: Путин — носитель духа и мышления 90-х,2020-06-18T11:46:14Z,Навальный LIVE,467194,47108,723,4671
19,p3OG56tlTqs,Как бюджетников гонят на обнуление Путина,2020-06-16T11:31:17Z,Навальный LIVE,777120,53058,961,8206
20,s__5CfqWSwQ,Что москвичи думают о спикере Мосгордумы Шапошникове и его двух миллиардах,2020-06-15T13:14:11Z,Навальный LIVE,177321,18038,241,1674
21,3NFJfSdP0CE,"Навальный о том, что делать с голосованием по поправкам в Конституцию",2020-06-15T09:55:28Z,Навальный LIVE,616681,28651,1988,5576
22,IsQwbYsB1P8,Навальный о Пескове и российской медицине,2020-06-14T11:55:40Z,Навальный LIVE,107553,8240,235,1656
23,mkri-F3LVIA,Навальный об ужасах в Карачаево-Черкессии,2020-06-13T14:16:14Z,Навальный LIVE,282831,16579,604,2196
24,SprxzOK0-O8,Милов: Пенсионной реформе два года,2020-06-13T11:59:40Z,Навальный LIVE,78190,7376,191,624
25,xFOu97tzxiA,Навальный об аварии с Михаилом Ефремовым,2020-06-13T09:55:35Z,Навальный LIVE,392163,17086,1212,2812
26,ECtwaASOAQE,"Выборы, обнуление и лягушка в кипятке",2020-06-12T12:00:24Z,Навальный LIVE,309867,31194,536,3495
27,A9mny08uI8s,"В Америке бунтуют, а у нас — нет? Ефремов устроил аварию. Что делать на «голосовании»",2020-06-11T19:20:06Z,Навальный LIVE,1258402,75847,2238,9814
28,un9SgZ5RsQ4,Есть ли у Мишустина план?,2020-06-11T14:58:37Z,Навальный LIVE,279072,15388,315,1311
29,wQ4ZO1ZmxtU,Как региональное ТВ «обнуляет» Путина,2020-06-10T12:04:21Z,Навальный LIVE,331215,28438,320,2445
30,Z1eyxrGZPt0,Фестиваль во время чумы,2020-06-10T06:59:50Z,Навальный LIVE,120899,13189,154,774
31,0uoj0yE8QQI,Любовь Соболь про голосование по поправкам в Конституцию,2020-06-09T14:08:30Z,Навальный LIVE,218780,22922,514,3259
32,OTzOQctqf2A,"Расстрелять, растоптать, избить. Как чиновники реагируют на критику",2020-06-09T09:12:32Z,Навальный LIVE,298320,30664,332,2135
33,srGq63XTF7Q,«Норильск сам по себе — экологическая катастрофа»,2020-06-08T10:57:08Z,Навальный LIVE,155975,13162,163,1375
34,ve3VEZy7uc4,Навальный: как Максим Галкин Собянина испугал,2020-06-08T09:55:32Z,Навальный LIVE,293812,16722,334,1853
35,9HK_VGuJ0Pk,Навальный о катастрофе в Норильске,2020-06-07T09:56:41Z,Навальный LIVE,425307,25038,505,3307
36,YmDS8N_csSA,"Навальный: как тебе такое, Дмитрий Рогозин?",2020-06-06T09:56:00Z,Навальный LIVE,489384,28093,712,3751
37,_-ttObArW5s,"Маск «умыл» Рогозина, норильская катастрофа, холуи из Инстаграма",2020-06-04T20:00:06Z,Навальный LIVE,1110137,81216,1769,9924
38,c-WIt5Vh7JU,"Маск, стабфонд Сечина и рост цен",2020-06-04T09:01:08Z,Навальный LIVE,279833,18634,447,1507
39,yMlbVCX-Df4,Любовь Соболь об аресте «омбудсмена полиции» Владимира Воронцова,2020-06-03T09:22:25Z,Навальный LIVE,216087,24354,448,2642
40,EmwGnUrT3Bc,Навальный: Путин подарит России парад,2020-06-01T09:55:36Z,Навальный LIVE,305905,19987,808,4409
