,id,title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount
0,zjmo6MIbZIY,Виталий Наливкин на НТВ,2020-06-28T02:11:24Z,BARAKuda,511209,34766,1680,3686
1,NkQnpm6Za_8,Виталий Наливкин выражает благодарность,2020-06-20T13:25:22Z,BARAKuda,819068,105245,794,6936
2,BZGR6nIOgjw,Виталий Наливкин комментирует свой арест,2020-06-19T13:15:57Z,BARAKuda,914663,69798,679,4123
3,AgNx6zzkZmo,Виталий Наливкин делает заявление,2020-06-12T13:03:00Z,BARAKuda,750429,51230,696,3975
4,VJT3v5ZdBoU,Виталий Наливкин борется с коррупцией,2020-06-10T02:02:11Z,BARAKuda,1177852,56487,1243,4322
5,axGnW21YAac,Виталий Наливкин остановил вырубку леса,2020-05-27T02:03:21Z,BARAKuda,923006,50739,998,3118
6,QZOKuI5OH3Y,Виталий Наливкин установил городские туалеты,2020-05-18T02:01:04Z,BARAKuda,1060740,48133,943,3770
7,tRz1GCRdQqc,Виталий Наливкин продолжает борьбу с коронавирусом,2020-04-21T02:05:06Z,BARAKuda,748317,36651,648,1985
8,qdNTsEYWbf8,Виталий Наливкин выходит на федеральный уровень,2020-03-04T14:46:56Z,BARAKuda,645853,23797,488,1316
9,4C-78jWUpk0,Виталий Наливкин запретил выход на лёд,2020-02-27T02:49:52Z,BARAKuda,804186,34065,748,2452
10,Bb5NGcPGgV0,Виталий Наливкин борется с коронавирусом,2020-02-10T02:15:14Z,BARAKuda,1395395,56546,1301,3057
11,HjT0-rn4byY,Виталий Наливкин установил тёплые остановки,2020-02-03T05:02:40Z,BARAKuda,1152696,46778,1126,3446
12,bswbEdrl0n4,Виталий Наливкин поймал блогера,2019-10-29T02:47:24Z,BARAKuda,982770,35400,891,1706
13,0NQJ75wYpg8,Виталий Наливкин. Аварийное жилье,2019-09-25T06:47:33Z,BARAKuda,851633,29813,442,1561
14,VQH5i4wbbUo,Виталий Наливкин поддержал многодетную семью,2019-09-20T02:50:59Z,BARAKuda,821029,27852,472,1233
15,jEEVaBbFFjk,Виталий Наливкин победил на выборах 2019,2019-09-09T00:44:40Z,BARAKuda,766725,31916,647,1603
16,BGGVOPzrDgw,Виталий Наливкин взял под контроль сбор грибов,2019-08-27T02:53:58Z,BARAKuda,689451,22011,835,2021
17,Gi7Z0vMakMU,Виталий Наливкин отменил концерт группы Rammstein,2019-08-07T06:59:28Z,BARAKuda,676436,23447,1316,1401
18,JzI4hc93ZVA,Виталий Наливкин помог молодой семье,2019-07-24T08:04:11Z,BARAKuda,847018,30153,448,1375
19,ySILN_Y88D8,Виталий Наливкин. Экспорт отечественных машин за границу,2019-07-08T05:02:57Z,BARAKuda,760581,28730,461,1090
20,N2-l6wGSwIo,Виталий Наливкин задерживает мигрантов,2019-06-24T08:03:42Z,BARAKuda,518689,21581,421,777
21,T6BuMVYG6Bw,Виталий Наливкин очистил городское озеро,2019-06-13T07:37:08Z,BARAKuda,1489082,42208,1260,2376
22,O2SihYB67Qs,Виталий Наливкин вернул жителям горячую воду,2019-06-06T09:17:48Z,BARAKuda,883826,26738,364,892
23,kwTEs1g_ZDY,Виталий Наливкин уничтожает санкционную продукцию,2019-05-30T02:31:42Z,BARAKuda,679092,19200,938,1016
24,s3V7alBS79w,Виталий Наливкин решил проблему с пробками,2019-05-23T03:45:02Z,BARAKuda,1131881,35754,955,1346
25,LN8bty3bWZ0,Виталий Наливкин предотвратил пожар,2019-05-15T02:19:18Z,BARAKuda,782464,24874,591,976
26,Xx8HeiLoO88,Виталий Наливкин решил проблему мусорных отходов,2019-05-10T02:02:47Z,BARAKuda,962515,27205,518,715
27,soZ8CsXlaaE,Виталий Наливкин решил проблему зловония,2019-05-03T14:04:11Z,BARAKuda,727123,20747,423,664
28,oGsqGXXq0VE,Виталий Наливкин избавил поселок от ржавой воды,2019-05-03T13:51:20Z,BARAKuda,1014459,32551,662,1158
29,3vzUJSsU-Kc,Виталий Наливкин строит мосты,2019-05-03T13:46:19Z,BARAKuda,866013,26534,402,802
30,FpLWZZ2orI4,Виталий Наливкин открыл новую школу,2019-04-08T01:53:04Z,BARAKuda,655137,20335,344,880
31,4i3eCssd3LE,РЕКЛАМА БАРАКА В УССУРИЙСКЕ. ЖИЛОЙ ДОМ БАРАКУДА,2019-03-30T13:09:13Z,BARAKuda,278975,14188,193,522
