,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwxOtckzWQ7g_aILTt4AaABAg,-T-Ctw5pF-o,Максим Кац,95,411,Максим Кац,"Подписывайтесь на канал! А также поддержите Медиазону, чтобы были нормальные независимые от власти СМИ в стране: https://donate.zona.media",2020-05-21T13:05:28Z,0
1,UgwZgiZhuadnpVu6Hl94AaABAg,-T-Ctw5pF-o,Максим Кац,0,0,nikolai nogai,А можно такое же видео про Пиманова? В памяти моей он был очень адекватным журналистом.,2020-07-03T11:11:44Z,0
2,UgxJMTUdp_uA-Q_M6uN4AaABAg,-T-Ctw5pF-o,Максим Кац,0,0,Ryčard Humel,"Чтобы скатиться, нужно быть на высоте, так что это выражение не про Соловьёва.",2020-07-01T20:08:06Z,0
3,UgxbxWeAcHRBGIBaiFB4AaABAg,-T-Ctw5pF-o,Максим Кац,0,0,Pavel Ivanov,На озеро Комо а не на острове Комо,2020-07-01T19:09:10Z,0
4,UgxmsNFhWeZNBL0yiYd4AaABAg,-T-Ctw5pF-o,Максим Кац,0,1,Сергій Гусаков,"Сорян, Комо это Озеро",2020-06-30T20:54:19Z,0
5,UgxidvrGorXZXZD0DQN4AaABAg,-T-Ctw5pF-o,Максим Кац,0,1,pizzahands,"соловьев это человек для которого его эго превыше всего, он просто его раб. таких дохера. даже если у  них и есть какие-то таланты, они пыжатся всю свою жизнь пока из них дерьмо не начинает течь",2020-06-30T02:00:56Z,0
6,UgwwOnNfblblslIqJUB4AaABAg,-T-Ctw5pF-o,Максим Кац,0,1,Katie Koche,Спасибо. Мне конечно. Только уж очень крупный план,2020-06-30T01:51:14Z,0
7,Ugyz7lxIVcMDO04Jqlh4AaABAg,-T-Ctw5pF-o,Максим Кац,0,2,Владимир Родионов,"Соловьев, как раз, гораздо объективнее вас всех!Вы с ним подискутируйте очно и поймёте свою ничтожность!Слава Соловьёву!",2020-06-29T11:49:21Z,0
8,UgynGcat1qwg-itPgNB4AaABAg,-T-Ctw5pF-o,Максим Кац,0,1,Андрей Морозов,Соловьёв много обманывает на телеканалах,2020-06-28T09:08:52Z,0
9,UgzGkXzIxWysT2R8zeB4AaABAg,-T-Ctw5pF-o,Максим Кац,0,1,Fragile Bones,"Я бы назвал ролик ""История продаж жопы""",2020-06-27T20:39:42Z,0
10,UgzUCDGm-ZrbGVZscVd4AaABAg,-T-Ctw5pF-o,Максим Кац,0,1,n l,"я с РК, и помню старый НТВ. было чудно",2020-06-27T15:40:05Z,0
