,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyL79tkQT45DLnvHLN4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,1,Politikofrenik,"""Шо то - хуйня, шо это - хуйня!""",2020-05-27T22:50:40Z,0
1,UgyRlrEVGMdxeBNR0ut4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,Dekora,от зомбоящика и дробышей тошнит невозможно а Манижа молодец так держать,2020-05-26T08:26:44Z,0
2,UgwBFI93k4dfrTGRsS14AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,Анна Яковлева,"Не нашла ничего про Августин на The Village, зато есть статья на Wonderzine. Исправьте у себя, пожалуйста где-нибудь))",2020-05-26T06:06:47Z,0
3,Ugwg6JAe4VR_XqDYAb94AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,светлана светлана,Какое г..о. Немудрено. Дебилы кругом,2020-05-25T17:26:01Z,0
4,UgxnfGT_j4kgrH0ITTJ4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,Анатолий Кравчук,МДА это творческие люди . вот говорят если бухает артист то от непонимания а если простой человек то алкашь . если  нет слуха и голоса и крычит в микрофон галиматью то это арт артист . это конешно их жызнь но чаще их много на кладбище но зато у ютюберов это лайки и денюшка . Это как на Аляске была золотая лихородка обогатились не те хто добывал а те хто скупал . Да жаль ребят видно не чытали в школе про Осла Петуха Кукушку как они пели .читать господа нужно класику хотябы щкольную програму  или хотябы знать ноты,2020-05-25T16:22:28Z,0
5,UgzmDvF2iRRlGlEqrHh4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,Razdolbaj Repkin,https://www.youtube.com/watch?v=_NAMMz_wMJ8,2020-05-25T10:36:21Z,0
6,UgwEtLjClph6TFyyWJV4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,1,Тат Гаспарян,"за пределами МКАД ютуб давно уже заменил первый и второй канал. Уважаемая журналистка Дождя, вы глубоко заблуждаетесь. Здесь тоже есть адекватные люди, поверьте",2020-05-25T10:06:55Z,0
7,UgwvNzgwwHqkef1m5OR4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,1,Lifens,"Кис-кис, Дождь, нежданчик 😂",2020-05-25T07:43:52Z,0
8,UgznZUq2_quERWIZu2x4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,2,Max Cool,"Манижа, супер! Оч смелая!",2020-05-25T07:26:51Z,0
9,Ugz6z5xs7XUh-OlSart4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,1,AYN,И кто все эти бездарные ноунеймы?,2020-05-25T06:08:36Z,0
10,UgwpEBtwQnG4Zxdyxyp4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,Александр Сычев,"то чувство, когда впервые услышал об этих людях",2020-05-24T23:53:09Z,0
11,UgybpOVXs5S0DdhwiqB4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,gvp_07 /,"че за сброд е6ланов бл, дождь вы совсем епанулись там?",2020-05-24T23:06:59Z,0
12,UgwwrCzCdkBYr0_heDd4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,Дед Пихто,Россия для русских!!!!,2020-05-24T21:56:05Z,0
13,Ugx6cgPtkA-idGQ4Zsl4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,0,Дед Пихто,Хуеплеты обычные!!!,2020-05-24T21:54:52Z,0
14,UgzRjnSWMiypHoxH3Yl4AaABAg,-_l6rqH4dXA,Телеканал Дождь,0,2,Андрей Соколовский,"О, я играл у Манижки в клипе) Вон я на 12.33 в черной дубленке секьюрити изображаю!",2020-05-24T21:34:16Z,0
