,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugw59L5lzzh9isK6hKN4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Ангелина Крампус,"Пусть вернут деньги всем кому наплевать на их ""победу""! Мне хотя бы!",2020-07-03T10:32:34Z,0
1,Ugy7E1EOqkgIgxYr44h4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Ангелина Крампус,Почему я должна платить свои налоги на это убожество?!,2020-07-03T10:31:58Z,0
2,UgwxxoV-SyvqeoxxvUd4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Ангелина Крампус,Они с ума посходили с этой второй мировой! Да мне плевать на их победу и на их дедов!,2020-07-03T10:30:49Z,0
3,Ugylxj4ux97qKNWaHQF4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,Марина Ш,"Бог есть любовь,а не война,агрессия,гордость.Это не храм,а музей.Бога там нет.",2020-07-03T04:45:13Z,0
4,UgxNseVar14faSZyoEp4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Сергей Bogomolov,Шляпы у Главпопа.... Я балдю!,2020-07-03T03:45:57Z,0
5,UgzEdjs-E2sfYom1j_54AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Света Светикова,"Жуть... Я храм себе воздвиг нерукотворный... Хе-хе, хорошая акустика, рок-группу послушать бы там...",2020-07-02T23:06:53Z,0
6,Ugzw9QHHW8_sA6it5yZ4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,ioska Avicba,Даже не верится,2020-07-02T19:25:56Z,0
7,UgxB8sKXgAHRljAcqiZ4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,david gabunia,рабы путина хлопайте громче вы не христиане,2020-07-02T17:27:26Z,0
8,UgxUb4S5eIzCpCTzgcN4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,midean 500,Великолепный храм!,2020-07-02T16:26:11Z,0
9,UgygAw0YhZpwriWyuu14AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,N Ivanov,Лобков! Тебя бы на войну отправить. Там бы вспомнил о Боге. Придурок! Стыдно за родителей твоих.,2020-07-02T16:01:30Z,0
10,UgxXp8mmwfmG1d3t-zB4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,A Nord,"Храм войны да ещё и главный, это всё как то очень странно.",2020-07-02T13:38:29Z,0
11,UgwhpELEYPzcAKAR1d94AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Лилиана Федотова,"Мерзкий Гундяй, весь фальшивый с ног до головы, ничего святого, прогнили насквозь",2020-07-02T12:43:09Z,0
12,UgycwFJLO9gBYCI0QTJ4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Отдых и Рыбалка,Цена этого чуда,2020-07-02T09:03:15Z,0
13,UgxGOa0ZXtsw1Hm-9lp4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,OG 87,строить храми во имя победы в боях не в православие сушествует ребят а в России это я вам говрию как праваславни христянин из Грузии чя страна одно из первых приняла христианство и мы имеем предстовления о вере и какое оно есть и должно быть,2020-07-02T08:25:08Z,0
14,UgzFDcOTeYiPfMxeFBx4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,Миржахон Азимов,"Ущербное видео, ущербный ведущий, ущербный канал, ущербные люди что поставили лайки под этим видео",2020-07-02T08:23:37Z,0
15,Ugy4oj6TiXKwOBxcphB4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Svetlana Isaeva,Да уж! Слов нет!,2020-07-02T07:43:05Z,0
16,Ugzto-eQeIubgntEYfl4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Oleh Oleh,"Кирихуил самый главный жрец России, с собственным капищем красного дракона- сатаны.",2020-07-02T05:26:04Z,0
17,UgzVxXnaE6tNdFH5WOh4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,Юрий Кудрявцев,"И опять им всё не так, всё не так как надо",2020-07-02T05:07:36Z,0
18,Ugy0FsDL5JRX18kCrUF4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Юрий Кудрявцев,Прям промокславный канал. При Сталине что бы вы говорили?,2020-07-02T04:58:23Z,0
19,UgwSmzVhqxbjMiNu7Mt4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Victor Kryvtsun,"Это храм сатаны - грядёт война Света и тьмы, собственно она уже идёт.",2020-07-01T20:09:08Z,0
20,UgweTy4IQxliHN727zZ4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,Кармир Бокон,шайгу ну блин мальтийский орденопросец  в ж-пу военный а двойник гундяя рост потерял пятки стерлись сильно что-ли?,2020-07-01T19:12:39Z,0
21,Ugy-sHsuNaaqIbdE_zB4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Anna Bystrik,"What it is about: A new ""officially sponsored"" military-religious hybrid temple opens in putin's russia, at the opening ceremony ( 0:56-1:17 ) one can see banners glorifying the former Soviet Union aggressive wars against Finland and the Baltic countries, ( 0:56-1:17 ) one can see closely standing huge numbers of russian troops without masks amid covid-19 around the world, the stairs are made from WWII captured German ""trophy"" military equipment (so in shoigu's words the people would step on the defeated enemies), and the mosaics originally featured stalin, putin, shoigu themselves with a slogan ""Crimea is ours (krym nash)"" (2:05-2:25) but eventually putin got scared of the backlash before elections and said to temporary remove these images in hope the ""grateful"" people will later ask for them  to be re-instated (3:05-3:15); the structure violated RF constitution on the separation of church and state, the funds were partly from forced ""donations"", there is a backlash against the structure, which exclusively devoted to glorify the past imperial victories of Russia/former Soviets, actual or intended, including the colonial occupation wars,",2020-07-01T16:43:40Z,0
22,UgxgLRXdUfTeRAac_AJ4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Людмила Я,"А это не храм богу войны? В преддверии мировой? Которому будут принесены жертвы будущей войны? А кто там короноваться будет, после короновируса? Мистика чувствуется, а не Царство Благодати и Дом Божий. Может быть , я ошибаюсь? Прости меня, Господи!",2020-07-01T15:16:27Z,0
23,Ugy5S5Ai-MDRfjwhCNt4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,Рустем Жаксыбеков,Может это музей военной славы в церковном стиле?,2020-07-01T14:46:24Z,0
24,UgxpZRMilWNmu6cZRaN4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,ЗАМЫСЕЛ 2020,Как их жалко....чем старше тем маразм охватывает мозги....В Библии написано что храмы перед приходом антихриста будут расти как грибы....потом их снесут ....не от Бога все это.....Построила храм и Ванга...но Бог не принял.....,2020-07-01T14:24:31Z,0
25,Ugx72bH9uWLfe2nztLN4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,Иван Мусохранов,"вы думаете, что вы умнее всех,но нет.людям нужны такие события !и люди мимо не проедут. а вы  точно лучше ничего не предполагаете.",2020-07-01T13:55:07Z,0
26,UgydFSgMOjdHrtxeSlF4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,Игорь Варахтин,"Блаженство ноющих сапог
Гиблое дело.",2020-07-01T12:39:25Z,0
27,UgyKmP2SeWW-XDzC0pt4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Олег Кудрявцев,сатана,2020-07-01T09:31:52Z,0
28,Ugy47f7zw8xrtsGuGa94AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Мира Смит,"От одного вида в дрожь бросает!!!Ужас!!!У солдат лица как у заключённых!По собственному желанию,туда никто не зайдет!",2020-07-01T09:03:40Z,0
29,Ugx2unF0oBQKRAaCJgd4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,2,Павел Юрьевич,Извините а где написано что ваш канал Иностранный агент? Вы же пешки запада.,2020-07-01T06:48:58Z,0
30,Ugzs50shPlbeOdJHk5p4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,вл ленин,"А трон из ""игры престолов""там есть?",2020-07-01T06:45:50Z,0
31,UgzShRfHn8lKWvhxupJ4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,1,Иваненко Светлана,"Даже не сомневалась, оплевывать всё и вся Вы умеете!!!!",2020-07-01T05:42:17Z,0
32,UgwCLq_ZgIE2c4uX-b14AaABAg,-zPBfB-Tneg,Телеканал Дождь,15,0,Gail V,Все понятно: зеленый цвет - символ денег.,2020-07-01T02:53:45Z,0
33,UgxuOLcwl30jm2Yak5x4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,1uh,"В этом путинском ""Храме Могильщиков России"" надо фильм ""Вий"" снимать с Путиным во гробу, как Фома над ним три ночи молитвы читает, а Путин каждую ночь встаёт из гроба и Фому схватить хочет: первую ночь по ""Храму"" на ощупь ходит, ища пройти за нарисованный мелом круг; вторую ночь в гробу летает, а на третью вызвал Вия и доконал Фому: поутру нашли Фому мёртвого, бесов, застрявших в стенах и окнах и Путина проклятого в гробу разбитом: с тех пор это место Проклятое, Нечистое, и никто туда не ходит, и службы там не проводят.",2020-07-01T01:52:21Z,0
34,UgziXzsqCzgrWDLWA5x4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,1uh,Храм Могильщиков России.,2020-07-01T01:52:09Z,0
35,UgwD-RMf5eqXOjyj_i14AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Ddos Ddos,"Не Причастились большинство, и военные не исключение, что тут удивляться? Веры мало в народе и она угасает, военные это и есть народ и это лишний раз доказывает наше духовное состояние в народе и армии. А теперь представим сколько людей будет на Богослужении в рядовой день или воскресенье? Думаю мало",2020-06-30T22:13:04Z,0
36,Ugzu3u6rQWVB2YEMkaF4AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Ddos Ddos,"Чесно говоря миллиарды сейчас у нас можно было бы лучше Христа ради потратить на благие дела, людям, нуждающимся например в жилье семьям и мамам одиноким с детками, именно Христа ради например от РПЦ или фондов Православных, и сколько душ бы пришло в Храмы и многие спаслись бы верой. Мы не слышим как говорил Господь, что Бог не в рукотворенных храмах живёт! Да Храмы нужны, там происходит Литургия, и это главное ради чего они стоят, чтобы люди Причащались, но без благих дел и зёрен людей все меньше, а порой и просто пусто. Лучше один Храм битком чем сотня пустых. Мы идём сейчас неверным путём, о том о чем нас предупреждали старцы, Святые отцы, купола золотить будут и храмы строить а народу не будет и это наша вина Православных! Мы не сеем зерна и всходов все меньше! Благие дела Христа ради это те семена которые всхожыдавать будут, а мы все кирпич да кирпич",2020-06-30T22:11:08Z,0
37,UgwzXBnpg-8ZqCNhZ_94AaABAg,-zPBfB-Tneg,Телеканал Дождь,0,0,Ddos Ddos,"Храм должен быть Храмом! В нем в т.ч поминаются все усопшие Христиане, и павшие воины. Зачем изображать в Храме лица наших политиков это как понимать вообще? Они что Святые чтоли? Нет. Это не допустимо.",2020-06-30T22:11:00Z,0
