,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyLeUf5ri-8uM6IitR4AaABAg,0-WCeGFUekA,Максим Кац,69,477,Максим Кац,"Канал растёт быстро, но у всяких конспирологов и любителей СССР каналы существенно больше! Так что подписывайтесь скорее :)",2020-05-14T14:19:51Z,0
1,Ugyn5ah-NUlyUETlfEV4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Vlada Correa,"немного не соглашусь про  бразилию. оф.меры на гос.уровне о карантине были приняты в начале марта . В то же время многих работников конгресса и министерств сразу  отправили работать домой дистанционно. Это произошло буквально сразу, после прилета президента из США, т.к несколько чиновников и  даже оператор  гос.канала слегли с короной. Кстати, суд все таки его заставил надеть маску, но буквально вчера дежурная судья отменила это решение, но только президента. Сопровождаюшиего его ложны ходить намордникм. В целом , вы правы , раньше народ не понимал что и как.  Сейчас более менее устаканилось с ношением масок в стране. Да и Конгрессу все это надоело и они подготовили проект об обязаловке ношения намордника в стране",2020-07-01T22:25:42Z,0
2,UgzRnbilwHJQtHByv294AaABAg,0-WCeGFUekA,Максим Кац,0,0,Наталья Павлутина,Бредит,2020-07-01T20:25:32Z,0
3,UgzHSjDByfpOYM39V5N4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Віктор Тупіков,"В Украине некоторьіе политики, связаньіе с Коломойским (и, по косвенньім признакам, с Россией), топят за отказ от сотрудничества с МВФ и обьявлении дефолта, приводя в пример ''успех'' Аргентиньі.",2020-07-01T15:39:00Z,0
4,UgxmU4OwpU0v0oZfuX14AaABAg,0-WCeGFUekA,Максим Кац,0,0,Oleg13927,"Максим, спасибо за обзор. Хотелось бы что-то аналогичное актуальное на данный момент увидеть и сейчас.
п.с. Когда говорил про Эквадор и сокращение финансирования системы здравоохранения, то упомянул большое сокращение среди докторов. Наверно, имелись ввиду рядовые врачи, а не верхушка научного медицинского сообщества?",2020-06-28T21:32:09Z,0
5,Ugwfz6Ea61Q2BzMujNZ4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Ольга Иванова,спасибо))) комментарий для поддержки канала,2020-06-28T18:25:17Z,0
6,UgwqKioCtKm9GmLcTKt4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Анна Фисун,Почти 300т. подписчиков 🙂 ждём...,2020-06-26T15:45:23Z,0
7,Ugxz5CGl33AxCHvGpgR4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Alex Bogdan,"6:50 НДС платят все, вне зависимости от размера теневой экономики. По этой причине в даже развитых странах борются с ней неохотно: налоги-то идут",2020-06-25T13:59:10Z,0
8,UgwqFKWQRDRFMb83icd4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Soll Ceterce,"4:29
This markup! It's over 9000!",2020-06-17T10:26:13Z,0
9,UgyJzM9MO14h3NdrvRJ4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Все Ровно,ПЁС СМЕРДЯЩИЙ!!!,2020-06-08T10:49:32Z,0
10,Ugy5k_jifhJIIQQuD8p4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Антон Дихтярук,"В какой то момент испугался что слишком много теребонькал. Максим, держи в фокус в норме!",2020-06-05T08:14:31Z,0
11,UgxfpypTcgeSgFc9sZJ4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Multi-M,Классная музыка на заднем фоне!),2020-06-04T10:21:09Z,0
12,UgwCC5ni802LG7rMLdt4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Pavlo Kolobov,"""....как вы можете задавать этот вопрос Аргентине, когда гос. долг Европы вырос на 20%..."" хм..что то похожее я где то слышал)",2020-06-01T07:52:44Z,0
13,UgxKoVWZm2Hc-pX27-t4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Taisia B.,"Слушаешь про Южную Америку, но думаешь ""А не про нас ли речь?!""",2020-05-30T07:18:53Z,0
14,Ugy0pBOTWAylvOkkTJ94AaABAg,0-WCeGFUekA,Максим Кац,0,0,Taisia B.,Комментарий в поддержку вашего канала! Люблю вас слушать :),2020-05-30T07:12:25Z,0
15,UgwwN5NRDULwnwY3Lrh4AaABAg,0-WCeGFUekA,Максим Кац,0,0,Mr.Passerby88,Кто-нибудь знает что за трек играет на заднем плане?),2020-05-28T20:21:36Z,0
