,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyKYgdbSBMWUSJfJg94AaABAg,02GZW6ppdT8,Навальный LIVE,151,967,Навальный LIVE,"Таймкоды:
0:19 В эфире Алексей Навальный или «американский шнурок», по словам Габрелянова.
2:53❗Чудеса по вторникам.
3:39 «Хочу сказать всем чиновникам Калмыкии: ну вы что, издеваетесь над нами? Над вами уже смеется вся страна. Вы просто тупо делаете так, что по вторникам в Калмыкии никто не заболевает коронавирусом».
5:47❗Ч.Т.Д.
10:03 🎥Митинг в защиту Telegram и свободы интернета в Москве.
10:33 «Государство отступило, потому что оно всегда отступает, если сталкивается с действительным сопротивлением» — Навальный о разблокировке Telegram в России.
11:56 ❗Месиво в Беларуси.
13:55 «Любой авторитарный лидер, который находится много-много лет у власти, рано или поздно будет находиться в точке, когда экономика рассыпается».
19:30 🎥Видео, из-за которого против кандидата Тихоновского возбудили уголовное дело.
24:39 🎥Очереди на сбор подписей за независимых кандидатов в Беларуси.
25:22 «Ни на какие честные выборы в Беларуси надеяться не приходится. Сама процедура поставить подпись за кандидата превратилась в акт гражданского мужества».
27:31 🎥Александр Лукашенко об Алексее Навальном.
28:32 «Всех этих кандидатов сажают по беспределу. Это показывает, насколько власть оторвалась, сходит с ума, чувствует себя затравленным зверем и готова просто сожрать все вокруг».
31:52❗Храм бога войны.
37:49 🎥Заместитель министра обороны про фуражку Гитлера в храме Минобороны.
39:13 «Все страны всегда избегали организации любых мест, которые бы могли служить местами поклонения Гитлеру. И только в России сделали место, где любой чокнутый чувак может прийти и помолиться, блин, своему Гитлеру. И это сделали Путин, Шойгу и патриарх Кирилл».
41:27❗Концлагерь для ветеранов.
45:06 🎥Дезинфекционный тоннель для Путина.
45:43 «Для того, чтобы Путину не заразиться, нужны такие грандиозные меры безопасности. А остальные что? Те, кто придет, те, кто участвует в параде, те, кто пойдут на голосование — с ними как?»
46:20 🎥Репетиция парада в Москве.
47:49 Навальный о результатах опроса об отношении населения России к военному параду и празднику Дня Победы.
51:30 ❗Навальный оклеветал ветерана.
51:58 🎥Ролик RT, из-за которого возбудили уголовное дело против Алексея Навального.
55:00 «Взяли старика — у меня нет ни малейших сомнений, что он даже не понимал, в чем он участвует — и сейчас этим стариком торгуют. И будет уголовное дело, и будут за мной бегать».
1:01:08❓«Алексей, правда, что у вас рейтинг среди поколения 40+ выше, чем у Путина?»
1:03:45❗Путин и ЕР за нищету для ветеранов.
1:06:48 🎥Алексей Навальный о повышении пенсий для ветеранов — участников ВОВ до 200 тысяч рублей: https://youtu.be/qog1VmRGc6U
1:09:15 «Это очень уязвимый для них момент. Потом на каждых выборах, в каждом удобном моменте мы должны сказать: „Святость святостью, а как насчет пенсий ветеранам?“».
1:11:33❗Идти или не идти?
1:15:27 «Самая главная ошибка заключается в уверенности, что все вокруг понимают, что это голосование — за обнуление Путина. Нет! В информационном пространстве, где существуют 60% наших сограждан, вообще не звучит тема обнуления».
1:19:31 🎥Репортаж о реальной ситуации с коронавирусом в Татарстане.
1:24:14 🎥Обращение члена УИК из Новосибирска.
1:32:12 «В сентябре в 31 регионе будет настоящее голосование, на настоящих участках, с настоящими кандидатами, с наблюдателями. Давайте там участвовать и мочить ЕР».
1:33:06 🎥Глава штаба Навального в Новосибирске и представитель коалиции против единороссов Сергей Бойко о предстоящих выборах.
1:35:29❗Вступили ли в силу поправки?
1:37:37 🎥Элла Памфилова о легитимности поправок.
1:42:33 ❗Сушит ли власть протестную явку?
1:44:43 «Власти важно, чтобы вы пришли. Подделать результат можно, а подделать приход людей очень сложно. Дело не в легитимности, а в том, что Путину хочется».
1:46:11 Навальный объясняет на уточках, как будут фальсифицировать «всероссийское голосование».
1:53:58 🎥 Обращение движения наблюдателей «Голос» в Нижнем Новгороде. 
1:54:48 «Можете пойти или не пойти, самое главное — не признавайте и не заблуждайтесь. Здесь нет и не может быть параллелей с другими выборами».
1:55:46 ❗Виноват ли Гном Гномыч?
1:56:56 🎥 Агитационный ролик фигуриста Евгения Плющенко и его семьи за поправки.
2:00:28 «Дорогой Евгений Плющенко, вы же торгуете своей семьей и этим несчастным Гном Гномычем. Вы взяли украденные деньги и торгуете будущем своей страны и своего ребенка».
2:02:16❗#СвободуНаливкину
2:03:50 🎥Видео, за которое арестовали актера, сыгравшего Виталия Наливкина.
2:05:23 🎥Автор проекта рассказывает подробнее о ситуации с арестом актера.",2020-06-19T08:57:32Z,0
1,UgyW5y8n-PoBuSAke7B4AaABAg,02GZW6ppdT8,Навальный LIVE,1,0,NatalieNazar,"Сука, Алёша, ты мне вчера приснился и я во сне подошла и в табло тебе кулаком зарядила)))... Вот бы наяву, а?... Что ж такое, не попадаешься...",2020-07-02T14:52:44Z,0
2,UgyW5y8n-PoBuSAke7B4AaABAg.9AbhbDdx03Z9AcpYT6Ps7C,02GZW6ppdT8,Навальный LIVE,0,0,Deep hug,"Почему Илья Соболев больше похож на Яну Рудковскую, чем сама Яна Рудковская?)))",2020-07-03T01:21:21Z,1
3,UgyldmCvjDvr2rzk7ap4AaABAg,02GZW6ppdT8,Навальный LIVE,1,0,Дмитриий Альбрандт,"Смотрю первый раз, хорошо. Но Ваши PR-специалисты работают плохо. Содержание отличное, но подача информации неудовлетворительная. Вы смотритесь ни как лидер, а как агитатор, доверенное лицо кандидата. Объем передачи также должен быть короче, каждая тема должна звучать отдельно, а так теряется каждая важная, отдельная тема, у зрителя нет времени подумать и ""переварить"" информацию. Спасибо.",2020-07-02T06:39:22Z,0
4,UgyldmCvjDvr2rzk7ap4AaABAg.9Aap8iZX6eB9Aar6ZlV9u1,02GZW6ppdT8,Навальный LIVE,0,0,Charming nowhere to hide,"Своими действиями они оскорбили не только чувства верующих, но и чувства атеистов.",2020-07-02T06:56:33Z,1
5,Ugw3d0IsZRqgpgHkdmR4AaABAg,02GZW6ppdT8,Навальный LIVE,1,1,Иосиф Сталин,Фуражка гитлера ????? А мощей гитлера там случайно не сохранилось ?!.,2020-07-01T20:01:19Z,0
6,Ugw3d0IsZRqgpgHkdmR4AaABAg.9A_g7ZBVUb09Aar9q7oxrR,02GZW6ppdT8,Навальный LIVE,0,0,Charming nowhere to hide,"Почему Илья Соболев больше похож на Яну Рудковскую, чем сама Яна Рудковская?)))",2020-07-02T06:56:59Z,1
7,UgzKpLR6dGtL6ZlonXJ4AaABAg,02GZW6ppdT8,Навальный LIVE,1,1,Иосиф Сталин,"Присосались суки к власти, не оторвёшь пока не порвёшь !",2020-07-01T19:52:36Z,0
8,UgzKpLR6dGtL6ZlonXJ4AaABAg.9A_f7hLRWts9AcpbOrngCd,02GZW6ppdT8,Навальный LIVE,0,0,Deep hug,А может они не со зла? Может они просто безмозглые?,2020-07-03T01:21:54Z,1
9,Ugxk1laW1g7rKpJKAfJ4AaABAg,02GZW6ppdT8,Навальный LIVE,0,0,jan,navaljnij izcheznji,2020-07-01T18:55:57Z,0
