,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyyI3mSg9cpF2cWJGp4AaABAg,0KtKW3YdeCs,Максим Кац,42,482,Максим Кац,"Распространение, лайки и подписки с колокольчиками помогут нам попасть в тренды :). Так что подписывайтесь",2020-05-08T13:28:29Z,0
1,UgyZ8tVhgeU1ca7MF_B4AaABAg,0KtKW3YdeCs,Максим Кац,0,0,Павел Терновой,"Максим, спасибо за материал, нашел вас недавно и вы стали номер один журналист/блогер для меня.",2020-07-01T15:04:59Z,0
2,UgzlMJBkTBE2vo4chQV4AaABAg,0KtKW3YdeCs,Максим Кац,0,0,Razumist,"зачем же кисилева и рт сравнивать с фашистскими пропагандистами? бред. у США, Британии есть свои америка тудей и британия тудей, где они тоже много что вещают для многих стран с определенной целью",2020-07-01T10:07:01Z,0
3,Ugwy3k2lQr--xyDK6eR4AaABAg,0KtKW3YdeCs,Максим Кац,0,0,Местный,"К Хёссе приложено фото его тезки, бежавшего в Британию",2020-06-28T18:19:52Z,0
4,Ugy2OV8edJ5uzyV_QBF4AaABAg,0KtKW3YdeCs,Максим Кац,0,2,Роман Пчелинцев,Скобеева будет на промке робы штопать,2020-06-27T18:22:33Z,0
5,Ugxv3PpU8T_P9Kmdqjx4AaABAg,0KtKW3YdeCs,Максим Кац,0,0,Дмитрий Ошкин,"14:30 вместе Хёсса, (Höss) коменданта концлагеря показано фото Рудольфа Гесса (Hess) - совсем другого персонажа. Серьёзная лажа. 
Ещё фраза ""смертельный приговор"" повеселила. Надо устранять такие мелкие косяки.",2020-06-27T07:33:12Z,0
6,Ugxxu0ZyXi5omlC-t2Z4AaABAg,0KtKW3YdeCs,Максим Кац,0,0,Дмитрий Ошкин,а почему Германия - страна агрессор по отношению к Британии? Разве Гитлер нападал на Британию?,2020-06-27T07:29:40Z,0
7,UgxYmBeqzMX0-2doBrx4AaABAg,0KtKW3YdeCs,Максим Кац,0,0,Денис Уткин,"Спасибо! Как приятного видеть грамотную и отчетливую речь, базирующуюся на аргументах и фактах (особенно исторических)
Интересно было бы с Вами работать!",2020-06-25T14:40:12Z,0
8,Ugzgz7ArwYXlhVdMBGR4AaABAg,0KtKW3YdeCs,Максим Кац,0,0,Brabuz Brabuzov,Pidoryi,2020-06-24T22:05:33Z,0
9,UgzT7OuoN_zWL81Cec54AaABAg,0KtKW3YdeCs,Максим Кац,0,0,אלכסנדר ירמולונקו,"Лени Рифеншталь получила награду от Путина. Кто помнит её ""Триумф воли""?",2020-06-24T18:32:00Z,0
