,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzqIYnKun7_kM-66Dt4AaABAg,0QY4pInhZHs,Навальный LIVE,28,248,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1trdxHxrrkPEn_zIRaQq5S8nNEhiGj23YnTAhPn3N2E0/edit,2020-05-18T21:33:14Z,0
1,UgzV2AYBpBCKFW0k3Ex4AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Август Август,"Не переживайте, путин помрёт в день голосования 😝",2020-05-25T15:40:22Z,0
2,Ugy1DZ8eRmYRqTo8KFN4AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Вова Пукин,НЕ сексуально,2020-05-24T20:45:48Z,0
3,UgyAYJPSK-KQgZ2gsv54AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Махач Арийский,"Ты моя Любовь, стань президентом Дагестана ❤️",2020-05-24T13:04:19Z,0
4,UgyT59eTX-i8mk7UV054AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Пани Оле,"Аллах забрал...видимо не были вписаны в книгу судеб (С). теле - ""доктор"" Мясников.",2020-05-22T18:17:36Z,0
5,UgwguYNzAH9gS73CDqR4AaABAg,0QY4pInhZHs,Навальный LIVE,0,1,IRINA ASMR SOAP,*Лайк если любишь похожее видео* 👌,2020-05-22T14:57:55Z,0
6,Ugy5PVVL9tSOVOKSz_R4AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Рэй Каруто,"Бешеный зверек опять лжет и стонет. Минус, однако.",2020-05-22T10:18:20Z,0
7,Ugw2XEN3Fqw1QE_u3n94AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,New No,"органы статистики всячески снижают смертность от короновируса, чтоб снова (как в СССР) всему миру ""показать"",что "" мы впереди планеты всей!""... 
в РФ самая крепкая медицина... 
в РФ самое хорошее образование... 
в РФ самые хорошие условия для пенсионеров (для зарубежных пенсионеров с их большими пенсиями) ...
-----------------------
""Миллиардеры из Китая, Великобритании, США, приезжайте в РФ, у нас вам рады"" - так ""говорит"" им Пупкин, занижая нашу статистику по смертям от короновируса...
-----------------------------",2020-05-22T09:30:56Z,0
8,UgykI-d8fEdXjXD6APl4AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Шамиль Халилов,Я как Дагестанец буду голослвать за Навального!!!,2020-05-21T21:37:35Z,0
9,UgyZWHnDnUpbCLCyMWt4AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Джессика Тайлер,в РФ этот «узбекский миллиардер « усманов ни копейкой не помог во время короны,2020-05-21T20:40:09Z,0
10,UgwHlt_wiYmRkDQKWz54AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Vasya Oblomov,"Да блин зачем она повторяется, по 2-3 раза говорит одно и тоже. прям бесит эта вся тавтология.",2020-05-21T17:15:23Z,0
11,UgzPM2r2Q51HhFP0MqF4AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Evgen K.,"и один же хрен подтусуют результаты, сделают так что большинство типа ЗА. 😡🤬",2020-05-21T15:53:17Z,0
12,UgxamDvb2jH2JYTh-pJ4AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Evgen K.,"конечно он не скажет, что он может сказать что они обосрались.",2020-05-21T15:41:52Z,0
13,UgwtdAUveGy25L_YZax4AaABAg,0QY4pInhZHs,Навальный LIVE,0,0,Патриот Родины,"Ну что ж вы тут то пишите. Выходите на улицы,митингуйте и т.д. смешно читать диванных. Стыдно. Вставай и просыпайся страна",2020-05-21T14:09:53Z,0
