,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwmulaTdGpb0XnHXp14AaABAg,0gQL68Kj0DM,Максим Кац,271,799,Максим Кац,"Распространяем видео — про сталинизм много мифов, из-за этого к Сталину хорошее отношение у многих, даже молодых, россиян. Если бы они знали что там на самом деле происходило — относились бы иначе.
Проект Последний Адрес с табличками репрессированным: https://www.poslednyadres.ru",2020-06-23T14:28:35Z,0
1,Ugwzg0PIbbSpHtezuQx4AaABAg,0gQL68Kj0DM,Максим Кац,0,1,Ixedud,Что про послевоенный совок? Иезуитский однобокий  рассказ только про довоенный совковый террор,2020-07-03T12:00:22Z,0
2,UgymutM-2Dr8gaEYyPx4AaABAg,0gQL68Kj0DM,Максим Кац,0,0,Vladimir Makarov,Спасибо  Максиму за интересное видео. И коту за то что несколько разбавил собой тему Сталина )),2020-07-02T12:51:30Z,0
3,Ugw7a4T7iWZL8TAflnh4AaABAg,0gQL68Kj0DM,Максим Кац,0,1,Андрей Андриянов,"Мою бабушку сослали в Сибирь просто за то что в первые годы войны их деревня была оккупирована немцами. Некоторые родственники по ее линии до сих пор живут в Сибири.
И к слову про извергов фашистов, немецкие солдаты мирно жили в избе моей бабушки и не трогали женщин, помогали нянчить детей.",2020-07-02T12:44:15Z,0
4,Ugw_Q29Mk07S226Khy54AaABAg,0gQL68Kj0DM,Максим Кац,1,0,Данила Дорохин,Ссылки на источники? Документы? Зачем? Давайте верить на слово. 200 вагонов метро расстрелянных. Просто поверьте! Так и было.,2020-07-02T12:16:09Z,0
5,Ugw_Q29Mk07S226Khy54AaABAg.9AbQgRp9u0z9AcQHVRcIel,0gQL68Kj0DM,Максим Кац,0,0,Lexx Lexx,"А потом вы скажете, ""Где свидетели? Нет свидетелей, значит ничего и не было""",2020-07-02T21:31:51Z,1
6,Ugzut7ogp6sjBHVQFZZ4AaABAg,0gQL68Kj0DM,Максим Кац,10,0,Данила Дорохин,"""Большая война за мировую революцию"", ""СССР потерпел поражение от крошечной Финляндии"". Прошло три минуты от ролика, а уже столько сенсаций, что же ещё интересного поведает Максим, поражение в Великой Отечественной?",2020-07-02T11:16:31Z,0
7,UgwzEcAovJolUG4CIe14AaABAg,0gQL68Kj0DM,Максим Кац,0,0,Дарья Лукашина,"Максим, про Троцкого бы также!!!!",2020-07-02T08:30:51Z,0
8,Ugyi_XTLCfFSxwpy8G94AaABAg,0gQL68Kj0DM,Максим Кац,0,1,maxtaste,"Насколько же интересно он рассказывает...Таких бы ребят в школы на уроки истории... Спасибо, Макс, за то, что делаешь! Успехов в творчестве!",2020-07-02T08:29:01Z,0
9,UgwkLKoiOiDHfH_2ZsJ4AaABAg,0gQL68Kj0DM,Максим Кац,0,1,cash money,Это видео полезно кому нравится коммунист Бондаренко.,2020-07-02T08:19:45Z,0
10,UgzKUZqMsfSEykxi0sJ4AaABAg,0gQL68Kj0DM,Максим Кац,0,1,Алекс,Кац создает впечатление адекватного человека когда говорит о текущей политике но как только начинает говорить о советском периоде - от его адекватности ничего не остается.,2020-07-02T02:35:53Z,0
11,UgyReaPQpHDJyDdJcX94AaABAg,0gQL68Kj0DM,Максим Кац,1,0,Евген,"О, время новых охуительных историй о злых совках и кровавом Сталине от интеллектуала Максима Каца.
Больше трупов, Максим! Как это нет точных цифр о жертвах? Уже давно известно про 100 миллионов невинно убиенных.
Почему ссылки только на какой-то фильмы? Где Солженицын? Ну или творчество Говорухина на худой конец?
Статьи прикормленного властью экономиста  Гуриева недостаточно. Необходимы тезисы Чубайса и Гайдара еще, они уже давно все придумали, зачем тут велосипеды изобретать.
Максим, не доработал...",2020-07-02T00:20:10Z,0
12,UgyReaPQpHDJyDdJcX94AaABAg.9Aa8kQ5-EI29AazRr6uYG5,0gQL68Kj0DM,Максим Кац,0,1,Mr Lindemann,"ну да из-за гения Сталина голода же не было, при Сталине вообще смертность была 0, это все диссиденты придумали, и высшая мера наказания была при Сталине штраф .",2020-07-02T08:09:21Z,1
13,Ugzrb9QoWchGPzfEFMt4AaABAg,0gQL68Kj0DM,Максим Кац,0,1,Владимир Михайлов,"Вот все мы прекрасно понимаем, что это наше прошлое.
И из него надо делать выводы. Нужно принять эту историю и идти дальше.
Какого бы политика не возьми, то всегда идет отсылка на репрессии, на 90ые, на развал союза и т.п.
Но ни один политик не пытается оценить трезво нашу историю, отстраниться от событий 30и, 50и и 100ей летней давности, вынести уроки из тех или иных событий.

К слову о репрессиях, всё это носит манипулятивный характер.
Где ссылки на документы, констатирующие эти факты. Мы живем во время, когда история искажается намеренно.
В этом видео, кстати, очень метко было замечено, что всё сводилось к бюрократии.
Мы прекрасно понимаем, что факты сих деяний могли быть завышены искусственно. 
Опять же, как и увеличение планов и т.п. (опять же в угоду устрашения и большей покорности населения)

Возьмем сегодняшнюю действительность.
Наша власть идет по точно таким же стопам, что и сталинская. Только главными приоритетами стало личное обогащение.
На этом фоне мы видим такие же шаги, как и при том же раскулачивании:
Любые протесты с каждым днем подавляются всё жестче.
Постоянное изъятие у бедного и среднего классов личных накоплений и средств в виде налогов, растущих тарифов, штрафов.
Принятие абсурдных и кабальных законов, один из последних законов говорит об изъятия земельпных участков для государственных или муниципальных нужд.
И это только верхушка айсберга.

Лично мое мнение такое, что нужно помнить о прошлом, уважать его, видеть ошибки и делать из него выводы.
Но, в первую очередь, думать о сегодняшнем дне, менять существующую действительность, в том числе постоянно указывать власти на ошибки.",2020-07-01T18:42:17Z,0
14,UgyldfsDq59ebS3bgO14AaABAg,0gQL68Kj0DM,Максим Кац,1,0,Евгений Силин,Макс до меня сейчас только дошло.КАЦ.Ты то его за что так люто ненавидишь?Если бы не он у вас своего государства не было бы скорей всего до сиех пор.у тебя предков никого не было бы если бы не победа достигнутая в том числе и индустриализацией.Насчет 32-33 года.Поучи историю хоть маленько.Колхоз не колхоз а жара два лета стояла такая что москва 2010-отдыхает.Зерна ПРОСТО не было.А насчет проекта последний адрес-благородно но насквозь политично.Сталин плохой-Путин хороший.,2020-07-01T14:53:27Z,0
15,UgyldfsDq59ebS3bgO14AaABAg.9A_7t_NS5kN9Ab4_OkEPXk,0gQL68Kj0DM,Максим Кац,0,0,Lexx Lexx,оба хуже,2020-07-02T09:02:57Z,1
16,UgwudQePrMkIcBmTgfJ4AaABAg,0gQL68Kj0DM,Максим Кац,2,0,Алексей Андреевич,"Смотрю начало.  ""...для большой войны за мировую революцию..."" - разве за форсирование революции в развитых капиталистических странах не выступали Троцкий и ""левая оппозиция"" (следуя в этом взглядам Ленина)? Разве Сталин как раз не был автором концепции ""социализма в отдельно взятой стране"", как гарантии стабильности его личной власти и бюрократического режима в целом?",2020-07-01T14:51:26Z,0
