,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgykvESayvqpI7XHC3R4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Федор Ботнарь,Путин обманул и опять обманет народ. Для  него народ никто .Постоянно врёт.,2020-07-02T20:44:13Z,0
1,UgwzIykir0fvzyrLYyN4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,bearg,"Путин передает благодарность за повышение процента ""ЗА""",2020-07-01T17:53:09Z,0
2,Ugzcqwq6QdaAfeF4j9h4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Грендель Пещерский,"Вот поторопились, даже забыли, про пандемию, хотя все это растет, снижают показатели. Вот, жадность, вот бандюги.Стыдно, что в 20-м веке, приходится под ними жить, ВСЕЙ СТРАНОЙ, стыдно и позорно... А про ""ВОВ"", хвастаются, что наш сплоченность народ и победил войну, да и все предыдущие... Хрен в стакан, получается, все это бред и миф. Мы ссылки во всю и сидим, терпим и наблюдаем, что за испытания нас ждут... А главное, не всех нас с правителями, а нас обычный народ.... 😪",2020-06-27T19:08:01Z,0
3,UgytopsaAQwiQhTkRDR4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Екатерина Бурова,"Все наши голоса против станут голосами за, вы же эту кухню знаете, только бойкот!",2020-06-27T16:37:12Z,0
4,UgzoGbHidIuQyP8TqIt4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Екатерина Бурова,"Все поправки  незаконны, но правительство решило у нас ""разрешение спросить"", ну что ж  мы им ответим, против, мы будем бойкотировать! А чтобы пресечь произвол на УИК - присоединяйтесь к независимым наблюдателям: constitutions/./observer  (копируйте ссылку, убирайте слэш, регистриуйтесь  - сроки ограничены до 1 июля!!!!",2020-06-27T16:35:29Z,0
5,UgyeoZoo8P2Ve-s68H14AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Тима Кутуров,"Я за поправки . Те люди которые против поправок .Вы вообще читали какие поправки войдут в Конституцию(читайте не на левых сайтах ,а на гос услугах)",2020-06-26T12:43:39Z,0
6,Ugxol6vGXep0p8e-6-R4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,андрей чап,Ну что значит не ходить это бред. Нужно идти и голосовать ПРОТИВ!!,2020-06-25T19:36:09Z,0
7,UgyUL5m-ax7hrN19o1x4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Валентина Ревкова,"Есть ли какой сайт, где люди прямо выскажутся ЗА или ПРОТИВ и потом посчитать? Коментарии коментариями...нет единства в голосовании..",2020-06-25T10:49:44Z,0
8,Ugx2y3SZOlwWyu4Cgtd4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,1,Дмитрий Чибриков,Я думаю толку што я приду что я не приду они за нас всё решыли,2020-06-25T10:27:20Z,0
9,UgzZqLod4_rRnPlCrBl4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,1,Рагим Джафаров,Народ против изминени канституция СССР и России,2020-06-25T05:16:32Z,0
10,UgzY-DInEcCVReflIOR4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Инна Изотова,"Путин решил, что самый продуманный, но все убедились, что безнравственный. Народ  мудр и повернёт на дорогу правды и добра",2020-06-25T04:08:38Z,0
11,UgxFKMKi-vDdjmb8W4R4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Telefonru Samsung,Молодец!,2020-06-24T13:08:30Z,0
12,UgxQb2Qih_9kmx2Pxn54AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Вадим Карпичев,Свободу Платошкину !,2020-06-24T07:01:09Z,0
13,UgxdCu44R_QCPVqe3vF4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Вадим Карпичев,"Против пыни ! Против узурпатор
ской власти !Против ограбле
ния народа ! За Социализм !",2020-06-24T07:00:38Z,0
14,UgzL9CDRRFy08nTYEjp4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,ЗАРАБОТОК В ИНТЕРНЕТЕ,"Была в команде приспешников Навального! по работе пришлось... Люди , остерегайтесь их!  со слов его последователей "" у Ленина были руки по локоть в крови, у нас будут  по плечи""",2020-06-23T15:22:48Z,0
15,UgxIPzqT9r9vcXdVvf14AaABAg,0uoj0yE8QQI,Навальный LIVE,0,1,Дареджан Ломтатидзе,👏👏👏👏👏👏👍🏽👍🏽👍🏽👍🏽,2020-06-22T23:28:23Z,0
16,Ugz9Mmnc5maXzFNqYm94AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Serguei Nemitchev,Мне в центре питера жильцы соседи отрезали антену из вредности. И ростелеком не хочет восстанавливать соединение  хотя япользовался несколько лет и не имел никаких долгов,2020-06-22T19:13:15Z,0
17,Ugy0RZ4vQSfpUfFyi-h4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,1,Мария Котик,Лучше не ходить на голосование,2020-06-22T18:20:56Z,0
18,UgxPGY5eLiFp9e8NQF94AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Розалия Сулейманова,"А мне кажется, что дело даже не в обнулении - он бы выбрал для себя более удобное время. Дело в превышении ""российского права"" над международным. Узаконивание российского беспредела, возможность пересажать всех неугодных",2020-06-21T12:02:58Z,0
19,UgzuVUuqiXWc07XohXx4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Илья Иванов,Мы против поправок!,2020-06-20T21:10:27Z,0
20,UgzK4JsaaIBNK4f8WPF4AaABAg,0uoj0yE8QQI,Навальный LIVE,0,0,Александр Нонов,Идти голосовать против призывают кремлеботы ! Не идите голосовать !,2020-06-20T13:16:37Z,0
