,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzTV7kAI-naMaL9muF4AaABAg,0xuoRe8mjkI,Навальный LIVE,52,348,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1lOZBwtm-XFQgTtoWpKKoZ7bLiT5soNHFqg7BiWqKFcM/edit,2020-05-12T22:03:01Z,0
1,UgzysP6U41EWkadEexl4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Егор Глазатов,Когда у Вас насморк закончится?,2020-06-04T01:08:11Z,0
2,UgxW58SjgfgmQJrQgW54AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Корниловец,крым то чей?,2020-06-03T09:56:32Z,0
3,UgxRX2e_Qfc2kcz7_np4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Мила Липнер,"Может быть отдельно расскажете про то, что в этой выплате массово приходят неправомерные отказы опекунам и усыновителям?",2020-05-30T19:05:10Z,0
4,UgxSOwJ8NB4OPJh1HyN4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Гарик Асланов,"Прекрасная речь ""Царя"" РсталаТупойФ!
Главное обьявил выплаты безработным,размер пособий,а получить их...эээ нетушки,идите сами и достучитесь((
Не достучались т.к. карантин,не впускают к в офис,толпы людей стоят возле зданий МФЦ ЦЗН и ПФ,люди с горем пополам дотягиваются до них дабы получить хоть копейку,заботливо аш до мурашек)
Пока зарегистрируеш Госуслуги,и не факт что получится,ведь если есть давно забытый старый,то заново ниче не получится,МФЦ в этом вопросе напроч отказывается помочь,ели удалил старую и новую регистрацию.
Потом надо потвердить данные,что было не просто,затем заполняеш заявление на Портале Работа России,получилось так что случайно отозвал заявления,и прочитал тех помощь портала,что надо звонить ЦЗН,они таким образом отказываются помочь и посылают на портал.
Туда сюда крутят вертят,в конце концов полностью все удалил,и на Госуслугах и на портале,сделал все заново,отправил статус ""Зарегистрировано"",но пособий так и нет,к сожалению вместе с работой((
Сервер гавно!Тех помощь фуфло!
Все против народа!
Многие есть с такой же проблемой которая у меня возникла,а кто то получил пособия в размере 3500 вместо обещанных 12130)
Тем временем,бывший гражданин России а ныне гражданин США,мой товарищ,получил 1000 дол,причем ничего не заполнял,не тратил свои нервы,а недавно доп выплата сверху 500 дол,хотя чел живет за городом не в самом Нью-Йорке))
Смешно как губят людей,причем уже настолько в наглую,что нерв не хватает!!!!",2020-05-25T22:50:27Z,0
5,UgxAGIKx-gJ65e0zg2x4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Аз Ор,"регина была права. жаль ,что испугалась феминисток",2020-05-23T10:08:39Z,0
6,Ugxy3lRWuLN760YPFRN4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,World of Games,"Сплошной популизм и трёп. 5 шагов, полная чушь! 10,2 трлн списать за 3 месяца. А дальше на что экономику вытягивать? Еще не известно, сколько продлиться эпидемия и сколько из кризиса будет выходить мировая экономика. Почему в данном ролике не говориться где дальше деньги брать, или что, как в 90-х, заграница нам ""поможет""?",2020-05-20T03:28:27Z,0
7,Ugy_XVsQ209gRFCYo4N4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,SukhoiSuperjet 100,"Навальный... оказывается не все так, как ты говоришь. Наше достижение России  SSJ-100 имеет колоссальный успех.
1. Airbus и Boeing терпят крах своей дуополии.
2. Аэрофлот эксплуатирует  RRJ-95 чаще всех своих самолетов.
3. Азимут вышла на третье место в России по количеству рейсов.
4. 60 лайнеров перейдут в авиакомпанию Red Wings.
Это не Суперджет не востребован, а ты Навальный.",2020-05-18T13:22:56Z,0
8,UgwvFbojJN7eYILtomp4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,кирилл барагузин,"Вот и выделить этой корупционной морде 10тыс рублей, как матерям с детьми.",2020-05-18T09:54:06Z,0
9,UgzLcbpGwHJNS6AWhUd4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Виталий Касьянов,"Когда Мосгоризбирком обнаружил, что за одиозного кандидата «подписывались» мертвецы, ее не допустили до выборов......",2020-05-17T22:16:49Z,0
10,Ugy7YvJIgp3heSt03RJ4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Виталий Касьянов,"Не найдя достаточной поддержки среди москвичей, Соболь принялась подделывать подписи избирателей......",2020-05-17T22:16:37Z,0
11,UgyT5GGTFIVD0PlUBY54AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Артур Никоноров,Ребенка зачем била?,2020-05-17T22:15:55Z,0
12,UgxVTLqdSfI44mr6iuR4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Артур Никоноров,Тебе ли квакать про домашнее насилие?,2020-05-17T22:15:44Z,0
13,UgxnEEpuUm3NAn61eSJ4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,ibrahim Ghudi,"Самым рациональным решением вижу продажу Роснефти, пока она чего то стоит. Лучше брать с неё налоги, чем кормить.",2020-05-17T09:04:41Z,0
14,UgxDz8EhYPFcm_h_WY94AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Человек Загадка,"Да потому что,люди как ходили так и ходят смысла в самоизоляции  не было !",2020-05-16T23:06:04Z,0
15,UgzRZ6qdAFS85P5f5lF4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Константин Алаухов,"Бедный Сечин, как же не помочь. А если что, у нас последние трусы есть. Да и в рабство продать можно.",2020-05-16T20:33:20Z,0
16,UgzvWMDhEbB8QHCpd5J4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Propaganda TV,сечин - это мокрица многокилометровая на теле нашей родины.,2020-05-16T18:12:09Z,0
17,UgwOdVLvK91wQc5d-Ex4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Propaganda TV,"с 12 числа путанга о менил короновайрус. какой молодец.  🤣
пс. сидя в бункере",2020-05-16T18:04:41Z,0
18,UgwPCTph9H0lfxL2Cjt4AaABAg,0xuoRe8mjkI,Навальный LIVE,0,0,Te4enie Time,"Ну допустим выдали $ народу.
1) На следующий день цены выросли на 20%. Все торгаши моментально прореагируют.
2) у нас все товары иностранные. Т.е. ещё 30-40% уйдёт другим странам. Техника -Китай, пиво-сигареты- на запад. Одежда - Китай, Бангладешь.
3) получается в РФ останется в лучшем случае 20% всех выданных денег + огромные цены.
4) даже эти 20% денег коммерсанты не будут выводить с банковских счетов. Скорее наоборот, припасут их на чёрный день, выведя в афшоры. И никто им ничего не сможет предъявить.
5) в итоге продуктов и товаров в РФ нет (они все из-за границы), дефицит в стране + Цены выросли + денег нет у простого населения и нет у государства. 
Это будет пиздец России. И этот пиздец мы сделаем своими же руками и деньгами.",2020-05-16T18:02:10Z,0
19,UgwgJEYg9VV4lvvEJnN4AaABAg,0xuoRe8mjkI,Навальный LIVE,1,0,Джок Токк,"Программа ""5 шагов"" заслуживает внимания, но вопрос от Ксении Собчак по поводу выплат всем без разбора был вполне разумным. Вы тут также приводите слова Владимира Путина о том, что выплатить должны всем, кто НУЖДАЕТСЯ. В видео утверждаете, что никаких критериев не должно быть и упоминаете слова Ксении Собчак, но потом соглашаетесь, что единственным условием является ""НУЖДА"". Почему вы не соглашаетесь со словами Ксении Собчак? Увидел только одну ненависть к ней в дебатах. Это же не будет означать, что вы перешли на другую сторону или ещё что-то плохое. Вы же за справедливость и честность. А пока получается, что вы юлите. Вы же таким образом придёте к тому же, что имеем. Не сочтите за грубость.",2020-05-16T07:32:08Z,0
