,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxRfR4a_Be5hgHiYll4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Пили Грим,Рабы счастливы за жизню мрот в рот а прибыль сбережение на кайф калифам на час...считают благом систему эксплуатации,2020-06-28T06:15:52Z,0
1,Ugw8WYRZa0d9I7yriYB4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Кирилл Григорьев,"Есть где можно подкачаться, пожрать, но не по лечится, почему не говорят об этом?Что самое главное тусить и жрать?Плановые операции не делают ни где, даже платно.",2020-06-27T13:17:40Z,0
2,UgzYqa7BpjyQRq-1N1x4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Dmitry Smithy,"Странная клоунада, ведущий будь более серьёзным",2020-06-27T08:42:03Z,0
3,UgxUsPxcwUEG-RAcSMR4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Alex Mann,К логопеду бы ему,2020-06-26T14:29:02Z,0
4,UgwQbvAIYKNC2Ge29KV4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Blue Whale,"Опять реклама... Уверен что в большинстве клубов никто тебе ничего измерять не будет и вообще всем похуй уже давно на корону в москве. Это становится очевидно когда выходишь на улицу, где 90% людей без масок и не соблюдают дистанцию.",2020-06-25T10:36:29Z,0
5,Ugx8D1QgJrvGOspqobZ4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Lgleon Lgleon,Макдональдс и еда понятия несовместимые..,2020-06-25T04:23:54Z,0
6,UgxfvQUHz_kjiyaWvAt4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,вася пирокатехинов,Первым делом надо было приехать к логопеду,2020-06-24T19:07:44Z,0
7,UgxxKp6OqaHC0eu98AR4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,roman chubarov,"Вот для 1 июля и открыли,я так и думал что 22-24 откроют. Числа 7 июля скажут, что ситуация постепенно ухудшается и нужно все закрыть. Кругом ложь и обман со статистикой короновируса. После 1 июля столько новых заболевших появится,аж страшно.",2020-06-24T18:28:57Z,0
8,UgzZxkO57sO3WFW2FAx4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Sergej Pugach,"А есть такие, которые с температурой попрутся качать мышцу? Таким надо качать мозг и в другом месте.",2020-06-24T18:11:26Z,0
9,Ugw_kGv9L-HhZO3swWV4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Ordo Malleus,Бл ну почему каждый второй журналист - КАРТАВЫЙ??? 🤦‍♂️,2020-06-24T18:06:25Z,0
10,Ugy1PnGY4TwV92YEdpB4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Любовь Жорник,Ведущий француз?,2020-06-24T15:12:50Z,0
11,Ugy7-XO942maa8C6NoV4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,1,My GoPro Life,"*какие-то понты, а не репортаж*",2020-06-24T14:25:20Z,0
12,UgxabRt82xWs9IhZcJt4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,1,My GoPro Life,*И ЧО?*,2020-06-24T14:22:59Z,0
13,UgwWVJOPraVDkQBoxJd4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Лилия Лилия,Клоунада продолжается,2020-06-24T14:19:11Z,0
14,UgxUdMH91EETZNreBDZ4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Лилия Лилия,Сколько клоунов ходит за свои и не только большие деньги в этот фитнес,2020-06-24T14:18:41Z,0
15,Ugx5HDXe3g1fnps0sgB4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Vetkhov Ilya,реклама от начала и до конца,2020-06-24T11:24:02Z,0
16,UgygOcNQ9bESv3P2I4B4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Pavel,Реклама World Class?,2020-06-24T09:54:54Z,0
17,UgzRYMFhzVAJbxowFat4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Владимир Костин,и Я   хочу чтоб Вы были,2020-06-24T09:35:38Z,0
18,Ugyo8Lw3XEXpIrGhPsx4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,1,Владимир Костин,Вы не дождь Вы слякоть,2020-06-24T09:24:38Z,0
19,UgyeVZXhSHWv2HByl4Z4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Иван 123,Репортаж неочем,2020-06-24T08:46:43Z,0
20,UgwPyBeIyq6oDRwSIuN4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Monte Cristo,Этот журналюшка вечно рекламой занимается,2020-06-24T08:13:18Z,0
21,Ugyz-x1cjcrFw3k881h4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Артур Юсупов,"Как же я рад, что наконец-то Москва вернулась в обычный ритм жизни) И что бы не допустить второй волны эпидемии, , нужно серьезно относиться к происходящему, соблюдать все рекомендации, чтобы самим не заболеть и окружающих не заразить. Не забывайте носить маски и держать дистанцию)",2020-06-24T07:50:55Z,0
22,UgxPPD4MyBN9mwh34ll4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,P.s. Aleksandr,36 И 6 НЕ ВЕРЮ,2020-06-24T07:46:35Z,0
23,UgxGEpkmHpbc2usHHl54AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Marina Navsegda,"Маску руками помацал,потом еду руками в рот заталкал.Такие глупые только картавые?
21 статья конституции РФ ни о чём не говорит таким картавым?",2020-06-24T07:28:57Z,0
24,UgwBvlIXt6Dm_iw3_Il4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,ardelive,не ешь это!),2020-06-24T07:21:10Z,0
25,UgzKHUzYPlhM4wbBxCB4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,0,Vlad Kim,Журналисту бы похудеть !,2020-06-24T06:39:12Z,0
26,UgxeUM5vuoxYIDmkkOB4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,2,Фима Ларкин,Путинский Прорыв Парад Жертвоприношения!,2020-06-24T06:06:11Z,0
27,Ugy5XKdV8IR7qdPmKux4AaABAg,3Eatcl5_t9k,Телеканал Дождь,0,3,Живорождённая Живая,Градусником приручают к команде ЛОБ! Потом заменят на ЧИП!,2020-06-24T05:48:46Z,0
