,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugzpp5d-l15YiDVZ9c94AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,V Illusionless,"Zero Waste Shop - узнала о вас из ролика, хотела заказать, зашла на сайт, но смысла просто не вижу. Все базовые продукты (типа гречка, макароны, рис и и.д) дороже, чем в соседнем супермаркете, экзотические позиции мне не нужны, не хватает визуализации (кг чипсов это сколько в объеме?). Нафига я вообще это пишу...наверное, просто идея понравилась, а реализация разочаровала. В любом случае, удачи",2020-07-02T07:11:01Z,0
1,UgxOyUk6fltjqi22FJx4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Андрей,"Счас они откроются, аренду им обратно влупят, а люди не пойдут. У людей денег нет",2020-07-01T06:51:10Z,0
2,UgwfE9EXk_zwemtus6l4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Танечка,Спасибо за видео! Очень интересно было посмотреть и послушать как у них обстоят дела. Держитесь!,2020-06-30T14:58:46Z,0
3,UgyzJHL5amBVxOzUp914AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Phat,"Ну честно, я и так не знаю, как вы будете все выживать и без самоизоляций. Показали владельцев бизнесов, которые и так накроются скоро, так как все это излишества, на которые у людей и так уже нет денег. Все это рассчитано на средний или околосредний класс, который либо уезжает из страны (уезжал по крайней мере и продолжит уезжать, когда откроют границы), либо вылетает из этого среднего класса со свистом.",2020-06-30T12:27:45Z,0
4,Ugw9gRU97uIkcIuAzux4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Sergei Demin,"Старая шутка, конечно. Пора валить. Сами знаете, кого именно пора валить.",2020-06-30T02:12:59Z,0
5,Ugzv72mEFQW5N69D8MZ4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Olga Konst,"смотрю 29.06.20г...люди остались без работы и денег, бизнес ...без доходов и долгами по налогам...а ЗА  поправки в Конституцию, т.е  ЗА  решения действующей власти... окажется проголосовали 145 %???   Кто-то в ЭТО поверит?",2020-06-29T20:55:59Z,0
6,UgxMD0Bc8jwknKwRNSB4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Ташкент-Россия,"Я такого позора России еще не видел, так рваться к власти, забыв о здоровье граждан, это не Конституционно, Учитывая данную ситуацию с обнулением Путина сроков, я понял от Конституции сроки не зависят, а зависит все от совести правящего",2020-06-29T20:00:26Z,0
7,UgzTmCxNdcGXxyDgh8N4AaABAg,3GXsY8LDn00,Навальный LIVE,1,0,Виссарион Аракелов,"Это говорит о том,что малый бизнес слаб,и сами предприниматили должны иметь подушку безопасности...а то заработали копейку и бегут Мерседес покупать",2020-06-29T19:41:35Z,0
8,UgzTmCxNdcGXxyDgh8N4AaABAg.9AVVHDKdkKO9AXJf7UK5bb,3GXsY8LDn00,Навальный LIVE,0,0,Phat,"Бегут потому, что сегодня Мерседес стоит 2 миллиона, условно (не знаю, какие сейчас на них цены), а завтра уже 3. Предприниматель не хочет зарабатывать на Мерседес потом на 30% дольше, если может взять сейчас. Я конечно, ничего подобного не бегу покупать, но уже пару раз пожалел, что не купил какие-то вещи в свое время. Сейчас они стоят в 2 раза дороже и рука уже не поднимается их покупать, да и не на что уже особо. А тогда возможность была, но думал, что успею еще купить, не к спеху.",2020-06-30T12:38:36Z,1
9,UgzurijX3szC8rJJUpJ4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Я Russkiy,Тихий и хитрый геноцид,2020-06-29T03:33:32Z,0
10,UgycblKroxq17FLsO7F4AaABAg,3GXsY8LDn00,Навальный LIVE,0,1,Алексей Смирнов,"Готовьтесь к тому,что будете зарабатывать на еду,ребятки.Остальные деньги отдадите всяким пи....ну вы поняли.",2020-06-29T03:25:36Z,0
11,UgxjGXDIZrwyE-vZAhB4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Sergei Alekseev,Больше таких репортажей) супер) спасибо) ❌,2020-06-29T02:27:11Z,0
12,Ugwd7pBQbdTe99yeM-h4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Виктор Кислицын,1,2020-06-28T20:50:28Z,0
13,Ugy8ZklUdSx-rTI-KyN4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Руслан Гудулов,"Пишу этот комментарий, поскольку мне не безразлично наше будущее ❌",2020-06-28T19:23:37Z,0
14,Ugw--flnTfpVV0xmWN94AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Сергей Алексеевич,"Нормальный бы бизнес показали.
Кофейни пля закроют.",2020-06-28T16:00:48Z,0
15,Ugw_w6FeC8zH9WYz0yh4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Алекс Смит,Против поправок,2020-06-28T15:38:26Z,0
16,Ugw2JRYugIozaUJKzX94AaABAg,3GXsY8LDn00,Навальный LIVE,0,1,ToninnTon,"Да г-ди, работали вопреки изоляции вот и ""выжили""кого не запеленали, но на записи этого не скажут так что спрашивать их не анонимно-нет смысла=-/",2020-06-28T13:41:51Z,0
17,Ugw-mA8Df7pxcddiUNh4AaABAg,3GXsY8LDn00,Навальный LIVE,0,1,Юрий Бочкарёв,"Зато по телевизору у нас все шикарно, всех спасли, всем помогли.",2020-06-28T13:06:40Z,0
18,Ugywlre7NyT5oeDv3Gx4AaABAg,3GXsY8LDn00,Навальный LIVE,0,1,Fox Mulder,"ПИШУ ЭТОТ КОММЕНТАРИЙ, ПОСКОЛЬКУ МНЕ НЕ БЕЗРАЗЛИЧНО НАШЕ БУДУШЕЕ!",2020-06-28T13:01:40Z,0
19,UgzCH2jWYxAce_A_E-14AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Елена Свешникова,"На парады и перекладывание плитки деньги есть, а народу нет",2020-06-28T13:00:15Z,0
20,Ugz_OOJEVdOs3p-BmHN4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Василий Куликов,Поддержите дорогой сердцу малый бизнес. Только вместе и победим!,2020-06-28T12:27:09Z,0
21,UgyDz9usAGgUCkLPGcx4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Andrew Kazachenko,❌,2020-06-28T09:34:04Z,0
22,UgxB9FiCAwyx0gy50dJ4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,vovan,"Чем дальше в лес,тем кровавее развязка.",2020-06-28T09:29:54Z,0
23,Ugwqq6wpeod_12s0CHd4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Asus Zenfone,"Жаль людей, конечно,в других странах они экономику вытягивают процентов на 40",2020-06-28T09:26:27Z,0
24,Ugz_uIpScLOnJTULxfl4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Никита Никитов,ПИШУ ЭТОТ КОММЕНТАРИЙ ПОТОМУ ЧТО МНЕ НЕ БЕЗРАЗЛИЧНО НАШЕ БУДУЩЕЕ ❌,2020-06-28T09:24:40Z,0
25,UgyGjFCKRWO5M79GJj54AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Asus Zenfone,"Потапенко уже об этом все сказал,хз,чегоэти люди ждут",2020-06-28T09:23:59Z,0
26,Ugz0W4AQIC6WivXTXBh4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Asus Zenfone,"Пипец, наивные чуваки и чувихи- перёд государством ВООБЩЕ  не стоит такой необходимости,как сохранить бизнес",2020-06-28T09:23:02Z,0
27,Ugz5LW7cV593cPx1mLJ4AaABAg,3GXsY8LDn00,Навальный LIVE,0,1,Sti4ers,"А вот нечего было бизнесы свои открывать! Россия не для этого с колен поднималась... А если серьезно - России уже нет как таковой, есть власть России, а народ - её слуги",2020-06-28T07:32:53Z,0
28,UgwCdzUb5hxUNw9GS2N4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Гаджимурад Гитиновасов,Надо понимать сейчас что государство это не избранные ставники народа а кучка олигархов и бандитов которые сами себя избирают и назначают,2020-06-28T06:51:21Z,0
29,Ugx9NJ6CGIrlUD17-ct4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,ZLO ik,Анекдот: 70% за обнуление!!!)))),2020-06-28T06:43:35Z,0
30,Ugx6H21r6_w0BMfm7et4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Гаджимурад Гитиновасов,И перестаньте называть самоизоляцию карантином! Вы ведь не наивные малые дети а целые бизнесмены!!! Называйте вещи своими именами,2020-06-28T06:39:43Z,0
31,Ugz72qx0q65cGrIjMTN4AaABAg,3GXsY8LDn00,Навальный LIVE,0,0,Гаджимурад Гитиновасов,Какие вы наивные ребята! Государству наивас наплевать! Главное с вас побольше налогов содрать,2020-06-28T06:38:24Z,0
