,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyRK2odcLxhokn_N0J4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Евгения Солнышко,"Не остановили, продолжают зараждать.",2020-06-23T19:17:43Z,0
1,UgyB4_npD-ct5V0con14AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Борис,"Да сплошной бардак и разгильдяйство плюс коррупция со стороны чиновников и никто не несет ответственность. Ванга предсказывала что через ....время вода будет дороже золота, собственно к этому идем)))",2020-06-20T06:33:32Z,0
2,UgwSYLs5jVMgt7FR5qJ4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Анатолий,"А кто понес ответственность и за чей счет ликвидируют последствия, или опять со смертных сдерут в виде налогов",2020-06-18T02:12:26Z,0
3,Ugx-dkcwSZcDzUEO3eZ4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Crezy Dog,"Здравствуйте! Я вот тут смотрю новости про Норильск и не могу понять почему Потанин ни в каком варианте здесь не фигурирует если он является владельцем? Просто если брать Хромая лошадь то там были наказаны владелец 9 лет, директор четыре, Ну и так далее там ещё плюс 6 человек, здесь же владелец никак не фигурирует то есть наказали только подчиненных! Исходя из этого можно понять что владелец не несет никакой ответственности и хозяин Хромой лошади должен быть освобождён! Ну и по другим делам где хозяева привлекались к ответственности за халатность!",2020-06-16T16:56:56Z,0
4,UgwDlMWz3g6HkR1hlDd4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Евгений Захаров,Нихуя себе конечно грандиозная теперь там лет 50 не рыбы не будет не животных,2020-06-16T04:58:39Z,0
5,UgwIu6o846Dqkiuunk94AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Алексей Бильдюг,"Лю ,а то кто",2020-06-15T22:33:42Z,0
6,Ugy4MfxlLdxaGbYxsyp4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Абдэль Яаффар,"Да это топливо просто с травили, вот и всё. Нет там никакой форсмажерной катастрофы, всё предопределено и инсценированно, запланировано.
Всё это прогнозировплось, в связи ситуацией на нефтяном рынке...",2020-06-15T16:49:11Z,0
7,UgwFdFa-U-enzX_oQlx4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Leha Belov,"Народ лоханулся, нужно было топливо собирать по канистрам,  если не автомобиль заправлять, так печку топить пойдет. Да и вообще можно будет это топливо в бензин через самогонный аппарат перегнать.",2020-06-14T21:29:52Z,0
8,UgwmZeKtrE7_BQdXERt4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Tuth Springston,и снова все закончилсь тишина и покой заплатили бабло те у кого их немеряно и все собирай не собирай солярку толку не будет кто знает что такое солярка поймет,2020-06-14T15:14:48Z,0
9,UgxuM3v0Mubqe1EBmyB4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,1,Николай Удальцов,потанина усса пукина под Суд!!!!,2020-06-14T09:22:02Z,0
10,UgzGt-v_qod7IKMd3PN4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Андрей Христо,Диктор или пьяная или под чем-то,2020-06-14T08:45:14Z,0
11,UgwcVm8dnCiLzlDET_14AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Sasha 713,А жителям похуй. Всем похуй. А если всем похуй то почему бы и не делать то что делается?,2020-06-14T07:34:32Z,0
12,UgwjF0H57K7VFvo7rRt4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,компания доставки Едадомой.ру,"Где вы этого улыбашку откопали. Что он такой счастливый то. Хотите, я вам на эти вопросы так же отвечу.",2020-06-13T20:00:54Z,0
13,UgxirPXqT8WtRLnLiJ14AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Кролик Роджер,Жесть...,2020-06-12T10:49:44Z,0
14,Ugy5cbaqFVjwNguhB9t4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,El Okim,сами вылились или кто то помог?,2020-06-12T02:37:17Z,0
15,Ugzqt1UAs6rHBJKI1Vt4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Dmitry Orletsky,"Пустая болтовня со ""специальным совещанием""",2020-06-11T06:36:33Z,0
16,UgwQ_EjLVCG_2KFdbZN4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Алексей Тулынкин,Про проблемы для сельского хозяйства вопрос для крайних северов актуален ведущая молодец! А так че все понятно живём в говне,2020-06-10T19:32:18Z,0
17,UgxQ9PqKi0tEHIppkyB4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Андрей Матвей,"Вся страна в жопе за то Крым ""наш"". Конченые",2020-06-10T19:14:37Z,0
18,UgxYslPJZ1vR8Dfbc8l4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,Максим Ефименко,"Вы что вообще ненормальные????? Вы не понимаете вообще чтоль что произошло, теперь вода станет как золото!!",2020-06-10T18:51:21Z,0
19,UgzwaZcRWD_6CnkXB6R4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,6,Штаб Навального в Воронеже,"Какой же кошмар происходит! Но им мало Норильска. Мёртвой зоной хотят сделать почти всю Центральную Россию, потому что в Воронежской области  УГМК решила добывать никель.
Яд в колодцах, очереди к онкологу, — всё это происходит уже сейчас, лишь на этапе разведки месторождений. Местные активисты 9 лет пытаются выгнать компанию из региона. Мы сняли об этом целый фильм, посмотреть его можно у нас на канале",2020-06-10T17:31:24Z,0
20,UgyFEX7Pj3YwW_m8Lah4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,0,ColdPetRat2.99,Neft zhe naturalnij!,2020-06-10T17:30:58Z,0
21,UgwirVmRiopia5RZuQt4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,1,Alexandr Larsen,Сажать нужно ! Потанина и всех кто к этому причастен !  Вы чего совсвем чтоли ?!,2020-06-10T16:58:54Z,0
22,UgzbNP8bz1tPddHKFRN4AaABAg,3eq5qlH7fO8,Телеканал Дождь,0,1,Ivan Ignatov,"Мусорный ветер — дым из трубы,
Плач природы, смех сатаны,
А все оттого, что мы
Любили ловить ветра
И разбрасывать камни.

Песочный город построенный мной,
Давным-давно смыт волной,
Мой взгляд похож на твой,
В нем нет ничего кроме снов
И забытого счастья.

Дым на небе, дым на земле
Вместо людей — машины,
Мертвые рыбы в иссохшей реке,
Зловонный зной пустыни.",2020-06-10T13:19:35Z,0
