,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxUSliS7dF6RzHjac94AaABAg,3uQqdY7YehY,Навальный LIVE,84,440,Навальный LIVE,"Подпись за то, чтобы людям оказали прямую денежную помощь прямо сейчас.
Просим подписаться.
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 14 мая: https://youtu.be/wL5Exq2s8fM",2020-05-16T05:15:00Z,0
1,UgwjVp9T0-Hcw51bQtp4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,TUCFess,"В Израиле таже херня! Поймали без намордника, 120 евро штраф!",2020-06-23T12:49:06Z,0
2,UgxRrhKENAmhg0SdXc94AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Mr Brubeker,"в С-Пб реально все главные посты в правительстве города оккупировали приезжие, которым насрать на город и его исторические места и его зелёные зоны.",2020-06-20T10:02:01Z,0
3,Ugzsx3dprmhYvsGIiKN4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Арнольд Йорк,"Самый страшный коронавирус это единая Россия, полицаи и алчные бизнесмены, я их ненавижу больше, чем смерть от коронавируса.",2020-06-19T17:00:58Z,0
4,UgyQJms6ILMwYAv1RBx4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Asd Rtf,"Сейчас у нас жара, больше 40 градусов. Жаль смотреть на пенсионеров в масках и перчатках на Улице!!!",2020-06-19T12:28:31Z,0
5,Ugzjj7PN1akHnCDgIyp4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Asd Rtf,"Они же и делают эти маски, а нам продают раз в 20 дороже.",2020-06-19T12:27:02Z,0
6,UgwVloUoOxT6IOruqUR4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Александр Архипов,Аргументы слабые и натянутые.,2020-06-14T11:48:52Z,0
7,UgzGUHDjxFMjaRIUfVB4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Владимир Пигидий,Будем голосовать против!,2020-06-10T11:53:39Z,0
8,Ugz-rdWpw0GcI-7ekrZ4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Алекс Фул,А в Казахстане все тоже самое)),2020-06-08T23:37:48Z,0
9,UgzdbmqHp0eT-EASt2p4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Руслан,Леша с днем рождения братан качай до последнего ты лучший я в тебя верю хутин пуйло))),2020-06-06T01:00:37Z,0
10,UgyRAEk0xiNdCY4ReDF4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,вячеслав лихачев,"Навальный зона ждет тебя. Нары в камере,вот твой дом",2020-06-05T20:33:09Z,0
11,UgzaWXKZ5vYcK18Ywvd4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,e.sofianova ДимиДканал,✌😽,2020-06-04T09:01:44Z,0
12,UgyvofQuxYECIPsNtyZ4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Ira Ejims,Я маску месяц ношу😂,2020-06-02T18:13:17Z,0
13,UgxFj1HHIKQ7n7y1B7d4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Игорь Плякин,Беззаконие порождает беззаконие.,2020-06-01T19:49:39Z,0
14,UgwuDCT65vfghfKDDSR4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Михаил Терентьев,Надоело всё это дерьмо....,2020-06-01T15:18:56Z,0
15,Ugzi7mR2P4jboHeOJ1Z4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Олеся Соболевская,Да ввели масляный режим. Вот меня не захотели обслуживать без маски .Я одела ее на бороду и никто слово не сказал .Отслужили . Видимо четкого указания на какое место должна одеваться маска нет нигде в предписаниях наших властей?,2020-05-30T15:44:23Z,0
16,UgyazAG7bSq9UoCH24t4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Homer Smit,"Бедный Блаблалеша уже охрип :) как бы не заболел он, бедолага, с такой нагрузки-то. :)))",2020-05-30T15:43:58Z,0
17,Ugx7jqJTzN_9d8Vctfp4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Олеся Соболевская,Маски и перчатки этот бред по всему миру установили .,2020-05-30T15:40:07Z,0
18,UgzLyhKRiRfBqGaz__54AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Илья Висицкий,Подвальный,2020-05-28T01:31:13Z,0
19,UgxznibiIaNI12UsRjN4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Andrey Pilatov,"Если начнется война, я за свой счет куплю и автомат и патроны, чтобы расстреливать навальнят.",2020-05-27T22:22:15Z,0
20,UgxSLItyMNBu13RO-6R4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,WHITE GRAPHITE,"Защита лица от ....,другого Ока.Пользуйтесь,но не долго.",2020-05-27T16:30:40Z,0
21,Ugz7AW4UqEfnfXuxwel4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Deil Kabrio,"Алеша а когда ты покажешь что то дельное, существенное,что ты сделал своей деятельностью в итоге???ну ка подведи краткие итоги и пакажи народу.что то изменилось?))
Ты не боишься кончить как Немцов???это может стать единственным концом твоей деятельности чувак.береги себя.ради кого ты жопу рвешь?",2020-05-27T15:33:12Z,0
22,UgzDqBK0Fy1tR9WokXR4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Deil Kabrio,Бля я прочёл мЯсочный режим😆😆😆,2020-05-27T15:29:13Z,0
23,UgwHym13LulrfbfMd294AaABAg,3uQqdY7YehY,Навальный LIVE,0,1,Егор Беляев,Табор уходит в небо!!!,2020-05-27T14:58:33Z,0
24,Ugw2XLl9PjKd_LOtl3h4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Йа Йа,вообще враги народа 14 дней прошло и теперь 2 анализа которые не имеют сроков еще 2 недели походу ... чтоб в думу принесли болезнь!!!,2020-05-27T05:24:09Z,0
25,UgwmgB2FfUUrXMiK9m54AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Николай ТТ на Севере,"День пограничника завтра, ждите новые ролики",2020-05-27T04:45:46Z,0
26,Ugz9k9Wy363O0NJerHB4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Николай ТТ на Севере,Так заработать в очередной раз решили на народе,2020-05-27T04:42:19Z,0
27,UgyHHjaMY58pMN_hmOR4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,mr. fox trot,"Сисян, такой сисян!!!",2020-05-26T22:57:15Z,0
28,UgwpdDk-c3WErfv-hW14AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Дмитрий Цаканян,"Маски ввели, чтобы отжать у народа последнее, и чтобы люди в прямом смысле задохнулись и отупели от недостатка кислорода, потому что в этой маске когда долго стоишь реально не хватает свежего воздуха и задыхаешься, спасибо!",2020-05-26T11:59:47Z,0
29,Ugze1tQ9p_pxZQ03J0F4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Фаина Р,Масочный режим это глупость,2020-05-26T11:18:55Z,0
30,UgwEHV0ZElrzaWX8HbN4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,gak say,"у единой росии учитель ,гитлер",2020-05-26T08:48:54Z,0
31,UgwC2uI8PR5SgwPgqbB4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Sotovik Sotovik,Евреи говорят. Мы Россиянам все обещаем-обещаем а им все мало. Пародокс главное мы им ничего и не даем а они в это верять.,2020-05-26T08:26:32Z,0
32,Ugw7G9RvMulebgHQ4zh4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Sotovik Sotovik,Люди носять одну маску уже по 2 месяца новый купить денег нет. Вот Вам мосочный режим. Это же афера Века.,2020-05-26T08:17:22Z,0
33,UgyKzyTQsdhMewHVzvN4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Made in ссср Россия Sara,"Фюрера путлера за кардон 
Без разрешения въезда в страну.",2020-05-26T05:41:06Z,0
34,UgwkkLPT9cheMcQ2Udl4AaABAg,3uQqdY7YehY,Навальный LIVE,0,0,Made in ссср Россия Sara,👍,2020-05-26T05:40:34Z,0
