,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwbvXNX93L1quU-t-N4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Volodya Antropov,они постоянно с кем-то воюют не работают а именно воюют...,2020-07-02T05:45:39Z,0
1,UgyKt3HOcJJPoMld2Sp4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Ольга Иванова,"Бред сивой кобылы ...,не верю((",2020-06-29T14:08:17Z,0
2,Ugyb_fKjJ3xMOVnu6-J4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Ольга Золотова,"ВОТ СЛУШАЮ ВАС И ХОЧУ ПОЙТИ ПРОГОЛОСОВАТЬ ЗА ПОПРАВКИ, А ВЕДЬ ТОЛЬКО ЧТО НЕ ХОТЕЛА. ВЫ ХОТЬ ПОНИМАЕТЕ, ЧТО УШИ У ВАС ИЗ-ЗА СПИНЫ РАСТУТ ИЛИ НЕТ?! ТОЖЕ ЛЮДЕЙ ЗА ДУРАКОВ ДЕРЖИТЕ",2020-06-29T10:36:15Z,0
3,UgwpFeBVtrcDk3h03Y54AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Ольга Золотова,ОТЦЕПИТЕСЬ С ЭТИМ КОРОНАВИРУСОМ ОТ ЛЮДЕЙ. РАБОТАЕТЕ НА ЗАИНТЕРЕСОВАННЫХ ВАКЦИНАТОРОВ МИРА!!!!,2020-06-29T10:32:10Z,0
4,Ugx-ATAnx68C96zOARJ4AaABAg,3vICIYtwngw,Телеканал Дождь,0,1,Алексей,"У нас те ещё ""медики"", убивают в мирное время",2020-06-28T14:36:16Z,0
5,UgynkF1SnCaHEMmLFIV4AaABAg,3vICIYtwngw,Телеканал Дождь,0,1,Liubov1962 Fily,"Страшат народ? Боритесь народ за правду, идёт уничтожение нации?!",2020-06-27T15:37:14Z,0
6,UgyEIeDkMgolDtqlRrZ4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Вячеслав Патин,У врачей очки для плавания ! Полное дно!,2020-06-27T12:53:55Z,0
7,UgwLKj2LUysZ5rK0V4x4AaABAg,3vICIYtwngw,Телеканал Дождь,0,1,Elena Amrahova,"на ваш вопрос о том, кто сказал, что медики должны « кидаться на танк»? Отвечаю: человеческая совесть. В советское время врач- это правда была гордость и они первыми по зову совести ехали в места эпидемий и катастроф без запросов на награду, а уже потом совправительство оценивало их героизм.И в самом деле оценивало! И сейчас, только благодаря тому, что большинство медиков еще из той старой системы воспитания, ситуация с этим долбанным вирусом с трудом, но разруливается. А представьте, что эпидемия случилась бы в период, когда все медики- воспитанники на капиталистическо-демократических ценностях, да они же задаром, по совести даже стетоскоп в уши не вставят...Вот поэтому нынешние студенты такие « умные», сразу видно-новое поколение, продадут все за три копейки.... Слава честным и порядочным российским медикам, слава всем , кто не смотря на все трудности, не потерял человеческое лицо, совесть!!! вам все воздастся, даже не сомневайтесь, не в подачках жадного правительства счастье! Спасибо, что ВЫ есть! Когда ВЫ « НАШИ» закончитесь, а этого к сожалению , не избежать, то тогда , может быть, эти нынешние « умные» студенты поймут, что  их родители и деды были настоящими людьми! Но все к лучшему, сегодня услышала замечательную фразу: социализм нетзбежен, как дембель! Это здорово, надежда всегда умирает последней.... Всем светлым людям желаю счастья и добра на здоровье!",2020-06-27T11:34:56Z,0
8,UgxbA-fIST3FmP2y_zF4AaABAg,3vICIYtwngw,Телеканал Дождь,1,0,Татьяна Варламова,"Все зависит от людей, Путин народный президент, я за Путина, а все кто только критикует, это купленные с запада, поддерживаю Владимира Владимировича",2020-06-27T03:33:04Z,0
9,UgxbA-fIST3FmP2y_zF4AaABAg.9AObqu6PJ-e9ASdIFQ_JQQ,3vICIYtwngw,Телеканал Дождь,0,0,Лилия Кохно,В семье не без ...,2020-06-28T17:02:38Z,1
10,UgzWVuI3eZaurQtM_X94AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,claude wetterwald,"Вот именноПОЧЕМУ и ради кого и чего,",2020-06-26T19:12:01Z,0
11,UgxZR-I1uovPyXdBFal4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Лариса Фурман,А Машков выступил с речью из Америки?,2020-06-26T11:43:12Z,0
12,Ugw39qD644f6zBDFpXl4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Вадим П,"Ни как не могу понять - почему до сих пор маски не отменят?! Огромное количество врачей-вирусологов говорят, что пользы в борьбе с вирусом от маски нет, напротив, больше вред наносят!!! Что за хрень?!",2020-06-26T11:05:20Z,0
13,UgzJCVDRy_eY0TR6Abh4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Валерий Малинин,"Я тоже об этом подумал, что хоть врачи в этой партии останутся людьми!",2020-06-26T10:54:22Z,0
14,UgyATiocY5ICgRkpOfd4AaABAg,3vICIYtwngw,Телеканал Дождь,0,2,Cemen2009_2,"В Армавирской скорой помощи , выплачивают единицам за коронавирусных больных, скрывают диагнозы что бы не платить.",2020-06-26T09:28:55Z,0
15,UgwMWJVde5JtFuKYqnx4AaABAg,3vICIYtwngw,Телеканал Дождь,0,1,Владимир Самсонов,"Путин ко Дню медиков награждал их., а те которые  уже ушли из жизни,которых тоже надо было наградить посмертно он даже не вспомнил и не поблагодарил за их самоотверженный труд.Видимо  из за того,что голоса  за поправки конституции с того света не вернешь.Вот  так относится к погибшим  мед,работникам  на деле  президент,а остальное  показуха и надобность",2020-06-26T08:48:34Z,0
16,UgwolVUCUpFudnA73GR4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Gulnara Salmanova,"Что до короновирус никто про клятву Гиппократа даже не вспоминал,а что сейчас случилась вдруг вс вспомнили? Что то припозднились.",2020-06-26T07:22:28Z,0
17,UgwG3v6pZ1wLHTMtWel4AaABAg,3vICIYtwngw,Телеканал Дождь,1,0,Елена Матюхина,"На Алтае медики заразились те, кто работал в СИЗ! Мы работали стандартно, в халате, маске! Правда, потока пациентов маленький, так и заплатили за апрель 16500р. Врачу!",2020-06-26T05:28:45Z,0
18,UgwG3v6pZ1wLHTMtWel4AaABAg.9AMFIH0mQDo9ASdwQSAvlN,3vICIYtwngw,Телеканал Дождь,0,0,Лилия Кохно,"Позор государству, которое врачу платит такую нищенскую зарплату",2020-06-28T17:08:16Z,1
19,UgwyAu9h7gACD7sia_54AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Любовь Сулиманова,медикам. вы же голосуете за Путина. вот и получите.,2020-06-26T04:49:20Z,0
20,Ugx0KEVxfuh-Cjac0uN4AaABAg,3vICIYtwngw,Телеканал Дождь,1,0,Инна Богачева,"Не пойму я что то...у нас никто не погиб...никто не заболел и умер...вы о чем вообще? Врачам не доверяю, им бы лишь бы в карман залезть, а лечить не умеют, больше калечат, не хожу в больницу и прекрасно себя чувствую. Не поддавайтесь панике. Каждый получит то, во что верит))))",2020-06-26T02:27:39Z,0
21,Ugx0KEVxfuh-Cjac0uN4AaABAg.9ALvZuYUuvQ9ASkzXAvIR3,3vICIYtwngw,Телеканал Дождь,0,0,Лилия Кохно,"Блажен, кто верует...",2020-06-28T18:09:51Z,1
22,Ugxe6BBwZZMkyOecekR4AaABAg,3vICIYtwngw,Телеканал Дождь,0,1,Анастасия Воснесен,"Медики,почему себе не ввели вакцину?",2020-06-25T22:20:49Z,0
23,UgwNLXopHMrj6Zhzgad4AaABAg,3vICIYtwngw,Телеканал Дождь,0,0,Валентина Халько,"А до этого медики были вечными,никто никогда ни отчего не умирали,это их работа,они сами её добровольно выбрали,вирусы не первый год появляются в сезон,лапшу некуда  уже вешать на уши с вашей фейковой короной...",2020-06-25T21:20:23Z,0
