,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwvPD8SWN0LrDbORbh4AaABAg,4tvuHcXZd2U,Навальный LIVE,25,294,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1fy-8DgloTzA1r0ck5JlZZdiTe6CPrOcRj6OgF3WI4mg/edit,2020-05-26T21:01:27Z,0
1,UgzwSSFr9FwirLJdAwJ4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Rus Lime,"СВАЛИ С ЭФИРА, БЕЗДЕЛЬНИЦА",2020-06-25T10:22:28Z,0
2,Ugx88vE-wOq2ciyUx7l4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,1,Oleg Zolotarev,Умница. ТОЛЬКО ИМПИЧМЕНТ РАССТРЕЛ КОНФИСКАЦИЯ ЛЮСТРАЦИЯ И ВСЕЙ БАНДЕ ГЛИСТОВ. ДОЛОЙ ВЛАСТЬ ВИСЕЛЬНИКОВ. РЕФЕРЕНДУМ!!! НАВАЛЬНЫЙ!!!!!!!,2020-06-13T16:15:26Z,0
3,UgyWPomgFWxL4GOrvUJ4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,1,Zhanna L,ЛЮБОВЬ НА ВЕКА 👍👍👍👍👍👍👍👍👍,2020-06-07T21:42:11Z,0
4,Ugws_t2iYy1oijYAiq94AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Igor Igor,Топчег,2020-06-06T03:52:35Z,0
5,UgwrA3NRXFU4Q7jJoiJ4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Igor Igor,Топ,2020-06-06T03:52:29Z,0
6,UgxoSBSDBIAXipBCZtR4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Евгений М,"Бла-блабла.......смотрю и поражаюсь, сколько же в либерастиках блевотины",2020-06-02T13:32:35Z,0
7,UgzWkugCE01rDPbq7m94AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Вячеслав Евгеньевич,"НЕ ДОВЕРЯЮ НАВАЛЬНОМУ ! Не доверяю Соболь!  ДОВЕРЯЮ ПУТИНУ ! ВЫ,навальные,НЕ СМОЖЕТЕ ПРОДАТЬ РОССИЮ !",2020-06-02T09:31:26Z,0
8,Ugz_yoJXzljbRmoR2tx4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Вячеслав Евгеньевич,"Обвальный и Компания,вы в своём уме? Сомневаюсь.",2020-06-02T09:27:27Z,0
9,UgzLB4fvD6_4GzSC0YJ4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Вячеслав Евгеньевич,"А где факты? Или бла-бла-бла,как обычно?",2020-06-02T09:25:02Z,0
10,UgxVNA163cYy-ZSCOh94AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Вячеслав Евгеньевич,"Навальный,и его старшие хомячки: Соболь,Васильева... их адепты Ахеджакова,Уткин,Серебряков,Макаревич... и Им подобные - ВЫ ЗА РОССИЮ !??? Нет,Вы не за Россию,Вы готовы продать Россию ГосДепу США. В этом и состоит ваша политика,потому,как вы получали,и получаете гранты из США,а точнее - ГосДепа",2020-06-02T09:09:00Z,0
11,UgxrsqFXq7UMcXV4JSB4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Вячеслав Евгеньевич,"Навальный и Соболь,вы-же сами твердили о том,что нельзя вводить  повсеместную изоляцию!",2020-06-02T08:53:01Z,0
12,UgzegGmkri6EJalFMwF4AaABAg,4tvuHcXZd2U,Навальный LIVE,0,1,senator sem,У пуйла воровского маразм.,2020-06-01T17:23:55Z,0
13,UgwgReKVYNnqgggr4B54AaABAg,4tvuHcXZd2U,Навальный LIVE,0,0,Борис Бех,"Пусть обнулёныш со своей сворой и марширует.Денег некуда девать? Такого цинизма и лицемерия давно не наблюдалось в мире.Трибунал,трибунал и еще раз трибунал для своры ворья у власти!",2020-05-31T16:37:33Z,0
