,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugyhu4mtZY_dFj6h_LR4AaABAg,4zrTEPR91pY,Телеканал Дождь,7,29,Телеканал Дождь,"0:00 - Лолита Милявская - гостья программы ""Синдеева.live""
1:30 - О том, как удалось полюбить себя
4:50 - Об обязательствах, от которых удалось отказаться
6:07 - О романе и отношениях
9:20 - Об отказе выходить с карантина и поправках в Конституцию
14:49 - О текущей работе и доходах
17:30 - Об участии в спектакле Юрия Грымова
19:19 - Об интервью Дмитрию Гордону и вопросах про отношения между Россией и Украиной
24:29 - О погромах в США
34:34 - О пародии Галкина на Собянина и Путина
41:23 - Об отказе участвовать в голосовании за поправки",2020-06-11T07:16:51Z,0
1,UgwXZbgFW8nBt5sONHV4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Лиана Лиана,"Синдеевой надо сильно-сильно думать, кого звать на интервью, что бы и самой не замазаться  и не смердило потом, послевкусие от интервью  противное. Вон, комментарии говорят сами за себя, много критики, неприятия  от  пустого разглагольствования, ничего не значащего , не глубокого, не интересного.  Барышня без комплексов дискредитировала себя, как артист и как человек давным давно, баба пустобрех, не интересный репертуар, не интересная  ни в  каком аспекте. Лично я не досмотрела. Да, дизлайк, КОНЕЧНО!",2020-06-28T19:53:01Z,0
2,Ugz4vz2xeYsDVgrs2MR4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,5,Lisi Chka,Лолита как обычно врёт. Неприятная и голос прокуренный петь не умеет,2020-06-28T05:51:39Z,0
3,UgyY2nbEMe4pEFefHxx4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,KIRILL K,боже Лолита ещё больше похудела и помолодела,2020-06-26T05:39:55Z,0
4,UgyE6wY_JXkaSz6uMCp4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,1,Игорь,Лола Огонь 👍👍👍👍👍👍👍👍👍👍👍👍,2020-06-24T19:19:14Z,0
5,UgzkxoegUnrs-nPvhxp4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,1,Екатерина Ушакова,лолита киселева оказывается. изворачивается все-таки.,2020-06-24T14:25:27Z,0
6,UgxyhWKnPi-XTaNeJMJ4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Dmitriy,"Спасибо за гостью!!! За искренность, прямоту и честность....",2020-06-24T14:08:14Z,0
7,UgypoBb0md12qKW_OTl4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Ясная Анна,Спасибо девчонки. Было интересно. Досмотрела до конца с удовольствием. Удачи вам .,2020-06-24T12:15:24Z,0
8,UgwiuLJ7bgdzzUZg99R4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,vorona,"От меня дизлайк каждый раз, когда вижу Лолиту в каких-либо интервью. Начала их ставить после её интервью Дмитрию Гордону. Раньше она мне нравилась своей открытостью, простотой, искренностью, но в разговоре с Гордоном она, как говорится, показала свою продажную сущность. Моё разочарование..",2020-06-24T10:20:46Z,0
9,Ugz5uej5OUkjAYHh44p4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,EL,"Ну какая же ложь про Американские протесты. Уровень полицейского беспредела в России не идёт ни в какое сравнение с Американским. Там полицейские гораздо более вежливые и честные. Зачем же так лгать, Лолита?!",2020-06-23T11:31:57Z,0
10,Ugw5nt_RZBotd9bn2VB4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Яна Живалович,Смотрела только из-за героя. Очень скучные вопросы и рассуждения ведущей . Спасибо Лолите за ответы.,2020-06-22T17:38:39Z,0
11,UgxLv967ZPvf_XG9KKp4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Natalie Sadirova,"Я не из Украины и под интервью с Гордоном  написала, что она стала проституткой. Это было видно, что она говорила не то, что думает, а то что ей не принесёт вреда. Как и сейчас",2020-06-20T11:54:20Z,0
12,UgwkMf0iiISZPeXRawp4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Виталий Коршак,"Пара двустволок! Кофеманка!  Про лолу-поганку, лучше заткнись, а то хуже будет!",2020-06-20T04:45:08Z,0
13,Ugx3vJCh0HGa5jjtN454AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Vera Fantasia,Лолита молодец!,2020-06-19T13:30:49Z,0
14,UgykAOrvNWCYYvrE3NJ4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,оля иванова,Репост и лайк 👍,2020-06-19T10:45:04Z,0
15,UgwxZtArIA2galn0mW14AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,оля иванова,"В больницах идёт инфа, идёт вторая волна в начале июля.Видно чтобы проголосовать,,а там и оденем опять намордники?!",2020-06-19T10:00:41Z,0
16,UgxElctFIKkphp0b72N4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,sweet dream,"Т.е чтобы получить Оскара надо ненавидеть российскую власть. Две дуры голимый.  Ладно синдеева умной никогда не была, а Лолита уж точно от старости с ума сошла",2020-06-18T23:32:53Z,0
17,Ugy2RbUZz258QVofMUZ4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,2,Galina Neblanka,Вот уже и Милявская записана в политические комментаторы! Дожили!,2020-06-18T19:02:07Z,0
18,UgxwXOLSVMSAvOibNFZ4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Мышка Мышь,Лолита-супер! Так думала всегда и убедилась еще раз.,2020-06-18T16:59:48Z,0
19,UgyHsAsk-MEuJ-Sh3GN4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,1,татьяна попсуй,"Талантливого актёра, Евгения Миронова,  разнесли в пух и прах, поправки к Конституции, их тоже не интересуют!",2020-06-18T16:53:44Z,0
20,Ugz48Ldzz4PREb4gVNh4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,2,татьяна попсуй,"Две весёлые дамочки, при своих ,,бабках,,.",2020-06-18T16:48:30Z,0
21,UgwfaanNUwKabFAbb_54AaABAg,4zrTEPR91pY,Телеканал Дождь,0,1,Влад Чехов,"Синдеева не могла себе хорошего хирурга найти, или делала по бартеру?",2020-06-18T08:24:17Z,0
22,UgyCmpad89hBMJQh07d4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Alexfishka,"Не являясь поклонницей творчества Лолиты, с удовольствием в последнее время слушаю интервью с ней.",2020-06-18T07:32:51Z,0
23,UgyuJAZk1fjUCx3GNw94AaABAg,4zrTEPR91pY,Телеканал Дождь,0,1,Margarita Kramarchuk,"Лола, зачем комментировать то, о чём Вы понятия не имеете? То, что происходит в Нью Йорке, ЛА, Сиэтле НЕ происходит во всех городах США. И причина не в пандемии, а в том, что там мэры - коммунисты. Ваша подруга мало нажралась говна в СССР? Выберет кого-нибудь из секты ОСЛА, будет жрать дальше. И мы вместе с ней....к сожалению.",2020-06-17T18:55:55Z,0
24,Ugz1kQJamzQGGfHm77N4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Екатерина Дмитриева,"Браво Лолита, молодец.",2020-06-17T12:40:13Z,0
25,UgyrFjjLY8lZhi6sNIN4AaABAg,4zrTEPR91pY,Телеканал Дождь,0,0,Diego Diego,Ведущая засиделась на самоизоляции,2020-06-17T09:51:01Z,0
26,UgxtqjD6-CPcIei_9j14AaABAg,4zrTEPR91pY,Телеканал Дождь,1,6,Olga Khavanskaya,"Не ожидала, что Синдеева может сказать « я говорю «С дома».",2020-06-17T05:10:44Z,0
27,UgxtqjD6-CPcIei_9j14AaABAg.9A-24RHQ5gh9APNmpKj0BN,4zrTEPR91pY,Телеканал Дождь,0,0,Надежда,Она сказала «из дома»,2020-06-27T10:40:41Z,1
