,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugy7jt8S67TFkT9ykkN4AaABAg,52MFOcMPZaU,Навальный LIVE,87,728,Навальный LIVE,"Подпись за то, чтобы людям оказали прямую денежную помощь прямо сейчас.
Просим подписаться.
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 30 апреля: https://youtu.be/PAY56ovT4Qc",2020-05-03T18:59:53Z,0
1,Ugx9yMPJfcfatVctesh4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,kiwi rus,дом2 падскудная мажорка,2020-06-19T21:51:59Z,0
2,UgwhI9aUXZj2N04IfJN4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Артур Жигловский,"Собчак, отдай миллиард.",2020-06-13T03:59:08Z,0
3,UgwgCS1v1vQctD7t7dN4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Влад тарасенко,"Принц завидует лошади, смешно .",2020-06-02T02:53:25Z,0
4,UgzxgN-seEf_t5kabKV4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Tangut IV,"Такое ощущение,что навальный под кайфом.амфетаминовым.быстрая,сбивчивая речь,частое употребление жидкости.бурная жестикуляция.",2020-05-31T15:23:17Z,0
5,UgwT-HVDUKkFZgDznzR4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Olga Kotliar,оо..оо ..крабовая палочка ...я бы сказала 2 крабовые палочки вместе с мамкой дурой ..не побоюсь этого слова ..помню ка в конце 90 -тых вдруг на 2 канале россия появилось ток шоу и там вела его эта тетка с прической дыбом ужасно одета безобразно сидящая говорящая ---наше знакомство с мадам ..я так возмущалась что за ведущая ?? после комисарова его ток -шоу  забыла как называлось..забыла ну ты скажи...тарелка там на полу нарисована была и маска из шкафа выходила ...,2020-05-30T13:45:03Z,0
6,UgyeW7dQ0gYqRA7I4K54AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Феликс Феликсов,"Так вот для чего создавался ""Резервный фонд""😂!?",2020-05-26T15:00:50Z,0
7,UgxB5PRw2wkciiKhSUp4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Феликс Феликсов,Но вам же роздали экономику СССР.,2020-05-26T14:50:06Z,0
8,Ugzt8ArAF0lvUtWs5LB4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Гаджимурад Гитиновасов,Он бы их всех к стенке всех поставил бы,2020-05-23T21:35:27Z,0
9,UgyBQB0smjqocLVgPGh4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Гаджимурад Гитиновасов,Ээээххх Сталина на них нет!!!!,2020-05-23T21:35:06Z,0
10,UgxqAEvIz75t5ilBDEJ4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Константин Елисеев,Схематозница😅😅😅,2020-05-23T20:43:26Z,0
11,UgwRAPs7blOUu8lIqrZ4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Светлана Василенкова,А у нее свои???,2020-05-23T16:07:15Z,0
12,UgxVII9eKpaWI6VdC1N4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Николай Инин,Ын поможет...,2020-05-23T00:56:48Z,0
13,Ugz0Sb16yFEDxPp-Kvx4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Светлана Филлипова,"Они уже заранее знают, что мы через 2 года страна-банкрот. Как же они все надоели, пусть они со своими миллиардами едут далеко и больше никогда не возвращаются, Сталина бы сейчас на всё на это, он был хозяйственником, а эти все расточители.....(причём заметьте государственного хозяйства, а значит народного). Они бы суки на свои ""кровно нажитые"" прожили, как весь народ.... Чтоб они обожрались и передохли все....",2020-05-22T17:40:06Z,0
14,UgwpHsAEXGLQYp9aUs94AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Алексей Болотин,ну и семейка-кабы не подавились!,2020-05-22T17:06:16Z,0
15,UgyTFrY5cnd22mKCL5R4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Александр Шинин,Да очень плохо что мы не боремся и даже не реагируем на эти преступления все выжидают что это пройдет само собой разумеется не пройдет и закончится очень печально,2020-05-22T04:28:06Z,0
16,UgxNdXU5Udwpnp6n6YN4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Alexander A,Только и умеют к природным ресурсам присасываться!! Так и будем сырьевой колонией.,2020-05-21T11:57:45Z,0
17,UgwW64OfNcmR-F7jv6x4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Наталья Акаева,А чем лучше Навальный??? То чуть не ж...у Собчак целовал а сейчас на них катит бочку дерьма.,2020-05-21T05:42:20Z,0
18,UgzemrkawpxJUrS-72l4AaABAg,52MFOcMPZaU,Навальный LIVE,0,0,Елена Кузьмина,"Добрый вечер, Ельцинская необ’ятная семья была неуязвимой, теперь семья Собчак будет ли уязвима. А 13 «крабовых» миллиардов не бюджетные  ли деньги деньги?",2020-05-20T20:07:17Z,0
