,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxvGhYLDDHuC2ne0gt4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Сергей Челпанов,Можно подумать что переделав развязки на МКАДЕ чтото стало лучше? да индейское жилище! Стало только хуже. Что пропуска для большегрузов улучшило ситуацию на дорогох .. да нет.. раньше ночью можно было безопасно передвигаться по дорогам.. но теперь это ужас и кошмар...,2020-06-30T14:15:57Z,0
1,UgxvXeNQhsb0_GonP2Z4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Larchevis,"Так заливает, потому что Серебряный Дождь поливает каждый день.",2020-06-29T19:41:29Z,0
2,UgwfbJDChvVzCFXo4iN4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Ludmila Kopeva,"Всё  слышу ""плитка  - Москва -  плитка""   Культ  ПЛИТКИ  ,  видимо ,  в  столице.",2020-06-29T16:54:15Z,0
3,Ugzw5ng9-Kg5cmB64_54AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Бронислав Кремлев,Собянин даёшь плавучею плитку плитка-понтон.,2020-06-29T03:36:30Z,0
4,UgzlOe4m6sz3lnDHzth4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,albatrosavia,Какие ливневки?? Вы там хоть одного грамотного инженера или архитектора найдете????,2020-06-28T22:07:22Z,0
5,Ugw8yghfJztTAsMhXON4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,1,Slava Shevtsov,Сильный дождь с градом виноват.,2020-06-27T14:24:56Z,0
6,UgziS3ArRE-DCeWRVc94AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,He C,"Программа "" Моя канализация"" 👍 Вот чем в первую очередь должны заняться эффективные менеджеры, а не роспилом бабла)",2020-06-27T14:01:52Z,0
7,Ugx3dhi4JKHXS6e6Ik14AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Boris Abdiyev,СОБЯНИН хватить гонять за мигрантов лучшие решай проблемы на Варшавку,2020-06-27T00:36:01Z,0
8,UgzVL7qhKQM1vK5e5Ut4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Галина Зуева,"Как ты, Москва, надоела. Зажрались, да пусть вас топит. Может тогда очухаетесь?",2020-06-26T12:20:06Z,0
9,UgwA1g46_ZHUKT-zS4x4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Twik1983,лучше бы она сгорела,2020-06-26T10:45:14Z,0
10,UgyhxBWcLZGjbjX3hfd4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Twik1983,внезапное подтопление,2020-06-26T10:43:41Z,0
11,UgySx4x9GhYrUZelPxR4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Artem Usov,Всё-таки американцы грамотно все рассчитали. Сначала плитку выложили. Потом климатическую установку включили с дождем. Теперь занаво всё переделывать будут за народные деньги. ),2020-06-26T10:36:08Z,0
12,Ugz0JN4CHnwPcy6qGDt4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Artem Usov,Это госдеп затопил Москву,2020-06-26T10:33:44Z,0
13,UgxlIHQL72IEbEm_dD14AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Игорь Аладин,Сталин воскресни!!!,2020-06-26T10:16:59Z,0
14,UgzBOv3fGRFpR_w58x54AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,НОВОСТИ ДНЯ,"Эти штуки , что у вас с журналистами в России.",2020-06-26T09:57:48Z,0
15,Ugynt9S27T1iEKMZ5O94AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,lesnik,"Тупой канал Дождь.Вашу западную Украину практически смыло дождями,марш делать там канализацию.Может просто в такие ливни канализация бессильна,тупые?",2020-06-25T22:05:39Z,0
16,UgyNG1KVr5y5I90PTpR4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Сам по себе,Слились деньги.,2020-06-25T19:16:23Z,0
17,Ugy9QkjMPiZl9nL-dNx4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Иван Петрунин,Это связано с воровством!,2020-06-25T04:36:54Z,0
18,UgwwkSQ2m8F7c4ZWfOR4AaABAg,5My6jw7CBhw,Телеканал Дождь,2,0,Maxus Gladius Simone,"Канал Дождь о канализации в дождь.
мда...",2020-06-24T17:50:11Z,0
19,UgwwkSQ2m8F7c4ZWfOR4AaABAg.9AIQYyVJ0lz9AK7-Lqfr3h,5My6jw7CBhw,Телеканал Дождь,0,0,Maxus Gladius Simone,"@Деменций Альцгеймер, как всё неоднозначно и мокро.",2020-06-25T09:37:47Z,1
20,UgwwkSQ2m8F7c4ZWfOR4AaABAg.9AIQYyVJ0lz9AIvo8wxpnY,5My6jw7CBhw,Телеканал Дождь,0,0,Деменций Альцгеймер,Дождь рассуждает о дожде с Заливухиным.,2020-06-24T22:32:01Z,1
21,UgyPDKgHw9-pmYGOvEp4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,АЛЕКС ЗЕЛЕНСКИЙ,"Победили ливень,проведите ПАРАД ......",2020-06-24T17:09:55Z,0
22,UgwwC7eRDC9wNJmP-sp4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,IGOR70KIM,как хорошо стала тонуть Москва при Собянине!,2020-06-24T17:07:50Z,0
23,UgyHLAla3LtLrw6eHNt4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Антон Рыков,Место либирды в канализации.,2020-06-24T17:00:12Z,0
24,UgysOWPz2rhGeOoa4Al4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Vuqar Kerimli,Люди 4 месяца сидили дома вот и зобился канализация,2020-06-24T15:14:13Z,0
25,Ugxvkwid6u4B8fOZNfB4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Садия Ашуралиева,"И без поноехали, ни как ☝️😂😂😂😂😂",2020-06-24T14:50:56Z,0
26,Ugyl2utVGG38gNwJvjx4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Любовь Арлова,Пришли на все готовое а отремонтировать ума не хватает в СССР одни калоши выпускал а при путине все валится,2020-06-24T12:49:05Z,0
27,UgyV8gX3UbKU3AMiom14AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Александр Артеменко,Прошел в Москве дождь и боты-лягушки заквакали!😂,2020-06-24T10:57:39Z,0
28,UgwmwdNfUsnjSDhe0bl4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Forpost,Плитку снова смыло.Какая удача для мэра!,2020-06-24T06:57:30Z,0
29,UgwerK0sopoeGjmiyKZ4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Взгляд со стороны,"В чем,в чем,природа за шамана мстит",2020-06-24T06:42:21Z,0
30,UgySB2rJrBllrwtxFEZ4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Anna Romanova,Щас мчс китайскими помпами откачают,2020-06-24T05:06:07Z,0
31,Ugz2lSnW9P9VGAyCG0t4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Chris Fredricson,Виноват дождь:),2020-06-24T04:59:23Z,0
32,UgxEjgD9X_kZcm06gY94AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Татьяна Турская,"Ужас и это в МОСКВЕ. А что говорить о других поселениях! В Малайзии дождь стеной, и тут же дороги сухие. Там ливневка по проведению всех дорог. А здесь у власти кто стоит. Надо МЭРа малазийца",2020-06-24T04:00:52Z,0
33,Ugxleustmk5KKQHTumB4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Gabrielle Grace,В Сочи об этом забоооотятся!!! о ливнёвках,2020-06-24T00:49:04Z,0
34,Ugz9Jn0rR_KR7flciYx4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,1,Шкура неубитого медведя,"Главное плиточку положить, заводы по производству которой принадлежат олигарху Собянину.",2020-06-23T20:57:12Z,0
35,UgzkCnbUDpPNZjLXenZ4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Валентин Валентинович,"Взялись герои за лопаты и зашуршали- нет, пиздятиной торгуют!😂",2020-06-23T18:16:52Z,0
36,UgyuEqAvRbmcDXS2P3R4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,2,Денница - - АНАТАС,К КОНЦУ ИЮНЯ это повториться с удвоенной силой .,2020-06-23T17:50:53Z,0
37,UgzC8uUwrcQu0TbHZ8B4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Юрец Голиков,"Художественный фильм ""Спиздили""))))",2020-06-23T14:11:47Z,0
38,Ugwg0y2BV0s2hGRUlct4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Татьяна К,"Под Москвой находится море о чем говорили давно (с начала 90-х по кр.мере).  Мин. толшина грунта <500 м. Ее подрывают небоскребы, метро, бункеры...  Сливать воду некуда. Москва к сож. когда-нибудь начнет проваливаться.",2020-06-23T14:04:52Z,0
39,Ugysur1bklCVEy3h6AV4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,дмитрий елисеев,По федералке не слова.....,2020-06-23T13:55:04Z,0
40,UgzWYcYksF-djzkzWrR4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,1,Eldar Farxutdinov,Не сильный Дождь был,2020-06-23T13:45:41Z,0
41,Ugzw2PozTH1E_xkVNeF4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Julian Sokolov,Времени на раскачку нет:),2020-06-23T13:41:48Z,0
42,Ugx51YofY1du67p8f3l4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Иван Иваныч,Обнулите ливни. И проблема решена😁,2020-06-23T13:27:56Z,0
43,Ugx9ZfENfHJvDaa1wO94AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Сергей Лукьянов,"Хули....под землёй, не видно....вот и не делают. И не будут делать,пока Путин у власти.",2020-06-23T12:20:16Z,0
44,UgxxHhm9IMFjDGrZ8vp4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Николай Коволенко,В Рошале и Штуре вообще ливнеки все зкотали асфальтом.,2020-06-23T11:56:38Z,0
45,UgwwZA0M_roWDrbnfTB4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Анатолий Иванов,Я предполагаю что большинство россиян не очень сильно расстроятся если бы Москву смыло бы полностью! Москву в регионах начали люто ненавидеть!,2020-06-23T11:53:36Z,0
46,UgzDxqsARKRWD82BreB4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Айжана Киратаева,"Дорого говорит 
Воровать меньше надо",2020-06-23T11:35:37Z,0
47,UgyoT_RLYwP2ajHPrdN4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Виктория Веремеева,Бумеранг,2020-06-23T11:19:41Z,0
48,UgzkFIn8haU83IWntKN4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Вовка Вовкин,Надо было в Крым съебывать😂,2020-06-23T10:55:08Z,0
49,UgzJR6rvRLHBlnuCFIt4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,олег Олегович,Собянин крыса,2020-06-23T10:45:38Z,0
50,Ugzywoy3VJc76moToIR4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Denis D,Илья Заливухин)),2020-06-23T10:44:17Z,0
51,UgxgPxBMwh8ZHkYxaqJ4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Карлен Григорян,"Залило Москву-Заливухин Илья ,совпадение?!",2020-06-23T10:44:13Z,0
52,UgyJLX77GKZBo8vE-Xd4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,galina,"вода сойдет,опять за плитку возьмутся,и про ливневки забудут    круговорот в природе",2020-06-23T10:22:14Z,0
53,Ugz8nfXbrwAJc8wsRGJ4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,ДИЗЕЛЬ ________,"За деньги всей страны ,один поганый город вылизывают...",2020-06-23T09:59:58Z,0
54,Ugz8h-4G38mjSIno9xt4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,ДИЗЕЛЬ ________,Это режим Путина подмочился.... Как же мне плевать на Московию!!!!,2020-06-23T09:58:26Z,0
55,UgwOCsHv6K1zuBUooa54AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Oleksandr Kotovskyi,Красота,2020-06-23T09:44:02Z,0
56,UgzIT3mVwf0w4gClcNh4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,1,Альфа Уран,Ана Москва мына Москва),2020-06-23T09:33:45Z,0
57,UgyHoibVxYFf8n8lwet4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Sergo Nozadze,Надееиус утонет путин и армянин лавров..,2020-06-23T09:23:29Z,0
58,UgyQaB3uFr0USCkDI1R4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,1,xyaxaxo,"собянину некогда форсмажоры учитывать, он занят штрафованием людей за самоизоляцию и режима намордников",2020-06-23T09:07:28Z,0
59,UgxKEs6z_Lxih0nYnll4AaABAg,5My6jw7CBhw,Телеканал Дождь,0,0,Рудольф Штайнер,Во всём виноваты коммунисты и внешние враги...,2020-06-23T08:48:52Z,0
