,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyhgDclBdzrAwJgG_h4AaABAg,5dzl4jROwOg,Максим Кац,65,255,Максим Кац,"Подписаться на мой твиттер: https://twitter.com/max_katz (вы что, серьезно не подписаны?).
Зарегистрироваться в Горпроектах: http://russia.city4people.ru
Вступить в Яблоко: http://join.yabloko.ru",2020-05-27T13:58:53Z,0
1,Ugya5LaMEe31X9R2cgZ4AaABAg,5dzl4jROwOg,Максим Кац,0,0,Miсhael Ter,Ок,2020-07-03T04:13:39Z,0
2,UgyJL22BZUpI_Sbh6Tl4AaABAg,5dzl4jROwOg,Максим Кац,0,0,Александра Козлова,"Даже не верится, что выборы и парламентские дискуссии могут быть интересными и продуктивными. Надеюсь, скоро так и будет.",2020-06-27T18:45:17Z,0
3,UgyKktk2rnZH73x0-q14AaABAg,5dzl4jROwOg,Максим Кац,0,0,Илья Ефимкин,А кто до Минюста осуществлял гос регистрацию юр лиц?,2020-06-25T13:24:58Z,0
4,Ugw9CGYanlOYcFKGadF4AaABAg,5dzl4jROwOg,Максим Кац,0,0,webjob01,У нас в Хаб крае выгнали единоросов и более менее какое-то движение в лучшую сторону началось,2020-06-23T12:56:36Z,0
5,UgzvAgP79OSOVq3KHdp4AaABAg,5dzl4jROwOg,Максим Кац,0,0,Никита Рыскаль,2:41 откуда информация на экране ?,2020-06-22T19:04:24Z,0
6,Ugwaoy0XFo8zcVWCFSx4AaABAg,5dzl4jROwOg,Максим Кац,0,0,Серик Еркибаев,"Пока избирком будет подчиняться исполнительной власти, смысла участия в выборах не будет! Сколько с верху скажут, столько и нарисуют!",2020-06-21T15:33:48Z,0
7,UgxuJ2Z92x3JVKxV9XJ4AaABAg,5dzl4jROwOg,Максим Кац,0,1,АНДРЕИЧ,ШКЯ,2020-06-20T19:20:20Z,0
8,UgzGRJqgMGEp6daDYed4AaABAg,5dzl4jROwOg,Максим Кац,0,0,Оля Н,"Ура, 278 к подписчиков 👍",2020-06-20T14:22:35Z,0
9,UgzIhTqexIrcOMJIZ4d4AaABAg,5dzl4jROwOg,Максим Кац,0,0,Aperture Max,Почему это в плейлисте шкя?,2020-06-19T19:34:45Z,0
10,UgwVGZUwV4XTX_WKaSx4AaABAg,5dzl4jROwOg,Максим Кац,0,0,Виктор Синицын,Комментарий для большего распространения ролика. Этот канал должен смотреть каждый. Может так что-то изменится,2020-06-18T10:56:28Z,0
11,Ugz0xPG0HW_GwtVz0Lx4AaABAg,5dzl4jROwOg,Максим Кац,0,0,boring name,Очень информативные ролики. И хороший формат. Кратко и по делу за 15 минут,2020-06-15T15:04:54Z,0
