,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwpGmU-0GLxJoxDxeB4AaABAg,6vxR6zmiHBY,Максим Кац,147,1268,Максим Кац,Очень опасный миф — что голоса никто не считает и сфальсифицировать выборы очень просто. Многих он демотивирует участвовать. Важно распространить!,2020-06-25T15:29:25Z,0
1,UgyYPon9BZXaT2GmH-p4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Zhanna D,"Отличное видео, спасибо за разъяснения, Максим!",2020-07-03T05:13:56Z,0
2,UgyZu5LcLLnnSncN7AZ4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Savel Kin,"Кац , как же ты обосрался",2020-07-03T05:02:34Z,0
3,UgxXR5eQw5uXpGtptUl4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Dima Dvoechnik,72))))))))))))))))),2020-07-02T14:14:34Z,0
4,Ugx0fnqWfRgswhle1KV4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,4u3 well,))0)0))))))0)),2020-07-02T07:19:38Z,0
5,Ugw7PxlVaTcxRQxU0rR4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Oskol Sokol,"Посмотрел это видео 2-го июня. После подсчёта 99% голосов примерно 78% одобрили поправки, и 21,16% высказались против. 
13:52 Значит так выглядят результаты фальсификации выживания? 
Перестарались, конечно. Перегнули палку.",2020-07-02T07:15:08Z,0
6,Ugx6GPclWGr5Uh-dKEt4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Антон У,"Я вот недавно задался вопросом,почему нельзя сделать на голосовании именной бланк,подпись имя фамилия,за или против?",2020-07-02T05:24:11Z,0
7,UgwTZz9G4DY1J9Oz9_F4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Artis Temporus,Чего? У тебя замылился глаз...,2020-07-01T15:16:33Z,0
8,Ugz91HE3LGl7cbccpax4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Vovik Vovik,"Максим уже ночами не спит, глаза красные, делает для нас видосы)",2020-07-01T14:50:07Z,0
9,UgxjUM2138wUAUG4b_p4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,1ssess,"Не особо вериться, в то, что так сложно подделать результаты. В цивилизованной стране да, но даже если ты выложишь видео, как Панфилова лично дает указания, какие ""результаты"" нужны, в ответ получишь либо игнор, либо наркоту подкинут. И возмущаться будут всего лишь процента 2 населения, остальные это воспримут уже как должное. В стране терпил не ждите бунта",2020-07-01T12:18:40Z,0
10,UgzPyyPA_-y3Dhy0tvN4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,E. Podolyac,"Этот дол""©еб всю страну развалит, нужно начинать",2020-07-01T11:49:25Z,0
11,UgwtYyrDnL1VKX8NlV54AaABAg,6vxR6zmiHBY,Максим Кац,0,0,S1Garaki,В немецких дурках дверей нет что ли? как его оттуда выпустили?,2020-07-01T10:02:37Z,0
12,Ugz1j6WAztcpQpROJWp4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Александр Шведов,Да уж... Пусть это посмотрит больше людей,2020-06-30T19:54:23Z,0
13,UgyvyqY8TgRSRhG_LTF4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,А Р Т,"Привет из Беларуси с вечными ""Фальсификациями выживания""",2020-06-30T19:21:02Z,0
14,UgxF215CZKAxB0xKnft4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Enot Alekseevich,"Кац, чет я не пойму, объясни. вот цик печатает бюллетени, и у нас есть голосование в багажнике, что мешает в багажник поместить пачку нужных, а вечером подбить хер к носу сколько жителей у этого участка , взять нужный процент из урны ""за"", чутка против , все остальное ""против"" выкинуть в мусор ? Наблюдателей в багажнике нет , так же при подсчете свидетели это люди получающие ЗП в бюджетных учреждениях. Как реализован контроль  именно в этой замене референдума? Про настоящие выборы я с тобой согласен.",2020-06-30T15:23:59Z,0
15,UgyG9PCmlAg-qnP6_GR4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Вадим Варганов,"Не отдавать свой голос это конечно здорово. Только вот просто пойти и проголосовать может и не получиться... Поищите здесь видео ""Участок 1403. Лефортово""",2020-06-30T14:27:07Z,0
16,UgwGtlmAxqUh4m05yUl4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Юлия Пчелякова,"Какими должны быть действия, если в списках уже есть подписи?",2020-06-30T14:26:30Z,0
17,UgyzbIe236m2cbDuGqZ4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Алексей Ермаков,"Сам, жена, родители - все сходили и проголосовали против.",2020-06-30T10:54:03Z,0
18,UgxS2G7g57yW7vtYAKh4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Светлана Сергеева,"Я бюджетник, но пока ещё вольный 😃",2020-06-30T08:00:41Z,0
19,Ugz6JuoZbehpqp_1W2Z4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Иван Правитель,"Лайкну за грамотное изложение. Сам не раз был в избирательной комиссии, гемор ещё тот.",2020-06-30T07:07:51Z,0
20,UgwGrblw1sjHgHSSzr94AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Евгения Когинова,"Сфальсифицировать выборы, может, и не просто, но искусственно создать явку, не выписывая людей из (психиатрической!!!) больницы, потому что их уже записали на голосование здесь, так это запросто (нахожусь в этой ситуации прямо сейчас, и не одна). Путин, блин, выпусти, я уже давно здорова!",2020-06-30T06:39:06Z,0
21,UgxJ7VgJrbP74P_bWsl4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Айбулат Хисамов,"Убедил, а не просто призвал",2020-06-30T06:27:45Z,0
22,UgxBqzAj1emUkNyEn-x4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Ольга Евтушок,"Забавно, что на билбордах Пушкин, он ведь был явным оппозиционером, в молодости он писал стихи против самодержавия. ""Вольность"", ""К Чаадаеву"". Сейчас невероятно актуально стихотворение ""Свободы сеятель пустынный"". Обидно, что таким человеком прикрывают нынешние поправки и возвращение к самодержавию.",2020-06-30T06:08:28Z,0
23,UgzH1PhIo0Mo4YVYT9p4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Иван Сергеев,"Благодаря Максиму смог переубедить пару человек не бойкотировать ,а пойти и проголосовать",2020-06-30T03:45:22Z,0
24,UgyWYhKbR5SitgAJBe14AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Beautiful World,"🔊 *Санкт- Петербург.*
Я бюджетник (Дворец творчества Юных (Аничков дворец), мой отец - тоже бюджетник (БКЗ Октябрьский), моя мать - медсестра в поликлинике, считай, тоже бюджетник, сестра учится в СПБГЭУ (Государственный Экономический).
*Никого из нас начальство не агитировало идти на голосование.* Я не понимаю, о каких таких бюджетниках говорят во всех либерально - оппозиционных каналах на Ютубе и в интернете в целом. Может, это просто вранье?
И, да, мы всей семьей идем первого июля голосовать ПРОТИВ.",2020-06-30T00:37:36Z,0
25,UgyA5WcPzhGXEYBc-pN4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Mary Scott,Пишу этот комментарий поскольку мне не безразлично наше будущее,2020-06-29T22:38:26Z,0
26,UgyP0deNfHRehAK5ARd4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Pacosted Corpareited,Слишком много бойкотирующих чтобы что-то выиграть,2020-06-29T21:27:47Z,0
27,Ugz7xqRqQyF4k_iVAbR4AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Pacosted Corpareited,"Ходили голосовать, в прозрачных ящиках все голоса ЗА. Пожалуйста, идите и голосуйте. БОЙКОТ НЕ ВЫХОД!",2020-06-29T21:19:05Z,0
28,UgwOlMZLcBJA4N5KhR94AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Светлана Ветлужских,"Максим, а расскажите как повести себя, если выяснится, что за вас проголосовали при посещении 1 июля своего участка?",2020-06-29T21:18:54Z,0
29,UgyzFxSNhFenimrY0w54AaABAg,6vxR6zmiHBY,Максим Кац,0,0,Юрий Сухов,Я буду голосовать против!,2020-06-29T20:09:47Z,0
