,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugyb79m7SLDH7Gei3JZ4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,4,Телеканал Дождь,"0:00 – Аркадий Новиков – гость передачи «Синди дома»
2:20 – Сколько ресторанов откроется после кризиса?
5:50 – Пришлось ли сокращать персонал?
8:41 – Как сильно помогло государство в кризис?
12:44 – Кризис – время возможностей?
17:43 – Когда ожидается открытие ресторанов?
22:10 – О жене и звездности в инстаграме
30:07 – О семейных традициях и ужинах
32:48 – О проектах за пределами России",2020-06-04T18:11:29Z,0
1,Ugyptmgz0YU_MY1IZL94AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Bruno Altinori,Это тот самый ресторатор который не платит обслуживающему персоналу. Зарплата у официантов в Москве в его ресторанах 4000-5000 т.р.  Т.е. он даже минималку не платит своим работникам. Знаете почему? Говорит что у них есть чаевые) Знаю это так как сам столкнулся с такой его политикой. кому это не нравится он увольняет)  При этом за границей в его ресторанах официантам он платит потому что там закон не позволяет кидать. такой вот ресторатор. и еще у него плохо с нервами. с подчиненными он часто общается в неуважительной форме. может срываться на мат. выглядит дико.никогда бы не подумал еслибы сам не видел это,2020-06-24T07:24:29Z,0
2,UgzTnwu6oLrCShnbnrx4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Sveta Pylina,Что-то не правдоподобно. Значит получил какие-то обалденные субсидии.,2020-06-19T14:44:06Z,0
3,Ugye-bTPYj1GVukjhTp4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,akolchanov83,это ЗАШКВАР!!!!!,2020-06-11T09:52:42Z,0
4,UgxbDqy0H0w0KFc9SwV4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,akolchanov83,А почему не было вопроса про расследование навального и его отношения с мишустиным.,2020-06-11T09:51:01Z,0
5,UgxJZUP_7J5mflD7dVR4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Рустам Саидов,"Всему кому противно слушать этот бред,ставьте диз",2020-06-11T09:38:13Z,0
6,Ugw25J7RMuct7W6TKep4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Рустам Саидов,"Зашквар за зашкваром,сначала Зыгарь теперь Синдеева,вы решили всех жополизов режима здесь пропиарить....разочарован",2020-06-11T09:33:55Z,0
7,UgyFcuGF9oP9KdRcIMB4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Рейдли ?,Синдеева иди к симноньян ты становишься зашкварной особой,2020-06-11T09:07:15Z,0
8,UgyCXFtpQDXJHvUd8up4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,1,Максим Максимов,НАТАША ЗАИМИС ЧЕМ НИБУДЬ ДРУГИМ БРАТЬ ИНТЕРВЬЮ ЕТО НЕ ТВОЁ,2020-06-10T21:23:45Z,0
9,UgyiqhlE6peM8nNmsTl4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Anna Kern,"Пролистала комментарии- выключила , козел",2020-06-10T11:18:21Z,0
10,Ugz3OMbgr5JvF4xkeX94AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,ra mos,"Раздражает эти звуки ""глотков"" журналистки, ей осталось только чавкать во время интервью...фу. Редко что-то пишу и уж тем более негативное, но этот момент обойти стороной не могла. Этикет должен быть и надо отдавать себе отчет о том, что твои чавканья будут слышать тысячи людей и не все от этого ловят кайф",2020-06-09T22:58:02Z,0
11,Ugyv37aS325fqgN3Kax4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Ruslan Sakhapov,"Так ему и надо, этому говноеду Новикову",2020-06-09T21:26:17Z,0
12,Ugw8FrIqEDeUgtu9MH54AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Вольгины трапезы,Интересная ведущая... Что значит НДФЛ сократили вдвое? 😳 Снизят платежи в пенсионку. Не вводите в заблуждение,2020-06-09T20:18:16Z,0
13,UgzQa6omoKj8_rTyRzd4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,1,Elena Shmeleva,"Так раз вам так государство хорошо помогает, о чем тогда тревоги?! Все же в шоколаде",2020-06-09T13:47:24Z,0
14,Ugw696Al29wDbtEcY5t4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Igor Eros,"из дома это хорошо, но почему такое ужасное качество звука? ладно уже камера слабенькая - можно понять, но микрофончик достойный это  что, дорого или сложно?",2020-06-09T11:20:45Z,0
15,Ugwy0j6LpIbdtfXk7cx4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,1,Dim Alikperov,Так подмазали аркашку ☝️....отщепнули с барского плеча не дадут загнутся 😆 чудо присыпки то герой 👏,2020-06-09T10:40:09Z,0
16,UgwFlWquZ2Xa5j8FQZ54AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,1,Rona Sam,Обязательно так много пить во время работы?☹,2020-06-08T22:45:54Z,0
17,UgwCM2-3HRlMObQqVTF4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,2,Angelina Safaryan,Ни ходите к этому черту в рестораны.,2020-06-08T07:17:15Z,0
18,UgzLdz2BwMgO95y99Ft4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Angelina Safaryan,Черт!!!,2020-06-08T07:16:24Z,0
19,Ugz9dqZkejZe0MFfksV4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Наталья Комарова,"Не этично называть гостя «Аркаша». Я бы даже сказала : непрофессионально. Вы же работаете на большую аудиторию, а не на кухне трепитесь «за жизнь». Хотели показать, что вы типа близкие друзья?  Ни кого не удивили. А вот непрофессионализм ярко продемонстрировали. Дизлайк. И да, научитесь слушать гостя. А то ведь слушать невозможно. Ещё один дизлайк.",2020-06-08T05:00:45Z,0
20,Ugw8XbN-CpFs19EUqqx4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,1,Счастливый человек Счастливый,Денег меньше нет у людей говорит ведущая))) да денег вообще нет! Ведущая оторванная от реальности,2020-06-08T02:40:58Z,0
21,UgzinA9IqgkD8XAR1D94AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Серго Кавказский,Путана и её клиент !,2020-06-08T00:17:35Z,0
22,UgyO8mBPOD3DPyQ-aQZ4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Zhanna T.,.. А ты скажи пожалуйста..,2020-06-07T21:15:20Z,0
23,Ugy-dEHuThYGy0_OPBZ4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,4,Marina Bertoli,"Какие зарплаты? Официанты ы таких заведениях никогда не получали зарплаты, живут только за счёт чаевых, при этом все в чёрную. Этот человек точно пострадает меньше всех и явно не является примером предпринимателя, который самоотверженно сражается с кризисом. Приближённый к власти бизнесмен.....это же очевидно, насколько осторожен в высказываниях....",2020-06-07T17:27:45Z,0
24,Ugzy9pWgwB9wZYJWgRp4AaABAg,7_kV-7jiZnc,Телеканал Дождь,0,0,Moredacha,"Дождь это канал для людей, которые считают себя умными. Смешные.....",2020-06-07T16:07:17Z,0
