,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugy3TnMMJxKGeNdr_H54AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Evgeniia Voroschuk,"Обожаю Gorilla Zippo, покорил меня. Восхищаюсь его вкусом микс звуков, битов, особенно магически повлиял на меня, сет live in Gazgolder, bad bad girl, find love, bad boy, intro.  Ещё не всё послушала. Спасибо вам Василий за ваше ощущения музыки прям очень глубоко, музыкальный оргазм ✨✨✨🙏🙏🙏🙏🥰🥰🥰🥰💓💓💓всего наилучшего, процветания и вдохновения!",2020-06-30T08:23:39Z,0
1,UgzlEqOxwNa_qxShWId4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,1,Ainur Ahmetova,Спасибо! Вася лучший! 👍❤️,2020-06-23T17:29:25Z,0
2,Ugw4-LgzdIH1N3HFmwB4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,вася петров,Когда перечислял образы басты забыл упомянуть про братья стерео,2020-05-30T03:42:56Z,0
3,UgxcwvMz4Euo5sv8Ynt4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Алексей Баранов,"Тречки прикольные, в лишь  благодаря тому, что это электрон и тупорылых лживых текстов на них не звучит

Рекомендую, что то да можно добавить. Когда заиграет на рандоме, вы даже не вспомните, что это баста. Хотя ""живым семплам"" до, например, kutiman ооочень далеко, примитив.",2020-05-16T06:58:03Z,0
4,UgxhpwnGhnhfe55bNLh4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Алексей Баранов,Он же Горелая Жоппа,2020-05-16T06:52:29Z,0
5,UgwMZX-8_YE-6n4M0fd4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Жанна Маклецова,Одно слово! Ненавижу проституток.,2020-05-13T19:20:11Z,0
6,UgztZt20OIRLvWS3vJN4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,1,Леонид Луцков,Баста очень крутой музыкант и исполнитель) а сейчас ещё и продюсер) вырос на моих глазах)) с Ноганно до вот этого всего) Спасибо за творчество!),2020-05-12T12:17:58Z,0
7,UgwRcOOTN8oWh5gPHy14AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Garry The Bot,А где дебаты с Слобчак? Не хотите в говне мазаться?),2020-05-11T09:22:17Z,0
8,UgzcAylPeZEJxppCdqt4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Кирилл Кириллов,Да уж... Василий. Притопи за поправки,2020-05-10T05:48:53Z,0
9,Ugysf_gCgnKrWis1yZB4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Vladimir163 A,"Вася проснулся от трипа, и решил, что он диджэй",2020-05-10T00:09:10Z,0
10,Ugy7QjhgdmkoOx1ULwx4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Al de Mora,Почему больше дизлайкы?,2020-05-09T22:10:47Z,0
11,UgzS_R0hwaML-BcdFDF4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,1,Виктор,"Децл умер, а Басту похоронили. 👈",2020-05-09T19:37:42Z,0
12,UgwkKcSXz8sN1sxPcVh4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Sergey Kalugin,"Если про музыку, почему просто не спросят, сам он хоть что-то написал, или просто под брендом Баста какой-то диджей написал все, а он только набубнил в микро и стоит крутит что-то за пультом",2020-05-09T16:17:31Z,0
13,UgzRQ2Xa2IDyqp5NR994AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Aleksandr Vintovkin,слушать эту дичь трудно,2020-05-09T15:52:42Z,0
14,UgyYioxEuZlPSk4t1X94AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,6,Алексей Степанов,"Это не музыкант, а пропагандист. Дождь, что ты показываешь! Какая херь! Пусть у своих родственников пенсию отменит",2020-05-09T08:38:27Z,0
15,UgzpaAlLaRDNFYKElN54AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,1,Юрий Антонов,Баста пуй,2020-05-09T08:35:43Z,0
16,Ugynxv3QZB2cfeuwWvx4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,1,Лимпопо Первый,Кризис среднего возраста.,2020-05-09T08:00:09Z,0
17,UgzWFbnobSwPCAuWbGB4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,2,Для каждого Всякое,Баста хамелион,2020-05-09T06:37:21Z,0
18,UgxLCU9377x1pzMISG94AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,1,ирина гладких,"Басты нет,  никто не забыт, ничто не забыто.",2020-05-09T06:27:57Z,0
19,Ugwo1GXQQdlnIquY68x4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,ирина гладких,Дождь отписалась и диз.,2020-05-09T06:23:46Z,0
20,UgyDwgjw86-Ai1yX4Op4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,5,Р S,"Баста человек разноплановый, интересно до пенсионного возраста ему сколько осталось?!.",2020-05-09T06:20:57Z,0
21,UgyXSTKKEeZlP2m5Q754AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,4,Илья Сухоруков,"Было-бы кого обсуждать. Козырев, ну что за..",2020-05-09T05:31:23Z,0
22,Ugx9HsP77tUnDFL7GMZ4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,2,Yuri Grom,"ЛЮДИ  ОН ОБДУТЫЙ СИДИТ, В ebaНЫЙ , НО ЗАКАПАНЫЙ!!! ХАВАЙТЕ ПИПЛ",2020-05-09T05:30:34Z,0
23,UgwiEYSqZ_YrwTcGmb94AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,3,Kolyan Mukanov,"Жалкое подобие истинного американского хип-хопа, Вакуленко беспонтовый рэпер, кто его слушает...? Псевдо музыкант и ничтожный по сути...диз",2020-05-09T02:28:40Z,0
24,UgxwlgYVB2NgckjwkZ94AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,4,Юрий Барышников,Позор Ростова.,2020-05-09T01:34:47Z,0
25,UgzGEX5x3k50vPCjTRN4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,3,HistoryRepetitor,Мой диз двухсотый. Всем добра,2020-05-09T00:17:11Z,0
26,UgyIYcRDNdTJmhvZjQR4AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,3,Andrey ANDREY,Петушня,2020-05-08T23:20:34Z,0
27,UgypcYqTmQLYdVY7Ho14AaABAg,7iBGFEZvyI8,Телеканал Дождь,0,0,Your Motherfucker,Баста - продажная жопа🤮🤮,2020-05-08T21:12:24Z,0
