,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzHOg__-sIyMnbyN8p4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Вадим Иванов,"Долой Пукин-Пердельева, пущай со своей воровской кодлой бежит из РФ с одним чемоданом в рваной женской ночнушке!",2020-07-02T10:40:37Z,0
1,UgxexRfu6SDyhTK7QpF4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Мария Созинова,Противно слушать Миронова  неестественно,2020-07-02T07:37:57Z,0
2,UgzCh8Aumvre8XtiGup4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Ирина Викторовна,Терешкова умножила Путина на ноль...,2020-07-01T16:30:37Z,0
3,UgyC3JUGX2MGz2wktAh4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Вика Зинченко,Видео на все 💯,2020-06-30T15:35:19Z,0
4,UgyBPmzK6yPJTYanL9p4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,юрий г,Лож России на доела,2020-06-26T11:13:24Z,0
5,UgycSYs_f59nVFUxmX54AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Вася Пукин,Спасибо за работу,2020-06-25T11:00:18Z,0
6,Ugy_0FzGTj49ZyI4pVV4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Вячеслав Старостин,Диктор случаем не итальянец. Уж очень он сильно жестикулирует,2020-06-24T18:39:47Z,0
7,UgyfVJzfFBhfAsHbv-F4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Ivan Ivan,"Самое страшное, это то, что этим детям потом с этим жить",2020-06-24T12:57:51Z,0
8,Ugzb1BESZLmxpnhBLoN4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Алексей Петров,"Ахахахахааа реклама про министров это прикол, 
и мамка пацанчики наверно с 20 раза только не заржала при съёмках, но видно по ней что она прям прикалывается над этим сюжетом в котором она участвует)",2020-06-24T12:09:11Z,0
9,Ugyo8qE-KGbkSWj1Yq14AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Антон Пупков,"Яндех, yandeks вообще стал государственным))). 
В яндехе свое мнение о политике можно выразить следующим образом: либо хорошо, либо никак и никакой критики!",2020-06-24T10:27:43Z,0
10,Ugyy8jRAsllcZp0_H7h4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Антон Пупков,Релятивистская теория Эллы Памфиловой)),2020-06-24T10:24:02Z,0
11,UgzeBbziFvlJoM7Fs1R4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Тиберий Титу,Лайк 👌,2020-06-24T00:24:39Z,0
12,UgwZdSnuuFtaFO6zqCh4AaABAg,7r5v-gl0xpw,Телеканал Дождь,0,0,Друг истины и Платона,Мишка фишман башковит у него предвидение. Позвольте этому шифману высказать свое неудовольствие. Слушал его дилетантские высказывания о плоской шкале. Я его понял так-я жадный я делиться не хочу.,2020-06-23T23:27:38Z,0
