,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugwo0eOHflrfBDUKc6J4AaABAg,8bmArgTJQAE,Максим Кац,123,1385,Максим Кац,"Подписочка на мой канал снижает ожидаемую продолжительность правления диктаторов! Не забудьте подписаться и, главное, колокольчик :)",2020-06-06T14:43:16Z,0
1,UgzOM-g_pG2-USGgfet4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Jolly Roger,Око Саурона нацелилось на Белорусь. видать Украины ему мало,2020-07-02T17:14:48Z,0
2,UgzDV5w9THMO29HTfhF4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Корнева Жанна,"Спасибо за вашу осведомленность, но вы сами, то кто?   Материал на него вам предоставили, дело за малым. Ведь ваш язык бес костей и читаете вы не плохо, но этого не достаточно  нужно быть человеком без изъянов, что бы.обличать других",2020-07-02T09:25:50Z,0
3,UgzL2NFNYaV4g3eLxNV4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Alena Zharkova,Спасибо огромное за видео! Честный взгляд на ситуацию в нашей стране!,2020-07-02T07:06:59Z,0
4,UgxpwPozrKZNN9uuvr94AaABAg,8bmArgTJQAE,Максим Кац,0,0,Антон Геращенко,Лайк всем комментам для поднятия в топ! ЖЫВЕ БЕЛАРУСЬ!,2020-06-30T10:33:22Z,0
5,UgyDK6MrjrfvqFQSifZ4AaABAg,8bmArgTJQAE,Максим Кац,0,1,Ain Kain,Почему убийца Гаравский до сих пор на воле?,2020-06-29T08:16:33Z,0
6,UgzOc77GIQNwAfeEHQd4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Liberty Belarus Multi Nation,"Лукашенко на свалку истории! Эгоист, манипулятор, вор, корупционер, убийца, колхозник, дурак.",2020-06-29T08:11:15Z,0
7,Ugw_EmG1OL5x0LlVmpl4AaABAg,8bmArgTJQAE,Максим Кац,0,0,DIMA Zdeba,"Бля вот слушал эту речь всю до конца , сук пиздит про беларусь 🇧🇾 а вижу в этой истории россию",2020-06-29T01:19:20Z,0
8,UgyMTC0R4h03y3IjfOd4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Сенька Довгов'язий,"Можно ссылку на то видео пожалуйста? 2:23
 Просто он не называет опозиционеров, а использует местоимения и я могу подозревать, что слова вырваны из контекста.
 Я просто хочу удостовериться, что всё чисто :ь",2020-06-28T21:25:54Z,0
9,Ugyv6EnxjzF-nagxeQd4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Евгений Кретович,"Прикол в том, что у нас в Беларуси по сути даже не считают голоса, а просто пишут нужный результат. Поэтому многие люди не ходят на выборы, потому что понимают, что это буквально ни на что не влияет",2020-06-28T20:07:56Z,0
10,Ugx7OTJg8_DXte46aSt4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Eugen Gelrod Filippov,А рзве первый не Шушкевич ?,2020-06-27T20:25:25Z,0
11,UgxI4ySIKsJtK6k0u-B4AaABAg,8bmArgTJQAE,Максим Кац,0,0,The Cyrus's Pit - Professional Wrestling,"а хорошее то было за 26 лет в РБ, или все совсем плохо?",2020-06-27T12:57:02Z,0
12,Ugx6LKHbqzuNQolN8Vp4AaABAg,8bmArgTJQAE,Максим Кац,0,1,Alex Grom,Неужели Лукашенко не понимает что страну ведёт к войне . Донбасс номер 2.,2020-06-27T08:40:54Z,0
13,UgzGEmsHUGHbVXVGR1J4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Lubov Kot,"У нас нет президента! Насилие, угрозы, преследования, аресты,издевательства, убийства, избивания , воровство, наглое воровство, враньё - несоответствие  ЛЕГЕТИМНому президенту.не признаем  !",2020-06-27T08:23:19Z,0
14,UgxdnsZbL3X8pcT9JEh4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Екатерина Шевченко,"Аааа... Как хорошо то! Кратко, по делу, без воды... С уместным скупым юмором... 😁 Спасибо!",2020-06-27T05:25:27Z,0
15,UgzF3Mv7LsG9hygo0ZF4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Nikola Borkowski,Белорусский Лайк! Подписка!,2020-06-26T19:11:04Z,0
16,UgwRCfMWIV_TPFSicB94AaABAg,8bmArgTJQAE,Максим Кац,0,0,Геннадий Манаконов,Лука как обычно лукавит бррр .... .... ....,2020-06-26T10:07:50Z,0
17,Ugw3WjKDG1P803TLajp4AaABAg,8bmArgTJQAE,Максим Кац,0,0,Нина Акинина,Заткнись!,2020-06-26T07:18:52Z,0
18,UgxoJoUQACrvaecAuxZ4AaABAg,8bmArgTJQAE,Максим Кац,0,0,zn2UA,"Абсолютно верное замечание насчет того, что если вы против власти , то на выборы нужно идти и голосовать против! Попытка байкотировать, не идти на выборы не приводит к результату. 
Например, очень многие крымчане байкотировали «тот самый» референдум за присоединение к России, но кто об этом знает?! Зато все знают, что 96% проголосовали «за».",2020-06-25T20:40:47Z,0
19,UgyJiFkHln9WiL7g2l14AaABAg,8bmArgTJQAE,Максим Кац,1,0,Ivan Dzmitrachenka,"Уставай Мая Радзiма,


Радзiма Мая Уставай, 


Уздымай вочы да Неба, 


Плечы горда Свае трымай 


 


Хутка цябе давядзецца, 


Усюды ворага бiць, 


Мы Усе Беларусы Разам, 


Нiкому нас не спынiць 


 


Уставай Мая Радзiма, 


Радзiма Мая Уставай, 


Уздымай вочы да Неба, 


Плечы горда Свае трымай 


 


Нiкому Цябе не спалохaць, 


Нiколi Цябе не стрымаць, 


Мы Народ Моцны, Адважны, 


Свабоду iдзем Здабываць 


 


Уставай Мая Радзiма, 


Радзiма Мая Уставай, 


Уздымай вочы да Неба, 


Плечы горда Свае трымай 


 


Ты Можаш з ворагам бiцца, 


Дачок да Сыноу харанiць, 


Але таксама можаш, 


З Свабодаю у Сэрцы Жыць 


 


Уставай Мая Радзiма, 


Радзiма Мая Уставай, 


Крывёю Сваёй Беларускай, 


Свабоду Сябе Здабывай 


 


Калi Убачыць вораг, 


Што пoйдзешь ты до кaнца, 


Ён пабяжыць у жаху, 


Прэч з Тваяго Лiца 


 


I будзем мы жыць Свабодна, 


Як Продкi Нашы жылi, 


Каб Нашы дзецi Свабоду, 


Дзецям Сваiм аддалi 


 


Уставай Мая Радзiма, 


Радзiма Мая Уставай, 


У руках Сваiх мужных, 


Пагонi Меч Уздымай 


 


Уставай Мая Радзiма, 


Радзiма Мая Уставай, 


Уздымай вочы да Неба, 


Свабоду Iдзi Здабывай! 


 


Народны Паэт",2020-06-25T12:20:47Z,0
