,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwnhduJH6mzhNd3L9t4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,104,382,Навальный LIVE,"Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFb...

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 4 июня: https://youtu.be/_-ttObArW5s",2020-06-05T21:04:13Z,0
1,UgxCOuDQH2AWQZvmCzh4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Шамиль Тамбовский,Потанина искупать там,2020-07-02T06:36:26Z,0
2,UgyBd_i2IwYaHnywh7F4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Елена Глущенко,А В НОРИЛЬСКЕ ЛЮДИ ЖИВУТ?? СО ВСЕМ СОГЛАСНЫ И БЛАГОПОЛУЧНЫ????,2020-06-28T19:17:28Z,0
3,UgyXtEQRp3JQ2sVwj0V4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Елена Глущенко,РЕСПЕКТ НАВАЛЬНЫЙ!!!!,2020-06-28T19:15:21Z,0
4,Ugy7pUXZ0M341m2se7F4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Ruslan Minnigalin,Посмотрите,2020-06-27T18:48:29Z,0
5,UgxoElfyJdywm_u8wzt4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Irina V.,100.000руб штрафа и всё наказание! Слону дробина..,2020-06-23T09:58:05Z,0
6,Ugyp29R4Dvgxr1QhojN4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,STENSIS,как же больно смотреть на то что делают с нашей страной! Какой стыд и клоунада по ТВ,2020-06-19T08:02:56Z,0
7,UgyPnDHdUHu93JbSVMp4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Иван Б.,"Наконец не про дворцы и яхты( а то я устал расстраиваться из-за чужого богатства), Алексей так держать актуальная тема.",2020-06-19T05:04:32Z,0
8,UgxOjsyHCMRw194JgYx4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Александр Сверчков,Мафиозный..спрут .Усса..Патанина..к..тю́ремному..заключению ...и.под..суд...,2020-06-18T06:38:03Z,0
9,UgxTaBaWX8ANDEHEZKt4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Александр Сверчков,По..телеящику...такие..новости..нельзя..показывать...ю,2020-06-18T06:28:20Z,0
10,Ugz2V8OHcP_QzgyyAe54AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Бёрю Бёрю,Куда идёт это река? Может таким образам решили транспортировать её?,2020-06-16T14:53:19Z,0
11,Ugwon0IR1Gep-icffQR4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Марко Ройс,"Господи! Какой ужас! И ведь эта сволочь жрет, срет, спит в кремле без тени сомнения. Негодяи, все равно расплата  будет! Нигде не спрячутся, люди найдут.",2020-06-16T13:30:36Z,0
12,Ugw5Wis163Hbv8NHBNp4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,nataly yurkova,Можно машину заправлять куча бензина бесплатно....,2020-06-16T09:34:15Z,0
13,UgztnWznPzaTq5eq-fR4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Рустам Сабиров,"Алексей! Если Вас Путин поставит во главе Норильского никеля, вы бы все привели в порядок? Как яркая модель лучшей экономики?",2020-06-15T16:48:44Z,0
14,Ugwxg21QsB5DArOnmOV4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Серик Раимбеков,"Так можно и войну проспать, всё как в 41 г. Потом будут жертвовать людьми...?",2020-06-15T16:42:03Z,0
15,Ugw-qJSIZVTyg7Ncqv94AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Sergey K,"Мазута, Карл!",2020-06-15T11:43:17Z,0
16,UgxISOfTuK5qojGM-Jt4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Александр Вавулин,"Это преступление против жителей планеты, а не только россиян. Об этом нужно говорить с трибуны ООН и осудить этот режим!",2020-06-15T09:11:32Z,0
17,UgxoKO4khQm9g_vclXp4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Махач Арийский,"Такая богатая Страна, но народу Шыш, когда народ Гибнул не объявили ЧС, а когда богатство «Чинушей» под Угрозой Сразу ЧС... теперь Народ ты знаешь что главно для Власти это их Ресурсы, от которых народ не имеет",2020-06-15T08:48:14Z,0
18,Ugxmkt8ZtieD2jFzeAh4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Ирина Карезина,""" Просто бесит"" способ выражения мыслей у ""политика"" как себе. Если голливудские звёзды и ""чистили "" птичек сами же хайп и ловили. По сути на инстаграмм птичку почистить роли не с играло.",2020-06-15T02:45:39Z,0
19,UgwN2bT3JtUweypZeeB4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Лидия Невская,Левченко с Иркутск .обл быстро убрал Путин  ни за что а усса не может,2020-06-14T19:19:34Z,0
20,Ugx_iGNEV-tl_PYiRbJ4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Suvorov Andrey,Господи а он про путина все..........,2020-06-14T18:11:55Z,0
21,UgwvySQVw8O6OIwU9jB4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Ufkb Djjy,мрак,2020-06-14T14:47:35Z,0
22,Ugw3084FObbfUrk_9vN4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Александр Разин,Это пппппппц!,2020-06-14T10:15:04Z,0
23,Ugzla-ZTE5vjIo7Tav14AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Виктория Королёва,Почему Вы не балатируетесь в кандидаты,2020-06-14T09:02:43Z,0
24,Ugxv6XL-zjGxehBQodV4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,T1000jts Android,Идите в президенты и жестко наведите порядок вплоть до расстрела чинуш уголовные дела за невыполнение указов,2020-06-14T05:03:58Z,0
25,UgxDLHGLJtazAJlxn8h4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Алексей Мохнаткин,"Матушка Россия как тебя мучают, держись родина.",2020-06-13T20:05:33Z,0
26,UgwSV6kVATS_FNAIVvt4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Иван Абатур,"Давеча поделился инфой с Алексеем но он тутже бросился в объятия европейских судей и монетизировл скандальчик .Делиться  надо ,иначе можно превратиться в памятник в натуре.!",2020-06-13T16:37:05Z,0
27,UgzaxTEYjejp2XEKR4x4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,allllexey1,"Ростехнадзор не заставил соблюсти все правила, отсюда следует что директору не дали на мероприятия по безопасности денег. Стандартная ситуация. Обратно, если бы инспектор Ростехнадзора настоял на соблюдении всех правил, его бы уже уволили.",2020-06-13T15:00:35Z,0
28,Ugx6nseI0WNIFF3XDvp4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,allllexey1,"Промышленная безопасность хромает на всех предприятиях. В городах контролирующие органы ещё за чем-то смотрят ( а то много народу пострадает, аукнится), а подальше можно бабло собирать.",2020-06-13T14:54:06Z,0
29,UgyKBd6-PHuJPDriYgF4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Тубасси Навойкин,При переходе с Рао к Гмк были уведены акции моего отца,2020-06-13T13:57:24Z,0
30,UgzR313llUQlfjXaiWZ4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Тубасси Навойкин,Патанин присвоил акции моего отца Норильского комбината,2020-06-13T13:52:48Z,0
31,Ugw1m2PwzBSJ9wOti8h4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Dewis,"матушка природа накажет всех причастных, но можно ей помочь и казнить их",2020-06-13T11:46:02Z,0
32,UgyuAyAOIgK4pir7Y-F4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Мария Сергеевна,Какой Усс наглый и гнилой человек. Даже слушать не приятно его. Ненавижу,2020-06-13T11:15:51Z,0
33,Ugx06aj7E6TH7lmtor14AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Мария Сергеевна,"Как мне все это надоело! Никто не арестован, никто не сидит, никто не восстанавливает ничего! Как мне надоела эта власть! Пусть Всевышний накажет их побыстрее",2020-06-13T11:12:42Z,0
34,UgyntfzrXyOZ_rvYujx4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Russland Deutsche,Поедь и помоги,2020-06-13T05:09:26Z,0
35,UgzjpBSEdTyrADkTBB14AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,1,wildlife Leo bear,"Спасибо вам Алексей и Людмиле Фионовой, Евгению Ройзману за правду, но к сожалению наивный народ пойдет голосовать  за продолжение вакханалии...((",2020-06-13T01:27:51Z,0
36,UgztU4sx4YS-qHVLYIN4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,unknown unknown,"Щас крайнего найдут как вы задолбали,",2020-06-13T00:18:18Z,0
37,UgzT6hqf54qGpGsHnvZ4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,unknown unknown,"Психология выстроина,на уничтожение человеческого достоинства,тайга горела,людям пофигу,черное небо,пофигу быкова посадили пофигу,реку убили,животных убили,всех запугали,нет народа нет страны",2020-06-13T00:13:36Z,0
38,UgwMSITiAgN3X7o35sl4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,pioner pionerovich,Алексей Добрый день не могли бы вы дать свои комментарии по поводу ареста Николая Николаевича Платошкина,2020-06-13T00:02:58Z,0
39,UgyFI7W34MXRKYxgJ_p4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Школьный ресурс,"Не в твиттере, а в инстаграме",2020-06-12T22:12:31Z,0
40,UgzNqXgGkBkMqkeCcVZ4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Angelika Wetrova,"А нельзя подать в европейский суд на юридическое лицо,чтобы возместили расходы? Или,вообще, на государство?",2020-06-12T21:09:51Z,0
41,Ugy44LZhVqqjyn0VO1l4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Angelika Wetrova,"И хотят,чтобы этот ""человек"" сидел вечность? Всех с трона и кормушки пинчищем под зад!",2020-06-12T21:07:57Z,0
42,Ugypz20q38ZXF9cAbK14AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Angelika Wetrova,Мне плохо.,2020-06-12T21:01:51Z,0
43,Ugyj4DsO-2XZO4akezV4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Sergey Raduga,Навальный звони всем пусть едут создают коммисию экологическую на междун.уровне!!!,2020-06-12T20:26:45Z,0
44,Ugx9BRMCpV567XDKIOd4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Sergey Raduga,Как же болит буша и горит от горя......Боже помоги !!!!!,2020-06-12T20:21:59Z,0
45,UgyAKUIn8d0L6xTbUCV4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Леонид Касимов,"Алексей, ну о чём ты? ты забыл Саяно - Шушенскую ГЭС? там тоже была прямая вина дерипаски, но у него не оказалось денег и мы восстанавливали её всей страной, под это дело сразу же были увеличены тарифы на электроэнергию в 2 раза. Не забывай что это путин. И олигархов у нас наказывать не принято.",2020-06-12T18:18:19Z,0
46,Ugxq7y0d95eecMKEEiB4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Altf4,"Умные люди еще несколько лет говорили что в близжайшие годы техногенные катастрофы будут стабильным явлением как и сам Путинский режим, потому что не ремонтировали ничего со времен СССР. Хотят доить корову но не кормить. Если и случится массовый митинг при котором свергнут Пу, то скорее всего либо из-за подобного случая с выборами в мосгордуму, либо из-за какой нить трагедии где опять умрет куча людей.",2020-06-12T17:20:45Z,0
47,UgwHyWOHBpEHxre68JZ4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Ludmila Mirakova,"Всех к ответу, справедливому ответу",2020-06-12T17:18:01Z,0
48,Ugw0BNMdtaKYvoM4IlJ4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Ludmila Mirakova,Их раскулачить надо пусть расплачиваются за этот беспредел,2020-06-12T17:15:53Z,0
49,UgzRB8RMT-YaJyx4P8h4AaABAg,9HK_VGuJ0Pk,Навальный LIVE,0,0,Ludmila Mirakova,"На хера нам такой президент, если он не может навести порядок, да стареет он и не нужен, молодежи уступить место",2020-06-12T17:11:49Z,0
