,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx-5TFc8kqwB7tJMnJ4AaABAg,9Qxszg7yqSI,Максим Кац,323,1245,Максим Кац,"Загляните ещё на канал депутата МГД Дарьи Бесединой, там интересное видео вышло вчера про некомпетентность московских транспортных властей. Хотят вернуть в город пробки, да ещё и сильно их увеличить! https://youtu.be/4SmGBRa669I",2020-06-04T14:12:39Z,0
1,UgwRMgLbMQNvoaVYmIJ4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,Сергей Кротов,Еще один кошегный геволюционег),2020-07-02T23:25:39Z,0
2,Ugz4PcYk7Uw6eULWpsZ4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,Diana Muksinova,"В плане честности результатов всё зависит от конкретной комиссии на участке. Судя по статистике Избиркома на разных участках есть участки, где результаты выглядят очень правдоподобными. Например, на моём участке проголосовало 44% против. Видела также участки, где 56% проголосовало против. Всё-таки в целом голосуют в основном пожилые, а молодёжь вообще не интересуется.",2020-07-02T16:16:48Z,0
3,UgyZW-RL8pR6vVloTPB4AaABAg,9Qxszg7yqSI,Максим Кац,0,1,A.,Не убедили),2020-07-01T18:21:42Z,0
4,UgyqLykHV6EkEgvA3TZ4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,bezromval,Историческое видео. Сегодня я пошёл и проголосовал против поправок.,2020-07-01T17:10:47Z,0
5,Ugz7B-AtXNoZmhf2Hit4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,Кубышкина Светлана,По Платону всё делаете! :),2020-07-01T13:59:45Z,0
6,UgwtDZyxVwNjr6d7b5V4AaABAg,9Qxszg7yqSI,Максим Кац,0,1,danny crime,90% против поправок,2020-07-01T11:52:12Z,0
7,UgzmPxpYn9vcMM4gENV4AaABAg,9Qxszg7yqSI,Максим Кац,0,1,danny crime,"Я представляю Путина ""ой вы проголосовали против, ну сорян я ухожу""",2020-07-01T11:49:55Z,0
8,UgwwS3MlSlN56AeLjRt4AaABAg,9Qxszg7yqSI,Максим Кац,0,1,danny crime,"Впринципе ты прав, если люди проголосуют против, то будет сложно подделать результаты, люди востанут и митинги против",2020-07-01T11:37:29Z,0
9,UgzodRwdscJr0KHetbd4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,Assia Prince,"На гос услугах голосовать онлайн нельзя! Там блокают эти попытки, потому что если ты 25-26 числа не зарегистрировался, то все, поезд ушел. Я 28 пыталась свой голос против изменения конституции отправить, но сайт выдал ошибку. А шутка в том, что я зарегистрировалась на сайте гос услуг ранее 3 месяца назад)) указала доки, мою учетку подтвердили, что она ""настоящая"", а не левая, но все равно не дали проголосовать и не только мне.",2020-07-01T09:29:39Z,0
10,Ugyq2DtGy8njJUknMlx4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,Mass Effect,"Да как мы можем помочь, если галочки дают даже без паспорта ставить, логично что в нужный момент они и сами их ставят, так оно и есть, ходят видеозаписи в соц сетях что люди пришедшие на участок оказываются уже в списке проголосовавших. А что мешает им тупо выкидывать билютени с галочкой против?",2020-06-30T21:34:34Z,0
11,Ugz_Cry9aIrdeFggerh4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,Roman Rustamov,"Горите в аду!!! Образованные люди ещё остались в этой стране! И мы, против!",2020-06-30T20:19:55Z,0
12,Ugyd49RS7mQvtS8w9PV4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,Президент Грудинин,"Какой ты нудный, еще и призываешь голосовать, откуда столько подписоты, сколько уже вложил в рекламу канала?",2020-06-30T18:56:56Z,0
13,UgwSB_GuFs3p5-gOgfV4AaABAg,9Qxszg7yqSI,Максим Кац,0,0,Светлана Ханислямова,"Максим, спасибо! Узнала действительно важную для себя информацию.",2020-06-30T14:50:52Z,0
