,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugy3NaamxYQ_cHPqRFZ4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,1,alik kasya,"Парадобесия , Северная Корея 2",2020-07-02T23:34:43Z,0
1,UgwWWR7Pnwf6D1pB9CJ4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Дмитрий Подуруев,"Идет возложение цветов к Вечному огню, а у комментаторов рты не закрываются... Не уважаете живых, так уважайте погибших!!!",2020-07-02T05:20:42Z,0
2,Ugwg3qA5sKkok2dEnOd4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Олена Добряк,М рази  кто  вам разрешил снимать предатели,2020-07-01T22:32:26Z,0
3,Ugxj-oXTQ-0DX-0IR_t4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,ОЛЯ Петрова,"47: 25 Да, интересная фраза, так нацизм сокрушил? или народ сокрушил?  
 *Нацизм сокрушил советский народ*",2020-07-01T20:47:56Z,0
4,UgzBsSSpD4WpWoiAmNJ4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,ОЛЯ Петрова,"Красное Знамя, символ победы несут вторым  и даже НЕ РАЗВЕРНУЛИ!!!!!!!!!!!!! 
ПОЗОР ТОВАРИЩИ!",2020-07-01T20:35:40Z,0
5,UgwOO7aYgxdOSK4Rx9R4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Екатерина Екатерина,Что это   сейчас показали? . Белорусы не изменяют святым  традициям и не портят святые праздники. Молодцы Беларусь.,2020-07-01T20:10:01Z,0
6,UgwCq7Lrqn-rXuhG4FV4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Alexsandr2020,"Парад идёт пуканы либерда и укранациков рвутся , прекрасно)))",2020-07-01T16:44:02Z,0
7,Ugz64hrRqQ-kWBxZbH14AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,2,Dušan Karabin,хочет добавить это! Северная Корея лучше!,2020-07-01T15:28:45Z,0
8,UgxIIoY9_psskxbPvDR4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Семен Семенович,несколько болтунов oбocpaли весь парад,2020-07-01T12:07:12Z,0
9,UgyAlve5nLLHjsTGWK14AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,2,Любовь,"Соотношение лайков и дизов  лучше, чем любой опрос Левады или фейковое ""голосование"" показывает реальное отношение общества к власти, победобесию (когда нет больше ничего, чем можно гордиться), позорному обнулению (когда людей считают за стадо). Вот это и есть МОМЕНТ ИСТИНЫ - только идиоту не понять, О ЧЕМ эти дизы  и ЧТО ИМЕННО большинству не понравилось в этом видео (это не каналу дизы)... Сомневаюсь, что ветераны, если бы они были живы, одобрили бы эту показуху, особенно те, кто доживал и умирал в нищете .",2020-07-01T09:00:05Z,0
10,UgwIpwktQ-z6G9e5iTJ4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,3,Дмитрий Николаев,Лучше бы отдали беременным детям пенсионного возраста!,2020-07-01T08:42:47Z,0
11,Ugw6yJi3laAaWgj4wvN4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Slon_top _top,Бездарный телеканал дождь 👎👎👎,2020-07-01T06:40:16Z,0
12,Ugy7H1ta73jJcMxR5nd4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Chippolino Wows,"Все поздравляют с 70летием Дня Победы, а я ищу тайм код на котором парня накрыло флагом РФ",2020-06-30T20:58:12Z,0
13,UgyWEhJko3xZFQ8eJe94AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,3,Володимир,Парадобесия.....????!!!!!,2020-06-30T20:02:12Z,0
14,UgyYCIzrTv5IGqbcEbJ4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Равшанбек Жуманиёзов,"Либо так славно пройти либо под ""Большой вальс "" как в 1944 году для тех кто собирается в нато или уже там.",2020-06-30T19:31:43Z,0
15,Ugy6Iyc-i9VtFa3baAl4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,videoTropos,"Сколько по деньгам обошлось пробить себя на первое место в поиске? Ведущий фонтанирует - ""я не узнаю, кто это.""",2020-06-30T18:57:32Z,0
16,UgzUhRWzC-H6HAxOeIN4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Emil Rybka,"Режиссер парада Власовец, испаганил всю картину величия парада. Детям можно только показывать парад победы времени СССР, всё остальное от режиссера фашиста, специально выбраны худшие кадры. СЕРГЕЙ Кожугетовичь, что у вас творится?",2020-06-30T18:25:40Z,0
17,UgzYVGVYI5BqFkPsQbt4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Last,Слава Україні,2020-06-30T16:38:06Z,0
18,UgxUa2PTHJMVe60a8Ft4AaABAg,9RpzTNTnMt4,Телеканал Дождь,0,0,Беркут ВДВ,Дождь говно 💩,2020-06-30T14:47:25Z,0
