,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugw9CR0-FOxAsr_V7PN4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,серш-всё понел нескажу,песков не прав,2020-07-01T07:55:16Z,0
1,UgxVpPE4rKx3w8BwR7F4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,Okie Dokie,"1 - отрицание
2 - гнев
3 - торг
4 - депрессия
5 - принятие поправок",2020-06-28T18:07:30Z,0
2,UgzfPapvf5hCN8VDn3V4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,Roman Roman,Милиция не причем. Стстема,2020-06-26T09:56:22Z,0
3,Ugxjfi_-biXB_I3fe-N4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,Roman Roman,В застенки всю россию,2020-06-26T09:54:28Z,0
4,UgxlWPPOsjkISGgPVQp4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,сэм вишан,"Правильно сделали что задержали, очень жаль что не надолго ! Вы негодяи прекрасно знали с кем имеете дело, это видно по лицам, речью и поведению этих уродов ! но вам мало, вам нужно ну хоть как - то преподнести в эфире, что идёт ""умышленная фальсификация"". В АМЕРИКУ СВОЮ ДУЙТЕ ! там ""штаб"" по разным ""ГОВНО - ВМЕШЕТЕЛЬСТВАМ!"" Откуда вы только вылезаете ? Сколько же вас злопыхателей развилось ! Черви ""ДОЖДЕВЫЕ"" ! На хрен вы ещё Пескову нужны ? а Оля Скобеева и др. правильно всё оценили. А вы негодяи и дождевые фальсификаторы. БРАВО ПОЛИЦИИ !",2020-06-25T23:44:39Z,0
5,Ugykhm1MBABPPlEuEM94AaABAg,9VaKhz7561E,Телеканал Дождь,0,1,Газияв Газиев,"Молодцы  дождь, так держать.",2020-06-25T17:59:07Z,0
6,Ugz8YJG1glha-z68GZt4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,Sergei Golovkov,Парень герой! Молодец! Береги себя!!!,2020-06-25T15:08:07Z,0
7,UgyH07xOt1gIY8i0b6p4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,Емеля Пугачев,"Посмотрите на лица которые говорят о фейках,ужасно.",2020-06-25T07:38:28Z,0
8,UgyuDQ-PKJG2aJUGovN4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,Кузькина Мать,"Полицаи к нам они никого отношения, они служат на другое государство за наши налоги.",2020-06-24T20:47:15Z,0
9,UgxNDqcMwMVudXCO2iJ4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,karabukasik ru,А как пученеги боятся правды  El pueblo unido jamas sera vencido (когда народ един-он непобедим),2020-06-24T13:48:06Z,0
10,UgwArTsq-D0b9aLGTVh4AaABAg,9VaKhz7561E,Телеканал Дождь,0,0,Anna,"Мелочные сущности, которые Родину, на которой воевали их деды продают.  Я за поправки Путина. И чтобы ему вечно быть президентом.",2020-06-24T13:23:52Z,0
