,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugz1WxXhvzht7hQxjQB4AaABAg,9_vlFJzpsTY,Максим Кац,22,157,Максим Кац,"Немного политических высказываний в этом видео :). На будущей неделе будет много интересного, подписывайтесь на канал и ставьте колокольчик!",2020-05-03T17:12:41Z,0
1,UgxNwTF95P63eyFCjcl4AaABAg,9_vlFJzpsTY,Максим Кац,0,0,Серый Кот,топ,2020-06-06T17:02:54Z,0
2,UgwLHNxggtbyHPV9Xjp4AaABAg,9_vlFJzpsTY,Максим Кац,0,0,Evil Morty,"То чувство, когда в деревне северной Осетии, стоит вышка 5 g, а тебя 4 не всегда работает 🤨",2020-05-26T08:53:43Z,0
3,Ugx0gjoMXOceoLjXiYp4AaABAg,9_vlFJzpsTY,Максим Кац,0,0,Pedroof,Антибиотики от вирусной пневмонии - верный симптом дибилизма врача.,2020-05-24T08:41:07Z,0
4,UgwzWqkMyvwFL6RdNmd4AaABAg,9_vlFJzpsTY,Максим Кац,0,0,Tatiana Mamontova,"Есть история в копилку: пришлось посетить дерматолога в кожвене по прописке. Заказала талон на сайте,  приехала. Не пустили к регистратуре, пока я не померила температуру и пока густо не обработали мне руки антисептиком. Регистратор в маске и все обрабатывает вокруг. Доктор была в маске. 

И это кожвендиспансер! Т.е. не инфекционное отделение в поликлинике, а отдельно стоящее здание, с совсем другой спецификой. Это ж просто хаос - в одних местах все серьезно, а в других всем на все плевать",2020-05-23T07:26:51Z,0
5,Ugz2Uv3JS-0ingci9Q14AaABAg,9_vlFJzpsTY,Максим Кац,0,0,Tatiana Mamontova,"Есть в Инстаграме блог врача, который сейчас в красной зоне работает (urolog.davydov). Он тоже сообщает, что в основе терапии антибиотики имеются и вообще кругом ужасная неразбериха. Т.е. даже в специальной зоне.",2020-05-23T07:20:38Z,0
6,Ugwnqd-qZwLNiXbVdL54AaABAg,9_vlFJzpsTY,Максим Кац,0,0,Никита Дудник,Отличная подача,2020-05-18T18:47:33Z,0
7,UgxtRuOL2HglW1aj-t54AaABAg,9_vlFJzpsTY,Максим Кац,0,0,crusader,В Москве настолько безграмотные или это такой говор типа гопник(ца) 2.0?,2020-05-18T16:52:23Z,0
8,UgwsqciVYefN1DDvaxF4AaABAg,9_vlFJzpsTY,Максим Кац,0,0,akass,"А  можно видео о том как в других странах реагировала бы власть на такие расследования, как делает ФБК?",2020-05-17T04:52:17Z,0
9,UgyxBGuoDWqLrpSaWHN4AaABAg,9_vlFJzpsTY,Максим Кац,0,0,Анна Андронова,👍,2020-05-12T18:14:48Z,0
10,Ugzu8_fRxoKmStFUhNN4AaABAg,9_vlFJzpsTY,Максим Кац,0,0,КОт ZILLa,"О*уительная история 
😢😢😢😢😢😢😢😷😷🤧🤕",2020-05-11T16:37:39Z,0
