,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzsPTMabdUiXF9UceN4AaABAg,A9mny08uI8s,Навальный LIVE,220,1015,Навальный LIVE,"Таймкоды:
0:22 В эфире Алексей Навальный или «бьюти-блогер», как назвала его депутат Мосгордумы от «Единой России» Людмила Стебенкова.
2:02 ❗️Бунт депутатов.
4:17 «Они потребовали проведения проверки в отношении Шапошникова и потребовали снятия его с должности», — Навальный о том, как депутаты Мосгордумы потребовали отставки главы московского парламента.
5:31 🎥 Депутат Мосгордумы Михаил Тимонов: «Возглавлять Московскую городскую Думу должен человек, к которому нет вопросов с морально-этической точки зрения».
10:21 🎥 Трансляция комиссии по контролю за достоверностью доходов Шапошникова прервалась во время обсуждения главного вопроса собрания.
13:31 «Шапошников получил два миллиарда и вообще ни о чем не хочет отчитываться. Нужно не только Шапошникова, но и всю эту банду реально „мочить“»
16:22  🎥 За что прокуратура Москвы проверяет деятельность Ильи Яшина.
20:02  ❗️Размывание духовно-нравственных ценностей.
26:33  «Все эти дела за лайки и за все остальное почему возникают? Потому что однажды Путин и Патрушев сказали: „В России возрастает политический экстремизм“. А значит, всем ментам по всей стране нужно показывать, что он „возрастает“».
30:10 🎥 Пропагандистское видео о том, как якобы активисты штаба Навального загрузили фотографии Гитлера и Мюллера на сайт «Бессмертного полка».
36:13 ❓Расскажите про ситуацию с Юлией Цветковой. Люди должны знать.
38:05 ❗️ В Америке бунтуют, а у нас — нет?
40:50 🎥 Жители дагестанского села Манас вышли на стихийный митинг из‑за жестокого задержания пожилого человека.
41:15 «В таких тоталитарных странах, как Россия, ничего нельзя добиться, кроме как выходя на улицы. Они вышли — и этого полицейского сняли и, вроде бы, возбудили дело».
42:37 🎥 «Сейчас тебе наркоты подкину, поедешь в тюрьму»: как сотрудники Росгвардии угрожали мужчине, который громко слушал музыку в квартире.
46:33 «Наша правоохранительная система, в нынешнем состоянии — гигантская, пожирающая огромное количество денег — заслуживает протестов».
46:52 ❓Что будет с программой «5 шагов для России»?
49:11 ❗️Золушка с миллиардом.
51:39 🎥 Горящие реки и тайное имущество главы Росприроднадзора Светланы Радионовой: https://youtu.be/3rBTWwHsqYE
59:12 «Росприроднадзор занимается укрывательством преступлений. Это самая большая экологическая катастрофа за всю историю Арктики!», — Навальный о катастрофе в Норильске.
1:02:13 ❗️Очень странные дела.
1:02:54  🎥 «Борьба еще не закончена. Тем не менее, хочу поздравить нас с общей победой»: Собянин объявляет об отмене режима самоизоляции в Москве.
1:05:09 «Что происходит-то? Вы неделю назад сказали, что это наша очередная общая победа, а сейчас говорите, что не нужно ходить на праздник. А зачем вы вообще проводите этот парад?»
1:09:41  🎥 Врио главы Камчатского края попросил перенести парад в регионе из-за коронавируса.
1:12:22 «Если уж губернаторы вылезают и говорят: „Не надо парада нам, потому что мы боимся проводить парады“ — начерта его проводят в Москве, начерта его проводят в Питере?»
1:15:29 🎥 «Отделение на 190 коек. Они заняты все»: заместитель главврача больницы в Северодвинске о нехватке медработников и коек для пациентов.
1:22:25 ❗️Да у нас медицина лучше!
1:23:24 🎥 Дмитрий Песков: «Вы не задумывались о том, что российская система здравоохранения более эффективна?»
1:25:00 «Этот мерзавец-миллиардер сидит и вешает лапшу на уши всему миру, говорит: „Да, в России такая классная, модная, лучшая система здравоохранения, поэтому у нас ниже смертность“».
1:26:02 ❗️Голосование: что делать?
1:26:26 «Хотите проголосовать против? Мне такая стратегия кажется наивной и немножко даже смешной. Но если к этому лежит ваше сердце — идите и проголосуйте против. Главное — не признавать. Потому что все это — липа».
1:28:05  🎥 «И ты приходи, котик»: агитационный ролик с призывом приходить на голосование по поправкам.
1:30:26 «Когда людям объясняешь, они очень хорошо понимают. А когда просто вот эта вся фигня: „Мы должны пойти проголосовать, потому что власть увидит!“ — да ничего она не увидит. Это голосование устроено таким образом, что там нет шанса вообще ничего проконтролировать».
1:33:35 🎥 Экономист Константин Сонин: «Всерьез обсуждать, что это голосование что-то решает, — это смешно».
1:36:48 🎥 Экономист Сергей Гуриев: «Тот факт, что это голосование проходит первого июля, и показывает стремление властей назначить его как можно быстрее и разнести во времени с единым днем голосования, чтобы иметь больше возможностей для фальсификаций».
1:49:03 ❗️Либерал Ефремов устроил аварию.
1:50:26 🎥 За что российская власть не любит Михаила Ефремова: выступление в рамках проекта «Гражданин поэт».
1:52:55 «Здесь позиция-то простая, здесь позиции другой быть не может: Ефремов — убийца. Он сел пьяным за руль. Водка — зло, а люди, которые ездят пьяными за рулем — чудовищное зло».
2:02:46 🎥 Видео персонажа Виталия Наливкина, за которое его теперь разыскивает полиция.",2020-06-12T01:53:27Z,0
1,UgxY0mbiQ4OOD4ZM8Pl4AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Леонид Кузнецов,"Алексей, вот говорят - вы авторитет для возраста 50+, я не уверен в этом, я и еще 12 моих знакомых подписаны на вас и поддерживаем вас, и ни кому из нес нет и 35-ти лет",2020-07-03T06:35:00Z,0
2,UgyurBoNrRO77WkZDiJ4AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Алена Петрова,"Изуверы хотят всех сделать изуверами, т.е.моральными уродами. Как я это узнаю.
Не помогать инвалидам и просто слабым - ЭТО ИЗУВЕРСТВО И МОРАЛЬНОЕ УРОДСТВО.",2020-07-02T18:59:07Z,0
3,UgyQFiHECOZTzTgTMzB4AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Людмила Мачина,Надо же  какое  прозвище  придумал  для  Навального?  Ты  сам  Азербайджанский  шнурок.,2020-07-02T14:56:02Z,0
4,Ugw4wczmoRkcnQuZ6oh4AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Дмитрий Кудрин,Кааааааак эта бабка еще работает? 😳,2020-07-02T14:10:18Z,0
5,Ugwm5FHWhwlfIRkytxN4AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Mister No,Навальный вы супер!!,2020-07-02T08:47:54Z,0
6,UgyIEfTbuwCgSBI9X8Z4AaABAg,A9mny08uI8s,Навальный LIVE,0,1,Kira Kiss,ПЕСКОВ МЕРЗКАЯ ТВАРЬ,2020-07-01T14:47:25Z,0
7,Ugz5rqgAJjSUEa-Zn454AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Нина Кузьмова,Ненавижу Навального чума,2020-07-01T13:09:44Z,0
8,UgwwlbE-U6RVeLyjiEZ4AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Паша Лабутин,"Когда только началась вся история с голосованием потратил часа 2, но прочитал все поправки, а там нет ничего про обнуление, в этот момент разочаровался в аппазиции, уже решил, что балаболят. И я никогда бы не узнал о том, что обнуление есть, если бы случайно не наткнулся на видео где показывали новую конституцию с вырезкой этой статьи.",2020-06-30T20:07:38Z,0
9,UgzdHjvU-Z_JoEnIAZB4AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Wait and see,громкая музыка в 8 не плохо менты с наркотиками плохо,2020-06-30T14:33:30Z,0
10,UgwSYD-zVq0SZcPllzN4AaABAg,A9mny08uI8s,Навальный LIVE,0,0,Fil Zamdvais,"прекрати бить своих же, пожалуйста. давайте вместе будем все",2020-06-30T01:10:29Z,0
