,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwnlzCMiTRlS8pQzLN4AaABAg,AerEnJeLARk,Навальный LIVE,140,1617,Навальный LIVE,"Подпись за то, чтобы людям оказали прямую денежную помощь прямо сейчас.
Просим подписаться.
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 30 апреля: https://youtu.be/PAY56ovT4Qc",2020-05-06T12:52:31Z,0
1,UgzMji0vkwyGEL2Lruh4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Ryerose,2:35 что за музыка на заднем фоне?,2020-07-02T18:16:14Z,0
2,UgzhqWRxakFH75Vo0IF4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Ryerose,Что за музыка играет на заднем фоне?,2020-07-02T18:15:18Z,0
3,UgwRcgjk1f2YojaR7kV4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Жанна Курган,"Вот уже и каронтин сняли, а в Красноярске люди сидят в обсервации чтоб уехать на работу. Есть инцидент который следует взять на контроль определенными инстанциями. Люди отсидели все сроки и вот им надо уже улетать на работу, как выясняется что у одного из них положительный результат на вирус. И всех конечно оставляют в обсервации. Но потом выясняется что этот результат ошибка. Казалось бы надо этих людей отправлять на работу, но нет. Их продолжают держать под предлогом что Роспотребнадзор должен отправить письмо в Роснефть,что все в порядке и люди все здоровы. Но видимо писать не умеют, либо отправлять надо с собаками . Результат остаётся плачевный. Есть люди которые сидят там уже 3 недели и больше. Интересно, кому-то это выгодно? Или опять простая бюрократия.?",2020-06-16T12:03:56Z,0
4,Ugz3dpALsbIAll-AiKd4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Earline Jorgenson,"03:11
03:30
07:43",2020-06-06T13:39:17Z,0
5,UgwH2427ai3wlZFEaXt4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Baltic Part,Я процитирую Гордона: «Я могу назвать Путина одним именем - преступником!»,2020-05-21T18:32:13Z,0
6,UgwlA9Ez-esmY903Acx4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Pura Vida,А может потому что денег там уже давно нет! Поэтому они врут и не вводят ЧС,2020-05-19T23:13:51Z,0
7,Ugz6wjhLsVl9-Uvj-ud4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Dmitri Teichrib,Путин! Сколько бабосов ты уже экспропреировал?????????    там походу и твоим правнукам работать не надо !!!!!!!,2020-05-19T20:56:01Z,0
8,Ugw_RDvo8cKpa0arBPh4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Сергей Петров,ПЫНЬКА ОПЯТЬ ВСЕХ ПЕРЕИГРАЛ.,2020-05-16T18:32:01Z,0
9,Ugzi7LoCi9ukMpldcmt4AaABAg,AerEnJeLARk,Навальный LIVE,0,0,Ренч Младший,Нету ЧС потому что будут последствия.(Хуже чем пандемия),2020-05-16T07:28:01Z,0
