,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwNjtwh6ndM5damlkV4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Red Shuhow,Дык эта наливкин приколы или в реале,2020-07-03T11:32:59Z,0
1,UgyW7v4yj8gD85QZkWJ4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Владимир Владимирович Пэже,Давай видео,2020-07-02T08:15:25Z,0
2,Ugwugbp6OHuXwVzHvHF4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Из долины Голда,Наливкин наш ЦАРЬ,2020-07-01T18:49:08Z,0
3,UgzSbtyUF0ofMZ4_eOR4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,ммм партизан,"Свободу Наливкину , смотрите поймали блин бандита .",2020-07-01T10:06:15Z,0
4,UgzwUeicm_qeMkWge4h4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Sergej Vasiljev,Звание сотрудника подстать занерженному😅,2020-07-01T10:04:40Z,0
5,UgyjGTNCiriH0JWTz3R4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,ДНЕВНИК ПАЦАНКИ,Видео с женой Наливкина - https://youtu.be/eJqWOL2ytd4,2020-06-30T18:28:29Z,0
6,UgwtpeEW8XDPGczoW_Z4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,herrniemand,ты где,2020-06-30T12:36:42Z,0
7,UgxdHp2WfjRk7vlbCDN4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Красный Угар,"Он что?, конституцию РФ нарушил или виллу на озере Комо купил?или шубохранилище построил?Байкал продал?нет,он пытался  россиянам помочь,понять.",2020-06-30T06:22:19Z,0
8,UgyJVQ1ulDSAs55LiYl4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Неандерталец,Злоупотребил полномочиями ))),2020-06-30T04:48:44Z,0
9,UgyItDCegcidPld0DOZ4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Roland Deschain,"Черный пиар против Наливкина, который реально чем то занимается...",2020-06-29T22:09:06Z,0
10,UgyFB-0q-h_VayQKuMV4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,aerotable,наш герой,2020-06-29T20:59:10Z,0
11,UgyruqcZVkJbjTY_HwZ4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Денис god,0:41 микро спалили,2020-06-29T18:53:28Z,0
12,Ugzs5q0MP-AigSzUMX94AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Rita Pavlinova,"самое главное,что работа по улучшению социальной инфраструктуры будет производиться в прежнем объеме!!! Наливкин - Наш Президентъ!",2020-06-29T18:06:09Z,0
13,UgyZ38QzHJsyk_XsPYB4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,star man industries,Наливкина в президенты!,2020-06-29T00:16:32Z,0
14,UgxHtFAoOpVEZNe3z8R4AaABAg,BZGR6nIOgjw,BARAKuda,0,1,Модели в масштабе 1:18,Вот это ум у человека) Я восхищаюсь Виталием.,2020-06-28T21:40:39Z,0
15,UgwkPDwa3-uhe54iaPh4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,SMD,Клоун,2020-06-28T20:41:28Z,0
16,Ugy9eWlTkfd0ynXeqex4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Вячеслав,Руки прочь от Наливкина,2020-06-28T19:21:48Z,0
17,UgyGG8TwjTkTjaDMDrp4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,MaiR YoUTuBe,А ведь Железняков до них дошел и Наливкина показали по НТВ,2020-06-28T12:37:25Z,0
18,UgwBJ2FMjQPgMI1tKah4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Black Sea Trails,"На сколько власть очкует, что арестовывает чувака, который угарает на ютубе или, та же власть, ловит шамана и упекает в психушку.  Жалкое, совковое зрелище.",2020-06-28T11:40:45Z,0
19,UgzbZKvtrUN_zjuMeTV4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Alex,Наливкин- Человек Дела ! Сказал - Сделал !,2020-06-28T09:25:19Z,0
20,UgwgFdNtY4ybPVTn3nN4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Novgorodsky,*#ПоправкамНЕТ** ❌*,2020-06-28T09:18:48Z,0
21,UgzvAr8cImhIgHpo7Rh4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Антон Чадилов,"Надо сделать перевод и отправить видосы за океан, пусть понервничают.",2020-06-28T08:46:13Z,0
22,Ugy6GjJ2WdC2Lcklabh4AaABAg,BZGR6nIOgjw,BARAKuda,0,1,Котики Шахматисты,Долой Царя!!!   Свободу народному депутату Наливкину!,2020-06-28T05:26:35Z,0
23,UgwtbDylM7AT6aXYh894AaABAg,BZGR6nIOgjw,BARAKuda,0,0,BIG_USER_95,ЭТО ФЭЙКОВЫЕ СМИ,2020-06-27T21:09:24Z,0
24,UgyHclwtEU32vLXvJlZ4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Michael Jopin,За Наливкина!,2020-06-27T20:19:15Z,0
25,Ugzzsq4k0HOQVhkObw94AaABAg,BZGR6nIOgjw,BARAKuda,0,2,Пропаганда Геббельса,"И ведь некоторые подумают, что это рофл",2020-06-27T17:24:09Z,0
26,UgymRugSUN_B1tFWo-B4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,Иван Патраков,Подливкин 5 суток без водки не сможет,2020-06-27T14:35:15Z,0
27,Ugz2CUS2vm4ZmoCo1Ux4AaABAg,BZGR6nIOgjw,BARAKuda,0,0,koras anton,Виталия народ с тобой!!!,2020-06-27T14:01:25Z,0
