,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzmnsJY9AtUjBaUXAt4AaABAg,BZQoLE2QrUc,Телеканал Дождь,6,42,Телеканал Дождь,"00:00 - Если бы ты стал генеральным директором Первого канала.Что бы ты изменил, а что бы добавил?
04:25 - Например, в «Вечерний Ургант» приходит Владимир Путин ... Как ты его расположишь?
06:40 - Было стыдно за какие-нибудь шутки? Над чем нельзя смеяться? 
09:31 - В чем ты видишь расширение бренда Урганта?
13:09 - У Малахова рейтинг больше чем у Урганта. Почему так?
15:10 - Об отношениях с сотрудниками и подчиненными
17:31 - Хотел бы работать в Нью-Йорке?
20:42 - Ургант о своих заокеанских коллегах (Джимми Киммел, Джон Стюарт)
23:30 - Вопрос от Урганта: «Что в нашей стране должно произойти, чтобы люди стали модно одеваться?»
24:59 - О гастрономическом фетише Долецкой
26:59 - Об участии в эстафете олимпийского огня и не погасшем факеле",2020-06-22T18:44:27Z,0
1,Ugx7rcYTx2Oq2HNWg1l4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Армо Армо,Очередные жополизы...И не более того,2020-07-03T10:26:27Z,0
2,UgxqDIeOMQntZoEDPER4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,EKaterina Palivoda,"Выключила на 15 минуте. Диалог без темы, абсолютно не интересно, наигранно. Антиреклама для дальнейшего просмотра Долецкой, даже 30 руб. выпуск не стоит",2020-07-03T09:55:30Z,0
3,UgwMpp9EfwXff4ALu8B4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Oxana Malyukova,"Не интересно совсем, заигрался",2020-07-02T08:38:36Z,0
4,UgzLrtfSEpLaPR-Gd_h4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Вера Иванова,Зачем выкладывать просроченное интервью?,2020-07-02T04:05:22Z,0
5,UgxViLRNznZCvXTmxIB4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Ольга Мор,"голос не СинДевой. при всем уважении, наша ведущая все прокурила и голос у нее на 99 процентов МУЖСКОЙ",2020-07-01T15:20:09Z,0
6,Ugw8Gfkv4KFm_oE4hHR4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Natali Lancova,Про Швецию согласна,2020-07-01T13:53:51Z,0
7,UgxkkY-T4OIgA80hdgJ4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Вова Сава,"Они оба, пересаливают лицом. Грусть!",2020-07-01T04:12:18Z,0
8,Ugx-C8N7TZDKLskY8Gp4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Tamila Art,"Обожаю Ваню 👍. Умнейший парень с острым юмором 👌. Больше бы таких ведущих .
Ведущую вижу впервые, но Очень красивая, харизматичная женщина 👍",2020-07-01T02:42:01Z,0
9,UgxdmWBPPbs8VxH5nJF4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Aleksandra Hessel,LOVE U BOTH! Thanks for this interview!,2020-06-30T11:28:20Z,0
10,UgwceL9UoFOR2S0yAA54AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,1,vv,"Тут в комментариях одни ""звукорежиссеры и монтажеры""! lol Нормальный монтаж и звук! Не заходит только тупым и отстойным  которые примерно так и не сделают монтаж и звук!",2020-06-30T07:42:32Z,0
11,UgyRlp11eEdkLG0mYk54AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Ирина Михалева,"Ваня, нет тебя Прекрасней!!))))))... ловлю твой взор напрасно))))).. 
Всегда с любовью к творчеству твоему! Будь здоров! Респект всему твоему!!!!)",2020-06-30T05:27:26Z,0
12,UgxaeptBHbByf87JR6N4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,tvorlova1,"Пустая трепотня,ведущая никакая, Ургант пиздит не понятно что",2020-06-30T02:18:38Z,0
13,Ugz5o_gdNWIalr9lshF4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Rose Koylubaeva,Какого года выпуск?,2020-06-29T22:03:14Z,0
14,UgyVX_C0lt40oKktKmh4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Татьяна Егорова,Это самое унылое говно за последнее время. Ужасное интервью.,2020-06-29T20:14:41Z,0
15,Ugw_q14RKFLMh_0L00d4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Марина Б,"ааа, тюююю, старое(",2020-06-29T11:10:49Z,0
16,UgzPN8LE__yFBhZsuk94AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Антикризисное шоу,Какая вступительная речь. ..,2020-06-29T08:07:52Z,0
17,Ugzxv33R2MdkYDN0fH54AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,1,Федор Ступнин,Милфа клеит Урганта на протяжении 30 минут,2020-06-28T21:56:35Z,0
18,Ugyr8D1CDjFs2zQo9Gl4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,TheDimengo,Беспринципная ведущая,2020-06-28T16:42:29Z,0
19,UgwCEn97JrQv_ImVBl54AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,2,Алевтина Анисимова,Как Иван похож на Сергея Бодрова,2020-06-28T13:42:35Z,0
20,Ugy7ulBFDfjBeMkz25B4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Ta NuSha,"Чисто мое мнение, но люди с  прокуренным/пропитым голосом не ведущие, плюс эти хрипы слушать, ну такое...",2020-06-28T13:14:15Z,0
21,UgzjgMep-SHmz14xPfd4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,1,Denis Korobov,2013 год.. Спасибо за актуальный контент👍 И вопросы острые😄,2020-06-28T09:43:42Z,0
22,UgyTCpaBb1ttX6Xe_LV4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Дмитрий Шевченко,"Интервью не о чем, одна лесть",2020-06-28T08:52:23Z,0
23,UgwqfQ3gyGDDGaGDjx54AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,1,Lidiya Shevchyk,"хоспади, первые 10 сек думала, что ведущую переозвучил мужик🤪",2020-06-28T06:49:30Z,0
24,UgzgXubaONcFvGzKI4J4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Катюша Kate,"""Если я скажу про этот продукт, (докторская колбаса), его не останется в магазинах"". Люди, живущие в жалкой иллюзии собственной исключиельности.",2020-06-28T06:31:53Z,0
25,UgwunH7L9JX_MicwHrV4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,1,Larisa Balabanova,Обожаю 😍 Ивана Урганта всем сердцем!,2020-06-28T06:11:37Z,0
26,UgxfeNLNBB-TmirC6U94AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Ирина Чубарева,"Очень люблю Ванечку, всегда с большим удовольствием смотрю его программу, но так странно было услышать его недоумение  почему  это  вся Украина так возмутилась на его казалось бы шуточку, друг мой не понимаете, так почему же  Вас не веселят истории про  освенцем  или гулаг  архипелаг, вот уж тема для смеха, не так ли!?... А Ваша шуточка стоит в одном ряду с этими  трагическими событиями  в истории  России и не понимать это по  крайней мере  странно!.. А еще странно приводить  как пример шутки о возрасте пожилой актрисы!.. Мой милый это далеко не одно и то же, а  еще могли бы пошутить о  захоронениях тысяч евреев в Бабином яру, правда ""смешно""!..  Учите историю, друг мой, хотя как ее в России то учить если все подтерто, переписано и  вся ваша История  это сплошное враньё!!!",2020-06-28T05:32:28Z,0
27,Ugz5IbFPEj1Gdkk8av94AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Диана Брайтон,Ваня как то много экает…… и бекает……,2020-06-28T05:27:45Z,0
28,UgyZ9BLrPHFv09DZgEZ4AaABAg,BZQoLE2QrUc,Телеканал Дождь,0,0,Hleborez Warface,пластмасса какая-то. диз,2020-06-27T23:34:20Z,0
