,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwCgdSX-xJ_E9tF9TJ4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Y Grom,"Нам рабам нет чего терять, кроме своих цепей
Вставай страна огромная - хватит терпеть Пупкина",2020-06-23T15:19:24Z,0
1,UgylfP2eStvtUBIzl2x4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Яша Казанский,"Д. Бедного можно понять. Времена,  страх потерять свободу, жизнь и будущее близких. Шелохов, и тот лавирол по острию. ""Поднятая целина"" тому пример, но его честное имя спасает дед Щукарь, под дурачка сводящий на нет остальное. Но сегодняшние, я не знаю чем повязаны, но если оды поют нечестивым за крохи со стола, то предают поклонников. Грош цена. Зазвездились. Настоящий талант уйдет со сцены вовремя.",2020-06-21T09:42:15Z,0
2,UgzNOUQMQ3Os70m6efZ4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Захар Градусов,Кто говорит за кадром ?,2020-06-20T22:19:43Z,0
3,UgzI_0XZASpNXf1lkut4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,цв И.,"Не смейте оскорблять Михалкова.  Он , в отличие от некоторых, говорит истину.  Полностью поддерживаю  Михалкова.",2020-06-12T20:17:00Z,0
4,UgwlX-CrNGMCkrNjXT14AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Ekaterina Lopatnikova,"Ребята, я люблю ваш канал,во многом разделяю ваши взгляды, но этот ролик похож на совковый пропагандистический рассказ а-ля ""стиляги это плохо, они одеваются и думают не так, как нужно"". Пусть люди думают как хотят, это и есть свобода мысли, слова и совести. Нет?",2020-06-05T19:41:17Z,0
5,Ugz2r3pIl6IqZrcRbgl4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Joanne Eggert,"08:01
07:47
11:12",2020-06-05T17:00:25Z,0
6,UgyIjUdzn3KBDGcKu3x4AaABAg,C9LVAufesmo,Навальный LIVE,1,0,Alicom Alicom,"Хотелось бы автору ролика, напомнить, что России слава Богу, до пропагандистских масштабов Голливуда через кино, ой как далеко. По голливудским фильмам, можно чётко проследить, с кем США дружит, с кем собирается ""воевать"" и в каком направлении ""обрабатывает"" свою и мировую общественность. Что же касается сюжета из фильма ""утомлённые солнцем 2"", так эта сцена с самолётом основана на реальном событии, имевшем место быть. С кем дружит Михалков, мне к примеру плевать. Навальный к примеру дружит с ребятами из госдепа США и зад им лижет. Ну и что? Мне к примеру ВВ противен и не нравится, я против него. Но, мы тут у себя сами разберёмся, а все ""доброжелатели"" из вне, пусть идут нахер. Нахер вместе с теми, кто заискивая ищет у них помощи и покровительства.",2020-06-04T09:02:43Z,0
7,UgyIjUdzn3KBDGcKu3x4AaABAg.99TzI885wSa9A7p65TPJz8,C9LVAufesmo,Навальный LIVE,0,0,Corvette G,Ни с кем вы не разберётесь. Стойло - дело подневольное...,2020-06-20T15:01:47Z,1
8,Ugz_hqlMytgeZQjqCTl4AaABAg,C9LVAufesmo,Навальный LIVE,0,1,Natalya,Самодурство  элиты .,2020-06-04T03:11:32Z,0
9,UgythyBAWR1U0wkezRp4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Ярослав Попов,Тимати - позор России.,2020-06-02T11:09:41Z,0
10,UgxgP2DTGrrZl0IyRbZ4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,василий петухов,ПУТИНИЗМ -это  ЛОЖЬ  и  ХОЛУИЗМ !,2020-06-01T17:48:23Z,0
11,Ugzf5KUZd9Zp9G4dnux4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,василий петухов,Вокруг Кремля -плеяда лживого ворья !,2020-06-01T17:46:38Z,0
12,Ugxk-cqxVW4jy45NT-V4AaABAg,C9LVAufesmo,Навальный LIVE,0,1,Настюша Air,А где же группа ученых плешивых??? Там тоже есть о чем сказать!!!,2020-05-27T15:05:22Z,0
13,UgxnmiVvm4MTR252MPx4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Фома Аквинский,"Рашка обасурманилась, дальше некуда.",2020-05-27T02:52:43Z,0
14,Ugw2xDDiB-d79lIyfox4AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Евгений Т,"Наверно интересным бы мог быть ролик, но :
1. Очень громкая фоновая музыка
2. Быстро мелькают фотографии, толком не рассмотришь.
3. Диктор строчит текст как из пулемёта.  Боится что ли опоздать куда то?
В общем дизлайк.",2020-05-26T16:44:12Z,0
15,Ugwc_XFvGYhrfz6JZi94AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Mariya Uskova,"Для меня странно, что в противовес идет голливудские режиссёры. Давно известно, как строился Голливуд и с какими целями, а режиссёры, хотят они того или нет, являются частью этой машины",2020-05-26T11:35:09Z,0
16,UgzgVJuMrXkFRkIOhd54AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Alexander Simonoff,Увы......,2020-05-26T09:28:54Z,0
17,Ugwz0RR9NDYR16MKqt94AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Александр Кустов,Нудно.  Коротко. Не  о  всех,2020-05-25T19:21:01Z,0
18,Ugwxj54Y9dk_6odV4w54AaABAg,C9LVAufesmo,Навальный LIVE,0,0,Dmitry Khadiz,"Как вы думаете, мысли соответствуют вашей программе? 

1. Заработные платы чиновников, директоров государственных предприятий не более 4х кратной от МИНИМАЛЬНОЙ по субъекту
, предприятию.
Определить максимальный размер выплаты не более 4х кратного от МИНИМАЛЬНОЙ заработной платы, включая все премии, в субъекте, в предприятии абсолютно всех чиновников 
вплоть до губернатора и президента, директоров и топ менеджеров гос. компаний, стране в целом. 

2. Пенсия:
Установить Минимальный размер пенсии не менее Минимальной заработной платы в субъекте и Максимальный размер пенсии не более 4х кратной МИНИМАЛЬНОЙ пенсии. 
Включая всех чиновников, администраций, Президента, пожарных и полицейских.
Для получения минимальной пенсии, гражданин обязан проработать не менее 10 лет и платить налоги в течение 10 лет с заработной платы 
не менее Минимальной заработной платы в регионе. Увеличение в зависимости от большего количества трудовых лет и больших отчислений. Трудовые книжки больше не нужны.  (немного поясню, на сегодня пенсии сотрудников администрации, армейских и полицейских чиновников составляют 70% от их заработной платы. В свяизи с чем горстка чиновников получает большую часть пенсионных отчислений, примерно 70% уходит на них. Любая индексация ведет к все большему разрыву, потому как она в процентах, и 10% от 10000 рублей и от 70000 рублей абслютно разные вещи, т.к. у простого гражданина увеличение на 1000 а у богатого нуждающегося на 7000. Вообще считать любые прибавки в % ведет к увеличению пропасти между классами)",2020-05-25T17:13:35Z,0
