,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwpsAX8T3X2s7XQ_v94AaABAg,CX7UwF1Hcws,Максим Кац,41,329,Максим Кац,"Сайт где можно выдвинуться, или поддержать штаб пожертвованием: https://go.city4people.ru",2020-06-16T16:08:10Z,0
1,UgwK8f9VLsTEXDQEuK14AaABAg,CX7UwF1Hcws,Максим Кац,0,1,Nicole Udalaya,Огонь!!!! Чтобы голосовать онлайн надо было ругаться ДО 21 июня. Оч многие пролетели как фанера над парижем..... А вы не обмолвились в ваших видео об этом.....И что теперь делать? @Максим Кац,2020-06-23T15:51:02Z,0
2,UgwNozwDXbk5FiAGLmZ4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Ланзо Скороход,Больше власти муниципалитетам!,2020-06-22T01:38:03Z,0
3,UgwkCWsifK7vWy5hRMp4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Dream Up Подготовка к ОГЭ,"Ты забыл про Ижевск, у нас же тоже всё это будет))",2020-06-21T18:49:26Z,0
4,UgxYabs06jE_eBs2BgZ4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Di Po,Я смотрю на твой пиджак и отвлекаюсь. 🥺,2020-06-21T17:31:03Z,0
5,UgxHSlt0kkNULJznInR4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Aleks San,"Главное не забыть после голосования и принятия поправок, сказать что голосование честное и никаких фальсификаций не было. Прям как с Москвскими выборами.)))",2020-06-21T13:34:40Z,0
6,UgypU7nsfzUUhO3_1W94AaABAg,CX7UwF1Hcws,Максим Кац,0,2,Fox Mulder,"Нет наблюдателей, а те кто есть - уходят на ночь домой, выводятся на 10-20 минутную дезинфекцию. Данные паспортов уже проставлены печатными буквами. Надомное голосование. Сфальсифицировать раз плюнуть.
Власть гонит на выборы и молодёжь призывами, например с соцсетях, банерами на улицах, так что не надо рассказывать, что власть гонит только бюджетников.. 
Главное - они если надо сфальсифицируют. А может, даже скорее всего, просто нарисуют нужную цифру. Вот скажите тёзка, на кого вы работаете? Вы же явно создаёте ""легитимность""  этому голосованию!",2020-06-21T10:05:36Z,0
7,UgwwLTSwxOjm63iV5sd4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Kirill Zemskov,"Классный проект. Не всем же сразу лезть в мэры и президенты (что сомнительно) - можно ""раскачивать"" и с низов. ;)",2020-06-21T00:51:20Z,0
8,UgyOD6cOPzE3jiiMc094AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Анна Мясникова,"Максим, супер-полезное дело Вы затеяли👏👏👏 
Действительно людей надо посвящать в политтехнологии и помогать им на выборах. Иначе мы никогда не сдвинемся с места, а несменяемый контингент во власти не позволит нам жить в правовом государстве, где строго соблюдаются права и свободы человека!",2020-06-20T10:21:25Z,0
9,Ugy7SN7NfujOQ5JSzF54AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Slav24oO,"Когда давно хочешь в политику и тут увидел возможности. Очень надеюсь, что многие найдут это и выборы пройдут не зря. Спасибо за работу, это прям круто.",2020-06-20T09:25:57Z,0
10,Ugx1XOB2YNQ8sx5MMf54AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Виктория Лукаткина,"Эх, Красноярск пролетает",2020-06-20T07:56:02Z,0
11,UgxmnXhTV19t6hfQC9p4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Black Hole,"Жаль Челябинска нет, у нас тут есть Урбанист, как мне кажется, весьма не глупый.",2020-06-20T04:33:17Z,0
12,UgxJq-9ezMsV_7p0S2l4AaABAg,CX7UwF1Hcws,Максим Кац,1,0,Abaddon The Despoiler,"Быть либералом)) хаха
Либертарианцы, консерваторы и националисты мимо, это так получается?",2020-06-20T03:49:58Z,0
13,UgxJq-9ezMsV_7p0S2l4AaABAg.9A6cDXwUMyi9AAF1Yxy88O,CX7UwF1Hcws,Максим Кац,0,0,Aleks San,Ну максик же не делит людей,2020-06-21T13:35:35Z,1
14,UgwA4Hia_FATEQag8fN4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Gregory Skvortsov,Дайшь в список Оренбург!),2020-06-20T02:53:21Z,0
15,UgxD12mbnEIm79xRoFV4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Lebowski's Money,Доброго Времени. Спасибо. Удачи с развитием канала,2020-06-19T21:28:34Z,0
16,UgwxV5Sd4DZl_SHvmgl4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,use16,"Заполнил анкету, голосуйте за меня!",2020-06-19T20:55:04Z,0
17,UgxYv6wKGeJi-0O_9SR4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Наталья,"Максим, расскажите пожалуйста как в Москве возможно проголосовать без прописки и регистрации?",2020-06-19T20:48:44Z,0
18,Ugzo5hYNpcKvTEXb03p4AaABAg,CX7UwF1Hcws,Максим Кац,0,0,Виктор Матушкинё,Голосуй или проиграешь!,2020-06-19T20:19:35Z,0
19,UgwS0-RyxyC3vtZ43wl4AaABAg,CX7UwF1Hcws,Максим Кац,0,1,Serginho07,"Госпади, какие же вы жалкие... Такую оппозицию пыня наверно даже за пыль не считает. Это просто ужас.",2020-06-19T16:00:14Z,0
