,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgygFd6vx7u4PZRo0eV4AaABAg,CXmqQMYgftY,Навальный LIVE,32,300,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1p8H6ye8Yh4T52rG4LD8DnFDGGw0y_UQntSzPNN1Ab9Y/edit,2020-05-08T20:49:03Z,0
1,Ugx9yiRo1--399zNn3t4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Академический район г. Москва,Путинскую клику к ответу,2020-05-21T14:15:59Z,0
2,Ugy5Jt0gAZBu_NAnqcR4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,BOOOM TECHNOLOGY SUPER JET,СТАЛИНА БЫ К НАМ🙄🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔,2020-05-17T09:12:25Z,0
3,Ugx2m13zyQpUImlM4m14AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Ella Mu,"Откуда у Раковой деньги на дорогой шмот? Всех ясно как божий день, кто ее раком ставит, тот и деньги платит.",2020-05-15T19:26:39Z,0
4,UgzrgVmnEVVwuKLr6cd4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Юра Петрович,"Корону путане, вирус народу.",2020-05-15T08:56:22Z,0
5,Ugzij2ETjatjnUA1chB4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Ирина Рзаева,"Да,на сайт не зайдешь до сих пор. Вот и остальные голосования будут такими же. Здесь уже никому не веришь. Кто подавал показания счётчиков воды,обратите внимание на платёжки,приписывают Кубы и жаловаться некому Управляющая компания не отвечает,горячая линия МФЦ тоже, семь семёрок,называется соединили со специалистом 16 минут ждала. Минуты тратить на ожидание,а потом доплачивать за связь. Домашний отключили. Интересно,а Какау оптимизацию нам провести. Посмотрите квитанции,или только я такая невезучая.",2020-05-15T07:14:31Z,0
6,UgxppyO-97HOWeTU1jx4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Демон Пустой,надо Трампа в президенты или Меркель ) плешивого живьём закопать со всей роднёй и корешами,2020-05-14T11:11:11Z,0
7,UgzsbzKYxAJCxMlb6L94AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Сергей Майер,"по-моему, если у нее доход 600тыс.руб в месяц , то она смогла бы позволить себе покупать эти вещи
а украшения и одежда  - могут быть подарками",2020-05-14T08:23:55Z,0
8,Ugy55rFmjOJxS7nskdl4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Николай Неважнов,"Молодцы ребят. Правильные вещи делаете. Сколько видео я просмотрел и как человек, являющийся по профессии психологом, я пришел к выводу, что о психологии этих ""людей"" можно книги писать))) Вот вы рассказываете о их физических ""достоинствах"", доходах и прочее. Я же в свою очередь вижу в их поведении, поступках, высказываниях и заявлениях, такое малоумие, что уму не постижимо. Многие представители, фауны умнее этих кадров. Особенно забавляет их способность тратить деньги)) Воруешь миллионами, покупаешь бэнтли за 12 миллионов , воруешь миллиардами, покупаешь часы за 30 миллионов. Да у них буквально деньги из карманов лезут, они ходить им мешают, они спешат от них избавиться всеми способами, что придут на ум)) Все зависит от фантазии чиновника и от количества сворованных денег. Улавливаете суть?)) Это люди, которые управляют нашей страной, люди - которые не могут разумно, конструктивно распределять свои денежные средства. Простая психология. Человек заработавший свои деньги сам, знает им цену, а халяву не знает куда девать и как правильно ей распорядиться .",2020-05-14T05:59:05Z,0
9,UgzMVmQlS-pa-2X4X294AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Робия Умарова,Песков и Навка  не покладая рук работают. Наверно за такой промежуток времени и заработали столько бабла. Не хотятли поделиться.,2020-05-13T10:57:44Z,0
10,UgxBr35X4nB0o5TJbEB4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Гарик Полянин,КОГДА ИХ ВСЕХ КОРОНАВИРУС СОЖРЁТ. ВОТ ПРАЗДНИК БУДЕТ У РОССИЯН.,2020-05-13T06:20:38Z,0
11,UgwG_6KYaM4NypE5rvp4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Stalker Sergeant,"Любовь, или Вы тоже считаете людей тупыми, или проверяйте информацию. Далеко не каждому американцу выплатили 1200 долларов",2020-05-13T05:34:47Z,0
12,Ugw9N08t0J5RTGkhXAl4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,Life is a struggle,Они посчитают как нужно!!!!!!,2020-05-13T05:32:05Z,0
13,Ugxvu63A6RET-Get8Bp4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,OKSANAart,"Даже покупая эти часы, наши патриоты, поддержали экономики других стран, наворованным. Как же патриотизм? Там наверное часовых дел мастера в шоке, от такого спроса.",2020-05-13T05:22:45Z,0
14,UgyvseRkv663g9YGe394AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,OKSANAart,"Как в Грузии выгнали всех полицейских и заменили. Нужно выгнать всех кто во власти, сравнить имущество с декларацией, вернуть награбленное. А воры - должны сидеть в тюрьме!
Что за дикое расслоение общества?",2020-05-13T05:20:56Z,0
15,UgxqoM3Zs0DXh5eIbdB4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,OKSANAart,Всех коррупционеров в лицемерных тварей - в тюрьму. Губернатор Шутник должен принести извинения и уйти в отставку! Совсем охренели!,2020-05-13T05:16:02Z,0
16,Ugxhp8YIvG8RrMRm0jV4AaABAg,CXmqQMYgftY,Навальный LIVE,0,0,frp master,"Жители Липецкой области, а вам точно нужен такой губернатор, который планирует вас газом травить? А вам не кажется что тут на всю воняет как минимум геноцидом населения и фашизмом???",2020-05-13T04:41:21Z,0
