,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzFAKXeCcyBji42M5x4AaABAg,Ccfo0UlULd4,Телеканал Дождь,2,6,Телеканал Дождь,"Подпишись на канал ""Женщины сверху"" - https://www.youtube.com/channel/UC1QTdYauIX6amnimFQWBzwA?sub_confirmation=1
Смотри премьеру на канале - https://www.youtube.com/watch?v=hN-L-s4zKBQ",2020-06-27T09:38:22Z,0
1,UgzFAKXeCcyBji42M5x4AaABAg.9APGeMGeXr09ARbXmmUALe,Ccfo0UlULd4,Телеканал Дождь,0,0,БАСМАЧ и др.,"@Надежда Козлова ОН НЕ ВРЁТ, А ГОВОРИТ ТО, ЧТО ЕМУ ПРЕПОДНОСЯТ ""ЕДРОССЫ"" - ЭТО ВСЁ-ТАКИ РАЗНЫЕ ВЕЩИ.",2020-06-28T07:28:03Z,1
2,UgzFAKXeCcyBji42M5x4AaABAg.9APGeMGeXr09APZ1p1JZ3a,Ccfo0UlULd4,Телеканал Дождь,0,0,Надежда Козлова,Пукин врёт как дышит,2020-06-27T12:18:59Z,1
3,UgxZ87I4287Z7jae95p4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,1,Tadas Blindavicius,"...В России фактически выросло новое поколение идейных пропагандистов. И воспитывались они на фильмах об СССР. СССР давно нет, а его символы являются в России культурным мейнстримом. На радио есть регулярная рубрика – «великие советские мультфильмы», «великие советские песни». И это звучит каждый день много раз. На радио «Говорит Москва» с 22.00 до часу ночи звучат советские песни; это не просто набор хитов –  создается абсолютная иллюзия погружения в СССР. Все деятели культуры, занимаются  воспеванием «славных» 1930-х, 1950-х, 60-х, 70-х. Не сознавая, что, по сути, лишают слушателей и зрителей современности. Тогда было все, теперь - развалины. Все это проводится под едва скрытыми девизами, например ""..а в cccp [всё] лучше!"" или ""...А помните...как оно было [хорошо] в Союзе, при Сталине, Брежневе и пр. )))) Абсурд: культура, эстетика и этика несуществующего государства являются доминирующими. Россия живет чужой жизнью. Pассказывает каждый день, как прочно мы стояли на ногах. Когда тебе повторяют это годами, ты начинаешь в это верить. Новое поколение выросло на советских фильмах, а также на этих ужасных копиях советских фильмов – современной патриотике. 8 из 10 российских блокбастеров – про войну. Война стала главной темой.",2020-06-30T11:15:37Z,0
4,UgzUQsWhMfu9-2JbmQN4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,slava inkognito,Не люблю  ведущих клоунов!,2020-06-30T10:22:57Z,0
5,Ugzw956q7ITRSlfBAa14AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,виктор ло,Спиноза,2020-06-29T06:27:41Z,0
6,Ugw145vtQSk5R5tmgLZ4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,elena Lindner,"Надо же так не любить свою Родину,это не дождь,это слякоть ваша вещает. Негативные стороны истории есть у всех стран.А вот Америка не гнушается вешать лапшу на американские уши про победу в войне на школьном уровне. Америка растит реально деградатов.А вы слякоть ,ненавидите всех людей в России.Гадёныши вы.",2020-06-28T16:13:50Z,0
7,UgzeSdfsD8IcMcmeAJV4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Alexey Kirilenko,"какую же чушь несет путин!!!((((какой договор между германией и россией о передаче иерриторий в 1939 году???в 1939 не было россии, был СССР!!!!!!!!!!!!!!",2020-06-28T12:14:51Z,0
8,UgwMlU9PXVW8GgVLjwF4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Ян Вильскер,"Ужас ,что этот 0 несёт!!!???????
 Взрыв мозга , видимо пива перепил,нет слов ,без мата не обойтись, идеальный шторм (головного ) мозга ,если б не Горбачёв этот бред раздался бы ещё в совковое время ,всё шло к тому, сколько верёвочке не виться ,- петля гражданам",2020-06-28T08:53:05Z,0
9,UgwRNTBeMCByHNbgzzV4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Alek Chin,2:45 Где проголосовать? Я за Мадагаскар!,2020-06-28T06:29:25Z,0
10,Ugzy6YnmWP8Fcj_XHvd4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Mila Kim,Дождь истерит.,2020-06-28T06:09:53Z,0
11,UgwEguyKkmGLe6a62S94AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Mila Kim,И не надейтесь. Трамп победит !,2020-06-28T06:07:10Z,0
12,UgzqzfaJ9N_eVCefcFt4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,1,дима костин,Принудительно проверять всех чинушь начиная с путлера на наркотическую зависимость и психическое состояние.,2020-06-28T02:10:09Z,0
13,UgyF1dVz9ZHLETDx5XZ4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Яна Счастливцева,"Опять ""мальчик"" ФишМан...?!",2020-06-27T17:49:31Z,0
14,Ugw2ANKoiORrfMlEvu54AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Wolf Black,Пока пил пиво.. - ПРОССАЛ СОВЕСТЬ... А ВКУПЕ И МОЗГИ...,2020-06-27T17:31:51Z,0
15,UgyPUgHS-9yVQDyXLtV4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Анастасия Никифорова,Дождь-лучший!,2020-06-27T16:23:27Z,0
16,UgxnKF8TY-Sgmh1WwTZ4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Вита Макаренко,Что умеет эта власть? Только воровать. Только разрушать. Только ненавидеть...,2020-06-27T16:13:53Z,0
17,UgxIJqvb7BS04NbUMTR4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,1,Petr Kyrbatov,Пусть он сплонируе  свою смерть.бог не даст ему унечтожить своих детей.бог всегда с нами.а путину угатованная учесть мумии.,2020-06-27T15:29:45Z,0
18,UgwWaQNncep5jMqsV8l4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Ольга Самсонова,"Американцы никак не уймутся, развязали мировую биологическую войну, развалили столько государств и все им мало",2020-06-27T14:43:39Z,0
19,Ugyf9NyvgQHgUmsC6EJ4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,1,А. Б.,"Я считаю, что коммунизм необходимо приравнять к нацизму. 
Навсегда заклеймить позором и поставить вне закона.
Все кто будет защищать или восхвалять коммунизм, а также т.н. ""великую отечественную войну"" + деяния Чекистской Хунты Путина и всех его марионеток, должны предстать перед судом и посажены на пожизненное заключение, без права на УДО.

П.С. - Нацисты убили 6 миллионов евреев и именно за это их преследуют.
А красные убили 100 миллионов человек всех национальностей, и ни одна коммунистическая сволочь ещё не предстала перед судом.",2020-06-27T14:24:29Z,0
20,Ugxz_TjnLfy0vvOu7Yx4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Роза Ах,"НАТО не сможет защитить Прибалтийские страны, и в итоге расподется, на это рассчитывает Путин.",2020-06-27T13:31:15Z,0
21,Ugwp_rPLGSmeWFnHn-54AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Александр Вальков,"ЗЛОБНЫЙ  ПЛЕШИВЫЙ КАРЛ ПЫНЯ, ПЕРЕПИСЫВАЕТ СТАТЬЮ ГЕБЕЛЬСА!",2020-06-27T13:22:29Z,0
22,UgyYVBXtafhKLH1jg7h4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Андрей Т,эта ботоксная история как и сам дед-чушебред  фуфло полное.,2020-06-27T12:50:28Z,0
23,Ugw1GXG6PJNzTdzak-R4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Саид Акмурзин,Откройте Архивы выводы мы сделаем сами,2020-06-27T12:34:51Z,0
24,Ugyn155pqvzgVHXnMmN4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Вадим Иванов,"Какой маладой красивай ЦАР-на резиновый член его и кодлу судить  советским трибуналом и на виселицу, наворованное-конфисковать!",2020-06-27T12:32:30Z,0
25,Ugz2s5vof0RamONC2Bx4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Александра Королёва,"Хотела голосовать против поправок, но после просмотра твоего ролика, ФЫшман, пойду и проголосую за!!! Я за смену власти. Но, не дай Бог, чтобы к власти дорвались такие, как  вы ! Не будет этого!!",2020-06-27T12:28:34Z,0
26,UgxYIs8-6q0V8a1Iq2R4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Александр Павлов,"Чувак, ну вот насколько Пу не люблю:) но ты с многих вопросов съезжаешь;)",2020-06-27T12:21:55Z,0
27,UgwXw6NNxw0oxrPEXRF4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,P_R_E_D_A_T_O_R_ 99,"Под предлогом помощи русско говорящим народам, и в наше время происходят вторжения и войны! 😏",2020-06-27T11:58:17Z,0
28,UgyugD3Bje6TIKJ3abt4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Людмила Плисова,"Боже, что за м...а?",2020-06-27T11:18:30Z,0
29,Ugx3QUISP8I0zPGtXlt4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Эд Эд,Всем прекрасного дня,2020-06-27T11:09:31Z,0
30,UgwczbTiARCO5n3TGJl4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Гульмира Кабилова,А мне вот Путин нравится. Я за обнуление его сроков. Пусть сидит как в ссср до смерти.,2020-06-27T11:08:10Z,0
31,UgyGsJeYHZfSXXteWUB4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Эд Эд,Путин не настоящий почему об этом все молчат,2020-06-27T11:05:47Z,0
32,Ugz47KmuskmBAt5hSmp4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Эд Эд,"Путин же не настоящий, почему все молчат, пускай проверял на отцовство с дочерьми",2020-06-27T11:00:06Z,0
33,UgzKc3AzUanwtS-tDqV4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,3,Гульжакан Гуля,"Был двоечником,  чтобы не выгнали приходилось писать доносы на сокурсников.",2020-06-27T10:49:27Z,0
34,Ugz5LL8HZUUlGcY3aQF4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,2,Валентина Саенко,"У обнуленыша, явно проблемы с головой. Куда ни сунет свой нос везде провал.",2020-06-27T10:43:57Z,0
35,UgyIL9-WRLhBY36Edg14AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Br,"Это не переписывание, а исторический факт. Мюнхенский сговор Британии, Франции и Гитлера - это исторический факт",2020-06-27T10:26:25Z,0
36,UgxdbzO2HSTV7dVTMmt4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Гарик Дубровский,Статья путина это оправдание германского нацизма. А это уголвнонаказуемо и не только в России.,2020-06-27T09:42:17Z,0
37,UgzPWAbghfzB4YmfI1h4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Armen Berberyan,"Kak-только  вернем земли Армении, подаренные  Турции, я еще не говорю про ГЕНОЦИД АРМЯН в1915 г., Россия может продержаться",2020-06-27T09:32:34Z,0
38,UgwjLVGXNd7gCFy1K7B4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,Наталья Шабанова,Что за чушь,2020-06-27T09:15:47Z,0
39,Ugz5DUhpgpmnrCgFUyV4AaABAg,Ccfo0UlULd4,Телеканал Дождь,0,0,A5,"Статью плеш подготовит, ля, о налогах в пользу германии за Победу в Великой Отечественной",2020-06-27T09:06:22Z,0
