,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx1WZYCK52nMSwq9ul4AaABAg,Cz-gidhV1RU,Максим Кац,5,61,Максим Кац,Регистрируйтесь у нас в федеральных Горпроектах! Там интересно https://russia.city4people.ru,2020-05-17T18:52:44Z,0
1,Ugx1WZYCK52nMSwq9ul4AaABAg.98lgVqMlOzQ992krhRinnH,Cz-gidhV1RU,Максим Кац,0,1,Владимир Мартыненко,"Максим,  а почему нельзя сделать выборы для желающих открытыми?  Если мне нечего скрывать например,  я открыто выражаю свою позицию, то такой голос сложнее подделать?  Разве нет? 🤔
Было бы не лишним наличие открытой базы,  где есть данные кто за кого голосовал. Тогда можно это все проверить и сказать,  да,  есть точно такое количество людей,  кто голосовал за этого или иного кандидата.... 
Ну а кто хочет тайно,  пусть голосует тайно,  его право..",2020-05-24T19:17:08Z,1
2,Ugx1WZYCK52nMSwq9ul4AaABAg.98lgVqMlOzQ98mQJRED8-m,Cz-gidhV1RU,Максим Кац,0,0,Ирина Ярцева,Я первая из города Свободный! А у в этом городе очень много проблем (,2020-05-18T01:41:44Z,1
3,Ugx1WZYCK52nMSwq9ul4AaABAg.98lgVqMlOzQ98mDatXUtMh,Cz-gidhV1RU,Максим Кац,0,0,Evmenchikov,"Максим , почему нету Севастополя?",2020-05-17T23:50:39Z,1
4,Ugx1WZYCK52nMSwq9ul4AaABAg.98lgVqMlOzQ98lkfLbHAvx,Cz-gidhV1RU,Максим Кац,0,0,Packo,"В Адлер поедите?) По теме вируса: Уже представляю толпы людей с плакатами ""Мы вам это ни когда не простим"", через 4-6 месяцев...",2020-05-17T19:29:07Z,1
5,Ugx1WZYCK52nMSwq9ul4AaABAg.98lgVqMlOzQ98lgqGfzyMv,Cz-gidhV1RU,Максим Кац,0,0,V1078,"Макс, а почему на протяжении всего ролика звук как будто у тебя слоны по потолку ходят? на низких частотах, у меня сабик аж подпрыгивает",2020-05-17T18:55:40Z,1
6,UgwrygskJNB7aC2aDB14AaABAg,Cz-gidhV1RU,Максим Кац,0,0,Mara Velesova,"Спасибо за видео, Максим! Будет здорово, если вы сделаете видео о положении студентов-медиков в Москве и Петербурге, о новом проекте приема в ординатуру на фоне пандемии. Это очень актуально.",2020-06-07T21:42:44Z,0
7,UgxzmDpcDnKK6Zge1s94AaABAg,Cz-gidhV1RU,Максим Кац,0,0,Daroslav Skiba,Поддерживаю,2020-06-04T08:46:49Z,0
8,UgyGaYBEzPyPHX12IGB4AaABAg,Cz-gidhV1RU,Максим Кац,0,0,Дарья Петрова,"Однополый брак разве это развитие?! Максим, пожалуйста!",2020-06-01T06:05:58Z,0
9,UgwZjYYbzOvMurP3Lxt4AaABAg,Cz-gidhV1RU,Максим Кац,0,0,FOX,Спасибо,2020-05-31T05:31:23Z,0
10,UgztiVFzx8fS6J4C7ax4AaABAg,Cz-gidhV1RU,Максим Кац,0,0,Kira Fascom,"Если честно, немного стрёмно оставлять свои данные на сайте...",2020-05-29T20:06:15Z,0
