,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxCsdRy0jZ7lyoIJ6l4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Aleksey ZHIGALOV,Лайк из Алтая,2020-07-03T01:29:39Z,0
1,UgyioMuCy89iRmH7PT14AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Agent of Kremlin,Вместо бабы яги соболь пойдет хорошо,2020-07-02T20:49:31Z,0
2,UgxCVcnVMut1do7yKPB4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Архарова Марина,"Все происходило под  медведем едросным, продолжение следует и ныне жива, нарисовалась лживая воровская власть",2020-07-02T19:40:28Z,0
3,Ugw2MqUgcwS7L2vMrQp4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Николай Шауэрман,Это какое-то отчаяние. Что делать? Как их истреблять? Мы же страну свою продаем.,2020-07-02T18:16:47Z,0
4,UgxlnBsTvJGlZXoqWzh4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Михаил Кайданович,"Таких бы побольше, которые правду говорят.",2020-07-02T17:56:30Z,0
5,Ugz4CF7SDAlpBmJcAaJ4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Михаил Кайданович,"Так путин и был у руля в 90 е, он был зам мера питера.",2020-07-02T17:54:05Z,0
6,UgxdA4mZbwzL6o9h5Dt4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Darya Muradi,миллион штук Володиных не стоит этой девушки!,2020-07-02T17:14:46Z,0
7,UgxRS3hXB2kdA1k-ff14AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,георгий самойлов,"Баба Яга, Навальный, Соболь и 90е 🤣🤣🤣👍👍👍",2020-07-02T15:58:18Z,0
8,Ugz8mH0_wWjisyqRMyh4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Juozas Vysniauskas,"правду толкуете Любовь, но с бровями переборщили. лайк",2020-07-02T14:29:07Z,0
9,UgzqBBe-DBDb7mRnTs14AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,leluka,Приятно было услышать разумные речи!,2020-07-02T13:31:16Z,0
10,Ugz2T8tLjPkMfj-zwC94AaABAg,Duo0np6DJz0,Навальный LIVE,0,1,Влад краснов,Вся эта информация есть в википедии. Неумеющий читать может хоть услышит кто у нас во власти. Грустно товарищи!,2020-07-02T07:05:26Z,0
11,UgzKa65ELctaLdO52d94AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Ярик Теди,"Люба,шикарная девочка ))",2020-07-02T03:39:45Z,0
12,UgzvRidWI3xEeRctmb94AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Andrei Kupryianovich,Видос в топ! Соболь молодец!,2020-07-01T22:05:08Z,0
13,Ugz1958A9iKRxDHkymh4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Эдуард Гринкевич,Путин предатель.,2020-07-01T18:06:12Z,0
14,UgyQ0I0-vaurXZWVpJV4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Олег,"П- планомерное
У- уничтожение
Т- территории
И-и
Н- насесения",2020-07-01T17:03:55Z,0
15,UgxuWqRePY64dWCw9dF4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Game Trust,❌❌❌Пишу этот комментарий потому что мне не безразлично наше будущее ❌❌❌,2020-07-01T14:57:56Z,0
16,UgzyFHBrfpnxT4dXtGF4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Hale Xi,Пазл сложился!,2020-07-01T14:08:24Z,0
17,UgyhrKvrdD3jjNkwQr14AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Семен Григорьев,"Позор всем нам за то , что допустили этот развод с назначением преемника в 1999г и велись на эту аферу  20 лет пока они грабили страну. Проснулись слишком поздно, теперь будем пожинать плоды.",2020-07-01T12:44:30Z,0
18,UgzrY2DwlxsAef6rfh14AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Аркадий Белоусов,Всё чудесно....,2020-07-01T11:10:28Z,0
19,UgzGRqf2GhOnAmgt4-p4AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Evig Skumring,"это шаблонное ""времени на раскачку нет"" уже задолбало. Может нет времени оттого, что уже и раскачивать нечего, а лодка..ну..""она утонула""",2020-07-01T09:38:56Z,0
20,Ugxy4pq36R23QPqmFP54AaABAg,Duo0np6DJz0,Навальный LIVE,0,0,Дмитрий Рикардо,Расскажи лучше об Анабиулиной - как Россия находится в лапах международной финансовой мафии .,2020-07-01T09:37:36Z,0
