,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxvgpZ-QO9vNOzhwdd4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,anais,Теперь за всю жизнь ему не отмыться),2020-07-03T13:37:51Z,0
1,Ugxx5Q_bdiZCTF2Bnjx4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,1,Olga Mostakova,"НУ если есть  в ролике призыв идти на выборы - и Артемий Лебедев призывает к этому незаконному мероприятию, тут и есть  предательство и холуизм  и правильно его Навальный назвал.ОН кстати граждане россияне за  откаты - это вы знаете что такое это взятки!  ОН проиграл  в дебатах С Навальным .И вел себя , как скользкий змей.",2020-07-03T12:24:47Z,0
2,UgyyaLMTeWG7-oJXfPx4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,1,Svetlana Gavrilova,Мерзок,2020-07-02T16:01:57Z,0
3,UgxVNNrhgDkQj4FqCaN4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,Александр Хасанов,"Артемий Лебедев, я во многом не разделяю его мнение, но хочу похвалить этого человека за наличие яиц. Мужик не боится серой массы и говорит то, что думает, не боясь лишится просмотров, подписчиков и популярности. Идет против системы либеральных мировоззрений общества. Не идет на поводу у серого, ведомого ютуб пропагандистами быдла. Браво.",2020-07-02T10:49:32Z,0
4,UgyXfQ9_fxIDe5zNyKJ4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,row row fight the power,"собсна, а зачем Лебедеву ""убивать"" своих кормильцев? Естественно, он будет топить за поправки.",2020-07-01T22:18:15Z,0
5,Ugy1vW69oflMwrFJBmN4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,Юрий Белозерских,Да похоже что краска для волос угнетает мозг...,2020-06-29T07:41:06Z,0
6,Ugzjzdki4lTLg5OHUsx4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,Артур Козлов,Дурочка включает. Всё она знал и понимал,2020-06-28T19:01:28Z,0
7,Ugyr2qWUQeNTwWhQmvR4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,Bi Joy,"Лебедев постоянно переобувается, точка.",2020-06-28T06:07:53Z,0
8,UgyStGAGvfHMRRgxVVN4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,A F,Лебедев красавец!,2020-06-27T22:07:39Z,0
9,UgwTKnOCLLhMkPn1-8t4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,1,игорь аликперов,"интересно, Танечка Толстая гордится своим наследником? или пиздит  за всё его блядство?😅😃",2020-06-27T14:21:26Z,0
10,UgwT4vM8sf06nJs9eHZ4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,Севиль Алиева,Артемий красавчик!,2020-06-27T13:04:48Z,0
11,UgwD7vDOFCjCNBB_dMl4AaABAg,EBWfg7KFUWc,Телеканал Дождь,0,0,Alexandr Sizintsev,Полностью упоротый ведущий! Каждый раз переворачивает факты.,2020-06-26T16:57:03Z,0
