,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyqxN0_xZuCWJvOL6l4AaABAg,ECKrG5y39n4,Телеканал Дождь,62,569,Телеканал Дождь,Подписывайтесь на Дождь: https://tvrain.ru/podpiska/,2020-06-25T16:00:13Z,0
1,UgyD1qmccC7bgqozcPp4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,SebasTV,"Так к 2036 году будут вырезки из этого ролика брать)
Страшно становится",2020-07-03T10:35:10Z,0
2,UgxqUN9jxdNF_mgzXdZ4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Jean-Bedel Bokassa,"Что-то мне кажется, все это будет уже в 24 году.",2020-07-03T10:02:12Z,0
3,UgwCNLR6xLsY78eHKv54AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Марина Н,гном гномилла!! Ахххахахаха!!!!!!!!,2020-07-03T09:53:49Z,0
4,UgygiVy9GEUvMzPDTu54AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Also Known As Unknown,Мы попали в ад,2020-07-03T09:10:12Z,0
5,UgxtY2bwgyT2eQsCZ3V4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Ольга Алексеева,"""Подмигни стабильности""  - в голос!!!",2020-07-03T09:07:13Z,0
6,UgxP_1JT4a-Qo5k0Gpx4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Визионерские Находки,В 2036  это видео будет популярным.,2020-07-03T09:06:18Z,0
7,Ugy3tKuBw-zPutqe2XF4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Александр Глизицкий,Печально,2020-07-03T08:38:36Z,0
8,UgxvCf5vTJwGEaJaVI14AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Нэля Старостина,Идиотизм шагает на Дожде.,2020-07-03T08:28:55Z,0
9,UgwJoMEagh7tk-MahPJ4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Владимир Лебедев,новый тренд: нести прах деда за Победу!!!,2020-07-03T08:10:56Z,0
10,Ugyh1LA7PijGCKwwNZF4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Sonik 32,Это за бред ?,2020-07-03T07:58:35Z,0
11,Ugwy8ZCWOrG1rCAaDjx4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Олеся Гинадевна,Это реальность даже не сомневаетесь это мышление не изменит даже 90°,2020-07-03T06:02:07Z,0
12,Ugy7ryFpPKr593XA7vB4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,неСекретные Материалы,Лобков лучше всех сыграл ))),2020-07-03T05:46:42Z,0
13,UgwwDRbRQJHK20Fy1n54AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Станислав Королев,Это просто дождь юмора)))  так держать)),2020-07-03T05:44:43Z,0
14,UgwoRHFoi2s0-DMwgYh4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Игорь Грицык,"Очень смешно, если б не было так грустно! А ведь всё к этому идёт!",2020-07-03T05:42:49Z,0
15,UgzZsE9rhnVK34Qlp8l4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Денис Балыбердин,"о, Хобости",2020-07-03T05:19:07Z,0
16,UgzaHwh-9mXG41r4YuB4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Senior Developer,"Смотрю эту клоунаду и понимаю, голосовать в России не за что и не за кого, одни клоуны. Альтернативы нет(((",2020-07-03T04:46:42Z,0
17,UgwhdjkihWNKJJAhjBl4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Владимир Белов,"Если б 16 лет назад увидел новости из 2020 года - поржал бы также, как сейчас. Однако - страшно.",2020-07-03T04:16:36Z,0
18,Ugz2wpRhWpCfT_cIqTd4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Полинка Полинка,😭😭😭😂😂😂,2020-07-03T04:14:36Z,0
19,Ugy85iIVyZwDUnsMQjt4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Влад Котов,Мне одному показалось что это насмешка над Русским народом ? Над верой ???,2020-07-03T04:13:35Z,0
20,UgzsPZnWVQ6jxYYND8F4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Ирина Самаренко,"Пишу этот комментарий, потому что мне небезразлично будущее моих детей!",2020-07-03T03:41:40Z,0
21,Ugx7kHqlwGB00Fhb3hZ4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Иван Васов,"Слишком уж оптимистично, - вряд ли в 2036 году будет так выглядеть вЯликая парашка. Скорее на с месте этой страны будет гулять только ядерные смерчи и сколеновстанная срань будет пахать на китайцев.",2020-07-03T02:36:49Z,0
22,UgyQDd8S25svyEV52m54AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Дос Макс,Хутин Пуй навсегда ☝️🤣😂,2020-07-03T02:35:52Z,0
23,UgxY1oEx5m4oMDuGUnt4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,Елена Корзинова,"Молодцы
Бей буржуев словом",2020-07-03T02:24:57Z,0
24,UgwhvpLdsaf_JjcjTId4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,MIKE C,"Смешно и страшно , и я счастлив что уже не живу в России",2020-07-03T02:13:55Z,0
25,UgzpsjP5xdaTKASP6KV4AaABAg,ECKrG5y39n4,Телеканал Дождь,0,0,badbeat gl,"ПИШУ ЭТОТ КОММЕНТАРИЙ, ПОСКОЛЬКУ МНЕ НЕ БЕЗРАЗЛИЧНО МОЁ БУДУЩЕЕ",2020-07-03T01:57:51Z,0
