,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzEgl-VFGhnDbOBh294AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,THE CARLA,"Заметили, что за Путина только старые бабки и люди не знающие что происходит в России на самом деле?!",2020-07-03T10:35:02Z,0
1,UgxcO-QHwI7n7CcZbgN4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,Лёня Голубков,"Голосуй, не голосуй, а всё равно получишь ....",2020-06-30T10:59:24Z,0
2,Ugxv-MMQK3DKPHP-UnJ4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,Алексей Белый,"Смотри какие они умные! Значит как людям деньги выплачивать в режим самоизоляции как другие страны так это вертолетные деньги. А как голосовать по почте так давайте ровняться на другие страны и государства. Я конечно против этого обнуления и вообще в целом власти Единой России и надеюсь нас не единицы, а больше!!!",2020-06-28T22:26:10Z,0
3,UgxmYUifizaIJXaUivt4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,Сергей Мищериков,"Если сейчас всем сказать, что Путин уходящая фигура, то мы сразу потеряем мировую стабильность, которую он годами наращивал вместе со своим авторитетом. А баллотироваться он может и не будет, этого никто не знает. А все остальные поправки очень даже нам нужны, еще бы от МВФ избавиться...",2020-06-27T15:06:44Z,0
4,UgwsD3h5DuRVOCbobq14AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,Капрал Тревис,"соболь, ты что в кипятке?",2020-06-27T02:15:19Z,0
5,UgxWu_60fGliQF3lmCl4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,Денис Алексеевич,Комментарий в поддержку Любови,2020-06-26T08:45:21Z,0
6,UgxURBXICjB1cZ9iUkt4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,Владимир Базиков,"Путин сказал ни какой принудиловки при голосовании,  сотрудники Ставропольского межрегионгаза уже проголосовали по приказу и от читались о голосовании.",2020-06-25T16:48:51Z,0
7,Ugwa8VXF1z5YHSPc--l4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,ALEXXX,"Печально, что из-за упертости Навального много его поклонников действительно не пойдут голосовать ПРОТИВ и уникальная возможность послать ПНХ не будет использована",2020-06-24T16:15:17Z,0
8,Ugyb_mR03FafNLY8Dfh4AaABAg,ECtwaASOAQE,Навальный LIVE,0,1,Оксана Щеврюкова,"Эту бабулю срочно необходимо отправить в космос т, чтобы её мысли повисли в невесомости.",2020-06-24T04:38:28Z,0
9,Ugy2ey0mtx2FWK_Eieh4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,владимир кузьмин,вы НЕ  против за обнуления срока президенства - ДА---НЕТ ( не удивлюсь если такая грофа появиться ),2020-06-24T02:34:04Z,0
10,UgzM__0ba93wmfU4Kg94AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,Хc 1634,ВЫ ПРАВЫ 100%,2020-06-24T01:50:06Z,0
11,UgzJexCIjW_ryT6H8Kh4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,Юрий Бочкарёв,"вся страна ждала Терешкову, чтобы исполнить свое желание - обнулить сроки",2020-06-23T13:33:37Z,0
12,Ugz3k5k2UOJYfgviyq14AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,loo lee,"""единая россия..панфилова и даже путин - это не навсегда "" ( заключительная фраза соболь 
так вот 
ПОКА НЕ ИЗМЕНИТСЯ ИДЕОЛОГИЯ Государства России - все вышеперечисленное будет НАВСЕГДА И даже еще усугубится!!",2020-06-22T21:04:24Z,0
13,UgyoMVyMA2vOvCjfM2R4AaABAg,ECtwaASOAQE,Навальный LIVE,0,0,loo lee,"пока выборы в России АНОНИМНЫЕ - НИчего не изменится
выборы должны быть такими - как хочет голосующий...или
он хочет голосовать анонимно
или ОТКРыто

только при открытых выборах МОЖНО что то сделать 
в противном случае - так и будуте рассказывать про сцуку панфилову и бандита путлера ..
и ничего не изменится",2020-06-22T21:00:58Z,0
