,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzBbOh6WvfmTO4w4-N4AaABAg,EmwGnUrT3Bc,Навальный LIVE,102,367,Навальный LIVE,"Кампания «Пять шагов для России»: https://5steps.vote
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 28 мая: https://youtu.be/UPuY6A8gR9U",2020-05-29T21:05:06Z,0
1,UgzEY8kCMXTFztTCXyl4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Александр Белов,Лешка братца ещё не посадили?))),2020-07-01T13:21:50Z,0
2,UgwDvtwd_rcjncVGqc14AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Oleg Schenker,"Сисян, расскажи лучше о демократии в Сиэтле. О том, как град на холме построил прекрасную америку будущего!!!!",2020-06-29T18:52:29Z,0
3,UgyImb0jYRdVYsWiFsV4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Mara Furmanova,"А  тычтобы подарил народу...?если тебя что то не устраивает имегрируй,но там ты не сможешь вести свой либеральный звездешь,ты лучше расскажи кто тебя спонсирует;и про себя побольше  🤮🤮🤮🤮",2020-06-26T06:09:47Z,0
4,UgwUzUIGJlmH2q3u1bl4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Василий Паменов,"За фразу Навальный ты прав, мой комментарий удалили.",2020-06-25T14:46:49Z,0
5,UgxENYx9httfLhreNnl4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Елена Субботина,Парад - великое дело. И ему место быть. Это наша история. Наше достояние.,2020-06-24T08:11:44Z,0
6,UgzLfeNTwxUv7LJezet4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Y Grom,"Да! Если Навальный станет президентом, через 10 лет в Россию сложнее будет попасть, чем в США, останется Путин - вся Россия убежит в США ! ! ! Наверное правильно провидци говорят "" - будет колонией Китая, а потом территорией"" Китая///  Крым будет проситься в Украину, но ему откажут,,, Донбас - это уже пустыня"""""" Бандиты, пионеры - бред!!!) Как было там хорошо и лучше - тут плохо и становится хуже (сотни лет) так и останется((( Увы",2020-06-23T14:59:34Z,0
7,Ugxw3X4TpMIGex1_DHt4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,1,Natalia Natalia,"Лучше бы те миллиарды на парад потратили, на 145 млн российских граждан, переведя каждому",2020-06-23T07:58:04Z,0
8,UgxAZAfq47iJB6mPd_d4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Сергей Николаев,"Я думаю наступит время, когда подвесят навального за яйца на Красной площади за пропаганду отмены парада.",2020-06-22T19:19:56Z,0
9,UgyHhocbpQki-lXyRwl4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,2,Евгений Леонидович,"МЫ не можем без ПАРАДА, ты можешь - езжай в США, там нет парада!",2020-06-22T08:08:55Z,0
10,Ugz07lQw5G-jMJckKap4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Dom Irkutsk,Я уже 10 лет назад поняла всю бессмысленность и пафосность этих празднований дня победы ...,2020-06-20T03:46:53Z,0
11,UgyKxOkCuoZb8Tjbhmx4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Арнольд Йорк,Дебильная власть.,2020-06-19T17:37:35Z,0
12,UgyVYhX4Pu6zX8Av9lh4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Арнольд Йорк,Голосовать даже не стану.,2020-06-19T17:33:31Z,0
13,Ugznui2bibBE0xbOYWR4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Алексей Климочкин,Содержательное видео,2020-06-17T23:04:50Z,0
14,UgwDHra4RTXM7LbtZEd4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,predskaz74 1,Отверстие в жопе Исключительной нации про Парад Победы не может пердеть в принципе.,2020-06-13T20:09:03Z,0
15,UgwuigTwvWM30XO_zfp4AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,Игорь Чеверда,Ты прав всегда,2020-06-13T11:41:30Z,0
16,UgwawigyUqR8JvwmDS14AaABAg,EmwGnUrT3Bc,Навальный LIVE,0,0,predskaz74 1,Аsinum слова не давали.,2020-06-13T11:16:47Z,0
