,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugz0Mx52eTc81nsneiN4AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,0,notapity,Что за тупые пользователи отметили видео недопустимым?,2020-06-29T01:18:30Z,0
1,UgydNLY26Enp3ycpuUB4AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,0,Ustal Otpytina,"Кто главный спонсор этого шоу?
Сюжет, если честно не очень.",2020-06-24T23:20:23Z,0
2,UgzjtE5xaM93SLM7hk54AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,0,Арсений Яценюк,"О, моя любимая тумбочка платье в горох купила.",2020-06-14T01:44:53Z,0
3,UgyIV4oOH_iZBBRMRw54AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,0,Sanjar Kodirov,😂😂,2020-06-12T06:21:16Z,0
4,Ugw2bi9szetB1_FBvO14AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,1,Глеб Сорокин,Кто не грабит тот расист! Революция достоинства! Америка це Африка!,2020-06-10T20:30:27Z,0
5,Ugzu53ojrO6LUKLXdzd4AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,2,Анатолий Шап,"Протестующие зря игнорируют авто покрышки , на Украине сработало.",2020-06-10T05:26:04Z,0
6,UgzqfdbdOprePmqObMR4AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,1,Natus docere,Мечта либералов устроить тоже самое в России... Хорошо что их мало и они тупенькие. Не навредят.,2020-06-09T17:45:13Z,0
7,UgyIFC1K6Jd4-vyGy8p4AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,0,Aleksandr,А в чем недопустимость этого ролика для некоторых пользователей? То что полицейские на коленях солидарны против произвола?,2020-06-08T09:20:49Z,0
8,Ugzr212d7u44f-wK4EN4AaABAg,EsX8JqK5cVI,Телеканал Дождь,1,1,ОЛЕГ ФИЛИН,"Надо убивать репортёров либеральных сми. Насиловать , с жигать. Надо начать с Дождя. Фейк Нюс.",2020-06-08T01:28:45Z,0
9,Ugzr212d7u44f-wK4EN4AaABAg.99cTWga-s-09AR6kxa4jCt,EsX8JqK5cVI,Телеканал Дождь,0,0,Donbas_Style,лучше с твоей семьи начать,2020-06-28T02:50:22Z,1
10,UgwVLBs62cwvoAVAas94AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,0,Hsmal Blethe,"Все умалчивают, что преступлении занимаются только негры. Ночью грабят и портят чужле имущество а утром спят пока Европейские былые МИРНО МИТИНГУЮТ. И что негры расисты, лозунг ЧЕРНЫЕ ХОТЯ ЖИТЬ расистский, потому что видимо больше жить никто не хочет. Я уверен эта все организовано и демократами и властями, чтобы скрыть последствия КАРАНТИНА.  На сегодняшний день живут богаче чем раньше, но негры ведь не работают поколениями сидят на пособиях вот в чем проблема Америки.",2020-06-07T07:00:29Z,0
11,UgwHt7ioNlDeBpJ-BVx4AaABAg,EsX8JqK5cVI,Телеканал Дождь,1,9,Ostap Bender,Флойд вор и бандюга его жизнь не стоит и копейки. Нигде и никем не работал.Но об этом СМИ молчат.,2020-06-07T02:06:28Z,0
12,UgwHt7ioNlDeBpJ-BVx4AaABAg.99_y282MCYx99eTi3u04Pb,EsX8JqK5cVI,Телеканал Дождь,0,0,Женя Слепко,Ну не все СМИ молчат),2020-06-08T20:08:55Z,1
13,UgygfWrn-lT-oTxKZ794AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,0,Елена Ушакова,"А где видео ?Я теперь сам себе режиссер и мне придется сфантазировать ,что же там было в ролике?",2020-06-07T01:37:04Z,0
14,UgwZsbiE4u0wMCWcN754AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,0,Висарион Достоевский,"А чего это Лев лыбу давит, угорает над пролами????",2020-06-06T18:47:35Z,0
15,Ugxb93o3vtHd-YxBrEZ4AaABAg,EsX8JqK5cVI,Телеканал Дождь,0,1,sergey 7,"Каких ужасов, каких масштабов, дибилы.",2020-06-06T17:25:01Z,0
16,UgxiJig4fkmEOkNija94AaABAg,EsX8JqK5cVI,Телеканал Дождь,1,1,Lina Roos,"Я ведущая сама где живет если так уверенно про все заявляет? 
И когда последний раз Российская полиция убила кого-то при задержании?  Вы отвратительны во всем, начиная от платья в крупный  горох, не подходящего для эфира, красной помады и всего что вы заявляете в эфире.... появляйтесь почаще в эфире для сравнения с официальными Российскими программами для сравнения... 
Проигрываете на все 100%!!! 👎👎👎",2020-06-06T10:15:14Z,0
