,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxL9lNpq2HxYL5doKZ4AaABAg,FEELIXtZ9AU,Максим Кац,87,100,Максим Кац,"Реклама: курс «Аналитик данных» в SkillFactory: ​https://clc.to/quhixA. 50% скидки на обучение по промокоду ""Максим Кац"" (до 10.06.2020).

И подписывайтесь на канал :))",2020-05-26T14:31:42Z,0
1,UgwBxf9VPvi9Pu89HId4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,DavId S,"Максим, очень интересный ролик, многое рассказывает про историю и последствия евгеники. Но меня смущает, когда в конце ролика Вы говорите такую фразу: ""сейчас евгеника считается лженаукой, причем дело не столько в доказательности или бездоказательности ее утверждений.....Эту так-называемую науку осуждают именно с этических позиций."" Такое впечатление создается, что Вы антинаучность евгеники аргументируете ее неэтичностью - это может покажется неприличным любому ученому. С неэтичностью евгеники я полностью согласен, но лженаучность ведь доказывается не на почве этичности или неэтичности научной теории, а с помощью ее экспериментального опровержения или демонстрацией принципиальной невозможности экспериментальной проверки научной теории, отсутствием точных определений используемых в этой теории понятий и т.д. По аналогии, ядерная физика - пример точной, фундаментальной науки, в которой этичность была в свое время выкинута на обочину ради краткосрочных, практичных целей. В истории, наверно, можно найти множество примеров тому как неэтичность не останавливала развитие той или иной науки. Если бы от результатов исследований евгеников была какая-то научная или практическая польза, то евгеника продолжала бы существовать и развиваться. Поэтому мне кажется, если евгеника действительно была полностью (или частично) отвергнута как наука, то это скорее было из-за ее несостоятельности при проверке научным методом, а не из-за ее безнравственности. Ваш ролик дает хороший обзор истории и безнравственности евгеники, но я не нашел в нем конкретных примеров, демонстрирующих ее ненаучность. Поэтому, может быть название этого ролика стоит подредактировать как, например, ""История и безнравственность евгеники"", а про лженаучность евгеники выпустить отдельный ролик, освещающий конкретные примеры - это очень интересная тема.",2020-07-02T22:45:41Z,0
2,UgzsqKx6JlZ00Dx5SdJ4AaABAg,FEELIXtZ9AU,Максим Кац,0,1,Рулон Обоев,"Евгеника - лженаука, потому что она не этична, ну ахуеть теперь. В какой момент у нас наука начала заниматься этикой?",2020-07-02T11:46:58Z,0
3,Ugy9U1ASntZXzrhEA794AaABAg,FEELIXtZ9AU,Максим Кац,0,1,Kirill Leonov,"ДЖЕЙМС УОТСОН: Я повернулся против левых политиков, потому что они не любят генетику, так как генетика подразумевает, что иногда в жизни мы терпим неудачу, из-за того, что у нас плохие гены. Они хотят, чтобы всякие неудачи в жизни были вызваны злой системой.",2020-07-01T21:55:07Z,0
4,UgxlPyH1GOtmQkBK1ZB4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,BasTard4461,"Понятно, либерализм загубил перспективную науку, только потому, что ею могли пользоваться плохие люди. Но плохие люди пользуются вообще всем, особенно социальными науками, вроде гендерных исследований.",2020-07-01T13:06:03Z,0
5,UgxfzmY2ns1PmT4M1254AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Васильев Иван,Вывод 21 века: правду говорить неэтично!,2020-07-01T10:53:01Z,0
6,Ugxaw9fcNVDnoiXYvn14AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Гермес,"Даешь генетическую инженерию в массы !
Светловолосые голубоглазые атлеты заполонят мир.А евгеника это вчерашний день",2020-07-01T10:41:51Z,0
7,UgwOYCV6yR24KUWi4px4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Aleksey Cheusov,"По поводу СССР -- полный фуфел, автор не понимает, о чем пытается говорить",2020-06-29T08:33:34Z,0
8,UgwNAppUSoPmS4_clht4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Николаи Жильцов,")))) а где доказательство тог что евгеника ложь? .. Парнища, слова и связывания слов созданы для комуникации. - это во первых,  во-вторых когда толкаещ свою речь - связывай слова и мысли и подводи слущателя к той мысли которая так выгодна тебе. Ты из тех недоумков которые ложь от истины отличить не способен. Но если тебе так хочет вылезать пенис чернобогу и угодить его же его желаниям осквернить истину сформировавиися миллиардами лет эволюции в генах человека, то тебе следут делать это правильно. по логике, с перемещкой и опровержением, с легкой оттенком противореием, так чтоб у слуателя возникла мысль подумать,а до этого смущение испытал. И в третих - такие дела к победе за пиздой не ходят. Надочернить убедительнее. Там приз пизда...это ждет тебя!!!  Лощара, чернобогу нужны луие дегенераты,он коллекционер..всякого уродства и в тоже время покровитель и будеь защищен. Но пока ты мысльь какую сторону выбираещь и кому служить будещь, то луче подумай о том не стоит ли вопрос в земных обителях о том что на Земле ,райском должны жить лучщие.. Конечно тебе дебилу и лучему, как знать, такие понималки еще не прищли и со стороны вопросы подобные не всплывали, и все же с властью ты не знаком, тебе не ведомо такие дела все же они существуют и за тебя давно уже рещили.. Ты вот что, спроси у манюни что такое евгеника в реальности? от куда это слово взялось, почему тпроцесы так стали называть, почему  вдруг это было интересно другим? назови мне причину?! У ТЕБЯ НЕТ. и ВСЕ ЖЕ ЭТИ ПРОЦЕСЫ ЕСТЬ... дА, ПОДУМАЙ И О ТОМ ЧТО КОГДА ЛОЖЬ С ИСТИНОЙ ПУТАЕЬ, И ПУТАЕЬ ЛОЖЬ С ИСТИНОЙ, И ИСТИНУ К ЭТОМУ ВРЕМЕНИ ЗАБЫЛ И ЛОЖЬ СТАЛО ЧАСТЬЮ ТВОЕЙ ЖИЗНИ И КОФЕ ДРУГИМ СОВЕТОВАТЬ ВЗДУМАЛ КАК ЭЛЕКСИР ЖИЗНИ А  СЕБЕ ЧАЙ ЗАВАРИЛ...ЧТО ЭТО?  МОЛОДЕЦ мАКСИМ,ТЫ РАЗРУИЛ СВОЙ ДОМ))) ПУСТКОЙ СТАНЕЬ, ЗАНОВО СОБИРАТЬ БУДЕЩЬ, С ДУЩОЙ ЗНАКОМСЯ... РАССКАЖИ ЕМУ ПОЕМУ ОНО ОЩИБАЕТСЯ",2020-06-27T20:46:23Z,0
9,UgzSEP_e27oTMbxVpxd4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Дамир Юнусов,"Посмотрел много видео, обычно все так адекватно и обоснованно. А тут прям глупости и кликбейт. Евгеника ни в коем случае не является лженаукой. В том виде в котором она зарождалась она не этична и бесчеловечна. Но наукой она от этого не переставала быть, так как опиралась именно на научный метод. Обоснованные гипотезы и многократные экспериментальные проверки. Брать людей близнецов и ставить на них бесчеловечные опыты - не этично, но если опыты этичны, близнецы лучший способ проведения эксперимента и за генетической идентичности. Именно науке нужны контрольные группе. Лженауке они не нужны. Кстати рекомендую посмотреть антрополога Дробышевского, он приводил пример состоявшегося эксперимента в евгенике. Японцы, хотя и не основывались на этой науке, вывели своих сумоистов за много поколений.
В общем грубо это в один ряд кидать все ошибки и делать необоснованные выводы. Жаль что текст этого видео не проверяли люди с научным образованием.",2020-06-27T00:36:32Z,0
10,Ugz-MypFGPhUkWNCSSN4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Safetillity,"Не лженаука , а табуированная .",2020-06-26T03:15:32Z,0
11,UgyoTBYoDveSwShsro94AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Сеня Йа,Комментарий для поддержки видоса :) спасибо за полезный и интересный контент,2020-06-25T19:23:05Z,0
12,Ugz1-fcae0gOcja3uvt4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Miclosh Balza,"Таки шо говогите?! Таки, быть может, вы заинтегесованная стогона в данном вопгосе?)
Таки говогят, шо одна нагодность особенно не любит евгенику, поскольку не пгоходит ни по одному из кгитегиев этой методики.",2020-06-25T10:58:46Z,0
13,UgxouxkOtQcLqhA3TvF4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,AquaLesbiennes,Мы сейчас проходим одно из миллионов вариантов заблуждения,2020-06-24T16:35:17Z,0
14,Ugxhflf8d7c31VCkLv94AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Ruslan Khudyakov,*Не всё так просто. И сам по себе либерализм ничего не решает.*,2020-06-24T10:13:44Z,0
15,UgwTn9L3DC3DMVb07j14AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Евгеник Евгений,😮Не может быть!!!😀,2020-06-24T09:33:54Z,0
16,Ugxsl-5cgXqKgkj_pf94AaABAg,FEELIXtZ9AU,Максим Кац,0,0,THIS IS Fl0ck! MOTHERFUCKER!,Отлично. А где о положительной генетике слова?,2020-06-23T16:25:04Z,0
17,UgzIpUGnjy0Pnn3xj594AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Ярослав Люти,Лібералізм в сучасній неомарксистській формі - антинаціональний і девіантний,2020-06-22T12:53:22Z,0
18,UgzXMDX9RFEAMr4DMAN4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Henrietta London,"В России неправильно переводят фразу Дарвина- survival of the fittest как выживает сильнейший, а правильный перевод -выживает наиболее ПРИСПОСОБЛЕННЫЙ.",2020-06-22T09:31:11Z,0
19,Ugz76ind-rQGEyoh-xN4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Vitaly,"В целом человечество постепенно вырождается, так как отбор слабо работает :( может генетика вырулит ситуацию в будущем?",2020-06-21T23:41:37Z,0
20,UgyEAt6bDhDZd0teUyt4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Vitaly,"Кац снимает интересные видео, но тут мне кажется он перегнул. Типа у здоровых умных родителей не родятся здоровые умные дети. О_о Наследование и селекцию никто не отменял. Ну разве что либералы :)",2020-06-21T22:54:30Z,0
21,UgyxqV28mo8z8DaR3sZ4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,BoxNet,"Т.е. лошадей можно селекционировать , а людей нет?",2020-06-21T14:11:35Z,0
22,UgxsJ4Nag3uD1P91iT14AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Sergio,"Ну да-да, вывести сорта яблонь и коров можно, а человеков - нельзя. Лево-либерализм - вот настоящая лженаука, это как раз то, чему тебя учили, Макс :) не ведись на полную херобору",2020-06-20T23:42:21Z,0
23,UgzqSFDv--9S3tWNchZ4AaABAg,FEELIXtZ9AU,Максим Кац,0,1,TheMrsuperhesoyam1,"Только вот позитивную евгенику  по прежнему практикуют в Сингапуре. Как это так, Кац?",2020-06-20T07:20:41Z,0
24,UgxCcIezzwV05ttp7wR4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Виталий Волков,"Самое слабое и неубедительное выступление. После просмотра осталось ощущение, что, если бы евгеника развивалась, мир стал бы лучше",2020-06-19T07:35:20Z,0
25,UgyCuSJGeDzgW4ehrix4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Grey Greydis,"Максим, иногда слушая вас, ловлю себя на мысли, что вы, рассказывая о либерализме, топите себя...
А не приходила ли вам мысль, что такая единица как государство, уже давно изжила себя?.. Как по мне, без разницы кто у власти, либерал или демократ, легитимный президент или узурпатор... Важно понять, что это человек и он имеет слабости (это кстати психология), и соблазн всегда велик, да и эго никуда не денется...
Верным путём будут размышления об устройстве, а не методах управления...
Возможно сейчас я покажусь вам дураком или умалишённым, но единственный выход который вижу я, это поточная система которая не имеет доступа из вне, но в то же время имеет доступ сама к себе... довольно сложно, если вы не связанны с IT-сферой...
Всё что я хотел сказать, что ставя во главу людей над людьми, вы обрекаете себя и всех окружающих на все изъяны государства... а именно на бюрократию, коррупцию, беззаконие (в моём понимании  право применяется ко всем без исключения, но абсолютно в любом государстве это не работает) и т.п... 
Власть меняет человека, пусть даже и самого честного, можно даже сказать, даже идеального...
У меня всё, спасибо!",2020-06-18T14:07:53Z,0
26,Ugy3CMQqDUdVNkj-mol4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Nordischer Krieger,Евгении тут?,2020-06-18T12:45:59Z,0
27,UgwKNC574pxZhTk0pkR4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,lubomir kovalenko,"Как там в раиссе, идеальных роиссян еще не вывели?",2020-06-18T08:29:03Z,0
28,UgyQ-EF6-9qb2hew80F4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Мысли Ватного Либерала,"Поразительно, как можно в одном и том же ролики говорит «Евгеника неприемлема по этическим причинам», и в нем же называть не «лженаукой». Масса людей по всему миру считают, что атомная бомба аморальна, и все ядерное оружие нужно запретить, и что дальше? Ядерная физика становится «лже наукой»? Полный бред",2020-06-18T07:49:42Z,0
29,Ugy8JId4ufiLQf7ywFZ4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Андрей,"Нуууу, Макс... Во-первых то что делали в то время плохо конечно, но за каким-то аналогом евгеники будущее, многие генетические болезни можно будет избежать до рождения. А во-вторых зачем кривляться когда произносишь словосочетание ""врачи-евгеники"", это же не профессионально. Посмотри лекции Ильи Колмановского и сразу изменишь своё отношение.",2020-06-18T03:10:09Z,0
30,Ugxxvid-e_2LO1LtCFl4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Дарья Фирсова,"Максим, не раскрыта тема того, как сегодня страх перед евгеникой приводит к маразмам и перегибам. Например -- некоторые сжв называют евгеникой выбор более жизнеспособного зародыша при ЭКО.",2020-06-17T21:59:45Z,0
31,Ugz2g1Rmrb6gZ7KXMEV4AaABAg,FEELIXtZ9AU,Максим Кац,0,0,Flombertog Forsberg,"Стандартны красоты до сих пор по Гитлеру, не смотря на то, что про него уже стали забывать. Вот обратите внимание на моделей: все одинаковые, азиаты и негры редки, в основном это белые люди, блондинки, брюнетки со светлыми глазами и светлой кожей. Пора заканчивать подобные практики.",2020-06-17T15:08:20Z,0
