,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwCI6pGKXfEPs4sjlR4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Милена Радошнова,Потому что у них нууу ооочееень тесный контакт,2020-06-24T10:15:58Z,0
1,Ugwc-xER76bbI7_vKD94AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,вера Масленицена,"Потому
Что
Могут
Начаться
Военные
Действия
Вот
И
Торопится
Он
Нормальный
Человек
Живёт
На земле
И
Должен
Разбираться
В
Реалиях
Жизни",2020-06-22T06:20:53Z,0
2,Ugy1lDaAhjkfWQKeBUR4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Ё Жа,Телеканал ваш.заказной.и роли заказные.оййёйёй как видно шито белыми нитками,2020-06-20T12:48:37Z,0
3,Ugz7pJItP21kafXVYBl4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Aleksandr Zharov,"Ванную,что 24 июня пандемия обнулиться,вместе с дедом,а потом 2 июля резко нападет вторая,самая страшная волна,но плебейССыт будет непричем,как и непричемыш.Госдеп не дремлет.",2020-06-20T09:47:53Z,0
4,UgwWch_r1vkX7W3r_zR4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Светлана Гильдеева,Вот лицо вроде умное на экране...А название ролика говорит о душевных проблемах.. Высосанные из ничего обвинения и претензии к власти хорошо это подтверждают..!!,2020-06-20T01:12:46Z,0
5,Ugx4PrH1sPc1pBtEGc54AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Евгения Прекрасная,"А в Украине никто не спешит с отменой карантина. Ждут, когда все передохнут",2020-06-19T17:18:39Z,0
6,Ugw5TiVtKre78qqF1Zl4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Зимфира Акчурина,"Это который Путин ? Китайский ,американский или неизвестно откуда появившийся ?",2020-06-18T17:49:39Z,0
7,UgwUuxfHXzscI79OU_N4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Людмила Терентьева,"Жёсткие ограничения были в Китае и они избавились от КВ,  а у нас одна видимость...",2020-06-16T13:58:45Z,0
8,UgxYhQe2409xWaS7cG14AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Татьяна Микешина,"Да ,что бы протолкннуть  свои выборы  . Всех бюджетников  опять заставят голосовать  за Путина  всегда  так было  и будет  по другому  он давно бы уже не сидел в этом  кресле  .Народ против",2020-06-16T00:27:17Z,0
9,Ugwj-LMIoe5WheBSos14AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Галина Елохина,"Никто из них не болеет , это все ложь , пиздежь и провокация . Их всех заставляют за большие деньги разыгрывать заболевших, гады бросают народные деньги на свои интересы , а мы простые смертные с копеечными пенсиями собираем по миру детям на операции.",2020-06-13T03:27:19Z,0
10,UgwP0BAaaNvx4jVaSR14AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Лидия Ерохина,"Вы сами то верите в то что говорите,н кто из них не болел и не болеет",2020-06-12T22:37:16Z,0
11,UgxZeN-XfdozIKlR12Z4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Анна Кропотка,"Карантин это не самоизоляция. В России не применяли карантин  т к правительство  наше  жадное  не хотело брать обязательства  и   платить  ,  застали всех бесплатно сидеть дома . И платить комуналки  кредиты .",2020-06-12T15:31:17Z,0
12,Ugw1T7-fK2rNEt121zZ4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Елена Ефимова,Что вы раздувает панику. Прапаганда дьявола.,2020-06-12T14:58:21Z,0
13,UgwHwXqKD1MzDgyOWCh4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Павел Мамонтов,"Какая-то пиздешь! 
Люди! Где ваши мозги?
Чего на Кремль смотреть? У них денег больше чем есть на самом деле, вас как баранов в стойло загнали, а вы рады своей тупости",2020-06-12T05:43:04Z,0
14,UgznU-aR32uwLA7PQmB4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Galina Mitasova,"Не похож Песков на больного,перенесшего такую страшную болезнь.",2020-06-11T13:43:24Z,0
15,Ugy2OGVQrHw185QzGPx4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Галина Барханоев,"Я вообще не ощущаю никакого карантина.Живу и работаю,как и раньше.",2020-06-10T17:21:51Z,0
16,UgzmT7owtm103GR7kXd4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,ГЕРМАНИЯ РОССИЯ,"Идиоты  какой  коронавирус  его нет и не было. Идиоты верите  всему,",2020-06-10T07:31:31Z,0
17,UgwWFIfbbhniNJrRhj14AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Наталья Филатьева,"Кстати, только недавно подумала: а где "" наш"" главный клоун Жирик? Наверное, сидит в баньке с девками и тихо о¥уевает от творящегося мракобесия.  Такой цирк с  барановирусом даже его извращенный ум придумать бы не смог.",2020-06-09T21:31:20Z,0
18,Ugx_hGIL9aXWzeg904B4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Владлен белов,да хорош пиздиь...болеют мл,2020-06-09T16:31:54Z,0
19,Ugx-kxtHwZLH2FahBaV4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Емеля Русь,"ну что вы все иронизируете? надоели со своими мнениями, где спешка то ? июнь и только сегодня отменили изоляцию, вы странные де..краты..посадили - плохо, освободили - плохо. Конечно, мы понимаем, что отрабатываете, что вам денежка нужна ,  вам все равно , о чем говорить.",2020-06-09T13:28:49Z,0
20,UgxqYmLSPhDDPUa3Cyx4AaABAg,FKyH0nNhC6g,Телеканал Дождь,0,0,Wolf Black,Я ЧЁТ НЕ ПОНЯЛ!!! А БЫЛ ВВЕДЁН КАРАНТИН???!!!,2020-06-09T08:16:14Z,0
