,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxlkO_Rk1IUgKHiCA14AaABAg,G8VTMa0yE4U,Максим Кац,476,3763,Алексей Навальный,"Ко мне в твиттер несколько раз прислали ссылку на видео Максима Каца ""Вызываю Навального на дебаты"". Я его посмотрел и вот окончательный тред на эту тему.


Я с пониманием отношусь к тому, что Максим раскручивает свой канал и ему хочется устроить дебаты со мной. Как говорится, хочешь несколько миллионов просмотров, устраивай дебаты с Навальным.


Я действительно часто участвую в дебатах. А ещё гораздо чаще меня вызывают на них. Увы, в большинстве случаев ровно с такими целями - продвижение, раскрутка, лайки, всё такие. Так работает политика, так работают медиа, так и должно быть


Вот недавно меня вызывал на дебаты Платошкин (Максим, без обид, но человек более изветный и политически значимый). Я отказался, потому что не вижу в этом большого смысла.


То есть то, что я часто участвую в дебатах по значимым (или интересным для меня вопросам) не означает, что я взял на себя обязанность развлекать интернет дебатами со всеми, кто завел ютюб-канал.


Участие в выборах обязывает людей участвовать в дебатах. А заведение другими людьми ютюб-каналов - нет :)


По существу. Мне очень жаль, но Максим снова прибегает к своей любимой тактике мелкого мухлежа. Говорит в своем видео: я вызвал его, люди требуют дебатов, а Навальный молчит и только в твиттере написал ""Дебатируй с Явлинским"".


Что значит ""только в твиттере""? Кац вызвал меня на дебаты в твиттере ночью, а я утром увидел всё и сразу дал ясный развернутый ответ. И даже приложил видео. Ответ можно увидеть здесь https://twitter.com/navalny/status/1270586186797658112


Сейчас даю ещё более развернутый:


1. Предлагать мне участвовать на стороне ""за бойкот"" - ещё один мелкий мухлёж Максима. Я с самого начала много раз сказал: моя позиция ""не признавать"". Это включает как ""не ходить"" (я поступлю ровно так и много раз объяснял почему) и голосовать ""против"".


2. Участвовать в дебатах о том чем один вариант лучше другого я не вижу смысла и даже нахожу это вредным. Такая дискуссия отвлекает от главного: факта того, что это ""голосование"" - обнуление сроков Путина и превращения его в пожизненного правителя.


3. Кремль очень хочет от нас этой бессмысленной и глупой дискуссии по тактике, в которой основной вопрос забывается. Ровно поэтому призывы Максима ""на дебаты"" так популярны в кремлевских телеграм-каналах
Примеры здесь: https://twitter.com/antibot4navalny/status/1271783077354917889


4. Я не хочу тратить время на дискуссию и спор внутри уже оппозиционного электората. А свою задачу сейчас вижу в том, чтобы объяснять людям (и призывать вас всех делать это), что голосование = обнуление.


5. Если кто-то считает, что массовый избиратель и так это знает и не хочет по этой причине голосовать за поправки, то вы не представляете, как вы ошибаетесь.


6. Максиму интересна дискуссия о бойкоте. Он считает его максимально вредным. Одновременно он считает себя членом партии ""ЯБЛОКО"" и хочет её возглавить.


Ну так на днях его партия приняла решение именно о бойкоте. Поэтому моё предложение Максиму дебатировать с Явлинским и партией, которую он хочет возглавить вполне уместно, не находите?


7. Дискуссия эта происходит в твиттере и, к сожалению, Максим пользуется тем, что большинство зрителей его канала твиттером не пользуются и обманывает их, умалчивая о том, что всё это я уже публично ответил.


8. Поэтому, дорогой Максим, я повешу этот комментарий у тебя на канале, а ты прикрепи его пожалуйста, чтобы он висел вверху. Спасибо.


Тактически споры о действии будут всегда. Иногда они очень важны. Совсем недавно и Максим Кац, и его партия ""ЯБЛОКО"" активно выступали против ""Умного голосования"". Это была важнейшая дискуссия и я вел её яростно.


До это в 2018 году Максим Кац требовал от нас голосовать за Явлинского и утверждал, что он получит двухзначный процент, а если напечатать 20 млн газет за Явлинского, то он станет президентом. Газеты, вроде, в итоге напечатали.


Не уверен, что сейчас те, кто голосовали за Григория Алексеевича (к которому отношусь очень хорошо) рады тому, что вошли в 1%, а не участвовали в забастовке избирателей.


Ну ничего не поделаешь, ни политики, ни люди никогда не будут думать одинаково.

Завершая. Дорогие все. Сейчас в стране идёт массовое принуждение людей к участию в ""голосовании"". Буквально миллионы бюджетников заставляют участвовать, грозя увольнением. Тому есть масса свидетельств. Об этом надо говорить. 


Каждому, кто рядом терпеливо объяснить, что поправки уже приняты и их смысл в обнулении сроков Путина. Это разрушает рейтинг узурпатора и подрывает основу его власти.
Большое всем спасибо.",2020-06-13T14:18:47Z,0
1,Ugwju0oqNzY56a5RtTl4AaABAg,G8VTMa0yE4U,Максим Кац,0,0,Справедливый Волгоград,Мне Навальный не кажется политиком скорее общественник,2020-07-01T17:30:06Z,0
2,UgztC3ZPO91ypKrexFF4AaABAg,G8VTMa0yE4U,Максим Кац,0,0,Александр Штокман,"Господин Кац. Мы и так знаем чем кончится это голосование. Не важно как мы проголосуем. В России за сраные 20 лет ниразу, НИРАЗУ демократия не восторжествовала. В парламенте НИРАЗУ не побеждала ни одна партия кроме единой россии. НИРАЗУ! Господин Кац, вы о чем? Какой смысл идти если результат И ТАК ЯСЕН? Ответ немного сложен для понимания, но он есть - идя на данное голосование и голосуя, не важно за или против, вы выказываете этой власти доверие. Вы признаете эту власть правомерной. Наделяете ее правом оценивать вас, управлять вами. Не важно за или против. Именно это наделение власти правом судить - главная задача данного плебисцита. 
После него власть сможет сказать так: ""ну вот, вы же доверили нам свой голос, значит вы согласны на наше управление"". 
Я - не согласен с этой властью и я не верю в демократические институты нашей страны. Если бы я хотя-бы раз за свою не очень длинную жизнь видел как кто-то другой побеждает на выборах, кроме едра или путина, я бы пошел на голосование. Поверил бы, что есть реальная сила у моего голоса. Но сейчас я не верю. И никуда не пойду. Ну а вы в праве сами думать, своя голова на плечах есть. Ваши доводы по выборам, господин Кац, хотя я смотрю вас достаточно давно, меня НЕ убедили.",2020-06-29T07:49:08Z,0
3,UgylKrg5TGbjT3Cip-l4AaABAg,G8VTMa0yE4U,Максим Кац,0,0,Саида Кулдашева,"Помогите, десантнику Асхаба Алибекову, если сможете, спасибо",2020-06-28T21:49:48Z,0
4,Ugz7F5_8ZghM7G_zn3R4AaABAg,G8VTMa0yE4U,Максим Кац,0,0,Как бы так,Как можно такое чмо вызывать на дебаты? Ну разве самому такому быть. Ведь подобное тянется к подобному.,2020-06-21T19:54:36Z,0
5,UgxMadOce8QMpMfDbEB4AaABAg,G8VTMa0yE4U,Максим Кац,0,0,Fox Mulder,"Нет наблюдателей, а те кто есть - уходят на ночь домой, выводятся на 10-20 минутную дезинфекцию. Данные паспортов уже проставлены печатными буквами. Надомное голосование. Сфальсифицировать раз плюнуть.
Власть гонит на выборы и молодёжь призывами, например с соцсетях, банерами на улицах, так что не надо рассказывать, что власть гонит только бюджетников.. 
Главное - они если надо сфальсифицируют. А может, даже скорее всего, просто нарисуют нужную цифру. Вот скажите тёзка, на кого вы работаете? Вы же явно создаёте ""легитимность""  этому голосованию!",2020-06-21T10:11:31Z,0
6,UgwnaKdWNKzVzoeDfnB4AaABAg,G8VTMa0yE4U,Максим Кац,0,0,Serg813,Для по настоящему русских людей считаю поправки правильными!!!! ГОЛОСУЕМ ЗА!!!!,2020-06-19T18:49:50Z,0
7,Ugw-A3rkYQF-LL6CgLB4AaABAg,G8VTMa0yE4U,Максим Кац,0,1,Cordialement Jeanine,Голосуем против однозначно. Это очевидно. Какой нахрен бойкот.,2020-06-19T11:13:13Z,0
8,Ugz7GAI4_zL5wuHuY6J4AaABAg,G8VTMa0yE4U,Максим Кац,0,0,Kostya Kornev,"Нормально опозорился на дебатах, аргументация инфантильного школьника в розовых очках, «оно само». Тьфу, стыдно должно быть.",2020-06-19T08:03:57Z,0
9,UgwxEjCRHOk6KZ0IfSB4AaABAg,G8VTMa0yE4U,Максим Кац,0,0,Гафгафыч,"только глупое дурачье не видит что навальный сосёт у кремля , клоун который играет свою роль",2020-06-18T21:51:03Z,0
