,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxidOBDaP4GFbFYvHh4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Moonlight M,Беситесь сколько влезет. Заканчивается ваше время. Хорошо устроились зарабатывая на ненависти к России.,2020-07-02T06:33:40Z,0
1,UgxKUy3vX8d4ytVLkyF4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Гиймат Байрамова,Стыдно за артистов..Неужели есть нечего?Зачем агитировать за нарушение прав народа..,2020-07-02T03:10:15Z,0
2,Ugz79oC7l3XbJcuqLKd4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,YouTub YouTub,Россие пизда ничего не поменяется все только для денег пусть геройе войни умерают с голоду главное денег напхать в кармани,2020-07-01T22:21:49Z,0
3,Ugy3jjFrIiBdKVYoxvN4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Miroslava Sergeevna,"Актёры это актёры. Они просто сыграли прописанную роль, подозреваю что они считали, что снимаются в соц. рекламе за всё хорошее и против всего плохого.",2020-07-01T16:53:12Z,0
4,UgxizP5hciLV7QXnTNN4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Raistlin Majere,"Я так и не понял. Кто угрожает русскому языку и культуре, и почему тогда закон о языке в Украине называют фашистским?)",2020-07-01T16:49:16Z,0
5,Ugx6F93dwTyDmregkjh4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Rapid Nsk,Да потому что дибилы,2020-07-01T04:25:16Z,0
6,UgyxlXwZz1gJpAWORyR4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,алихан Кафыров,ХХХ,2020-06-29T17:46:04Z,0
7,Ugzx7Do0_hRX5-2QGrt4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Д. Н.,"Нет слов, есть только ❌",2020-06-29T17:20:01Z,0
8,UgxERZEv2GrciYWODDV4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Viktor Rotmann,"Панфилова - это не женщина, она отвратительна🙉👹👺💩",2020-06-29T15:19:31Z,0
9,UgyvR5GSQt9YiN2Q5pN4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Zatomis,*Рукалицо*,2020-06-29T12:50:25Z,0
10,UgzsGIb1V_ylLeK14Ct4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,AleksKos100 Косенок,Единственная цель поправок это чтоб Путин в гаазький суд не попал за свои преступления,2020-06-29T07:44:29Z,0
11,UgyInJr1DffTuNUbVdd4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,AleksKos100 Косенок,"Если вам это впаривают , значит вас за лоха считают)",2020-06-29T07:39:48Z,0
12,UgzWqbnEtORaPLdcpYx4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Борис Соболев,Пагфидова дещевач,2020-06-28T15:36:17Z,0
13,UgwQZ_yNCBZ4mZGDhtl4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,иван иванов,Слов нет цензурных об этой власти.,2020-06-27T20:40:07Z,0
14,UgwPRdjiUS6YFDDlThV4AaABAg,GfrDbGbzyFs,Телеканал Дождь,0,0,Антон Буквин,"Кто б сомневался,что агитировать против низя))) к нам даже на вахту приехали на голосования 25-го,была огромная стопка брошюрок агитации за голосование ,для особых специально сфоткал .Вот только мне интересно ,если уж говорят якобы бабла нет ,но вы умрите,то откуда бабло на такую агитацию ?!?Зачем там цинично врать?!?",2020-06-27T09:25:34Z,0
