,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxFHOu5qhKG1C3pHQZ4AaABAg,GyC9S_ehgSY,Максим Кац,122,762,Максим Кац,"Неделю назад в трендах сутки висело конспирологическое видео, сотни тысяч человек посмотрели. Это ужасно! Давайте попробуем вывести в тренды это видео. Для этого нужно его распространять в ваших соцсетях, чтобы было много переходов из внешних источников",2020-05-02T13:15:36Z,0
1,UgyLjHzzFKu5kYROosB4AaABAg,GyC9S_ehgSY,Максим Кац,0,0,altkirch hcriktla,"Вы тот типаж, который вещает на Ютубе не ради дискуссии со своими зрителями, которые ВАМ ДАЮТ тем самым деньги , а сам по себе. Тот типаж - Я сказал и альтернативы нет.
Где вы учились ? В Глазго? Понятно , чему и кто вас учил. Нет, я не злобная русофобка, сама в Европах живу. И я ДУМАЮ И АНАЛИЗИРУЮ ВСЁ , что слушаю. И ПОЭТОМУ говорю, что вы в этом ролике ВРЁТЕ, что типо нет никакого мирового правительства. Дядя, умоляю. Без комментариев. 
Одно хочу добавить- если вы не балаболка наученная обученная в Шотландии, где процветает педофелия в высших кругах и пониже, то когда придет совсем совсем скоро это самое правительство , то сделайте видео на эту тему. Ну, а про лжепандемию и вакцинации я с вами не вижу надобности начинать говорить. Вам по барабану мои комменты , может для других нет.",2020-07-03T08:21:15Z,0
2,UgxR7Bjckgp_d8sNOyB4AaABAg,GyC9S_ehgSY,Максим Кац,0,0,Дмитрий Веселов,"Основа конспирологии это эмоциональный паттерн детской обиды за собственную неспособность к навигации в сложном современном инфопространстве.
""В новостях попадаются фейки и пропаганда"" -> ""Все новости это фейки и пропаганда""
""Эксперты иногда ошибаются"" -> ""Все эксперты самоуверенные идиоты или проплаченные марионетки""
""Исследования бывают ошибочны"" -> ""Все исследования ошибочны""
""Научный консенсус меняется со временем"" -> ""Науке нельзя доверять вообще""
""Политики часто творят какую-то дичь"" -> ""Все политики творят только какую-то дичь""",2020-07-02T10:23:59Z,0
3,UgySIk6umxZ33bavw2V4AaABAg,GyC9S_ehgSY,Максим Кац,0,1,Лікар у Німеччині,"Сижу так в своём рептилоидном логове, управляю своими рабами и ржу над Вами.",2020-07-02T07:50:51Z,0
4,Ugxiygr0vaoeMpA7Rrx4AaABAg,GyC9S_ehgSY,Максим Кац,0,1,Лікар у Німеччині,Очень информативно. Спасибо,2020-07-02T07:46:50Z,0
5,UgxlqHjo0L3KyW78IDx4AaABAg,GyC9S_ehgSY,Максим Кац,0,0,Maneus76,"Есть такая поговорка: ""Если у вас нет паранойи, это не всегда значит, что за вами не следят"". Может быть абсурдных теорий заговоров много, но и реальные заговоры тоже вещь не редкая. )",2020-07-01T21:05:11Z,0
6,UgySApyyUjbo3BAa7oN4AaABAg,GyC9S_ehgSY,Максим Кац,0,0,Olha RA,"Интересно, трусящие этот весь конспирологический гон, сами в него верят или они просто стебутся?",2020-07-01T14:46:56Z,0
7,Ugx370raHlC6_I70wEt4AaABAg,GyC9S_ehgSY,Максим Кац,0,0,Staffchik,"Увы Максим, никак мне не удалось поменять своё мнение после просмотра данного ролика. А именно представление о невежественности части людей и бесконечной силы лени познавать окружающее. При том что первое подкрепляется вторым. О Билле Гейтсе, и его намерениях в благотворительности говорилось давным давно и в новостях и в интернете. Факт знания принципов развития общества, в том числе и фазы роста\убыли населения, проходились вроде в 6 классе на уроках географии, о чём так же должны все быть осведомлены (Исключение - аудитория возраста младше 12 лет). По поводу 5г-так же, на уроках физики были представлены основные принципы работы электромагнитного излучения и их использование в современном обществе. Начиная от оптики и заканчивая поездами с электроприводом. В моём же случае-заканчиваю обучение, (в качестве студента которых вы кстати часто упоминаете в своих роликах), в следующем семестре приступаю к написанию дипломной работы. Учусь на направлении электроники и телекоммуникации. Ну и в последнем случае вируса-даже знать ничего не нужно-достаточно проявить минимальное усилие к познанию мира, и поговорить с окружающими вас. К примеру у моей мамы на работе умерла коллега от данного вируса. Она была пожилого возраста, вела здоровый образ жизни, имела состоятельную семью, не имела даже никаких предпосылок к болезням. А что касается телевизионной пропаганды у вас, что тут сказать... Желаю всем Россиянам сохранять холодное критическое мышление, и внимательно оценивать то что доносится до вас с экранов (Только если вас ещё от этого не тошнит). Берегите себя, и своих близких.",2020-06-30T11:46:22Z,0
8,Ugy9SRSbDQSlFO0wrrt4AaABAg,GyC9S_ehgSY,Максим Кац,0,0,Катерина,это по этому все ищут смысл жизни?,2020-06-29T19:58:00Z,0
9,UgyD50GXJFYl7SLUQ6V4AaABAg,GyC9S_ehgSY,Максим Кац,0,0,Владимир Родионов,"Кац ,а вы откуда знаете,кто  о чём думает и что знает!?Получается вы один Знаток!Объясняете неразумной пастве что и как!Успокойтесь мы Вашего брата теперь знаем!Краснобайство и словоблудие не подойдёт!Начинайте работать, мы о себе сами позаботится!Работать болтуны!",2020-06-29T19:39:07Z,0
10,UgzLrT14JtEyyUiOXRN4AaABAg,GyC9S_ehgSY,Максим Кац,0,0,Ольга Иванова,спасибо))) комментарий для поддержки канала,2020-06-28T18:25:00Z,0
