,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzM9ic6kUeyfDJh3jV4AaABAg,I2XnMYgaTQk,Максим Кац,80,633,Максим Кац,"Лапшу про ужасный американский госдолг развешивают нашим согражданам на уши из телевизора уже много лет. Важно понимать, как всё это работает — вот можно видос распространить и людям будет понятнее :)",2020-05-16T15:21:09Z,0
1,UgwL248QufY7WqXzGIN4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Ghost of Hayek,"Хороший ролик но вот про плохость 0% инфляции соврал. В целом, будет просто выравнение реальных цен",2020-07-03T06:54:27Z,0
2,Ugx6Y3tr4BOe6JjG0eJ4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Николай Овчинников,"Странно что так мало просмотров!) 
Спасибо за ролик(и)))",2020-07-03T06:41:07Z,0
3,Ugw85nUd_b_k6gq5N2p4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Алексей Николаев,спасибо! просвещай!,2020-07-02T21:48:23Z,0
4,UgyGS6PSXkPqM2rDCP54AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Артём убийца пицц Трактор заказал эфадин 2018,Максим.купите новый микрофон,2020-07-02T16:36:28Z,0
5,UgwwjmWVwsAFlkjH_iF4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Zaza_ N,"Максим, освободите уже эту полку для котика)",2020-07-02T14:01:31Z,0
6,UgzXn8BUKix3i0UkdB94AaABAg,I2XnMYgaTQk,Максим Кац,0,1,inst: _.luminescence_,"Я человек с рбразованием политолога и изучавший мировую экономику посмеялась над заголовком :)

А ВЫ ГОС ДОЛГ США ВИДЕЛИ?!!))",2020-07-01T13:08:26Z,0
7,UgzmAr3jVnQA_vsiiU14AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Kалевала Q,Спасибо за аналогию со сбербанком. Я действительно пересмотрел свое понимание госдолга.  Браво мистер Кац.,2020-07-01T10:41:44Z,0
8,UgwXvjS_ACDCVT9JvCh4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Pavel Levin,Нет. За это время ничего не поменялось и не поменяется. Влияние на мировом рынке - это не просто так.,2020-07-01T07:46:55Z,0
9,UgyXkscJ_bHcw6tqmQF4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Kseniia Lebowski,у вас лучший соведущий!,2020-06-30T14:08:40Z,0
10,Ugzw462UKf1-vPwzgaR4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Денис Дворников,у меня друг на bestchange покупал биткоин. умер от передоза. спасибо за внимание,2020-06-29T14:26:03Z,0
11,UgyKUrC4g3nP-DxIXH14AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Ilya Ganzha,"хороший ты мужик, Максим!",2020-06-28T12:18:03Z,0
12,Ugyd8J1vmGaRe3t5rXV4AaABAg,I2XnMYgaTQk,Максим Кац,0,1,All Right,отличное видео,2020-06-27T16:46:40Z,0
13,Ugyu229AxYYPBRycQWd4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Марат Тимраглиев,Красавчик.,2020-06-27T14:55:45Z,0
14,Ugz13m_H2hB7pL74NkN4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,E S,Продолжая тему разрушения мифов про США. Наряду с мифом о гос долге так же часто говорят что американский доллар не поддержан золотом. Насколько это важный фактор?,2020-06-27T11:47:01Z,0
15,UgwkIc_NDG-kZ3Hd3U54AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Роман Ястребовенко,В шкафу наверное самый умный кот ютюба.,2020-06-26T23:22:36Z,0
16,Ugy9do7drT3tPXVlF6N4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Юрий Иванов,"Спасибо, Максим. Побольше бы передач на экономическую тему !",2020-06-26T13:40:21Z,0
17,Ugzww4_WrV4S8yc05Yd4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,М,На твоем канале знаний получил больше чем в универе,2020-06-26T12:47:44Z,0
18,UgxXOpXVZkGCcwHdc4J4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Timur Kucheryvyi,"Доступно. Однозначно подписка. 
Интересна Ваша биография",2020-06-26T06:56:10Z,0
19,UgwicDvAztepDE2wq4l4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Дарт Вайдер,У нас экономику изучали)),2020-06-25T16:32:41Z,0
20,Ugw72y8wrAY02vR1mvB4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,даг давидов,гахба,2020-06-25T00:21:58Z,0
21,Ugwj3T6GZqBR3hUha4N4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Erfar,"Максим, я замечу что у вас есть серьезная ошибка в начале ролика. Бартерных обществ как таковых не существовало, вместо этого в обществах без денег был распространен долг, или ""кредит"", сегодня я дам тебе рыбу а завтра ты поможешь починить крышу и тп. Деньги же появились вне малых обществ. То есть когда ты не знаешь человека он не из твоей семьи или села то для торговли с ним как раз и нужны деньги или иные ценности. В окончательном своем виде деньги формируются уже после появления государств для учёта налогового сбора (который был натуральным)",2020-06-24T21:45:34Z,0
22,UgyF98vssqVS8JgbwT54AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Andrei Osipov,"Дурак дураком. Уж простите но автор этого ролика таков.
   Вся теория прописанная в учебниках у него на высоте, но как дело доходит до выводов или проведения аналогий, то лучше бы ему и не родиться....
 1) Сравнивать долги государства с депозитами банков - крайняя тупость. Ибо банк берет деньги для их дальнейшего инвестирования с целью получить прибыль. США же берут деньги в долг для того, чтобы заткнуть невероятных масштабов дефицит бюджета (о чем автор скромно умолчал). А это два кардинально разных понятия.
 2) Проценты под которые государство берет в долг (какими бы низкими они не были) не определяют уровень его проблемности. Кстати как и отношение размеров этого долга к уровню ВВП. Главным показателем является соотношение ПРИРОСТА ГОСДОЛГА К УРОВНЮ ПРИРОСТА ЭКОНОМИКИ. 
   Иными словами: когда рост дефицита бюджета, достигает таких масштабов, что никакой экономический рост уже не способен устранить необходимость продолжать занимать деньги на элементарное «прожить» - это катастрофа.
    3) делать вывод о том, что долг США - это не проблема, в то время когда ВСЕ без исключения экономисты мира (включая США) говорят об обратном - это ... 
       Другое дело, что потенциальный кризис, обусловленный этим долгом, действительно всему миру боком выйдет.",2020-06-24T12:43:23Z,0
23,UgwWtD4yxqoj1_NiWIN4AaABAg,I2XnMYgaTQk,Максим Кац,0,1,Московцов Иван,"Россия, как правопреемница СССР, очень охотно раздает долги СССР разным странам. Но почему-то полностью игнорирует долги перед своими гражданами за те же потерянные вклады. Хотелось бы услышать ваше мнение по этому поводу. Должна ли РФ (или Сбербанк) вернуть те вклады с адекватным перерасчетом по современным ценам?",2020-06-24T10:35:18Z,0
24,UgxtRjEu-BKLTVmbXoN4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Сергей Аведов,"Очень странно, у меня была экономика в школе. Хотя далеко не гимназия",2020-06-24T09:03:18Z,0
25,Ugy_hsMx7FgwBFsYunZ4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Игорь Паршиков,"Забыл только Максим сказать, что госдолг в национальной валюте, попутно являющейся общемировой, да еще и с возможностью печатать её в любых количествах это не одно и то же, что иметь госдолг в иностранной валюте своего главного геополитического врага. Который к тому же тебе постоянно ""вставляет палки в колеса"". В общем не все так красиво как говоришь. А что кстати плохого в национальных проектах, кроме того, что вся наша экономика зависит от иностранной валюты главного геополитического врага со всеми негативными последствиями.",2020-06-24T00:06:51Z,0
26,Ugwh_ECvUVu-GPOoZLl4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Dmitry Nasonov,"14:58 если это реклама сбербанка, то это лучшая реклама)",2020-06-23T23:58:09Z,0
27,Ugyaxz2PrJTk3MDKfHJ4AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Alexandr,"РФ не то что бы не хочет взять в долг, сколько ей не дают",2020-06-23T16:50:12Z,0
28,UgwEHMAwhQ1Mmo0drV54AaABAg,I2XnMYgaTQk,Максим Кац,0,0,Alexandr,"Единственный нормальный способ поменять валюту(я про обычные деньги, не считая крипту) это брокерский счёт и покупка валюты на бирже напрямую.",2020-06-23T16:33:24Z,0
