,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugwh02P_Dsq1U3aRAAF4AaABAg,IsQwbYsB1P8,Навальный LIVE,51,167,Навальный LIVE,"Кампания «Пять шагов для России»: https://5steps.vote
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 11 июня: https://youtu.be/A9mny08uI8s",2020-06-12T00:05:23Z,0
1,UgwpUs6s8JUFGKEbRIx4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Татьяна Голихова,Смертность не может быть намного  ниже летальности !,2020-06-29T12:08:41Z,0
2,UgzAHgpHXzdBgfcm0494AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Игорь Коваленко,Усатый таракан 🙈🙈🙈,2020-06-26T20:27:08Z,0
3,Ugw8LpHNWHvY7I5vq7J4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Michaelis Divinus,"Если вы будите топить за карантин и ограничение я буду голосовать за Конституцию 😁 
Карантина нет! ⛔",2020-06-24T13:48:09Z,0
4,UgwoMw6aPftuWPN1B4N4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Марина Дубровная,"Пусть съездят в Смоленскую область, в маленькие города, где людей нечем лечить, потому что нет нужных лекарств и всем известных аппаратов ИВЛ! Где в инфекционном отделении стены в плесени... А все врачи либо сами болеют, либо увольняются, чтобы сохранить себе жизнь, т.к.нет нужных средств защиты, а надбавки обещанные никто не платит! И в то же время строят ""больницы"", которые потом просто стоят закрытые и не принимают тяжело больных!!!! Люди умирают... но не от самого короновируса, а от того, что лечить его нечем! Зато есть больница, наскоро построенная для министерства обороны, где лежат всего 2 человека, а в Красном кресте г. СМОЛЕНСКА уже просто нет мест для размещения тяжелобольных пациентов! А Островский (губернатор области) тем временем дает негласные указания снижать показатели смертности и заболеваемости короновирусом, чтобы перед зажравшейся  властью сохранить ""лицо"" и участвовать в будущих выборах! Слов кроме мата уже нет! Совести нет никакой у всех причастных, для них люди- это рабы! Насколько же это мерзко и противно! Главные врачи больниц настолько боятся потерять своё место, что забывают свою главную клятву!! И вместо того, чтобы требовать от правительства и министерства здравоохранения необходимые медикаменты для лечения пациентов с короновирусом, для пациентов с тяжелыми формами заболевания спец. мед
 оборудование и все необходимые средства защиты, они отчитываются, что всё классно!",2020-06-22T21:51:22Z,0
5,UgxnuUfTm22Z_uiNOSt4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Виктория Семяшена,"Только став независимой страной мы сможем вкладывать деньги в медицину, инфраструктуру...,а не в гос облигации США. Сможем спалить этот грёбанный ЦБ который управляет банками, деньгами но подчиняться МФВ",2020-06-22T04:12:50Z,0
6,UgxYtWNlw0KAqUplFmR4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Виктория Семяшена,А доказательства занижения есть?,2020-06-22T04:07:08Z,0
7,UgxmPafdj-m7V-soP9d4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Виктория Семяшена,"Боюсь, как бы Навального не грохнули свои же ""либералы""... обвинив Путина... ""кровавый режим Путина..АААА""- кричать они потом будут.
Лёха береги себя...",2020-06-22T04:04:52Z,0
8,Ugy2aREv_Uy3KangzOB4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Чёрный Лис,"В России нет нормального здравоохранения.
Коронавирус на 70 % это фейк.
Песков-говорящая голова, путинская секретутка.
Ну а ВОЗ я вообще молчу...",2020-06-21T12:41:48Z,0
9,UgxQDcyCdgQfaFgnV3p4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Sanchello 007,Леша- хорошь нюхать,2020-06-20T20:34:22Z,0
10,UgxmYFKXRKycJYm1odN4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,дима чирков,Медицина в России это попрашайничество на всех уровнях стало нормой. С другой стороны кто просит для себя или другого на улице это преступник.,2020-06-20T17:25:53Z,0
11,UgybctuRPcgVhXDwXuJ4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Настя Настина,Почему у Алексея всегда Красный галстук и Оранжевый стаканчик???? Пишите в коментах!,2020-06-20T16:51:23Z,0
12,UgwA3gpyfO0_9rswW754AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Елена Кольчугина,Давайте теперь самоизолируемся добровольно до 2 июля. Страшно.,2020-06-20T10:07:25Z,0
13,UgwJmzYPA47WOhhGtnZ4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Елена Кольчугина,"Нас захватили гномы и карлики, подземные жители. ( Это конспирология)",2020-06-20T09:52:33Z,0
14,UgzNy1__hs0nnu1Si_J4AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Артур,"В Москве возможно да неплохая медицина и то не вовсех медучреждениях, но вся остальная часть России в ужасном состоянии, видно же всё, случись где что везут на лечение в Московские больницы потому как по месту немогут и нечем лечить",2020-06-19T15:56:57Z,0
15,Ugx67hOiqhb2rjriq094AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Татьяна Ф,"Я думаю , маски от Собяки он сможет продать на запад, флаг ему в руки и враньё в ж.....пу",2020-06-19T10:44:16Z,0
16,UgwIAJnVjeKwLOyTbw14AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,Яков Калинин,👍🔥👍,2020-06-18T19:47:29Z,0
17,Ugx5XfBHvRPN93d-IR54AaABAg,IsQwbYsB1P8,Навальный LIVE,0,0,ШАМАН,"Пыня Дырявый скоро всё, покидает нас ☠️ /+/",2020-06-18T12:16:04Z,0
