,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyXrpPVF6MQK1hT3lF4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Sirius Sirius,"Вранье,вранье и вранье!!!Вместо денег --спасибо от жулья получили.Спасибо за то,что получили наши денежки",2020-07-01T18:22:00Z,0
1,UgweEbizofh1Sq_O9xJ4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Татьяна Михайлова,"Зарплаты в медицине оптимизируют наверное  с 2008 года. 
Итог зарплата ср. персонала 18-19 тыс.Главному экономисту 
больницы без медицинского образования за оптимизацию 
зарплат,присвоили звание засл.врач России.Директор 
частного мед.предприятия перепродающий мед.препараты 
государственным больницам по тендерам летает на личном 
самолете. Простых и также хороших масок в больнице до сих пор
по сути нет.",2020-06-04T23:08:32Z,0
2,Ugw_kBUklNTKZXQipHF4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,LEMNISCATA 27,"и че вы хотите сказать это Путин закрысивает деньги? Путину нужны деньги? да у него не те года и не та мудрость чтобы довольствоваться такими мирскими благами, это кампания против него, он что должен каждого главного врача или кого там контролировать отдали или нет? что то как то странно, почему Губернаторы на месте этого не делают, найдите давались ли деньги вообще губернатору это раз или кто там распределяет, через чьи руки, а если давались то причем тогда Путин, так может это его оппоненты создают около него такую молву",2020-05-27T15:25:01Z,0
3,Ugxsqk6U4Zpdvw-sTt94AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Dmitry Khadiz,"Как вы думаете, мысли соответствуют вашей программе? 

1. Заработные платы чиновников, директоров государственных предприятий не более 4х кратной от МИНИМАЛЬНОЙ по субъекту, предприятию.
Определить максимальный размер выплаты не более 4х кратного от МИНИМАЛЬНОЙ заработной платы, включая все премии, в субъекте, в предприятии абсолютно всех чиновников вплоть до губернатора и президента, директоров и топ менеджеров гос. компаний, стране в целом. 

2. Пенсия:
Установить Минимальный размер пенсии не менее Минимальной заработной платы в субъекте и Максимальный размер пенсии не более 4х кратной МИНИМАЛЬНОЙ пенсии. 
Включая всех чиновников, администраций, Президента, пожарных и полицейских.
Для получения минимальной пенсии, гражданин обязан проработать не менее 10 лет и платить налоги в течение 10 лет с заработной платы 
не менее Минимальной заработной платы в регионе. Увеличение в зависимости от большего количества трудовых лет и больших отчислений. Трудовые книжки больше не нужны.  (немного поясню, на сегодня пенсии сотрудников администрации, армейских и полицейских чиновников составляют 70% от их заработной платы. В свяизи с чем горстка чиновников получает большую часть пенсионных отчислений, примерно 70% уходит на них. Любая индексация ведет к все большему разрыву, потому как она в процентах, и 10% от 10000 рублей и от 70000 рублей абслютно разные вещи, т.к. у простого гражданина увеличение на 1000 а у богатого нуждающегося на 7000. Вообще считать любые прибавки в % ведет к увеличению пропасти между классами)",2020-05-25T17:13:06Z,0
4,Ugxu_GMBgTG04mzPlnd4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Аз Ор,слава великому ВВП,2020-05-25T12:23:43Z,0
5,UgxENWuamsPHq6h804R4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,777 777,Ждите дальше. 20 лет ждали. Сейчас обнулится и еще 20 лет ждите,2020-05-25T10:13:30Z,0
6,UgwQrNhcA7wJEzXXdWB4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Серж Мальцев,Позор такому президенту и правительству и здесь обворовали ничего нет у них святого. Позор!!,2020-05-25T09:09:23Z,0
7,Ugy7l_XwVO6uA-ZbuXp4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Vladimir Vovan,все что он говорит делается все наоборот,2020-05-24T12:47:10Z,0
8,Ugxx-k2TwcAuYJujah14AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,olga m,"Города России,   делайте ролики и пусть все видят !нельзя молчать",2020-05-24T11:41:54Z,0
9,Ugy1KGC1lfYv38ex0UZ4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Павел Чеканов,Очередной обсёр воровского сообщества под предводительством Бункерлорда,2020-05-24T09:53:22Z,0
10,UgzZBJZgMr-9TTk1y-l4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Виталий Вольный,Вова попущенный,2020-05-24T07:01:44Z,0
11,UgzRgdyNRCgnMxM7u8B4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Дикий Флекс,"Я просто угараю все страны жопу рвут чтобы помочь врачам, а наши спиногрызы банально зарплаты не выплачивают, ох скоро развалится наше ""Государство"".",2020-05-24T06:49:29Z,0
12,UgyRy1LTFxBUfIaWDHp4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,[ Al'ter ],А как нас заставляют писать заявление о том что просим выплатить нам за отработанное время(((,2020-05-23T19:51:12Z,0
13,UgzlsA9ixLFTbDA8DOd4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Miss S,"люди боятся показать свое лицо , боже какой стыд ,либо В В НЕ В КУРСЕ ЧТО Я СОМНЕВАЮСЬ ,либо ОН ПРОСТО НЕГОДЯЙ И СВОЛОЧЬ !",2020-05-23T06:47:45Z,0
14,UgyLdP8Me5HuNH5yd6h4AaABAg,Iu5pwrBsDE0,Навальный LIVE,2,0,Александр Шумкин,Чем им полатям?,2020-05-22T17:50:39Z,0
15,UgyLdP8Me5HuNH5yd6h4AaABAg.98ySNXusbnK98ySUSPFtnQ,Iu5pwrBsDE0,Навальный LIVE,0,0,Александр Шумкин,Откуда деньги?,2020-05-22T17:51:36Z,1
16,UgyLdP8Me5HuNH5yd6h4AaABAg.98ySNXusbnK98ySQsjzzf4,Iu5pwrBsDE0,Навальный LIVE,0,0,Александр Шумкин,Платят?,2020-05-22T17:51:07Z,1
17,UgwZpZiw7bJlfgrwY0Z4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Александр Шумкин,"Думаю, что речь, тем более на час-два да ещё и с правильными примерами за ночь не накропаешь. Команда нужна, а им надо жить...",2020-05-22T17:50:01Z,0
18,UgyAuQeWvDVVVfkfrDF4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Александр Шумкин,Господин Навальный! Это не спам. Просто интересно. Каждый день по несколько сюжетов. Чем Вы занимаетесь и откуда деньги берёте на жизнь????,2020-05-22T17:45:04Z,0
19,UgyT1-Jaw_2fjdKIx6p4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Игорь Шустов,"Нижний Новгород. Нижегородский областной диагностический Центр.

Вот, какое сообщение получила на 18.05, моя супруга в переписки с коллегами, которые напрямую работали с больными пневмонией и с ковидными на КТ, и которые ждали выплат


""Центр согласно лицензии СКОРУЮ ПОМОЩЬ не оказывает. СТАЦИОНАРНО мы тоже с ковид пациентами не работаем. Таким образом, выплаты по ПП РФ 484, к сожалению нашим сотрудникам НЕ ПОЛОЖЕНЫ.""


Их даже в расчёт по этим законам не могут взять. Они пожаловались в СК, что будет дальше посмотрим.

Но то, что эта олигархическая система просто не предназначена для помощи людям факт безусловный. И только безумцы или проплаченные мpaзи защищают её.",2020-05-22T16:24:01Z,0
20,UgxcO1BzC-KAHeUxDIl4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,1,Мак Си Мус,"У меня знакомая в Москве в спец.костюме в реанимации работает медсестрой с зараженными. Получает 200 000 в месяц. Но я не удивлюсь, что в разных регионах по разному.",2020-05-22T14:30:49Z,0
21,UgwYSFPFUJc2kWC9ZCl4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Виталий Наседкин,лайк,2020-05-22T07:32:14Z,0
22,UgxuF3uiod29utxIINN4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Антошка,Красивая ОЧЕРЕДНАЯ сказка),2020-05-21T21:17:38Z,0
23,UgzTY9Wuibeoq4OMSmR4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Grigorij E,"А что будет если все врачи устроят байкот и просто на одни сутки не выйдут на работу?
Просто все,просто в один день???
Мне просто интересно как эту ситуацию, наши управленцы ,решат данную проблему?
Я понимаю что данное не возможно! Многие медработники не могут себе позволить смерть больных от которых зависит их жизнь.
Но всё же! ...",2020-05-21T20:15:11Z,0
24,UgyZ1Gtxxy46y-vOmzF4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Александр Пудов,Черт!,2020-05-21T11:37:24Z,0
25,Ugx-y-0RsOwpNzfKDFJ4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Will Rock,А с чего вы взяли что вам кто-то что-то заплатит?))вот вы наивные конечно пздц,2020-05-21T11:31:41Z,0
26,Ugxqrr_sGOgnGTAbJEN4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Станислав,"179 москвичей посмотрел и сказали, нам вот все выплатили, дизлайкнули и побежали в поликлинику-студию к Малышевой.",2020-05-20T16:27:17Z,0
27,Ugw_3-uHBR-_kf1weiN4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Антон ЖиВанШи,Требуем выплат врачам!,2020-05-20T14:44:46Z,0
28,UgwWxdRKQCAKnCj-YpZ4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Едроссов В тюрьму,Твари не насытные едроссы. Дайте врачам деньги по-хорошему.,2020-05-20T12:23:25Z,0
29,UgxjPvNsSQJZ5nl5AoN4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Мрапр Миерош,Смеётес дароду пастсвили на калени правильно сделоли кто такой народ стада баранов,2020-05-20T10:21:36Z,0
30,UgzPnwGaorcKUmt3KOl4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,1,Oleg Sotnikov,Всю власть судить надо и сажать в лагеря! Сколько можно воровать то безнаказанно 🧐,2020-05-20T09:08:55Z,0
31,UgwhZCTqHjxptuwTJyZ4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,1,Tamara D,"Сергей Торгунаков: ""Пока русский народ не вспомнит их закон соборности ""Один за всех, и все за одного"" - будет находиться в полном рабстве""",2020-05-20T08:41:54Z,0
32,UgwZbuVSY-NukWZwfrh4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Vladimir Chernishov,Всё выплатят. Уголовные дела иначе будут заводить на руководителей.,2020-05-20T07:43:50Z,0
33,UgwTbSFOAd-lUnJDXhx4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,0,Тамара Долматова,"А остальным,врачам ,санитаркам , и всем кто в этот период сидел по16 дней,в больницах не важно с короновирусом или с детми инвалидами ,им как.?",2020-05-20T07:04:39Z,0
34,UgxiNwBRsj61jRRkL3d4AaABAg,Iu5pwrBsDE0,Навальный LIVE,0,1,Том Сойер,"Одно удивляет, как люди до сих пор не поняли, Путин просто телепрезидент, шоумен если хотите",2020-05-20T04:54:32Z,0
