,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxRyAQWTahYgB8lFBh4AaABAg,JOIux2GUivI,Максим Кац,96,340,Максим Кац,Если подписаться на канал и порекомендовать его друзьям то когнитивных искажений в вашей жизни будет меньше :),2020-05-22T14:44:41Z,0
1,UgzhNNcxQobbpPBuwHd4AaABAg,JOIux2GUivI,Максим Кац,0,0,Виталий Лисенков,Давайте! Ждём ещё одно видео!,2020-06-28T01:43:56Z,0
2,UgyzBzAQMWLxzYNR2ih4AaABAg,JOIux2GUivI,Максим Кац,0,0,Кошмарик,"Отличное видео! Но еще интересно было-бы в узнать, например, про мешки с сахаром в Рязани, основываясь на всех этих теориях заговора и прочего. Кому выгодно, почему и какие вероятности совпали? Лайк.",2020-06-27T16:36:23Z,0
3,UgyTMNjzrEIy80hYaTV4AaABAg,JOIux2GUivI,Максим Кац,0,0,Андрей Р,"Кто ставил дизлайки под видео? 
Отзовитесь, пожалуйста, расскажите, что конкретно вам не понравилось. 
Нююю очень интересно! ))",2020-06-27T16:21:02Z,0
4,UgwqF-QMBaflSqzzDUZ4AaABAg,JOIux2GUivI,Максим Кац,0,0,Таффи,"Эффект ореола - когда мы судим о явлении в целом по одному лишь признаку.Например, если у человека есть кот, то этот человек априори добрый и хороший. А в голову не приходит, что кота на случай отсутствия продуктов держат, чтобы съесть) Или самоутвердиться за счёт беззащитного животного - наорать, отлупить;  доминировать хоть над кем-то, пусть это хотя бы и кот?))",2020-06-27T12:13:51Z,0
5,UgyeROqDQktQsZ14g9Z4AaABAg,JOIux2GUivI,Максим Кац,1,0,Moonlight Gator,Есть люди типа тебя сидящие с умным видом и выдающие из пальца высасаные  примеры за факты.ಠಿ_ಠ,2020-06-19T23:16:35Z,0
6,UgyeROqDQktQsZ14g9Z4AaABAg.9A67wChpu7N9APYTI_KaTK,JOIux2GUivI,Максим Кац,0,0,Таффи,"Нет такого слова в русском языке  - ""высасаные"")))",2020-06-27T12:14:00Z,1
7,UgyKMLVsEfBN_TSu7-94AaABAg,JOIux2GUivI,Максим Кац,0,0,Дмитрий Белов,"Всё хорошо. Но за башни я не согласен. Эти башни не могли после этого удара самолёта развалиться до основания сами. Это же смешно, это вам не домино.",2020-06-18T21:35:54Z,0
8,UgzhquLENARONsiL4Q54AaABAg,JOIux2GUivI,Максим Кац,0,1,Канки Ноби,Где продолжение?,2020-06-18T11:53:57Z,0
9,UgwhLH3BP2jj8xJzl4d4AaABAg,JOIux2GUivI,Максим Кац,0,0,Lera Go,"очень интересно, но суховато.. добавь эмоций и личного взгляда в повествование, смотреться будет легче",2020-06-18T11:18:05Z,0
10,Ugz_WRYITePUbm7hvMd4AaABAg,JOIux2GUivI,Максим Кац,0,0,Елизавета Демидова,"Рекомендую к прочтению книгу Андре Кукла ""Ментальные ловушки"" о когнитивных искажениях",2020-06-18T09:57:00Z,0
11,UgxFge5SnbbaIk9N3Yt4AaABAg,JOIux2GUivI,Максим Кац,0,0,Andrei Artamonov,А я умножаю все запланированные на работу сроки на 2)),2020-06-16T11:51:58Z,0
12,UgxLUr7wb1T3wmtQS7t4AaABAg,JOIux2GUivI,Максим Кац,0,0,Артем Оголь,"Получается, что я совершаю ошибку ореола, когда поддаюсь убедительности Максима, ведь сам я совершенно не компетентен в этом вопросе",2020-06-14T18:42:51Z,0
13,UgxUbskSHRr5moqOBqR4AaABAg,JOIux2GUivI,Максим Кац,0,1,Archgift,"Редко пишу комментарии, но ваши выпуски очень нравятся. Спасибо! И передавайте привет коту на заднем плане))",2020-06-14T10:00:53Z,0
14,UgzbdAKwb-b1Rdvr1FR4AaABAg,JOIux2GUivI,Максим Кац,0,0,Павел Галактионов,"Максим, сделайте, пожалуйста, продолжение!!!",2020-06-13T11:26:05Z,0
15,UgxpVSknpjPHTnLeXTV4AaABAg,JOIux2GUivI,Максим Кац,0,0,Ivan Ponomarev,"Я вас ооооочень прошу, сделайте больше таких видео. Сил учёных для популяризации не хватает.
Чем больше - тем лучше!",2020-06-13T10:21:33Z,0
16,Ugx5W0RCBoKqGDlC6Nd4AaABAg,JOIux2GUivI,Максим Кац,0,0,Ян,"Самая главная ловушка мозга - бесполезные и тупые школьные предметы, которые никогда не пригодятся в повседневной жизни",2020-06-12T12:33:32Z,0
17,UgzNqATVZAigggZYFep4AaABAg,JOIux2GUivI,Максим Кац,0,0,Вадим К,"Это из книги думай медленно, решай быстро",2020-06-12T08:55:03Z,0
18,UgyFzAfQ15niXq3B6AF4AaABAg,JOIux2GUivI,Максим Кац,0,0,Александр Леканов,0:04 безумно можно быть пееервым,2020-06-11T20:05:41Z,0
19,UgytXrvtJFKjgO-q5pd4AaABAg,JOIux2GUivI,Максим Кац,0,0,accuracyAdherent,"Кому интересна эта тема, советую посмотреть Александра Панчина.
Впрочем, если вы тут, вероятно уже его смотрели.",2020-06-11T17:47:08Z,0
20,UgweYu7yfl5RPyKy0rR4AaABAg,JOIux2GUivI,Максим Кац,0,0,dnafpv,"Хороший пример про Башни-близнецы. В нашей стране есть аналогичный пример про взрывы жилых домов, и такая же теория заговора, что это организовали спецслужбы. Вроде даже есть свидетельские показания, но дело темное. 
Большинство доводов логики и морали - против теории заговора. Вы что думаете по этому поводу?",2020-06-11T10:11:46Z,0
21,UgxSPGKllZvl3Xz8jYJ4AaABAg,JOIux2GUivI,Максим Кац,0,0,dnafpv,"Максим спасибо за видео! С Машей-кассиром есть чисто лингвистический нюанс. Озвучивая выбор между двумя высказываниями (Маша - кассир и Маша - кассир И феминистка), подразумевается, что в первое высказывание надо понимать как ""Маша - кассир и НЕ феминистка"". Если бы эти высказывания звучали не в одном контексте, то это бы не подразумевалось. Эксперимент получается не очень чистый.",2020-06-11T10:08:22Z,0
22,UgyoE8TmZ2rc6DHy51N4AaABAg,JOIux2GUivI,Максим Кац,0,0,Зелёный человек,А я и не знал что Максим - волк,2020-06-10T11:35:18Z,0
23,UgxcqT0tZDgSWErWQbl4AaABAg,JOIux2GUivI,Максим Кац,0,0,Александр Александров,"Так, а что насчет взрывов домов в России в начале нулевых?",2020-06-09T15:52:16Z,0
24,Ugy5gnLZvJ8e98JVPft4AaABAg,JOIux2GUivI,Максим Кац,0,0,Kolsky Traveller,"Насчёт выводов эксперимента на тему ошибки планирования склонен не согласиться. Да, многие люди переоценивают свои возможности, но есть студенты, которые здраво дали себе оценку, исходя из своих умений, а не усредняя температуру по больнице. В общем, постановка вопроса неудачная. Хотя, конечно, тоже довольно глупо сопоставлять вероятности в линейную зависимость со сроками.",2020-06-09T14:51:25Z,0
25,Ugy9PVsLiihe5UanHPF4AaABAg,JOIux2GUivI,Максим Кац,0,0,п. фанерный,свитшот клевый,2020-06-08T17:46:36Z,0
26,Ugz7J22flCdToxjSI6J4AaABAg,JOIux2GUivI,Максим Кац,0,0,Степан Рыбников,"Максим, интересный рассказ, только вы забываете одно НО: применяя математику к людям, вы забываете про человеческий фактор. Т. е. говоря, что в заговоре кто-то обязательно проговорится, вы забываете, что проговориться в таком деле означает неминуемый уголовный срок или даже смертную казнь, а это уже не позволит инстинкт самосохранения. К слову об опровержении собственных убеждений.",2020-06-07T20:39:47Z,0
27,UgyuH3oQnG_-NsteeS94AaABAg,JOIux2GUivI,Максим Кац,0,0,Вадим Базалицький,А якщо шоумен говорить про політику?,2020-06-06T06:51:14Z,0
28,UgwP7YON7A-UMnWjdbF4AaABAg,JOIux2GUivI,Максим Кац,0,0,Иван Иванов,"Ты начал заблуждаться, когда стал либеральным демократом. Одумайся и вернись в лоно коммунизма!",2020-06-05T09:24:48Z,0
29,UgwvAyMtTvbH6Xlu0KR4AaABAg,JOIux2GUivI,Максим Кац,0,0,Donkey IA,"Сначала надо бы разобраться с эталоном. Относительно чего я ошибаюсь. вот я хочу ограбить кого либо, но ошибся, он позвал на помощь. в следующий раз выберу место пустынное, где никто не поможет. и так исправлю ошибку.а затем просто буду подделывать накладные, достигая совеншенства. Я же умный, и меня никто не поймает. Вот зачем нужен ум.",2020-06-05T00:15:23Z,0
30,UgxtlDv6tpZxGbhftrt4AaABAg,JOIux2GUivI,Максим Кац,0,0,Николай Д,"Для поклонников Каца: смотрите фильм ""дух времени"", он гораздо более убедителен в объяснении событий 9/11",2020-06-04T16:34:45Z,0
31,UgzQafVd5fnKUUCerjl4AaABAg,JOIux2GUivI,Максим Кац,0,0,Jamshed Abdullaev,Супер спасибо,2020-06-04T11:39:17Z,0
32,UgzCFKpVo8C6jtjsd6R4AaABAg,JOIux2GUivI,Максим Кац,0,1,Vahag Gooner91,"Просто лучший канал, это настоящая находка! Наткнулся пару дней назад на этот канал и часами смотрю все видео Макса! Я такой канал долго искал 😍🔥",2020-06-03T18:26:53Z,0
33,Ugwz2PBdCoPKEzUiart4AaABAg,JOIux2GUivI,Максим Кац,0,0,postoronny,"А если говорить о взрывах домов на россии, то вероятность сразу взлетает...",2020-06-03T16:55:48Z,0
34,UgzE5mrXF1lCC8IySh54AaABAg,JOIux2GUivI,Максим Кац,0,0,Jinova,Жду продолжения!,2020-06-01T16:17:07Z,0
35,UgyV-WxZUjI0SgZAGP94AaABAg,JOIux2GUivI,Максим Кац,0,0,Doncheg,"Это какой-то феноменальный, по своей информационной емкости, канал! Уже 3 дня как не могу оторваться!",2020-05-31T10:44:37Z,0
36,UgwbyBHq2jx9MxPl-wV4AaABAg,JOIux2GUivI,Максим Кац,0,0,Иван Суворов,кассир в пятерочке. или бербаотная накрайняк,2020-05-30T15:18:38Z,0
37,UgyVK7DlpjuvYG3vx2R4AaABAg,JOIux2GUivI,Максим Кац,0,0,Анатолий,"Максим, вы делаете отличные видео! С недавнего времени, стал регулярно их смотреть. Продолжайте в том же духе!",2020-05-30T10:25:25Z,0
38,Ugy6o451nk7bgoQZznN4AaABAg,JOIux2GUivI,Максим Кац,0,0,Usama Mnemonikk,"Интересно, кому выгодны подобные видео? (шутка)",2020-05-29T23:33:31Z,0
39,Ugzi_IjrLubr2mgUJ8h4AaABAg,JOIux2GUivI,Максим Кац,0,1,Alexey Kolpikov,"Спасибо за ролик. ВСе круто. Я тут недавно ржал с жены. Она решила поискать на сайтах типа ""Отзовик"" и т.п. отзывы на какой-то товар, что она собралась покупать. Я смотрел, какие она открывала отзывы. Исключительно те, что были с 4-5 звездами. А те, что с 1-2 - пропускала. Я ее спросил - но почему так? Ты не хочешь читать негативные отзывы? Ответ меня ошеломил: — Ну ведь в этих отрицательных отзывах стопудово брешут. Ну вот так и живем :)",2020-05-29T15:15:56Z,0
40,UgypO51hPiVWGiyYnQh4AaABAg,JOIux2GUivI,Максим Кац,0,0,Aleksandra Marakhovskaia,Про кассира Машу печальная адаптация Канемана к российской действительности..,2020-05-28T17:45:58Z,0
41,Ugw_kJAC4aw5mcRJ2DV4AaABAg,JOIux2GUivI,Максим Кац,0,0,STALKERqwerty,"Максим Кац: учился в Великобритании, жил в Израиле,  профессиональный игрок в покер, депутат от Яблока, 200 тысяч подписчиков на Ютубе 
В то время я: сижу
Иногда лежу",2020-05-28T16:56:40Z,0
42,UgxfteoIwqOXjpXrHNp4AaABAg,JOIux2GUivI,Максим Кац,0,0,Ilya Kremer,"Про кассира - там подвох в вопросе. Фемкой и кассиром быть невозможно в принципе. Если ты фемка, то ты уже кассирка!",2020-05-28T12:43:15Z,0
43,Ugxexu6L1aoU09Rz9514AaABAg,JOIux2GUivI,Максим Кац,0,0,Александр Морженко - поэт каменного века,Прихв мэрии,2020-05-28T08:19:14Z,0
44,Ugyv1ikTuaRZfYPcKMF4AaABAg,JOIux2GUivI,Максим Кац,0,0,ХОЧУ ЩИ Vlog,"Макс, я не фанат теории заговора, но а как же аргументы об 11 Сентября? 

1) спиленные ровно на фото основания башен
2) на видео при падении башен видно хлопки взрывов чуть ниже линии обрушения.
3) размер разрушения стены пентагона не соответствует с размерами Самолета, официально попавшего в Пентагон. На фото нет обломков. 

И ещё чтоб такое провернуть - не обязательно всем сговариваться. Исполнителям не обязательно знать кто заказчик и во что они впутаны.",2020-05-28T04:45:29Z,0
45,Ugyag6bv9C3WZu8zf154AaABAg,JOIux2GUivI,Максим Кац,0,0,Александр Чернявский,Даёшь ещё одну часть видео. Спасибо,2020-05-28T03:29:46Z,0
46,UgzIt9qMM82b2IApqQl4AaABAg,JOIux2GUivI,Максим Кац,0,1,StasonicK,"Уважаемый Максим, прошу рассказать как там сейчас в Японии с короновирусом. Они почти не проводят тестирование населения",2020-05-27T16:22:56Z,0
47,Ugx1q5vk6FgftJmKCap4AaABAg,JOIux2GUivI,Максим Кац,0,0,Андрей А,"Чем больше простых и точных описаний искажений человек знает - тем меньше их у него будет !
Базовых не очень много - штук 15-20: от двойственного мышления до пустых надежд.",2020-05-27T14:21:07Z,0
48,Ugwzylf0UPgT4GHd6NB4AaABAg,JOIux2GUivI,Максим Кац,0,0,Тамерлан Кагерманов,55 процентов походу дизайнеры,2020-05-27T11:48:00Z,0
49,UgzhJgKzdUhXFmwAtZF4AaABAg,JOIux2GUivI,Максим Кац,0,0,roninkun,У меня такая-же кофта с АСОС ыыы,2020-05-27T09:12:42Z,0
50,UgwwUvOXtjseQQfbmXV4AaABAg,JOIux2GUivI,Максим Кац,0,0,Тролейбус Викторович,Освободите полку для кота),2020-05-27T05:48:47Z,0
51,Ugzpjbu2CM3VoPy3Qzd4AaABAg,JOIux2GUivI,Максим Кац,0,0,MrAlexanderjjj,"Версия с арабскими террористами кажется мне ещё менее правдоподобной по тем же причинам, которые вы назвали.",2020-05-27T04:32:39Z,0
52,UgxwfrENgmvPNPrWxix4AaABAg,JOIux2GUivI,Максим Кац,0,0,Нельсон Тейло,Очень хороший канал. Как же приятно воспринимать хороший контент.,2020-05-27T04:15:37Z,0
53,UgzVFuJZ_KENWm3tbW94AaABAg,JOIux2GUivI,Максим Кац,0,0,Anna Marchenkova,"Очень надеюсь, что будут ещё видео на такие темы!!! Нужно БОЛЬШЕ лайков :)",2020-05-26T20:22:37Z,0
54,UgwnInlyovJtA-odLyV4AaABAg,JOIux2GUivI,Максим Кац,0,0,Dmitry Mishanin,Давайте ещё видео об искажениях!,2020-05-26T19:49:45Z,0
