,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxiWFekDlQLaTftpUt4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Alex DIO,Вот дурак то реально,2020-07-03T01:07:29Z,0
1,UgwoxNxQffvzkE_1fOh4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Ale Bastor,"А если саловья в багажник положить,",2020-07-02T19:12:45Z,0
2,Ugyr09PUYmNErmw0SmF4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Ale Bastor,Друг близкий Малышевой))),2020-07-02T19:08:33Z,0
3,Ugy20ei6Mu3UeonwyD94AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Ale Bastor,Не фрик а фак!!!!!!!))))),2020-07-02T19:07:18Z,0
4,UgwWrcTPAKwQAFRVlsd4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Ale Bastor,Колхозный шизофреник ему бы шляпу ЛГБТ)))))))ТРАНС,2020-07-02T19:06:05Z,0
5,Ugy2jXgwUEWnJ9IRdod4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Artdor NV,ХУТИН ПУЙ!,2020-07-01T18:37:29Z,0
6,UgwHadkNeNwN2pdeF8x4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,[БЛЭТ] Vilgefortz,Что будет с Соловьёвым,2020-07-01T09:58:37Z,0
7,UgxaJXMqD3dEYV90f_d4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,[БЛЭТ] Vilgefortz,Я так буду орать если Навальный станет президентом,2020-07-01T09:58:17Z,0
8,Ugy1czYfC_i0KGre-o54AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Иван Иванов,Наверно даже фрики его фриком считают.,2020-07-01T09:06:12Z,0
9,UgzPaDq42ADiXaOZmxx4AaABAg,JRF2AovgEMg,Навальный LIVE,0,1,Игорь Горелов,"Гребенщикову респект 👏👏👏, как правильно подметил  ""ВЕЧЕРНИЙ МУДОЗВОН""👍👍👍",2020-06-30T21:39:33Z,0
10,UgzVtJdjfGpekA8gbLR4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Вячеслав Шпирка,"Фрик и мудозвон в одном, очень опасная смесь.",2020-06-30T16:14:32Z,0
11,UgzuC98dA6rgsgCzSYl4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Антон Лич,Фрик по любому))),2020-06-30T13:11:40Z,0
12,UgxJzivZnot-2_MipEF4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Перенмерен Пермьчиков,Срочно помытся ему!! а потом обработка от блох и вшей.,2020-06-30T12:33:58Z,0
13,UgzRr_cwZMb73tHuM5N4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Ivan Sidorov,Соловьев актёр и режиссёр фейковых новостей.,2020-06-29T19:14:36Z,0
14,Ugx3iNE-3w4fLbxLUmt4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Андрей Даньков,А мальльчика то головой в низ в детстве роняли и не один раз...................,2020-06-29T09:58:40Z,0
15,Ugym8_MmKEkAnF5uLSp4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Андрей Даньков,Этот гуманоид и Шафран выгнал.,2020-06-29T09:56:36Z,0
16,Ugzs3i3u7ZooWFPKEW94AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Виктор Бондарев,"мясников,  вы что несёте? Хотел бы я посмотреть как вы лично оказываете помощь короновирусным больным без страха заражения этим орз.",2020-06-29T03:52:25Z,0
17,UgyyEtzvLUF1O6AEhLB4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Any Wei,ХУТИН ПУЙ,2020-06-28T20:47:59Z,0
18,UgxtWkKIZ3eQjAHWuv14AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Sergey Gogolev,"Помётик такой борзый, потому что материальную базу себе заграницей обеспечил. Есть куда в случае чего.",2020-06-28T15:49:21Z,0
19,UgwRRpu3A3PSkSQfSiN4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,апрор ррщш,Дегенерат,2020-06-28T15:36:33Z,0
20,UgwSbMqC2gA_dXis9RN4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Елена Романова,Вася! Уткин! Ты за Россию!!,2020-06-27T22:04:56Z,0
21,UgxWfktf77Wjqz4p38Z4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Мар'яна Шевченко,Клоун бестолковый,2020-06-27T18:43:38Z,0
22,Ugw7YfYMy0ciAi0YPyl4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Alex Borge,В жизни не видел более амерзительной личности как соловьв...ужас ..и он думает что нормально..Господи! Мразь..,2020-06-27T13:13:15Z,0
23,UgwXdiBWTFxJRqz_4Wl4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Алексей Лузанов,"Он смешон и жалок этот вечерний. Не надо делать про это передачи, ролики и  все это забудут.",2020-06-26T05:18:12Z,0
24,UgwZ1-1fVEgLs-qWWZl4AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,JDM -Live,13:54 ууу головоломки,2020-06-25T14:31:05Z,0
25,UgxICcUFVKZ60fPKp614AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Garygoogle Duremar,Пристанищще сумасшедших,2020-06-24T13:53:34Z,0
26,Ugyz-AGkrMpdN6Gy5A14AaABAg,JRF2AovgEMg,Навальный LIVE,0,0,Слава Фадеев,ЖОПОЛИЗУН.Получающий за поросячий визг дары от власти которую он обслуживает в виде материальных благ и многомиллионные квартиры в центре города…Чём громче визг-тем больше поощрение.,2020-06-24T10:33:04Z,0
