,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugzixv-E_WOkcM88SEF4AaABAg,JVWSyUvO1f8,Максим Кац,56,475,Максим Кац,"Чтобы лучше переубеждать тех, кто заразился от пропаганды — подписывайтесь на канал! Тут каждый день что-нибудь интересное",2020-05-12T13:30:23Z,0
1,UgxbkXg0fDlBN7aLhtV4AaABAg,JVWSyUvO1f8,Максим Кац,0,0,mavina,"родственники: РАСЕЮ С КАЛЕН ПАДНЯЛ НАРОДУ ПАМОГ
я: чем именно?
родственники: 🗿",2020-07-03T12:16:32Z,0
2,UgzOkWtSSoiVlphhOYB4AaABAg,JVWSyUvO1f8,Максим Кац,0,0,Николай Захаревич,Прямо Сократ),2020-07-02T22:19:08Z,0
3,UgyZeklsuUZvAwYl2sV4AaABAg,JVWSyUvO1f8,Максим Кац,0,0,Михаил Булгарин,"Мне пару дней назад бабушка сказала, что нужно голосовать ради  моей мамы.... у меня не было слов и я промолчал.",2020-07-02T21:50:45Z,0
4,UgwZBvFp4p1DemxD_b14AaABAg,JVWSyUvO1f8,Максим Кац,0,0,Себастьян Перейра,"А будет передача ""Если сын - дурак и интернет-блогер""?",2020-07-02T16:54:13Z,0
5,UgyTPw1LUB-okb6MrrZ4AaABAg,JVWSyUvO1f8,Максим Кац,0,0,Наташа Иванушкина,"Максим,как всегда,крут!
Спасибо!",2020-07-01T17:57:50Z,0
6,UgymgKbOv_OI2-voR914AaABAg,JVWSyUvO1f8,Максим Кац,0,0,Ilya Belyakov,Из-за прививок действительно аутизм. И не только.,2020-07-01T14:06:46Z,0
7,Ugx2T9-kgD6oPcabeVV4AaABAg,JVWSyUvO1f8,Максим Кац,2,0,HIV Infection,"Если родаки начинают говорить, что Навального спонсирует Госдеп США- привожу в пример революцию 1917 года и на чьи деньги она устраивалась, а так как они вспоминают СССР с теплотой, то ничего против сказать не могут.
P. S. Почему Навального не убили, как Немцова?",2020-07-01T07:10:44Z,0
8,Ugx2T9-kgD6oPcabeVV4AaABAg.9AZIwe--Ivy9AdiaSLsEG_,JVWSyUvO1f8,Максим Кац,0,0,HIV Infection,"@Гаврила Принцип но и не доказано, что деньги Навальному перечисляет Госдеп США, как говорят взрослые, поэтому и их аргумент мимо.
Прочитай внимательно.",2020-07-03T09:39:50Z,1
9,Ugx2T9-kgD6oPcabeVV4AaABAg.9AZIwe--Ivy9AcXAmoBgVw,JVWSyUvO1f8,Максим Кац,0,0,Гаврила Принцип,"Не доказано,что Ленин брал деньги,так что твой аргумент мимо",2020-07-02T22:32:06Z,1
