,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx_BrttVFhThjE7dBp4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,madona mamedova,"Эх люди че за гнилые коменты злые вы все, не навидет человека не навидет себя, Я за путина Голосовал и буду голосовать за путина, Путин умный человек хороший президент РФ желаю ему удачи и всем, без комментарии",2020-06-05T23:36:51Z,0
1,UgyAg0ZwKPUEOnW5KXF4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,1,Полина ВОЛК,Как они не понимают? Люди их уже не воспринимают в серьёз. Просто смотри и смейся.,2020-05-22T13:11:07Z,0
2,Ugw8hxP5POxEPw_XxbJ4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Полина ВОЛК,У нас страна скоро хуже Индии будет.,2020-05-22T13:08:59Z,0
3,UgwL7d2L9ZJSX4ETljV4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Полина ВОЛК,"Мда... Сами наворовали и мы им что-то ещё должны... Не могу серьёзно слушать эту бредятину. Это не призидент, это диктор.",2020-05-22T13:08:12Z,0
4,Ugya2-R4zt87epssnAx4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Полина ВОЛК,"https://youtu.be/5tfYb90Iyho

https://youtu.be/7ZmEIdNTm5k

https://youtu.be/8v68XDs2qVU

https://youtu.be/IY6K9hH0cz8 А как вам такое?",2020-05-22T13:05:10Z,0
5,UgzBvcFqSjf5otiIrPB4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Полина ВОЛК,Обсалютно пустые слова.,2020-05-22T13:04:15Z,0
6,Ugy83ibhWOaLT6V80Ix4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Jim Turner,"Путин выглядит лучшим сытым русским человеком. Он большой толстый кот, лжец и вор.",2020-05-21T00:59:28Z,0
7,UgxmvgPzNDC58Xbf1Vp4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Руслан Гусейнов,Что надо делать? Сколько сидеть на карантине ?,2020-05-20T12:42:34Z,0
8,UgxH3PdLOIYoDNpdK4h4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,1,Президент Росиянен,"Пыня уходи сам пока можешь,скоро народ загонит тебя в тюрягу.",2020-05-19T11:31:58Z,0
9,UgzBqU8_UTA5ic5pLAN4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Дан Зан,Да малый и средний бизнес вы уничтожили. что такое 5 тр вам должно быть стыдно за такие копейки. Позор такому правительству,2020-05-16T04:16:34Z,0
10,UgzTyj-AH3sOKqdOm4l4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,иоан грозный,КЛОУН!!!,2020-05-12T18:54:12Z,0
11,UgyonOwmweMLOBYrGxl4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Леонид Луцков,"Да ну народ, вот чего вы агрессируете . Ну как минимум повысили выплаты по безработице, выдают сухой паёк, и всем семьям с детьми ввели поддержку, разве это не годно?  На каждого ребенка от 3 до 15 лет считай по 10  000 рублей выплатят. А все кому-то не нравится.  и получить это можно по эллектронке",2020-05-12T12:25:46Z,0
12,UgwloRKRISvRLOPDT0Z4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Григорий Г.,Отвечай немедленно: когда закончится коронавирус в России?!,2020-05-12T10:53:45Z,0
13,Ugz5XdrgX6ejyggC2xl4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Лариса,"Из всех эпитетов Мурашке принадлежит только Глубокоуважаемый.  Просто на автомате вспомнилось стихотворение Маршака. На 11-42 мин. Мурашко сказал: глубокоуважаемый Владимир Владимирович, и глубокоуважаемый  утвердительно махнул головой.Такое же обращение было и у Поповой. Лизоблюдство в этой среде просто зашкаливает.Этим товарищам только и остается, что выражать друг другу глубокое уважение, т.к. у народа они его давно потеряли.",2020-05-12T02:18:05Z,0
14,UgxXkeMmopCltzWtvzF4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Pavel Grünmeier,"👽 - это Вирус, 
👑 - а это его корона",2020-05-11T17:14:38Z,0
15,Ugz69puhdYUVPFcus_B4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,денис,беги,2020-05-11T14:15:31Z,0
16,UgzRyFYxZv9KanivN9d4AaABAg,JhRyBwSvq-o,Телеканал Дождь,0,0,Xiaomi Xiaomi,Сколько можно уже говорить одно и тоже!! Дайте хоть умереть спокойно без вашей заботы)),2020-05-11T13:39:24Z,0
