,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgziXFXK0jgUsIEPWvV4AaABAg,JvVe7heYbZc,Максим Кац,147,806,Максим Кац,"Очень распространённая тема с менталитетом, миллион раз примерно слышал что у нас невозможно то или иное из-за неправильного народа. Это, конечно, миф. Пораспространяйте видос :). А то у нас многие убеждены, что народ плохой и всякое такое.
Донорство крови из некоммерческой вставки тут: https://donorsearch.org",2020-06-20T13:45:46Z,0
1,UgxJF7UgzkZYHLTh1YZ4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Тимофей,"Пока я могу получить пизды от полиции на митингах, большая часть города будет сидеть на кухне и говорить что надо валить, страна безнадёжна и не кто не протестует, при этом эти люди сами ни куда не выходят. В ЭТОМ ПРОБЛЕМА МЕНТАЛИТЕТА! Потому что так было всегда! Только 2 революции было, для того чтобы поменять власть, народ должен голодать о чём и говорила наша история. Хотя я всё равно на протестные акции хожу и петиции подписываю, не валите из страны революция близка, ведь народ попал в кризис и не на что жить им будет.",2020-07-03T07:42:22Z,0
2,Ugx2GzR5TiM68V17fSZ4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Viki Kar,"Про ""40 лет по пустыне ходить"" все же не соглашусь. Как раз и нужна смена поколений, появление людей с новыми взглядами и изменение общественных норм, стиля мышления. Уже 30 лет прошло, ещё через 10-20 лет будет ещё лучше. Конец, если всё это время не позволять пропаганде формировать общественные нормы удобные им.",2020-07-03T04:53:08Z,0
3,UgwvpGtu3pIP0y66lXB4AaABAg,JvVe7heYbZc,Максим Кац,0,1,Вячеслав Епифанов,"Но машины японской сборки все равно лучше. Хотя это не важно, просто пример же",2020-07-03T01:05:38Z,0
4,UgxQ85rfl4IzX7W4rBF4AaABAg,JvVe7heYbZc,Максим Кац,0,0,fjkh 9086,В России сейчас наоборот гайки подкручивают,2020-07-01T21:45:16Z,0
5,Ugy14hIHpiACGNrbZnR4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Kirill Maryasov,"Максим, во первых хотел бы сказать, что удивлен насколько адекватны и предметны большинство из тех твоих видео что я посмотрел. НО) в данном случае думаю ты немного неверно понимаешь сам термин. 
Менталитет существует, это сумма знаний и представлений о мире и нормах поведения, которые человек получает от ближайшего окружения (родители, друзья, общественные институты итд). Это условно софт, прошивка, которую человек получает в еще не осознанном возрасте. Изменить менталитет можно усилиями государства, образовательной системы, пропоганды и так далее, но это очень небыстрый процесс.
К сборке техники / автомобилей в соответствии с пошаговым процессом менталитет не имеет отношения",2020-07-01T11:57:13Z,0
6,UgxN-kzPbW30PqRLniJ4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Dasha Khamaza,"Очень конструктивно и доступно, спасибо большое. Важная тема, которую мало кто поднимает. Респект!",2020-07-01T11:34:21Z,0
7,UgxV9Hm-FSNkKLFwrVd4AaABAg,JvVe7heYbZc,Максим Кац,0,2,helen stark,"Я так рада, что нашла этот канал! Интересные темы просто и понятно, причем с подачей при особой харизме и даже юмором. Очень приятно смотреть :)
Спасибо за работу",2020-06-30T18:48:37Z,0
8,UgxGhO9U3Bylck9n6Eh4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Сергей Хренов,Спасибо за Вашу работу.,2020-06-30T16:43:25Z,0
9,UgzggX2X966W7bps1iZ4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Дмитрий Г.,"Просил об этом выпуске, спасибо! )",2020-06-30T15:24:36Z,0
10,UgwWB60ulpL1trEUvLV4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Андрей Андриянов,Просто превосходно!!! 👏,2020-06-30T13:30:00Z,0
11,UgxcpDxdnRoUCN-jfxZ4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Антизомби три,"Сука , лгун , сука, так он на выборы звал !!! Подонок!",2020-06-30T12:20:46Z,0
12,Ugzh9njjF3PaUb-9rJF4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Vadim AdDin,"Как же я устал об этом постоянно толковать. 
Спасибо за видео!",2020-06-30T11:22:09Z,0
13,UgwIACBV3NbYJ3Jw6nF4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Andrey Vostronosov,Ну вообще-то я выпиваю на улице,2020-06-29T22:40:41Z,0
14,UgwqVoseMngMPpKTRYh4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Iuliia Voronina,tolko na 2y minute zametila kotika na fone)),2020-06-29T20:08:13Z,0
15,UgzJ6NG6OngU5_ZB3rR4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Printer,"1) Я совсем не пью, но все же считаю, что люди могут расписать спиртное на улицах и это никак не отражает их «культурность». Их «культурность» отражает то, как они ведут себя после распитого. Посмотрите на Амстердам, люди спокойно ходят и раскуривают лёгкие наркотические вещества, не мешая окружающим и наслаждаясь своей пагубной привычкой абсолютно культурно.
2) Не соглашусь с тем, что при потере «царя батюшки» люди не начнут чаще нарушать законы. Нынче лёгкое нарушение закона в РФ – норма, также как и коррупция. Люди привыкли, люди терпят. Но как только «царя» не станет, а на его место встанет добродушный политик одуванчик, не столкнется ли он с проблемой не готовности нынешнего большинству общества к расширенной свободе, к отсутствию строгих рамок полицейского государства? А может быть на смену «царю» придёт новый?
Также хочу подметить, что прежде, чем менять режим в стране, нужно нормализовать общество (в РФ ещё по-прежнему много сторонников движения ауе, мизогинистов, анархистов, гомофобов, расистов) , а нынешняя политика как раз таки на этом пути, Россия стоит на эволюционном пути, так нужны ли в стране революции?

Хотелось бы получить ответ от вас и обсудить данную тему. Спасибо за качественный контент, наткнулся на ваш канал, смотрю с упоением.",2020-06-29T17:53:16Z,0
16,UgxisjqCjbSu5wM2Nk14AaABAg,JvVe7heYbZc,Максим Кац,0,0,Norb Degetov,"Вроде интересно,но слишком долго,внимание теряется) как и суть,слишком много слов   ахах, я подумал,что минут 30-35, а оказалось и 20 нет.",2020-06-29T14:37:47Z,0
17,UgxCeS7xXwvMq7NLFE94AaABAg,JvVe7heYbZc,Максим Кац,0,0,Елизавета Ненахова,"Смотрю Ваши ролики и преисполняюсь, обмазываюсь здравым смыслом, сердце аж болит и слезы на глазах",2020-06-29T14:34:07Z,0
18,UgwesEcFns7pQbFee2d4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Sasha Portyannikova,"Максим, спасибо за Ваши ролики и канал в целом - очень содержательно и конструктивно. Один вопрос: а лирическая музыка на фоне обязательна? Ощущение, как будто «в гостях у сказки» смотрю, а не политический блог🙄",2020-06-29T14:20:09Z,0
19,Ugx10AOyFaDoFVrawmh4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Hevna Hevna,"Делая громкие заявления вроде искоренения пьяных компаний на детских площадках, собачьих как в скверах и незаконных парковок в нашей стране, стоит помнить, что эта самая страна на 90% состоит из обескровленной периферии, где пьянь, собачьи прелести и безотвественность автовладельцев составляют печальную повседневность.",2020-06-28T21:43:28Z,0
20,UgwC-PEEzh5-PGUt5LB4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Владислав Натрезим,"Менталитет существует и это ни плохо, ни хорошо, это данность. То что конкретно в рф конкретные политики им оправдывают свою тупость-это проблемы конкретно рф и конкретно политиков. Само понятие вполне научно и обосновано и изучается в ведущих ВУЗах мира. Тут просто надо понимать более широкие вещи, чем особенности политики в рф. Вот что бывает, когда человек, что разбирается в чём то одном, пытается рассуждать обо всём понемножку. Если бы я, психолог, снимал бы видео про политику и урбанистику, не смотря на мой интерес к ним, я бы налажал, при чём, скорее всего, в каких-то базовых концепциях, которые понимает не очень старательный студент-политолог 1 курса.
Самое интересное, что ты говоришь всё правильно. Просто используешь не тот термин. Это не менталитет",2020-06-28T21:13:33Z,0
21,UgxbQZqPZpc6uanHXlF4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Владислав Богатырев,Какие доноры? В Россия как минимум половина молодёжи больные... Посмотри на молодых дохлых спортсменов и всё станет ясно.,2020-06-28T18:55:31Z,0
22,UgwR6d58klcpXLfj9xJ4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Владислав Богатырев,"Викинги не носили никаких рогов на шлеме. Это величайший миф, который внедрил в массы один исландский художник с очень развитой фантазией. Стыдно не знать)",2020-06-28T18:54:37Z,0
23,UgxVKSYhepZ54RsZPTl4AaABAg,JvVe7heYbZc,Максим Кац,0,0,Ольга Иванова,спасибо))) комментарий для поддержки канала,2020-06-28T18:29:38Z,0
