,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwBMWD3_TBl43kH9zB4AaABAg,Lr5e8YLeJ-8,Максим Кац,136,549,Максим Кац,"Важно понимать что происходит и не вестись на простые, но ложные объяснения происходящего. Подписка на этот канал в этом поможет! А кто хочет отсыпать дизлайков или написать комменты манипуляторше — это можно тут https://youtu.be/QMdhFlWD8dU. Только будьте вежливы, пожалуйста!",2020-05-07T13:04:08Z,0
1,Ugzjzv7zWsdBvdLrevx4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,Dumitru Ganusciac,"помимо всего, у нее ужасный голос и дикция. режет уши",2020-07-02T10:23:59Z,0
2,UgwnCci3a9-3QZmYrNh4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,вася смирнов,Это видео - просто подарок для мемопроизводства!,2020-07-01T15:02:00Z,0
3,Ugxl45xmJDTOrohxasx4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,Альберт Дарый-оол,Благодаря этой дуре нашел М.Каца...,2020-06-29T18:44:08Z,0
4,UgzwByEQ0y92fN2-vKZ4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,А Р Т,Я то хотел его немецкие речи послушать! Я хотел их перевести! А ты... Эх-хэ-хэх,2020-06-29T17:37:54Z,0
5,UgyUPVXIHb9tESeTvRV4AaABAg,Lr5e8YLeJ-8,Максим Кац,1,0,Elevation 16,"Александра Андерсон ахах)) узнала ее по веган движению, казалась не совсем адекватом. Когда две разноудаленные точки вселенной соприкасаются,а ты такой - WTF. Макс - вы супер, целый день смотрю, радуюсь, что в российской политике есть такие люди.",2020-06-29T17:09:24Z,0
6,UgyUPVXIHb9tESeTvRV4AaABAg.9AVDrZ0e6BN9AVEME3gSvW,Lr5e8YLeJ-8,Максим Кац,0,0,Elevation 16,"Причем не все веганы поехавшие, если что, есть вполне себе разумные, приятные люди)",2020-06-29T17:13:43Z,1
7,UgwDMPGyI7FU9ezMnfF4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,Максим Кочубей,"Ха-ха, Кац скоро так на Доктора Дью станет похож :D",2020-06-28T21:51:29Z,0
8,Ugw77r6SiVxUC7FnTq54AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,Олег Миро,"Ха, Максим - живой человек! Не робот! Красота!",2020-06-27T22:38:24Z,0
9,UgyGfRj7kZdmk9r-qLp4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,bersenev,Спасибо за видео!,2020-06-27T21:04:11Z,0
10,UgzXdGvBwxA_aJQ7sCJ4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,Ксения Носенко,Какой крутой разбор!,2020-06-27T05:11:25Z,0
11,UgylnWxniSvPaYdMPWV4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,ultra universe,"Раньше думала, что Андерсон - просто веганка и писательница, но отписалась от нее после первых видео про детокс и вред прививок. Больше всего жаль тех людей, которые в это верят, а в особенности их детей, которые не виноваты в отсутствии критического мышления у родителей",2020-06-27T03:28:03Z,0
12,Ugwms6lDvDMCuF0GWQh4AaABAg,Lr5e8YLeJ-8,Максим Кац,0,0,андрей довгаль,"большой и страшный Билл Гейтс,а сидит перед компуктером)))как-то забавно)))",2020-06-26T15:34:18Z,0
