,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugyoil6zroYVpx2xyyN4AaABAg,MJx9FM8yxbc,Максим Кац,93,291,Максим Кац,"Если вы тоже либерал, как и я, хотите делать мир лучше и бороться за удобные города — присоединяйтесь к нашей с Варламовым общественной организации Городские Проекты https://russia.city4people.ru.
Работает она, кстати, только на частные пожертвования. Если хотите поучаствовать в финансировании — подпишитесь: https://donate.city4people.ru",2020-05-30T13:00:30Z,0
1,UgyOV-uXK-xtedk9vc14AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Дмитрий Владимирович,"Ужас, как Никсон мог позволить себе такое отвратительное мнение относительно законопроекта об улучшении качества среды городской для людей с ограниченными возможностями, как он выразился; Расходы из-за кучки инвалидов.
И даже в голову не приходит, что это люди, такое же сознание как и у остальных, каждый член общества, какую бы ступень в стратификации общества он ни занимал, имеет трагичный шанс стать инвалидом вследствие болезни, падения, нападения, ДТП и в конце то концов родиться таким к большому сожалению ! (случаев полно) !!
И вынуждены будут как-то выживать в городской среде, что не подготовлена для людей с ограниченными возможностями, потому что государству видите ли, ДОРОГО ВСЁ ЭТО РЕАЛИЗОВАТЬ !!!",2020-07-01T07:14:07Z,0
2,UgxfwS8wtF3lLASpMBh4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Kasia Kas,Очень важная и полезная тема,2020-06-29T07:20:09Z,0
3,UgzSAcbV3QjZsKIRWkd4AaABAg,MJx9FM8yxbc,Максим Кац,1,0,Ян,"А давайте мы тех придурков, которые устраивают дискриминацию, их сделаем инвалидами, чтобы они сами почувствовали неудобства и унижения!",2020-06-28T19:57:09Z,0
4,UgzSAcbV3QjZsKIRWkd4AaABAg.9ASxGLc7sKf9AZJqzrsKyP,MJx9FM8yxbc,Максим Кац,0,0,Дмитрий Владимирович,"Жестоко, но к сожалению люди только почувствовав на себе в большинстве своём, способны сделать опеределенные выводы !",2020-07-01T07:18:42Z,1
5,Ugxxynt_nSN4DG8PbLx4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Genia_Sm,"Спасибо за хороший ролик, Максим!",2020-06-21T12:20:10Z,0
6,UgyoLBu-1GSBOQ1W7qh4AaABAg,MJx9FM8yxbc,Максим Кац,0,1,Михаил Николаев,Макс ! Ты завоевал умы,2020-06-21T03:15:59Z,0
7,UgxRKuN_0h51cw7DKAx4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,SinDay,когда смотрю ради котика:3,2020-06-20T10:54:59Z,0
8,UgxKqpdmLnRYYO2bLSR4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Кирилл Михалин,"ЛГБТ подвергали такой же сегрегации аж до 2015, и сейчас до сих пор пытаются - и это мы про США, что уж о нас говорить...",2020-06-20T09:23:19Z,0
9,UgwvK_jZGHPRoP6dB6p4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Елена,"Очень важная тема, как и все остальные поднятые темы на канале, спасибо!",2020-06-19T22:42:22Z,0
10,UgzC_grXLJLuwCSZzAd4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Олег Дакар,Сам инвалид живу в Кызыле пандусы по городу поставили лет пят в учреждениях хорошие в магазинах плохие .,2020-06-19T09:10:07Z,0
11,UgwUR4gElpZXENwOB854AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Александр Зотов,спасибо Вам за то что Вы делаете,2020-06-17T09:36:24Z,0
12,UgzuEd0YIPcdUyIKc294AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Igor Nesterenko,"0:32
Новый кот?!",2020-06-16T18:50:53Z,0
13,UgzWjaYqTuCReg016st4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Антон Кабыш,Почему в списке нет Екатеринбурга?,2020-06-16T17:09:54Z,0
14,UgyWMz6Vb0XVVFt6pO14AaABAg,MJx9FM8yxbc,Максим Кац,0,0,ЕБЛИГНОЙ,15:31 золотые слова,2020-06-16T16:24:37Z,0
15,UgzdI32zuyGx63Tc0iF4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Pavlo Burlaka,"Кот топ!)
Хороший ролик, проблемы граждан с ограниченными возможностями нужно решать, в Виннице (Украина), город где я живу - понемногу с этим становится легче, пандусы делают, туалеты специальные, в школах и других НЗ уделяют внимание инклюзивному образованию, но все равно, пока этого мало, очень мало, но мы идём вперёд, и вам успехов на правильном пути!)",2020-06-15T21:07:10Z,0
16,UgwcJNDldHePSgUq4bJ4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Den Gmirin,"Вдохновляют такие истории, где упорство и терпения побеждает любые преграды.",2020-06-15T09:51:45Z,0
17,UgzBWl26Oa9sAjqSq654AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Margo Perle,Котя-а-а!!! 😍,2020-06-13T15:30:24Z,0
18,UgxQAZTyJogd7N9KtN54AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Гадя Хреново,"Спасибо, Максим! Отличная история и доступный анализ. Надеюсь, вскоре мы добьёмся, чтобы такие передачи показывали по телевизору, а не песни яичек и пропагандисткое низкосортное фуфло. Проблемы, которые в штатах полностью разрешены 30 лет как, у нас ни слухом, ни духом? Это перспектива для работы чиновником)",2020-06-13T10:48:46Z,0
19,Ugw2NifR7KMd3J5JKQN4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Максим Половнёв,"Максим, пока Вы говорите о том, что это люди с ограниченными возможностями, то все их и будут считать ограниченными. В Америке таких людей называют «люди, требующие повышенного внимания». И наше общество, возможно, начнет пересмотр отношения к таким людям.",2020-06-12T17:31:30Z,0
20,UgznDn2WsaSS9zwwfiJ4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,boring name,"До этого ролика и не думала, что вещи необходимые для комфортного существования в городе людей с ограниченными возможностями появились в результате протестов. Казалось, что правительства просто в какой-то момент решали о них заботиться. Это казалось естественным. Но это видео несёт в себе одну важную мысль: любая государственная машина ленива, она всегда будет стараться ничего не делать, ее нужно постоянно заставлять, пинать и пихать, чтобы она работала на благо и даже за такие базовые вещи как пандусы нужно бороться и протестовать",2020-06-12T05:08:07Z,0
21,Ugx5PRVd6Wqb_BEO1ex4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Terra Nova,Какая то уже другая кошка!!!,2020-06-10T16:53:26Z,0
22,Ugw1uTU1M89werCcb7V4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Сергей Потапов,Не могу смотреть без улыбки на кота,2020-06-10T06:25:29Z,0
23,UgziyYCDdSz9YRZz7c14AaABAg,MJx9FM8yxbc,Максим Кац,0,0,юрий хмеленко,я вот смотрю вас и думаю что у меня скоро голова лопнет от концентрата информации. У меня просьба немножко разбавлять водичкой а то скоро свихнусь к ебеням собячьим. Спасибо.,2020-06-09T14:40:32Z,0
24,UgxR3yaXGZqWiWhgsqZ4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,scifiness,"Клип про человечность, сложно переоценить его важность. ❤️",2020-06-08T20:31:11Z,0
25,UgxfnZS2PtKtQWo6hFl4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Дивергент Нигилист,Давай продолжать топить за капитализм основанный на рассизме.,2020-06-08T18:44:06Z,0
26,UgzWQOjjsg8uNhvG12d4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Dino Vulture,"Ухты, у тебя есть кот! 💗",2020-06-08T16:25:59Z,0
27,UgxMITPb2lwCrNYqT894AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Siara Si,Спасибо за ролик и за кота😍,2020-06-08T15:39:08Z,0
28,Ugy70xqtpJFglTPw_NJ4AaABAg,MJx9FM8yxbc,Максим Кац,0,0,Nadya wermerwer,"Очень хорошее и важное видео, спасибо",2020-06-08T15:30:04Z,0
